"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"debian:libwsutil14","","libwsutil14","","True","False","True","False","5462","0","97.51","","0.0048","","","","0","1987","3874","8998","6990"
"debian:libwiretap13","","libwiretap13","","True","False","True","False","5457","0","97.51","","0.0048","","","","0","1986","3870","8988","6986"
"debian:libwireshark16","","libwireshark16","","True","False","True","False","5452","0","97.52","","0.0048","","","","0","1986","3870","8982","6973"
"librtlsdr","steve-m/librtlsdr","","librtlsdr","False","True","True","False","0","5439","","99.85","","0.0027","","","0","7314","2209","7412","4823"
"debian:libsystemd-login0","","libsystemd-login0","","True","False","True","False","5426","0","97.53","","0.0048","","","","8388","6251","5413","3840","3242"
"nim","","","nim","False","True","True","False","0","5425","","99.85","","0.0027","","","0","7627","3044","4684","6348"
"gle-tubing-and-extrusion","linas/glextrusion","gle","","True","False","True","False","5422","0","97.53","","0.0048","","graphics","","9108","5884","5191","3819","3110"
"xcb-util-xrm","Airblader/xcb-util-xrm","xcb-util-xrm","","True","False","True","False","5411","0","97.54","","0.0048","","misc","","5735","5166","5176","5535","5447"
"daemon","","daemon","","True","False","True","False","5388","0","97.54","","0.0048","","utils","","6862","5726","5421","4694","4237"
"php-code-sniffer","PHPCSStandards/PHP_CodeSniffer","","php-code-sniffer","False","True","True","False","0","5379","","99.86","","0.0027","","","0","7520","1880","6829","5287"
"debian:libgd2-xpm","","libgd2-xpm","","True","False","True","False","5359","0","97.55","","0.0047","","","","8415","6271","5449","3636","3025"
"phonon-backend-gstreamer","","phonon-backend-gstreamer","","True","False","True","False","5352","0","97.56","","0.0047","","sound","","11127","6010","5017","2720","1887"
"mu","djcb/mu","","mu","False","True","True","False","0","5336","","99.87","","0.0026","","","0","9216","3498","4839","3791"
"debian:liblcms1","","liblcms1","","True","False","True","False","5324","0","97.57","","0.0047","","","","8211","6083","5363","3785","3182"
"debian:librpmsign9","","librpmsign9","","True","False","True","False","5321","0","97.58","","0.0047","","","","3801","5532","6018","6319","4938"
"debian:librpmbuild9","","librpmbuild9","","True","False","True","False","5321","0","97.58","","0.0047","","","","3802","5533","6019","6319","4936"
"perl:encode-hanextra","","libencode-hanextra-perl","","True","False","True","False","5320","0","97.58","","0.0047","","perl","","5053","4589","4731","5705","6522"
"supervisor","","","supervisor","False","True","True","False","0","5314","","99.87","","0.0026","admin","","0","9051","2381","4677","5147"
"libmpdclient","","libmpdclient","libmpdclient","True","True","True","False","3125","2729","98.69","99.99","0.0028","0.0014","libs","","3599","6865","5034","6310","4734"
"debian:libxmlsec1-1","","libxmlsec1-1","","True","False","True","False","5304","0","97.59","","0.0047","","","","0","0","0","0","5304"
"texlive:latexindent","cmhughes/latexindent","","latexindent","False","True","True","False","0","5289","","99.88","","0.0026","","","0","6647","4298","6474","3737"
"fcgi","","libfcgi","","True","False","True","False","5281","0","97.60","","0.0047","","libs","","1075","945","929","3802","19656"
"tcltk-defaults","","tcltk-defaults","","True","False","True","False","5276","0","97.61","","0.0047","","interpreters","","4439","4384","4660","5871","7027"
"displayplacer","jakehilborn/displayplacer","","displayplacer","False","True","True","False","0","5266","","99.88","","0.0026","","","0","0","5","3856","11938"
"reattach-to-user-namespace","ChrisJohnsen/tmux-MacOSX-pasteboard","","reattach-to-user-namespace","False","True","True","False","0","5256","","99.89","","0.0026","","","0","12564","2583","3209","2671"
"xpdf","","xpdf","","True","False","True","False","5242","0","97.62","","0.0046","","text","","5986","5290","5256","4840","4840"
"log4cplus","","log4cplus","","True","False","True","False","5239","0","97.62","","0.0046","","libs","","3922","5375","6274","6392","4234"
"lightgbm","lightgbm-org/LightGBM","","lightgbm","False","True","True","False","0","5238","","99.89","","0.0026","","","0","12151","2635","3869","2300"
"read-edid","","read-edid","","True","False","True","False","5229","0","97.63","","0.0046","","utils","","4431","4543","4969","5692","6514"
"innoextract","","","innoextract","False","True","True","False","0","5229","","99.89","","0.0026","utils","","0","5268","2117","7372","6160"
"obs-studio","","obs-studio","","True","False","True","False","5212","0","97.63","","0.0046","","misc","","5429","5357","5497","5707","4071"
"cpptoml","skystrife/cpptoml","","cpptoml","False","True","True","False","0","5199","","99.90","","0.0026","misc","","0","6269","3641","8217","2671"
"diff-pdf","vslavik/diff-pdf","","diff-pdf","False","True","True","False","0","5189","","99.90","","0.0026","","","0","7860","2565","4899","5433"
"catch","catchorg/Catch2","","catch2","False","True","True","False","0","5162","","99.90","","0.0026","misc","","0","8358","1810","5304","5177"
"libdmtx","","libdmtx","","True","False","True","False","5159","0","97.64","","0.0046","","libs","","47","35","32","3599","22085"
"liblo","radarsat1/liblo","liblo","","True","False","True","False","5144","0","97.64","","0.0045","","libs","","5376","5023","5050","5021","5250"
"kemoticons","","kemoticons","","True","False","True","False","5141","0","97.65","","0.0045","","misc","","10881","5723","4816","2555","1731"
"kpipewire","","kpipewire","","True","False","True","False","5124","0","97.65","","0.0045","","misc","","0","5","15","2060","18416"
"debian:libxmlsec1-nss1","","libxmlsec1-nss1","","True","False","True","False","5116","0","97.66","","0.0045","","","","0","0","0","0","5116"
"poco","","poco","poco","True","True","True","False","391","5900","99.99","99.74","0.0003","0.0029","libs","","334","11039","1840","6288","6059"
"gpac","gpac/gpac","","gpac","False","True","True","True","0","5112","","99.92","","0.0025","","","0","5061","4138","4578","6672"
"gmic","","gmic","","True","False","True","False","5110","0","97.66","","0.0045","","graphics","","4418","5032","5390","6090","4620"
"i2c-tools","","i2c-tools","","True","False","True","False","5106","0","97.67","","0.0045","","utils","","4291","4516","4910","5658","6158"
"unhide","","unhide","","True","False","True","False","5091","0","97.67","","0.0045","","admin","","5420","5042","4992","4987","5015"
"tcsh","","tcsh","","True","False","True","False","5090","0","97.68","","0.0045","","shells","","5805","5280","5138","4744","4483"
"elinks","rkd77/elinks","elinks","","True","False","True","False","5071","0","97.68","","0.0045","","web","","5512","5136","5084","4879","4745"
"qtcurve","","qtcurve","","True","False","True","False","5069","0","97.68","","0.0045","","misc","","10154","5524","4758","2778","2134"
"libplasma","","libplasma","","True","False","True","False","5067","0","97.69","","0.0045","","misc","","2","4","4","2700","22626"
"qcoro","","qcoro","","True","False","True","False","5064","0","97.69","","0.0045","","misc","","0","6","13","1989","18251"
"kxmlrpcclient","","kxmlrpcclient","","True","False","True","False","5045","0","97.70","","0.0045","","misc","","11020","5605","4670","2358","1575"
"ampl-mp","ampl/mp","","ampl-mp","False","True","True","False","0","5045","","99.92","","0.0025","","","0","8302","3364","7811","705"
"debian:libfltk1.1","","libfltk1.1","","True","False","True","False","5045","0","97.70","","0.0045","","","","7583","5988","5453","3600","2604"
"libsquish","","libsquish","","True","False","True","False","5043","0","97.71","","0.0044","","misc","","4816","6510","5953","4126","3810"
"mscgen","","","mscgen","False","True","True","False","0","5041","","99.93","","0.0025","devel","","0","4952","1198","6579","7435"
"davix","cern-fts/davix","","davix","False","True","True","False","0","5015","","99.93","","0.0025","misc","","0","9638","2233","4613","3579"
"perl:net-cups","","libnet-cups-perl","","True","False","True","False","4990","0","97.71","","0.0044","","perl","","4638","4865","4964","5264","5219"
"ibus-client-clutter","","ibus-client-clutter","","True","False","True","False","4943","0","97.72","","0.0044","","utils","","9063","5715","4865","2861","2213"
"corosync","","corosync","","True","False","True","False","4937","0","97.72","","0.0044","","admin","","4053","4325","4577","5692","6038"
"libvhdi","libyal/libvhdi","libvhdi","","True","False","True","False","4924","0","97.73","","0.0043","","misc","","3111","4129","4639","6082","6659"
"debian:python-sip","","python-sip","","True","False","True","False","4918","0","97.73","","0.0043","","","","11275","5528","4375","2044","1368"
"debian:gcc-4.4-base","","gcc-4.4-base","","True","False","True","False","4916","0","97.74","","0.0043","","","","7352","5586","4991","3629","3026"
"debian:libhdb9-heimdal","","libhdb9-heimdal","","True","False","True","False","4912","0","97.74","","0.0043","","","","6974","5423","5035","3803","3328"
"debian:liblircclient0","","liblircclient0","","True","False","True","False","4898","0","97.75","","0.0043","","","","8589","5645","4752","3029","2475"
"iksemel","meduketto/iksemel","libiksemel","","True","False","True","False","4882","0","97.75","","0.0043","","libs","","5802","5111","4813","4443","4243"
"openimageio","AcademySoftwareFoundation/OpenImageIO","openimageio","openimageio","True","True","True","False","753","5155","99.97","99.91","0.0007","0.0026","libs","","149","8033","3292","5886","7027"
"debian:libc6-i686","","libc6-i686","","True","False","True","False","4844","0","97.76","","0.0043","","","","8049","5562","4800","3170","2643"
"debian:libnm-glib-vpn1","","libnm-glib-vpn1","","True","False","True","False","4815","0","97.77","","0.0042","","","","9057","5579","4575","2703","2163"
"zipios","","zipios++","","True","False","True","False","4810","0","97.78","","0.0042","","devel","","4402","3985","4150","5379","6136"
"perl:encode-jis2k","","libencode-jis2k-perl","","True","False","True","False","4806","0","97.79","","0.0042","","perl","","4550","4113","4243","5176","5949"
"debian:apache2.2-common","","apache2.2-common","","True","False","True","False","4806","0","97.79","","0.0042","","","","7302","5542","4864","3467","2859"
"debian:libclamav11","","libclamav11","","True","False","True","False","4795","0","97.79","","0.0042","","","","0","0","1835","6558","5993"
"gnome-nettool","","gnome-nettool","","True","False","True","False","4794","0","97.80","","0.0042","","gnome","","7418","5329","4647","3477","3100"
"fairymax","","fairymax","","True","False","True","False","4774","0","97.80","","0.0042","","games","","7358","5309","4690","3420","3097"
"libb64","","libb64","","True","False","True","False","4768","0","97.81","","0.0042","","misc","","928","1513","1687","4747","14966"
"xboard","","xboard","","True","False","True","False","4747","0","97.81","","0.0042","","games","","7319","5285","4659","3410","3063"
"rust:rpm-sequoia","","rust-rpm-sequoia","","True","False","True","False","4745","0","97.82","","0.0042","","misc","","0","0","0","0","4745"
"perl:autovivification","","libautovivification-perl","","True","False","True","False","4735","0","97.82","","0.0042","","perl","","4476","4022","4167","5110","5901"
"libfprint","","libfprint","","True","False","True","False","4733","0","97.83","","0.0042","","libs","","632","872","1172","2064","18928"
"debian:libqimageblitz4","","libqimageblitz4","","True","False","True","False","4729","0","97.83","","0.0042","","","","10533","5303","4377","2095","1339"
"accounts-qml-module","","accounts-qml-module","","True","False","True","False","4717","0","97.83","","0.0042","","misc","","3","2","3","1746","21835"
"ftgl","frankheckenbach/ftgl","ftgl","ftgl","True","True","True","False","3691","1280","98.36","100.00","0.0033","0.0006","devel","","5106","4084","4213","5431","4747"
"perl:encode-eucjpms","","libencode-eucjpms-perl","","True","False","True","False","4705","0","97.84","","0.0042","","perl","","4450","3996","4143","5077","5861"
"libvmdk","libyal/libvmdk","libvmdk","","True","False","True","False","4693","0","97.84","","0.0041","","misc","","2952","3942","4439","5785","6350"
"czmq","zeromq/czmq","czmq","czmq","True","True","True","False","115","5706","100.00","99.80","0.0001","0.0028","misc","","124","2100","607","7637","12933"
"libcryptui","","libcryptui","","True","False","True","False","4679","0","97.85","","0.0041","","gnome","","8047","5313","4432","3008","2595"
"fsplib","","fsplib","","True","False","True","False","4676","0","97.85","","0.0041","","libs","","5507","5128","5069","4366","3313"
"debian:libwsutil12","","libwsutil12","","True","False","True","False","4668","0","97.86","","0.0041","","","","6021","6775","6086","2575","1883"
"debian:libwiretap11","","libwiretap11","","True","False","True","False","4664","0","97.86","","0.0041","","","","6018","6770","6083","2575","1876"
"debian:libwireshark14","","libwireshark14","","True","False","True","False","4657","0","97.87","","0.0041","","","","6013","6765","6072","2567","1868"
"libtlsrpt","sys4/libtlsrpt","libtlsrpt","","True","False","True","False","4657","0","97.87","","0.0041","","misc","","0","0","0","0","4657"
"autofs","","autofs","","True","False","True","False","4647","0","97.88","","0.0041","","utils","","4961","4591","4519","4544","4622"
"debian:python-reportlab-accel","","python-reportlab-accel","","True","False","True","False","4609","0","97.88","","0.0041","","","","8792","5288","4396","2550","2020"
"openlibm","JuliaMath/openlibm","","openlibm","False","True","True","False","0","4609","","99.94","","0.0023","","","0","6608","1154","6178","4499"
"debian:libgnome-panel0","","libgnome-panel0","","True","False","True","False","4598","0","97.88","","0.0041","","","","3430","4843","5785","5498","3438"
"debian:libmarblewidget-qt5-28","","libmarblewidget-qt5-28","","True","False","True","False","4564","0","97.89","","0.0040","","","","4952","4645","4718","5400","3106"
"debian:libdb4.8","","libdb4.8","","True","False","True","False","4556","0","97.90","","0.0040","","","","6666","5145","4651","3432","2887"
"dwarves","","dwarves","","True","False","True","False","4543","0","97.90","","0.0040","","misc","","583","759","810","1383","19183"
"debian:libqt4-test","","libqt4-test","","True","False","True","False","4541","0","97.90","","0.0040","","","","10187","5108","4072","1966","1372"
"yubikey-personalization","","yubikey-personalization","","True","False","True","False","4535","0","97.91","","0.0040","","utils","","6064","6698","4766","2723","2425"
"aften","","","aften","False","True","True","False","0","4523","","99.94","","0.0022","","","0","7874","2360","4379","3480"
"debian:libqt4-help","","libqt4-help","","True","False","True","False","4512","0","97.91","","0.0040","","","","10080","5065","4053","1977","1389"
"krita","","krita","","True","False","True","False","4490","0","97.92","","0.0040","","misc","","3943","3810","4033","4997","5671"
"osm-gps-map","nzjrs/osm-gps-map","osm-gps-map","","True","False","True","False","4484","0","97.92","","0.0040","","libs","","4617","4182","4269","4516","4836"
"criu","","criu","","True","False","True","False","4482","0","97.92","","0.0040","","misc","","0","0","0","771","8193"
"kplotting","","kf6-kplotting|kplotting","","True","False","True","False","4476","0","97.93","","0.0039","","misc","","4849","4320","4506","5076","3629"
"volk-simd","gnuradio/volk","volk","volk","True","True","True","False","244","5286","100.00","99.88","0.0002","0.0026","misc","","26","10426","2146","5378","4392"
"debian:libkmime4","","libkmime4","","True","False","True","False","4462","0","97.93","","0.0039","","","","9941","4988","4137","1975","1273"
"pystring","imageworks/pystring","pystring","pystring","True","True","True","False","3994","766","98.23","100.00","0.0035","0.0004","misc","","2","1162","3152","8947","9009"
"libnetfilter-log","","libnetfilter-log","","True","False","True","False","4454","0","97.94","","0.0039","","libs","","3710","3910","4078","5109","5463"
"perl:text-bibtex","","libtext-bibtex-perl","","True","False","True","False","4452","0","97.94","","0.0039","","perl","","2915","3709","4157","5414","6069"
"hivex","","hivex","","True","False","True","False","4445","0","97.94","","0.0039","","libs","","3831","3790","3931","4620","6053"
"debian:libknewstuff2-4","","libknewstuff2-4","","True","False","True","False","4437","0","97.95","","0.0039","","","","9872","4956","4116","1972","1273"
"debian:libkldap4","","libkldap4","","True","False","True","False","4431","0","97.95","","0.0039","","","","9876","4950","4110","1963","1259"
"goocanvas","","goocanvas-2.0","","True","False","True","False","4423","0","97.96","","0.0039","","misc","","4055","4076","4237","4750","4997"
"debian:telepathy-haze","","telepathy-haze","","True","False","True","False","4421","0","97.96","","0.0039","","","","7501","5188","4430","2783","2203"
"libtatsu","libimobiledevice/libtatsu","","libtatsu","False","True","True","False","0","4412","","99.95","","0.0022","misc","","0","0","0","739","8086"
"consolekit","","consolekit2","","True","False","True","False","4410","0","97.96","","0.0039","","misc","","7404","5085","4276","2884","2405"
"libyubikey","","libyubikey","","True","False","True","False","4409","0","97.97","","0.0039","","libs","","6103","6741","4818","2415","1970"
"debian:libqt4-scripttools","","libqt4-scripttools","","True","False","True","False","4407","0","97.97","","0.0039","","","","9945","4944","3943","1891","1316"
"bmon","","bmon","","True","False","True","False","4403","0","97.98","","0.0039","","net","","3618","3811","4046","4952","5588"
"debian:libkresources4","","libkresources4","","True","False","True","False","4403","0","97.98","","0.0039","","","","9817","4921","4083","1947","1247"
"libsvm","","libsvm","","True","False","True","False","4401","0","97.98","","0.0039","","devel","","6375","4958","4447","3344","2885"
"perl:indirect","","libindirect-perl","","True","False","True","False","4397","0","97.99","","0.0039","","perl","","1848","2761","3651","6538","7190"
"debian:libkpimutils4","","libkpimutils4","","True","False","True","False","4393","0","97.99","","0.0039","","","","9792","4914","4075","1941","1245"
"debian:libkabc4","","libkabc4","","True","False","True","False","4388","0","98.00","","0.0039","","","","9781","4908","4072","1939","1243"
"scrub","chaos/scrub","scrub","","True","False","True","False","4368","0","98.00","","0.0039","","utils","","4009","3968","4099","4757","5008"
"debian:lynx-cur","","lynx-cur","","True","False","True","False","4359","0","98.01","","0.0038","","","","6851","5147","4514","2924","2359"
"freecad","","freecad","","True","False","True","False","4348","0","98.01","","0.0038","","science","","3944","3473","3675","4934","5714"
"debian:python-netifaces","","python-netifaces","","True","False","True","False","4346","0","98.01","","0.0038","","","","8089","5041","4202","2528","1870"
"gnustep-base","","gnustep-base","","True","False","True","False","4335","0","98.02","","0.0038","","gnustep","","693","621","627","516","19221"
"debian:libkpimtextedit4","","libkpimtextedit4","","True","False","True","False","4334","0","98.02","","0.0038","","","","9677","4846","4017","1912","1222"
"sssd","SSSD/sssd","sssd","","True","False","True","False","4332","0","98.03","","0.0038","","utils","","3470","3601","3873","5233","5484"
"chktex","","chktex","","True","False","True","False","4332","0","98.03","","0.0038","","tex","","4534","4037","4143","4375","4573"
"debian:libkpimidentities4","","libkpimidentities4","","True","False","True","False","4331","0","98.03","","0.0038","","","","9670","4842","4014","1911","1222"
"chkrootkit","","chkrootkit","","True","False","True","False","4320","0","98.04","","0.0038","","misc","","4744","4312","4245","4130","4171"
"libfaketime","wolfcw/libfaketime","faketime","","True","False","True","False","4316","0","98.04","","0.0038","","utils","","3489","3758","4031","4999","5307"
"tevent","","","tevent","False","True","True","False","0","4312","","99.95","","0.0021","","","0","0","0","2374","6250"
"tofrodos","","tofrodos","","True","False","True","False","4299","0","98.04","","0.0038","","utils","","4861","4438","4421","4040","3739"
"perl:class-load-xs","","libclass-load-xs-perl","","True","False","True","False","4255","0","98.05","","0.0038","","perl","","3435","3650","4114","5296","4781"
"inotify-tools","rvoicilas/inotify-tools","inotify-tools","","True","False","True","False","4252","0","98.06","","0.0038","","misc","","4131","3966","4056","4439","4672"
"libserialport","","libserialport","","True","False","True","False","4231","0","98.06","","0.0037","","misc","","2874","3394","3891","5045","5951"
"scribus","","scribus","","True","False","True","False","4227","0","98.06","","0.0037","","graphics","","4702","4242","4214","3986","3993"
"debian:parcellite","","parcellite","","True","False","True","False","4216","0","98.07","","0.0037","","","","2190","3942","5111","5732","4107"
"fish","","fish","","True","False","True","False","4215","0","98.07","","0.0037","","shells","","3439","3601","3917","4742","5378"
"qbittorrent","","qbittorrent","","True","False","True","False","4212","0","98.07","","0.0037","","net","","3453","3333","3722","4686","5867"
"libcdaudio","","libcdaudio","","True","False","True","False","4205","0","98.08","","0.0037","","libs","","7075","4831","4092","2734","2294"
"debian:libqjson0","","libqjson0","","True","False","True","False","4200","0","98.09","","0.0037","","","","9674","4656","3787","1770","1113"
"gavl","","gavl","","True","False","True","False","4198","0","98.09","","0.0037","","sound","","78","1740","3132","7356","8687"
"lzma","","lzma","","True","False","True","False","4185","0","98.09","","0.0037","","utils","","5247","4423","4184","3701","3370"
"debian:empathy-common","","empathy-common","","True","False","True","False","4182","0","98.10","","0.0037","","","","7581","5094","4151","2301","1787"
"debian:libkopete4","","libkopete4","","True","False","True","False","4181","0","98.10","","0.0037","","","","9332","4678","3876","1845","1174"
"debian:kopete","","kopete","","True","False","True","False","4167","0","98.10","","0.0037","","","","9291","4662","3865","1844","1175"
"debian:libncursesw5-dev","","libncursesw5-dev","","True","False","True","False","4162","0","98.11","","0.0037","","","","4401","4091","4225","4449","3648"
"hfsplus","","hfsplus","","True","False","True","False","4142","0","98.11","","0.0037","","otherosfs","","4507","4388","4524","4373","2918"
"virt-what","","virt-what","","True","False","True","False","4134","0","98.12","","0.0036","","admin","","3541","3535","3568","4502","5525"
"krdc","","krdc","","True","False","True","False","4132","0","98.12","","0.0036","","misc","","4284","3652","3665","4442","4617"
"readosm","","","readosm","False","True","True","False","0","4131","","99.96","","0.0020","misc","","0","1029","252","6723","8520"
"sdl-sound","","sdl-sound1.2","","True","False","True","False","4129","0","98.13","","0.0036","","libs","","4280","3983","4026","4131","4228"
"kgamma","","kgamma","","True","False","True","False","4125","0","98.13","","0.0036","","misc","","417","258","230","1901","17822"
"libldm","mdbooth/libldm","libldm","","True","False","True","False","4121","0","98.13","","0.0036","","misc","","3684","3684","3861","4562","4818"
"libfilezilla","","libfilezilla","","True","False","True","False","4107","0","98.14","","0.0036","","misc","","50","1206","2659","7618","9004"
"nethogs","raboof/nethogs","nethogs","","True","False","True","False","4107","0","98.14","","0.0036","","net","","3952","3904","4067","4170","4444"
"debian:firefox","","firefox","","True","False","True","False","4102","0","98.14","","0.0036","","","","3927","2892","2922","4881","5888"
"filelight","","filelight","","True","False","True","False","4101","0","98.15","","0.0036","","kde","","4103","3583","3635","4438","4747"
"debian:telepathy-gabble","","telepathy-gabble","","True","False","True","False","4099","0","98.15","","0.0036","","","","7572","4900","3984","2244","1796"
"judy","","judy","","True","False","True","False","4096","0","98.16","","0.0036","","libs","","3881","4065","4048","4128","4361"
"collada-dom","rdiankov/collada-dom","collada-dom","","True","False","True","False","4095","0","98.16","","0.0036","","misc","","2930","3832","4164","4611","4941"
"kwin","","kwin","","True","False","True","False","4094","0","98.17","","0.0036","","misc","","67","63","74","1968","18301"
"kscreenlocker","","kscreenlocker","","True","False","True","False","4090","0","98.17","","0.0036","","misc","","49","48","53","1978","18324"
"libsass","","libsass","","True","False","True","False","4083","0","98.17","","0.0036","","misc","","2129","2768","3290","5782","6449"
"ding-libs","SSSD/ding-libs","ding-libs","","True","False","True","False","4075","0","98.18","","0.0036","","libs","","3547","3616","3874","5063","4275"
"db-defaults","","db-defaults","","True","False","True","False","4073","0","98.18","","0.0036","","libdevel","","3664","3719","3809","4455","4720"
"debian:libgtksourceview2.0-0","","libgtksourceview2.0-0","","True","False","True","False","4065","0","98.18","","0.0036","","","","7850","4755","3847","2201","1672"
"ddcutil","","ddcutil","","True","False","True","False","4061","0","98.19","","0.0036","","misc","","13","21","23","1950","18298"
"libeatmydata","","libeatmydata","","True","False","True","False","4060","0","98.19","","0.0036","","utils","","3870","3865","3934","4256","4379"
"reiserfsprogs","","reiserfsprogs","","True","False","True","False","4055","0","98.19","","0.0036","","admin","","0","0","484","2694","8987"
"libiodbc2","","libiodbc2","","True","False","True","False","4053","0","98.20","","0.0036","","libs","","7450","4625","4012","2360","1818"
"gthumb","","gthumb","","True","False","True","False","4045","0","98.20","","0.0036","","gnome","","4424","4048","4054","3957","3744"
"libresample","minorninth/libresample","libresample","","True","False","True","False","4041","0","98.20","","0.0036","","libs","","4453","4127","3950","3880","3795"
"gv","","gv","","True","False","True","False","4025","0","98.21","","0.0036","","text","","4526","4106","3988","3729","3778"
"debian:libyelp-1-0","","libyelp-1-0","","True","False","True","False","4024","0","98.22","","0.0036","","","","0","0","0","0","4024"
"debian:libgamin0","","libgamin0","","True","False","True","False","4013","0","98.22","","0.0035","","","","5164","4442","4194","3500","2769"
"debian:gamin","","gamin","","True","False","True","False","4013","0","98.22","","0.0035","","","","5164","4441","4194","3500","2769"
"soapysdr","pothosware/SoapySDR","soapysdr","soapysdr","True","True","True","False","931","3838","99.96","99.97","0.0008","0.0019","misc","","241","8194","2144","4835","4594"
"sofia-sip-unclassified","","sofia-sip","","True","False","True","False","3990","0","98.23","","0.0035","","comm","","6492","4612","3982","2712","2156"
"debian:libopenraw1","","libopenraw1","","True","False","True","False","3988","0","98.23","","0.0035","","","","7214","4638","3832","2352","1908"
"libsolv","openSUSE/libsolv","","libsolv","False","True","True","False","0","3968","","99.96","","0.0020","misc","","0","443","2248","6796","6385"
"epiphany-browser","","epiphany-browser","","True","False","True","False","3964","0","98.24","","0.0035","","gnome","","4717","4101","4036","3484","3485"
"debian:libmimic0","","libmimic0","","True","False","True","False","3958","0","98.24","","0.0035","","","","7014","4634","3846","2368","1930"
"debian:libgconf2-4","","libgconf2-4","","True","False","True","False","3951","0","98.24","","0.0035","","","","7090","4538","3782","2378","1971"
"baloo-widgets","","baloo-widgets","","True","False","True","False","3939","0","98.25","","0.0035","","misc","","2","2","2","1355","18336"
"rlottie","Samsung/rlottie","rlottie","","True","False","True","False","3928","0","98.25","","0.0035","","misc","","3062","3437","4133","5536","3475"
"preload","","preload","","True","False","True","False","3901","0","98.26","","0.0034","","misc","","1955","3296","4604","5385","4268"
"libblastrampoline","JuliaLinearAlgebra/libblastrampoline","","libblastrampoline","False","True","True","False","0","3890","","99.96","","0.0019","","","0","0","0","3525","4256"
"ltrace","","ltrace","","True","False","True","False","3883","0","98.27","","0.0034","","utils","","4454","3929","3871","3770","3395"
"debian:python-xapian","","python-xapian","","True","False","True","False","3863","0","98.28","","0.0034","","","","7471","4412","3623","2159","1650"
"kdsoap","","kdsoap","","True","False","True","False","3851","0","98.28","","0.0034","","misc","","13","16","12","15","19201"
"libguestfs","","libguestfs","","True","False","True","False","3847","0","98.29","","0.0034","","libs","","3661","3643","3773","3996","4166"
"debian:libqtassistantclient4","","libqtassistantclient4","","True","False","True","False","3842","0","98.29","","0.0034","","","","8579","4329","3430","1684","1190"
"sleuthkit","","sleuthkit","","True","False","True","False","3809","0","98.29","","0.0034","","admin","","2728","3847","4361","4694","3417"
"debian:libegl1-mesa-drivers","","libegl1-mesa-drivers","","True","False","True","False","3803","0","98.30","","0.0034","","","","6720","4386","3740","2292","1878"
"nextcloud-client","","nextcloud-desktop","","True","False","True","False","3797","0","98.30","","0.0034","","misc","","3786","3896","4086","3972","3249"
"debian:qemu-kvm","","qemu-kvm","","True","False","True","False","3791","0","98.30","","0.0033","","","","8220","4299","3361","1778","1298"
"mpfi","","mpfi","","True","False","True","False","3777","0","98.31","","0.0033","","math","","936","953","944","4354","11698"
"wmctrl","Conservatory/wmctrl","wmctrl","","True","False","True","False","3776","0","98.31","","0.0033","","x11","","3604","3353","3450","4012","4464"
"debian:libsnmp15","","libsnmp15","","True","False","True","False","3760","0","98.32","","0.0033","","","","5886","4351","3746","2602","2216"
"redshift","","redshift","","True","False","True","False","3760","0","98.32","","0.0033","","x11","","4581","3888","3805","3479","3049"
"vpnc","streambinder/vpnc","vpnc","","True","False","True","False","3750","0","98.32","","0.0033","","net","","5101","3955","3791","3090","2816"
"libtorrent-rasterbar","","libtorrent-rasterbar","","True","False","True","False","3740","0","98.33","","0.0033","","libs","","66","1373","3509","7564","6189"
"debian:cpp-4.7","","cpp-4.7","","True","False","True","False","3738","0","98.33","","0.0033","","","","6016","4325","3657","2575","2120"
"debian:empathy","","empathy","","True","False","True","False","3734","0","98.33","","0.0033","","","","6993","4645","3705","1865","1464"
"fastjar","","fastjar","","True","False","True","False","3729","0","98.34","","0.0033","","java","","4975","4115","3652","2955","2950"
"opencl-headers","","khronos-opencl-headers","","True","False","True","False","3728","0","98.34","","0.0033","","libdevel","","3711","3341","3477","3793","4322"
"podofo","","libpodofo","","True","False","True","False","3720","0","98.35","","0.0033","","libdevel","","117","1953","3723","7436","5372"
"memtester","","memtester","","True","False","True","False","3712","0","98.35","","0.0033","","utils","","3302","3567","3813","3978","3903"
"spawn-fcgi","","spawn-fcgi","","True","False","True","False","3704","0","98.36","","0.0033","","web","","4676","3977","3776","3262","2829"
"nss-pam-ldapd","","nss-pam-ldapd","","True","False","True","False","3685","0","98.37","","0.0033","","admin","","3063","3336","3304","4013","4712"
"debian:libheimntlm0-heimdal","","libheimntlm0-heimdal","","True","False","True","False","3678","0","98.37","","0.0032","","","","5127","3986","3742","2941","2595"
"python:coverage","","python-coverage","","True","False","True","False","3678","0","98.37","","0.0032","","python","","1294","2060","2851","5605","6583"
"geeqie","","geeqie","","True","False","True","False","3676","0","98.38","","0.0032","","graphics","","4011","3682","3726","3607","3358"
"conntrack-tools","","conntrack-tools","","True","False","True","False","3673","0","98.38","","0.0032","","misc","","3052","3173","3357","3856","4928"
"pax","","pax","","True","False","True","False","3667","0","98.38","","0.0032","","utils","","4687","3910","3713","3100","2925"
