"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"pkgconf","pkgconf/pkgconf","pkgconf","pkgconf","True","True","True","False","22205","612084","90.51","61.37","0.0196","0.3030","misc","","351","6231","13604","492906","2046273"
"mpg123","","mpg123","mpg123","True","True","True","False","113000","492407","51.05","68.94","0.0997","0.2438","sound","","113496","658701","321905","775703","664826"
"tcltk","","","tcl-tk|tcl-tk@8","False","True","True","False","0","504348","","68.20","","0.2497","","","0","960431","357311","427978","271672"
"libfido2","Yubico/libfido2","libfido2","libfido2","True","True","True","True","150905","428495","34.46","72.52","0.1332","0.2121","misc","","59465","1109515","330628","550354","418547"
"graphviz","","graphviz","graphviz","True","True","True","False","55652","546439","77.65","65.09","0.0491","0.2705","graphics","","41822","971034","314318","578669","558177"
"icu","unicode-org/icu","icu","icu4c@75|icu4c@76|icu4c@77|icu4c@78","True","True","True","True","40372","1587966","82.93","28.58","0.0356","0.7861","libs","","29364","28977","30635","708095","1661675"
"rtmpdump","","rtmpdump","rtmpdump","True","True","True","False","220113","338635","17.52","77.73","0.1942","0.1676","web","","193765","757348","438026","557262","508705"
"mbedtls","Mbed-TLS/mbedtls","mbedtls","mbedtls|mbedtls@2|mbedtls@3","True","True","True","True","15545","591402","93.13","62.85","0.0137","0.2928","misc","","1269","1012663","231220","583090","615091"
"librist","","librist","librist","True","True","True","False","56340","538033","77.55","65.63","0.0497","0.2664","misc","","2889","1080423","215623","605300","529600"
"db","","db5.3","berkeley-db|berkeley-db@4|berkeley-db@5","True","True","True","False","203462","291419","22.01","81.71","0.1795","0.1443","libs","","196043","443583","335576","731028","718637"
"freetds","","freetds","freetds","True","True","True","False","8100","594619","96.35","62.56","0.0071","0.2944","libs","","8775","1241763","277546","483543","407355"
"dbus","","dbus","dbus","True","True","True","False","227606","318864","13.16","78.86","0.2008","0.1579","admin","","203628","453289","349401","631281","775889"
"nvm","nvm-sh/nvm","","nvm","False","True","True","False","0","481434","","69.42","","0.2383","","","0","827523","235816","421318","441082"
"bash","","bash","bash","True","True","True","False","230075","313461","4.87","79.79","0.2030","0.1552","shells","","207302","595287","279813","660530","661288"
"jq","jqlang/jq","jq","jq","True","True","True","True","65417","517103","73.27","67.44","0.0577","0.2560","misc","","22490","641396","305673","663869","762074"
"libbluray","","libbluray","libbluray","True","True","True","False","114590","452628","49.75","70.78","0.1011","0.2241","libs","","92818","1300492","223022","317262","449874"
"folly","facebook/folly","","folly","False","True","True","False","0","474026","","69.65","","0.2347","","","0","927316","243649","432781","292358"
