"package","source","homepage","vcs_browser","section"
"libpurple-dev","pidgin","https://www.pidgin.im","","libdevel"
"libpurple0t64","pidgin","https://www.pidgin.im","","libs"
"libpuzzle-dev","libpuzzle","https://github.com/jedisct1/libpuzzle","","libdevel"
"libpuzzle1","libpuzzle","https://github.com/jedisct1/libpuzzle","","libs"
"libpwizlite-dev","libpwizlite","https://salsa.debian.org/debichem-team/libpwizlite","","libdevel"
"libpwizlite3t64","libpwizlite","https://salsa.debian.org/debichem-team/libpwizlite","","libs"
"libpwquality-common","libpwquality","https://github.com/libpwquality/libpwquality","","libs"
"libpwquality-dev","libpwquality","https://github.com/libpwquality/libpwquality","","libdevel"
"libpwquality1","libpwquality","https://github.com/libpwquality/libpwquality","","libs"
"libpyside2-dev","pyside2","https://wiki.qt.io/Qt_for_Python","","libdevel"
"libpyside2-py3-5.15t64","pyside2","https://wiki.qt.io/Qt_for_Python","","libs"
"libpyside6-dev","pyside6","https://wiki.qt.io/Qt_for_Python","","libdevel"
"libpyside6-py3-6.8","pyside6","https://wiki.qt.io/Qt_for_Python","","libs"
"libpystring-dev","pystring","https://github.com/imageworks/pystring","","libdevel"
"libpystring0","pystring","https://github.com/imageworks/pystring","","libs"
"libpython3.13","python3.13","","","libs"
"libpython3.13-dev","python3.13","","","libdevel"
"libpython3.13-testsuite","python3.13","","","libdevel"
"libpyzy-1.0-0v5","libpyzy","https://github.com/hsumita/libpyzy","","libs"
"libpyzy-dev","libpyzy","https://github.com/hsumita/libpyzy","","libdevel"
"libqaccessibilityclient-qt5-0","libqaccessibilityclient","https://invent.kde.org/libraries/libqaccessibilityclient","","libs"
"libqaccessibilityclient-qt5-dev","libqaccessibilityclient","https://invent.kde.org/libraries/libqaccessibilityclient","","libdevel"
"libqaccessibilityclient-qt6-0","libqaccessibilityclient","https://invent.kde.org/libraries/libqaccessibilityclient","","libs"
"libqaccessibilityclient-qt6-dev","libqaccessibilityclient","https://invent.kde.org/libraries/libqaccessibilityclient","","libdevel"
"libqalculate-data","libqalculate","https://qalculate.github.io/","","libs"
"libqalculate-dev","libqalculate","https://qalculate.github.io/","","libdevel"
"libqalculate20-data","libqalculate","https://qalculate.github.io/","","libs"
