"package","github_repo"
"edge-addition-planarity-suite","graph-algorithms/edge-addition-planarity-suite"
"efibootguard","siemens/efibootguard"
"efivar","rhinstaller/efivar"
"egl-wayland","NVIDIA/egl-wayland"
"eiskaltdcpp","eiskaltdcpp/eiskaltdcpp"
"elinks","rkd77/elinks"
"elogind","elogind/elogind"
"epr-api","bcdev/epr-api"
"erfa","liberfa/erfa"
"erlang-base64url","dvv/base64url"
"erlang-cl","tonyrog/cl"
"erlang-goldrush","DeadZen/goldrush"
"erlang-idna","benoitc/erlang-idna"
"erlang-jose","potatosalad/erlang-jose"
"erlang-lager","erlang-lager/lager"
"erlang-luerl","rvirding/luerl"
"erlang-p1-acme","processone/p1_acme"
"erlang-p1-cache-tab","processone/cache_tab"
"erlang-p1-eimp","processone/eimp"
"erlang-p1-mqtree","processone/mqtree"
"erlang-p1-mysql","processone/p1_mysql"
"erlang-p1-oauth2","processone/p1_oauth2"
"erlang-p1-pam","processone/epam"
"erlang-p1-pgsql","processone/p1_pgsql"
"erlang-p1-pkix","processone/pkix"
"erlang-p1-sip","processone/esip"
"erlang-p1-sqlite3","processone/erlang-sqlite3"
"erlang-p1-stringprep","processone/stringprep"
"erlang-p1-stun","processone/stun"
"erlang-p1-tls","processone/fast_tls"
"erlang-p1-utils","processone/p1_utils"
"erlang-p1-xml","processone/fast_xml"
"erlang-p1-xmpp","processone/xmpp"
"erlang-p1-yaml","processone/fast_yaml"
"erlang-p1-yconf","processone/yconf"
"erlang-p1-zlib","processone/ezlib"
"erlang-redis-client","wooga/eredis"
"erlang-unicode-util-compat","benoitc/unicode_util_compat"
"esekeyd","burghardt/esekeyd"
"espeak-ng","espeak-ng/espeak-ng"
"etsf-io","ElectronicStructureLibrary/libetsf_io"
"evdi","DisplayLink/evdi"
"event-dance","elima/EventDance"
"exifprobe","hfiguiere/exifprobe"
"exodusii","certik/exodus"
"faad2","knik0/faad2"
"fakechroot","dex4er/fakechroot"
"faketime","wolfcw/libfaketime"
"falcosecurity-libs","falcosecurity/libs"
"farmhash","google/farmhash"
"fast-cpp-csv-parser","ben-strasser/fast-cpp-csv-parser"
"fast-float","fastfloat/fast_float"
"fast5","mateidavid/fast5"
"fastcdr","eProsima/Fast-CDR"
"fastdds","eProsima/Fast-DDS"
"fastobj","thisistherk/fast_obj"
"fasttext","facebookresearch/fastText"
"fathom","jdart1/Fathom"
"fatresize","ya-mouse/fatresize"
"faudio","FNA-XNA/FAudio"
"fbpager","fluxbox/fbpager"
"fcitx","fcitx/fcitx"
"fcitx5","fcitx/fcitx5"
"fcitx5-chinese-addons","fcitx/fcitx5-chinese-addons"
"fcitx5-gtk","fcitx/fcitx5-gtk"
"fcitx5-lua","fcitx/fcitx5-lua"
"fcitx5-qt","fcitx/fcitx5-qt"
"fckit","ecmwf/fckit"
"fdb","ecmwf/fdb"
"fdupes","adrianlopezroche/fdupes"
"fenicsx-performance-tests","FEniCS/performance-test"
"fermi-lite","lh3/fermi-lite"
"ffindex","ahcm/ffindex"
"ffmpegthumbnailer","dirkvdb/ffmpegthumbnailer"
"ffms2","FFMS/ffms2"
"fiat-ecmwf","ecmwf-ifs/fiat"
"filament","google/filament"
"finalcut","gansm/finalcut"
"fio","axboe/fio"
"flam3","scottdraves/flam3"
"flex","westes/flex"
"flightcrew","Sigil-Ebook/flightcrew"
