"package","avg_downloads","2021","2022","2023","2024","2025"
"nspr","152824","139954","134868","149473","159728","180100"
"aspell","152665","140276","134128","148596","159843","180484"
"nss","152599","139739","134673","149258","159428","179901"
"gobject-introspection","152520","138497","133273","147990","161230","181610"
"alsa-lib","152239","140429","134011","148685","157953","180121"
"libldap-2.4-2","151473","205783","194959","179342","100162","77122"
"libxcrypt","151303","59827","113595","146204","198363","238530"
"lm-sensors","151289","117597","126849","146629","169714","195656"
"libfido2","150905","59465","113253","145755","197983","238072"
"json-c","150500","58863","112989","145687","197909","237056"
"librsvg","150447","136743","130513","145295","159061","180625"
"libmd","150434","58102","112674","145449","197854","238093"
"libxtst","148777","141258","131669","144460","152531","173970"
"libmaxminddb","148420","66759","113697","143497","190264","227886"
"libssl1.1","148298","179191","181655","174340","113494","92812"
"libpcap","148043","150812","145391","159103","161591","123320"
"binutils","147480","136742","133066","138901","154193","174500"
"libpciaccess","147161","134878","127996","142276","154223","176436"
"libxxf86vm","146991","135488","128439","142524","153584","174922"
"libsodium","146952","110098","117274","137327","170495","199570"
"mesa","145794","133802","127098","141276","152665","174131"
"openjpeg2","145281","128933","124996","140636","155264","176577"
"policykit-1","145186","131522","125500","140331","153827","174751"
"samba","145183","134872","127140","141064","151695","171145"
"libxshmfence","144428","130918","125093","139740","152088","174303"
"dbus-python","142986","126698","123518","138433","152286","173999"
"xft","142936","133952","124592","138046","148622","169468"
"snappy","142621","123124","122181","138452","153696","175654"
"pcsc-lite","141750","129138","123126","137572","148816","170101"
"libxv","140988","129458","122175","136548","147834","168928"
"libnsl","140473","59053","113256","145878","197995","186184"
"libogg","140449","130312","122447","136260","146458","166772"
"lapack","140426","124059","120500","135765","149814","171992"
"libvorbis","140320","130186","122323","136130","146324","166639"
"wayland","139992","122945","120157","135746","149021","172095"
"libidn11","139989","198131","174572","156645","94943","75656"
"libfontenc","139671","127387","118777","133326","148987","169882"
"libuv1","139346","85849","124039","152428","185510","148905"
"net-snmp","139221","126925","121770","135815","146315","165280"
"dconf","139116","126695","120131","134583","146283","167890"
"gpgme1.0","138935","145345","137226","150892","150504","110708"
"libxaw","138437","128968","120644","134321","143914","164338"
"jbig2dec","138172","129192","120611","134104","144124","162829"
"lzo2","137979","119986","117151","131336","148307","173119"
"ijs","137845","128719","120255","133761","143882","162610"
"nftables","137467","44369","96614","130590","187146","228616"
"libsndfile","136410","126257","118449","132296","142549","162503"
"gstreamer1.0","136124","120426","116587","131970","145619","166018"
"opus","135467","122266","116563","131104","143143","164259"
"libapt-pkg6.0","134866","59287","113231","145882","187625","168307"
"libxkbcommon","134555","120578","115334","130120","142142","164602"
"fftw3","134404","122555","117567","132097","139552","160252"
"at-spi2-core","134403","142412","133024","145977","144427","106176"
"libasyncns","134152","123386","115958","129951","140576","160889"
"pulseaudio","134016","123225","115817","129807","140433","160799"
"linux","133723","124909","120607","125937","138859","158307"
"libxt","133437","137610","128689","142941","147573","110375"
"libepoxy","133426","117203","113152","128463","143078","165236"
"libgudev","133326","121854","114978","129135","140096","160569"
"colord","132668","121301","114451","128777","138831","159982"
"ghostscript","132195","113861","116454","130466","140675","159520"
"libunwind","132051","101135","109137","128335","150455","171193"
"glib-networking","131932","121904","116383","130339","136477","154557"
"speex","131857","120462","113691","127838","138482","158813"
"readline","131686","59705","113411","146021","187296","152001"
"libgsm","131671","120354","113512","127679","138314","158500"
"json-glib","131588","120065","115434","129679","136983","155783"
"libde265","131579","99968","100850","119973","154939","182167"
"nettle","131546","59292","113319","145979","187210","151930"
