"package","dependency","type"
"libimager-qrcode-perl","perl","declared"
"libimager-qrcode-perl","perl-imagerapi-5","declared"
"libimager-qrcode-perl","perlapi-5.40.0","declared"
"libimager-qrcode-perl","qrencode","declared"
"ocaml-ladspa","glibc","declared"
"ocaml-ladspa","ladspa-sdk","declared"
"ocaml-ladspa","libladspa-ocaml-gs878","declared"
"ocaml-ladspa","libstdlib-ocaml-dev-m4xw9","declared"
"ocaml-ladspa","libstdlib-ocaml-m4xw9","declared"
"ocaml-ladspa","ocaml-5.3.0","declared"
"ocaml-ladspa","ocaml-base-5.3.0","declared"
"ocaml-ladspa","ocaml-findlib","declared"
"qonk","fonts-dejavu","declared"
"qonk","gcc-14","declared"
"qonk","glibc","declared"
"qonk","libgcc1","declared"
"qonk","sdl-image1.2","declared"
"qonk","sdl-ttf2.0","declared"
"qonk","sdl12-compat","declared"
"qonk","sdlgfx","declared"
"fcitx-qt5","fcitx","declared"
"fcitx-qt5","gcc-14","declared"
"fcitx-qt5","glibc","declared"
"fcitx-qt5","libxkbcommon","declared"
"fcitx-qt5","qt6-base","declared"
"fcitx-qt5","qt6-base-private-abi","declared"
"fcitx-qt5","qtbase-abi-5-15-15","declared"
"fcitx-qt5","qtbase-opensource-src","declared"
"lbfgsb","gcc-14","declared"
"lbfgsb","glibc","declared"
"lbfgsb","lapack","declared"
"qmf","gcc-14","declared"
"qmf","glibc","declared"
"qmf","icu","declared"
"qmf","qtbase-opensource-src","declared"
"ceph","boost1.83","declared"
"ceph","cryptsetup","declared"
"ceph","curl","declared"
"ceph","expat","declared"
"ceph","fmtlib","declared"
"ceph","gcc-14","declared"
"ceph","glibc","declared"
"ceph","icu","declared"
"ceph","librabbitmq","declared"
"ceph","lua5.3","declared"
"ceph","openldap","declared"
"ceph","openssl","declared"
"ceph","rdma-core","declared"
"ceph","sqlite3","declared"
"ceph","systemd","declared"
"ceph","util-linux","declared"
"spew","gcc-14","declared"
"spew","glibc","declared"
"spew","ncurses","declared"
"spew","popt","declared"
"libtermkey","glibc","declared"
"libtermkey","unibilium","declared"
"qemu","fuse3","declared"
"qemu","glib2.0","declared"
"qemu","glibc","declared"
"qemu","gmp","declared"
"qemu","gnutls28","declared"
"qemu","libaio","declared"
"qemu","libselinux","declared"
"qemu","liburing","declared"
"qemu","libzstd","declared"
"qemu","nettle","declared"
"qemu","numactl","declared"
"qemu","qemu-system-arm","declared"
"qemu","qemu-system-mips","declared"
"qemu","qemu-system-misc","declared"
"qemu","qemu-system-ppc","declared"
"qemu","qemu-system-riscv","declared"
"qemu","qemu-system-s390x","declared"
"qemu","qemu-system-sparc","declared"
"qemu","qemu-system-x86","declared"
"qemu","zlib","declared"
"libssh2","glibc","declared"
"libssh2","openssl","declared"
