"package","github_repo"
"boost-histogram","scikit-hep/boost-histogram"
"bootstrap-flask","helloflask/bootstrap-flask"
"boto","boto/boto"
"boto3","boto/boto3"
"boto3-type-annotations","alliefitter/boto3_type_annotations"
"boto3-type-annotations-with-docs","alliefitter/boto3_type_annotations"
"botocore-stubs","youtype/botocore-stubs"
"botorch","meta-pytorch/botorch"
"bottle","bottlepy/bottle"
"bottleneck","pydata/bottleneck"
"boxsdk","box/box-python-sdk"
"bqplot","bqplot/bqplot"
"braceexpand","trendels/braceexpand"
"bravado","yelp/bravado"
"bravado-core","yelp/bravado-core"
"breathe","breathe-doc/breathe"
"brewer2mpl","jiffyclub/palettable"
"brotli","google/brotli"
"brotlicffi","python-hyper/brotlicffi"
"browserstack-local","browserstack/browserstack-local-python"
"bson","py-bson/bson"
"btrees","zopefoundation/btrees"
"build","pypa/build"
"buildkite-test-collector","buildkite/test-collector-python"
"bump2version","c4urself/bump2version"
"bumpversion","peritus/bumpversion"
"business-duration","gnaneshwar441/business_duration"
"business-rules","venmo/business-rules"
"bz2file","nvawda/bz2file"
"c7n","cloud-custodian/cloud-custodian"
"c7n-mailer","cloud-custodian/cloud-custodian"
"c7n-org","cloud-custodian/cloud-custodian"
"cachecontrol","psf/cachecontrol"
"cached-property","pydanny/cached-property"
"cachelib","pallets-eco/cachelib"
"cachetools","tkem/cachetools"
"cachy","sdispater/cachy"
"caio","mosquito/caio"
"cairosvg","kozea/cairosvg"
"camelot-py","camelot-dev/camelot"
"canmatrix","ebroecker/canmatrix"
"cantools","cantools/cantools"
"carto","cartodb/carto-python"
"cartoframes","cartodb/cartoframes"
"cartopy","scitools/cartopy"
"casadi","casadi/casadi"
"case-conversion","alejandrofrias/case-conversion"
"casefy","dmlls/python-casefy"
"cassandra-sigv4","aws/aws-sigv4-auth-cassandra-python-driver-plugin"
"casttube","ur1katz/casttube"
"castxml","castxml/castxml-python-distributions"
"catalyst","catalyst-team/catalyst"
"catt","skorokithakis/catt"
"cattrs","python-attrs/cattrs"
"cbor2","agronholm/cbor2"
"ccard","davidsamir/credit-card-generator"
"cchardet","pyyoshi/cchardet"
"cdifflib","mduggan/cdifflib"
"cdk-nag","cdklabs/cdk-nag"
"celery","celery/celery"
"celery-batches","clokep/celery-batches"
"celery-redbeat","sibson/redbeat"
"celery-types","sbdchd/celery-types"
"cement","datafolklabs/cement"
"censys","censys/censys-python"
"cerberus","pyeve/cerberus"
"cerberus-python-client","nike-inc/cerberus-python-client"
"certifi","certifi/python-certifi"
"certipy","llnl/certipy"
"certvalidator","wbond/certvalidator"
"cffi","python-cffi/cffi"
"cfgv","asottile/cfgv"
"cfn-flip","awslabs/aws-cfn-template-flip"
"cfn-lint","aws-cloudformation/cfn-lint"
"cfscrape","anorov/cloudflare-scrape"
"cgroupspy","cloudsigma/cgroupspy"
"chalice","aws/chalice"
"channels-redis","django/channels_redis"
"chardet","chardet/chardet"
"charset-normalizer","jawah/charset_normalizer"
"check-jsonschema","python-jsonschema/check-jsonschema"
"check-manifest","mgedmin/check-manifest"
"checkdigit","harens/checkdigit"
"checkov","bridgecrewio/checkov"
"chevron","noahmorrison/chevron"
"chex","google-deepmind/chex"
"chia-rs","chia-network/chia_rs"
"chiabip158","chia-network/chiabip158"
"chiapos","chia-network/chiapos"
"chiavdf","chia-network/chiavdf"
"chispa","mrpowers/chispa"
"chroma-hnswlib","chroma-core/hnswlib"
"chromadb","chroma-core/chroma"
"chromedriver-autoinstaller","yeongbin-jo/python-chromedriver-autoinstaller"
"cibuildwheel","pypa/cibuildwheel"
"circuitbreaker","fabfuel/circuitbreaker"
"circus","circus-tent/circus"
"cirq-core","quantumlib/cirq"
"ciscoconfparse","mpenning/ciscoconfparse"
"ciso8601","closeio/ciso8601"
"cityhash","escherba/python-cityhash"
"ckanapi","ckan/ckanapi"
"ckzg","ethereum/c-kzg-4844"
"clang-format","ssciwr/clang-format-wheel"
"clean-fid","gaparmar/clean-fid"
"cleanco","psolin/cleanco"
"clearml","clearml/clearml"
"clearml-agent","clearml/clearml-agent"
"cleo","python-poetry/cleo"
"cli-exit-tools","bitranox/cli_exit_tools"
"cli-helpers","dbcli/cli_helpers"
"click","pallets/click"
"click-completion","click-contrib/click-completion"
"click-configfile","click-contrib/click-configfile"
"click-default-group","click-contrib/click-default-group"
"click-didyoumean","click-contrib/click-didyoumean"
"click-help-colors","click-contrib/click-help-colors"
"click-log","click-contrib/click-log"
"click-man","click-contrib/click-man"
"click-option-group","click-contrib/click-option-group"
"click-plugins","click-contrib/click-plugins"
"click-spinner","click-contrib/click-spinner"
"clickhouse-cityhash","xzkostyan/clickhouse-cityhash"
"clickhouse-connect","clickhouse/clickhouse-connect"
"clickhouse-driver","mymarilyn/clickhouse-driver"
"cligj","mapbox/cligj"
"clikit","sdispater/clikit"
"clipboard","terryyin/clipboard"
"clldutils","clld/clldutils"
"cloud-sql-python-connector","googlecloudplatform/cloud-sql-python-connector"
"cloudant","cloudant/python-cloudant"
"cloudflare","cloudflare/cloudflare-python"
"cloudformation-cli-go-plugin","aws-cloudformation/cloudformation-cli-go-plugin"
"cloudformation-cli-typescript-plugin","aws-cloudformation/cloudformation-cli-typescript-plugin"
"cloudfoundry-client","cloudfoundry-community/cf-python-client"
"cloudinary","cloudinary/pycloudinary"
"cloudml-hypertune","googlecloudplatform/cloudml-hypertune"
"cloudpathlib","drivendataorg/cloudpathlib"
"cloudpickle","cloudpipe/cloudpickle"
"cloudscraper","venomous/cloudscraper"
"cloudsplaining","salesforce/cloudsplaining"
"cloudwatch","labrixdigital/cloudwatch"
"clu","google/commonlooputils"
"clvm","chia-network/clvm"
"clvm-rs","chia-network/clvm_rs"
"cma","cma-es/pycma"
"cmaes","cyberagentailab/cmaes"
"cmake","scikit-build/cmake-python-distributions"
"cmarkgfm","theacodes/cmarkgfm"
"cmdstanpy","stan-dev/cmdstanpy"
"cmudict","prosegrinder/python-cmudict"
"cobble","mwilliamson/python-cobble"
"codecov","codecov/codecov-python"
"codeguru-profiler-agent","aws/amazon-codeguru-profiler-python-agent"
"codeowners","sbdchd/codeowners"
"codespell","codespell-project/codespell"
"codetiming","realpython/codetiming"
"cog","replicate/cog"
"cognitojwt","borisrozumnuk/cognitojwt"
"cohere","cohere-ai/cohere-python"
"coincurve","ofek/coincurve"
"colander","pylons/colander"
"collectfast","antonagestam/collectfast"
"collection","thenerdscribe/collection"
"collections-extended","mlenzen/collections-extended"
"colorama","tartley/colorama"
"colorcet","holoviz/colorcet"
"colorclass","matthewdeanmartin/colorclass"
"colorful","timofurrer/colorful"
"colorhash","dimostenis/color-hash-python"
"colorlog","borntyping/python-colorlog"
"colornamer","stitchfix/colornamer"
"colorzero","waveform80/colorzero"
"colour-runner","meshy/colour-runner"
"colour-science","colour-science/colour"
"comm","ipython/comm"
"commitizen","commitizen-tools/commitizen"
"commonregex","madisonmay/commonregex"
"compressed-rtf","delimitry/compressed_rtf"
"comtypes","enthought/comtypes"
"conan","conan-io/conan"
"concurrent-log-handler","preston-landers/concurrent-log-handler"
"conda","conda/conda"
"conda-pack","conda/conda-pack"
"confection","explosion/confection"
"configargparse","bw2/configargparse"
"configparser","jaraco/configparser"
"configspace","automl/configspace"
"configupdater","pyscaffold/configupdater"
"confluent-kafka","confluentinc/confluent-kafka-python"
"confuse","beetbox/confuse"
"conjure-python-client","palantir/conjure-python-client"
"conllu","emilstenstrom/conllu"
"connectorx","sfu-db/connector-x"
"connexion","spec-first/connexion"
"cons","pythological/python-cons"
"constantly","twisted/constantly"
"construct","construct/construct"
"contextily","geopandas/contextily"
"contextvars","magicstack/contextvars"
"contourpy","contourpy/contourpy"
"contractions","kootenpv/contractions"
"cookiecutter","cookiecutter/cookiecutter"
"cookies","sashahart/cookies"
"coola","durandtibo/coola"
"coolname","alexanderlukanin13/coolname"
"copier","copier-org/copier"
"coralogix-logger","coralogix/python-coralogix-sdk"
"coremltools","apple/coremltools"
"coreschema","core-api/python-coreschema"
"couchbase","couchbase/couchbase-python-client"
"couchdb","djc/couchdb-python"
"country-converter","indecol/country_converter"
"courlan","adbar/courlan"
"coverage","coveragepy/coveragepy"
"coverage-badge","dbrgn/coverage-badge"
"coveralls","thekevjames/coveralls-python"
"covid","nf1s/covid"
"cpplint","cpplint/cpplint"
"cppy","nucleic/cppy"
"cpuset-py3","parttimenerd/cpuset"
"crccheck","martinscharrer/crccheck"
"credstash","fugue/credstash"
"crhelper","aws-cloudformation/custom-resource-helper"
"crispy-bootstrap5","django-crispy-forms/crispy-bootstrap5"
"crochet","itamarst/crochet"
"cron-converter","sonic0/cron-converter"
"cron-descriptor","salamek/cron-descriptor"
"cronex","ericpruitt/cronex"
"crontab","josiahcarlson/parse-crontab"
"crowdstrike-falconpy","crowdstrike/falconpy"
"cryptg","cher-nov/cryptg"
"cryptography","pyca/cryptography"
"csscompressor","sprymix/csscompressor"
"cssselect","scrapy/cssselect"
"cssselect2","kozea/cssselect2"
"cssutils","jaraco/cssutils"
"csvkit","wireservice/csvkit"
"csvw","cldf/csvw"
"ctranslate2","opennmt/ctranslate2"
"cuda-bindings","nvidia/cuda-python"
"cuda-pathfinder","nvidia/cuda-python"
"cuda-python","nvidia/cuda-python"
"cufflinks","santosjorge/cufflinks"
"cupy-cuda11x","cupy/cupy"
"cupy-cuda12x","cupy/cupy"
"cupy-cuda90","cupy/cupy"
"curatorbin","evergreen-ci/curatorbin"
"curl-cffi","lexiforest/curl_cffi"
"curlify","ofw/curlify"
"currencyconverter","alexprengere/currencyconverter"
"cursor","gijstimmers/cursor"
"curtsies","bpython/curtsies"
"cvdupdate","cisco-talos/cvdupdate"
"cvxopt","cvxopt/cvxopt"
"cvxpy","cvxpy/cvxpy"
"cwcwidth","sebastinas/cwcwidth"
"cx-freeze","marcelotduarte/cx_freeze"
"cx-oracle","oracle/python-cx_oracle"
"cxxfilt","afq984/python-cxxfilt"
"cycler","matplotlib/cycler"
"cyclonedx-python-lib","cyclonedx/cyclonedx-python-lib"
"cyksuid","timonwong/cyksuid"
"cymem","explosion/cymem"
"cython","cython/cython"
"cytoolz","pytoolz/cytoolz"
"daal","uxlfoundation/onedal"
"dacite","konradhalas/dacite"
"daff","paulfitz/daff"
"dag-factory","astronomer/dag-factory"
"daphne","django/daphne"
"darkdetect","albertosottile/darkdetect"
"dartsclone","rixwew/darts-clone-python"
"dash","plotly/dash"
"dash-bootstrap-components","dbc-team/dash-bootstrap-components"
"dash-core-components","plotly/dash"
"dash-daq","plotly/dash-daq"
"dash-html-components","plotly/dash-html-components"
"dash-table","plotly/dash"
"dask","dask/dask"
"dask-core","dask/dask"
"dask-glm","dask/dask-glm"
"dask-ml","dask/dask-ml"
"databind","niklasrosenstein/python-databind"
"databricks-api","crflynn/databricks-api"
"databricks-cli","databricks/databricks-cli"
"databricks-sql-connector","databricks/databricks-sql-python"
"dataclasses","ericvsmith/dataclasses"
"dataclasses-json","lidatong/dataclasses-json"
"dataclasses-json-speakeasy","lidatong/dataclasses-json"
"datacompy","capitalone/datacompy"
"datadispatch","pb-/datadispatch"
"datadog","datadog/datadogpy"
"datadog-api-client","datadog/datadog-api-client-python"
"datalab","googledatalab/pydatalab"
"datamodel-code-generator","koxudaxi/datamodel-code-generator"
"dataproperty","thombashi/dataproperty"
"dataset","pudo/dataset"
"datasets","huggingface/datasets"
"datasketch","ekzhu/datasketch"
"datefinder","akoumjian/datefinder"
"dateformat","stestagg/dateformat"
"dateparser","scrapinghub/dateparser"
"datetime","zopefoundation/datetime"
"datetime-distance","dedupeio/datetime-distance"
"datetime-truncate","mediapop/datetime_truncate"
"datetimerange","thombashi/datetimerange"
"dateutils","jmcantrell/python-dateutils"
"db","lgastako/db"
"db-dtypes","googleapis/python-db-dtypes-pandas"
"dbapi-opentracing","opentracing-contrib/python-dbapi"
"dbl-tempo","databrickslabs/tempo"
"dbnd","databand-ai/dbnd"
"dbnd-spark","databand-ai/dbnd"
"dbt-adapters","dbt-labs/dbt-adapters"
"dbt-athena","dbt-labs/dbt-adapters"
"dbt-athena-community","dbt-labs/dbt-adapters"
"dbt-bigquery","dbt-labs/dbt-adapters"
"dbt-common","dbt-labs/dbt-common"
"dbt-core","dbt-labs/dbt-core"
"dbt-databricks","databricks/dbt-databricks"
"dbt-postgres","dbt-labs/dbt-adapters"
"dbt-redshift","dbt-labs/dbt-adapters"
"dbt-snowflake","dbt-labs/dbt-adapters"
"dbt-spark","dbt-labs/dbt-adapters"
"dbus-fast","bluetooth-devices/dbus-fast"
"dbutils","webwareforpython/dbutils"
"dbutils-typehint","cdeler/dbutils_typehint"
"ddlparse","shinichi-takii/ddlparse"
"ddsketch","datadog/sketches-py"
"ddt","datadriventests/ddt"
"ddtrace","datadog/dd-trace-py"
"debugpy","microsoft/debugpy"
"decopatch","smarie/python-decopatch"
"decord","dmlc/decord"
"dedupe","dedupeio/dedupe"
"deepdiff","seperman/deepdiff"
"deepdiff6","seperman/deepdiff"
"deepl","deeplcom/deepl-python"
"deepspeed","deepspeedai/deepspeed"
"defusedxml","tiran/defusedxml"
"delocate","matthew-brett/delocate"
"delorean","myusuf3/delorean"
"delta","rlgomes/delta"
"delta-spark","delta-io/delta"
"deltalake","delta-io/delta-rs"
"deprecat","mjhajharia/deprecat"
"deprecated","laurent-laporte-pro/deprecated"
"deprecation","briancurtin/deprecation"
"device-detector","thinkwelltwd/device_detector"
"devtools","samuelcolvin/python-devtools"
"df2gspread","maybelinot/df2gspread"
"dgl","dmlc/dgl"
"diagrams","mingrammer/diagrams"
"dict2xml","delfick/python-dict2xml"
"dictdiffer","inveniosoftware/dictdiffer"
"diffusers","huggingface/diffusers"
"dill","uqfoundation/dill"
"dimod","dwavesystems/dimod"
"dirac","diracgrid/dirac"
"dirtyjson","codecobblers/dirtyjson"
"discord-ext-slash","kenny2github/discord-ext-slash"
"discord-webhook","lovvskillz/python-discord-webhook"
"discordutils","toxicrecker/discordutils"
"diskcache","grantjenks/python-diskcache"
"distance","doukremt/distance"
"distlib","pypa/distlib"
"distrax","google-deepmind/distrax"
"distributed","dask/distributed"
"distro","python-distro/distro"
"dj-rest-auth","imerica/dj-rest-auth"
"django","django/django"
"django-admin-autocomplete-filter","farhan0581/django-admin-autocomplete-filter"
"django-admin-list-filter-dropdown","mrts/django-admin-list-filter-dropdown"
"django-admin-rangefilter","silentsokolov/django-admin-rangefilter"
"django-admin-sortable2","jrief/django-admin-sortable2"
"django-allow-cidr","mozmeao/django-allow-cidr"
"django-annoying","skorokithakis/django-annoying"
"django-anymail","anymail/django-anymail"
"django-appconf","django-compressor/django-appconf"
"django-auditlog","jazzband/django-auditlog"
"django-auth-ldap","django-auth-ldap/django-auth-ldap"
"django-autocomplete-light","yourlabs/django-autocomplete-light"
"django-autoslug","justinmayer/django-autoslug"
"django-axes","jazzband/django-axes"
"django-better-admin-arrayfield","gradam/django-better-admin-arrayfield"
"django-bootstrap3","zostera/django-bootstrap3"
"django-bootstrap4","zostera/django-bootstrap4"
"django-bulk-update","aykut/django-bulk-update"
"django-cacheops","suor/django-cacheops"
"django-celery-beat","celery/django-celery-beat"
"django-celery-results","celery/django-celery-results"
"django-ckeditor","django-ckeditor/django-ckeditor"
"django-classy-tags","django-cms/django-classy-tags"
"django-cleanup","un1t/django-cleanup"
"django-colorfield","fabiocaccamo/django-colorfield"
"django-colorful","charettes/django-colorful"
"django-compat","arteria/django-compat"
"django-compressor","django-compressor/django-compressor"
"django-configurations","jazzband/django-configurations"
"django-constance","jazzband/django-constance"
"django-cors-headers","adamchainz/django-cors-headers"
"django-countries","smileychris/django-countries"
"django-crispy-forms","django-crispy-forms/django-crispy-forms"
"django-crum","ninemoreminutes/django-crum"
"django-cryptography","georgemarshall/django-cryptography"
"django-csp","mozilla/django-csp"
"django-debug-toolbar","django-commons/django-debug-toolbar"
"django-deprecate-fields","3yourmind/django-deprecate-fields"
"django-dirtyfields","romgar/django-dirtyfields"
"django-dotenv","jpadilla/django-dotenv"
"django-enumfields","hzdg/django-enumfields"
"django-environ","joke2k/django-environ"
"django-extensions","django-extensions/django-extensions"
"django-filter","carltongibson/django-filter"
"django-graphql-jwt","flavors/django-graphql-jwt"
"django-grappelli","sehmaschine/django-grappelli"
"django-guardian","django-guardian/django-guardian"
"django-haystack","django-haystack/django-haystack"
"django-health-check","codingjoe/django-health-check"
"django-heroku","heroku/django-heroku"
"django-hosts","jazzband/django-hosts"
"django-imagekit","matthewwithanm/django-imagekit"
"django-import-export","django-import-export/django-import-export"
"django-ipware","un33k/django-ipware"
"django-json-widget","jmrivas86/django-json-widget"
"django-jsonfield","adamchainz/django-jsonfield"
"django-localflavor","django/django-localflavor"
"django-log-request-id","dabapps/django-log-request-id"
"django-mathfilters","dbrgn/django-mathfilters"
"django-migration-linter","3yourmind/django-migration-linter"
"django-model-utils","jazzband/django-model-utils"
"django-modelcluster","wagtail/django-modelcluster"
"django-modeltranslation","deschler/django-modeltranslation"
