"package","avg_downloads","2020","2021","2022","2023","2024"
"kiwisolver",351070207,116566606,243807651,308145738,382540740,704290300
"httplib2",350368284,142423805,255185070,402589681,383870688,567772176
"sqlparse",347175264,90763569,211670005,310228879,410605939,712607927
"google-auth-oauthlib",341778956,117799491,179945461,328718093,447062245,635369490
"azure-common",335702777,120191627,281445514,392776276,412434553,471665917
"py4j",329735448,87489514,171945326,326838140,382410947,679993311
"gunicorn",328386728,110122601,245735328,295498927,356342448,634234337
"prompt-toolkit",325972231,141698242,231640030,247191298,357646652,651684931
"cycler",325889105,103682723,220251680,280473989,353570641,671466490
"python-dotenv",325353464,39354192,110038672,213313685,362953871,901106900
"cloudpickle",323307319,71632166,199192679,306959193,357722948,681029608
"dill",320633750,71918557,108941569,220783145,365855097,835670381
"uritemplate",319745249,158300230,283539167,292389125,331541815,532955908
"mccabe",319699077,130947489,211815949,277036181,353766932,624928832
"pycodestyle",319218195,123576161,194655428,297557402,371695281,608606703
"cython",318941141,101507856,216074906,310055080,401783911,565283953
"tzlocal",317325378,91452687,177671048,276500178,453928990,587073985
"pymysql",317020187,69726213,137045125,328338464,484997182,564993952
"portalocker",314950217,33740066,136146672,281617448,409955584,713291316
"redis",311997285,150585280,192047558,300094195,357629377,559630013
"google-crc32c",310137090,55216513,200136473,272557968,348731852,674042642
"sortedcontainers",307621182,78904294,149244158,192224451,281982965,835750044
"snowflake-connector-python",305582025,41420641,105382396,230308723,423162796,727635570
"networkx",303894217,75199869,176079225,223750507,329665042,714776444
"keyring",300512308,32666381,93192681,264125318,363736354,748840806
"ipython",299362420,137187329,241436872,220959844,314482820,582745236
"google-auth-httplib2",297596680,139089317,265915083,247278809,318587416,517112774
"ruamel-yaml",297410385,57842288,144853593,205515614,359970838,718869590
"alembic",296522661,70102306,182087943,245144648,331159963,654118445
"httpx",296093548,37813112,84086648,114604656,245239656,998723670
"poetry-core",293812457,3811218,41955110,130712985,377096512,915486461
"isort",291731744,97240295,185925329,259648996,324258501,591585601
"tornado",291487593,148307546,223829467,224709983,332594762,527996205
"defusedxml",290381471,149087580,257859303,222093437,269923287,552943747
"dnspython",288853888,99059569,154836406,206906464,361626486,621840516
"traitlets",288757502,131452673,207689987,217838018,327964515,558842316
"annotated-types",288229388,0,0,17360,190058930,1251070652
"msal-extensions",286388292,23155770,125309034,261826094,358673148,662977415
"webencodings",285820710,136820490,250000306,272597302,318455401,451230053
"threadpoolctl",284670311,37823174,144481643,211072214,331197804,698776720
"azure-identity",283675223,19502748,125471766,233368588,360094383,679938628
"httpcore",280897333,15547493,83187950,115115340,251577468,939058412
"termcolor",280512298,89767272,132226973,267315477,335141040,578110729
"pytest-cov",278842859,73077236,126299795,174201731,320526239,700109293
"prometheus-client",276550073,139900780,273125271,233004936,263267272,473452108
"mako",275598798,71487464,207415054,259650524,322586216,516854731
"backoff",274055404,20346000,43298253,163663836,367075891,775893041
"xmltodict",272812671,61220834,130066144,213263266,322841495,636671618
"markdown",268586147,97510602,158591400,243400064,334339375,509089292
"rpds-py",267339783,0,0,0,287294918,1049403998
"marshmallow",265359816,51269193,106206071,215290866,303809043,650223908
"pycryptodomex",262494508,62781703,131663982,288964173,377199303,451863378
"nest-asyncio",261145629,37900052,172040304,194697279,321416703,579673808
"secretstorage",259167368,37305894,126518036,215373807,272308024,644331079
"babel",258384193,102731953,176422494,185288007,268276654,559201858
"jeepney",257060275,35830855,126121006,211164382,270640841,641544291
"jedi",255764080,94933851,197474802,194223911,287761725,504426113
"referencing",253387342,0,0,7567,276043744,990885401
"ruamel-yaml-clib",253108401,49828010,134794764,187627177,308680804,584611251
"pkginfo",252422168,30903320,103384882,206968169,259680216,661174252
"jsonschema-specifications",251320292,0,0,1418,272650446,983949596
"markdown-it-py",246973129,350380,3340249,31563352,308297319,891314344
"grpcio-tools",246279445,22399624,53078382,66321981,356370630,733226610
"pyzmq",244333435,116662511,190249908,167546271,266474834,480733653
"parso",237987033,94824434,197777300,188952557,239132854,469248021
"pyspark",233761262,73136444,144947783,276107743,310074764,364539574
"absl-py",233038694,125077838,235647217,235631423,264237940,304599053
"pyflakes",231226246,96026993,144337863,204871924,274485426,436409022
"fonttools",229684828,3715487,22933042,171874156,324575345,625326108
"scramp",227415836,7590759,79283600,218251259,338097039,493856524
"black",227144393,41655592,91011812,177749946,288693834,536610783
"pymongo",226201195,82007188,154118965,249698769,256687186,388493869
"shellingham",224873527,14144567,37130738,100246792,250567617,722277921
"setuptools-scm",224821026,98914903,158712191,201893546,233387068,431197422
"datadog",223015786,64308589,112379643,236250382,261367498,440772819
"flake8",222893063,91880117,138537680,203195238,275009109,405843171
"argcomplete",222816254,38053572,117235324,169569985,248845680,540376710
"awswrangler",221621825,2449010,33285255,147209722,334795326,590369814
"adal",221284813,79633235,180330483,266253997,276006573,304199779
"ply",220949785,38254938,50191834,203238414,305524679,507539058
"mdurl",216100724,0,70831,26556481,245272022,808604287
"jaraco-classes",215620524,2191439,3489712,78853612,318135076,675432783
"blinker",214464468,23070560,55702454,79718541,241935880,671894907
