"rank","package","pagerank","pagerank_dl","avg_downloads","in_top_list"
"8222","huaweicloudsdkcore","6.297687158404585e-05","2.6511614841487214e-06","1489478","True"
"8223","blspy","6.297687158404585e-05","2.648372339196153e-06","1487911","True"
"8224","affinegap","6.297687158404585e-05","2.645896461321857e-06","1486520","True"
"8225","meilisearch","6.297687158404585e-05","2.6458893416155326e-06","1486516","True"
"8226","apify-shared","6.297687158404585e-05","2.6449068221427706e-06","1485964","True"
"8227","aiohttp-session","6.297687158404585e-05","2.6435309388955882e-06","1485191","True"
"8228","html-sanitizer","6.297687158404585e-05","2.643465081612088e-06","1485154","True"
"8229","groundingdino-py","6.297687158404585e-05","2.641208134707266e-06","1483886","True"
"8230","dedupe-variable-datetime","6.297687158404585e-05","2.641208134707266e-06","1483886","True"
"8231","datasette","6.297687158404585e-05","2.6408058712999394e-06","1483660","True"
"8232","types-babel","6.297687158404585e-05","2.640412507525519e-06","1483439","True"
"8233","lookml","6.297687158404585e-05","2.639428208126176e-06","1482886","True"
"8234","model-mommy","6.297687158404585e-05","2.6377942355247356e-06","1481968","True"
"8235","saspy","6.297687158404585e-05","2.6368508744367577e-06","1481438","True"
"8236","mypy-boto3-application-signals","6.297687158404585e-05","2.6367654379608655e-06","1481390","True"
"8237","oslo-policy","6.297687158404585e-05","2.636265278591579e-06","1481109","True"
"8238","types-docker","6.297687158404585e-05","2.635978710412024e-06","1480948","True"
"8239","opencensus-correlation","6.297687158404585e-05","2.633298140980902e-06","1479442","True"
"8240","supermercado","6.297687158404585e-05","2.633184225679713e-06","1479378","True"
"8241","puccinialin","6.297687158404585e-05","2.6321180496576397e-06","1478779","True"
"8242","smartlingapisdk","6.297687158404585e-05","2.6305534941928613e-06","1477900","True"
"8243","graphemeu","6.297687158404585e-05","2.6292310087431117e-06","1477157","True"
"8244","tree-sitter-json","6.297687158404585e-05","2.6279085232933618e-06","1476414","True"
"8245","kestra","6.297687158404585e-05","2.627712731369442e-06","1476304","True"
"8246","semchunk","6.297687158404585e-05","2.6246743966955215e-06","1474597","True"
"8247","hfutils","6.297687158404585e-05","2.623531683830462e-06","1473955","True"
"8248","jupyterhub-kubespawner","6.297687158404585e-05","2.619081867377737e-06","1471455","True"
"8249","pycnite","6.297687158404585e-05","2.6190213498739797e-06","1471421","True"
"8250","zope-sequencesort","6.297687158404585e-05","2.618298699682057e-06","1471015","True"
