"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"huggingface-hub","huggingface/huggingface_hub","390325777","13171966","59888549","175224675","463772380","1239571313","True","0.00103515","B"
"tabulate","astanin/python-tabulate","666732599","280202153","466380678","572194824","817548408","1197336930","True","0.0010252","B"
"marshmallow","marshmallow-code/marshmallow","440049511","105861169","214564392","300472447","640727877","938621672","True","0.00101723","B"
"pexpect","pexpect/pexpect","654085120","250681891","294136483","424073029","936428507","1365105690","True","0.00100911","B"
"dnspython","rthalley/dnspython","506368199","154666087","206543854","358423795","609721173","1202486085","True","0.00100543","B"
"poetry-core","python-poetry/poetry-core","586674986","41915323","130538053","376885517","913820883","1470215156","True","0.00100418","B"
"psycopg2-binary","psycopg/psycopg2","687046645","196319076","379081733","525947546","851082287","1482802582","True","0.0009949","B"
"threadpoolctl","joblib/threadpoolctl","523216639","144429007","210884844","327715926","691373959","1241679460","True","0.00099333","B"
"aiohappyeyeballs","aio-libs/aiohappyeyeballs","469793997","0","0","19621","439421881","1909528484","True","0.0009922","B"
"gitpython","gitpython-developers/gitpython","665236910","233249610","333733235","489332101","886849558","1383020045","True","0.00097452","B"
"google-auth-oauthlib","","529468547","179886098","328597460","445042278","631687756","1062129141","True","0.00097381","B"
"tornado","tornadoweb/tornado","419595258","223244457","224056233","328168653","517837813","804669136","True","0.0009714","B"
"aioitertools","","272911158","56501225","150970284","205086372","355209953","596787956","True","0.0009409","B"
"shellingham","sarugaku/shellingham","531784701","37102344","100111239","250447988","718823880","1552438053","True","0.00093814","B"
"certbot-dns-cloudflare","","655592397","205379","322790","1129970","10936166","3265367680","True","0.00093771","B"
"ruamel-yaml-clib","","418902182","134575880","187247414","305360898","569546583","897780135","True","0.00092493","B"
"py","","529992142","379634447","511001192","407783773","687779886","663761413","True","0.0009182","B"
"rapidfuzz","rapidfuzz/rapidfuzz","393155138","3457634","23803996","228181381","616803812","1093528869","True","0.00091062","B"
"prompt-toolkit","prompt-toolkit/python-prompt-toolkit","512712900","231427653","246808990","353090031","637898691","1094339136","True","0.00090775","B"
"starlette","kludex/starlette","489439640","37508703","106737404","205660219","485131349","1612160525","True","0.00090417","B"
"azure-storage-blob","","577804759","336804026","451521068","484416661","689984744","926297294","True","0.00090024","B"
"google-api-python-client","googleapis/google-api-python-client","605347729","329851079","351967331","515126221","607268176","1222525839","True","0.00088771","B"
"cloudpickle","cloudpipe/cloudpickle","568620338","199106008","306844344","350865972","665172490","1321112874","True","0.00088599","B"
"blinker","pallets-eco/blinker","434373537","55672692","79639469","238262350","659799469","1138493707","True","0.00087986","B"
"google-cloud-bigquery","googleapis/python-bigquery","577259562","186716252","593181536","426433458","618344075","1061622487","True","0.00087658","B"
"distro","python-distro/distro","382229904","103377973","112746348","134141003","515666242","1045217953","True","0.0008756","B"
"kiwisolver","nucleic/kiwi","536991818","243612862","307528369","376461338","691510264","1065846256","True","0.00087127","B"
"trove-classifiers","pypa/trove-classifiers","547621932","252583","4221283","228471686","700728822","1804435286","True","0.00087088","B"
"keyring","jaraco/keyring","540673102","92964451","263644860","360730197","737844007","1248181993","True","0.00086741","B"
"networkx","networkx/networkx","540769922","175870397","222264114","325900178","702411700","1277403222","True","0.00086478","B"
"jsonpointer","stefankoegl/python-json-pointer","333010331","53978629","117010462","224368155","452258793","817435616","True","0.0008602","B"
"uritemplate","python-hyper/uritemplate","483052876","283504589","292280365","329782450","526386942","983310036","True","0.00085203","B"
"grpc-google-iam-v1","","328226567","53734841","141004588","189080556","429472840","827840011","True","0.00083121","B"
"azure-identity","","533951976","125425149","233287953","343718875","636468729","1330859176","True","0.00082322","B"
"defusedxml","tiran/defusedxml","461419057","257759869","221796340","267496075","543625178","1016417821","True","0.00082308","B"
"pycodestyle","","444560109","194427706","296916692","367195459","600635672","763625018","True","0.00082127","B"
"cycler","matplotlib/cycler","499628787","220208055","280303432","348282324","659537104","989813018","True","0.00081783","B"
"toml","uiri/toml","527099963","423965588","451499334","387493409","543870015","828671470","True","0.00081759","B"
"django","django/django","169367293","85551213","97622012","133834842","221840992","307987405","True","0.00081567","B"
"msal-extensions","","466710206","125291904","261781218","346718323","628320525","971439061","True","0.00081384","B"
"google-auth-httplib2","","458242711","265898363","247223001","317343684","511654786","949093722","True","0.00081312","B"
"mccabe","pycqa/mccabe","439256437","211634266","276401695","345847060","607710556","754688610","True","0.00081304","C"
"jupyter-core","jupyter/jupyter_core","295025412","160562858","140592694","232793350","376246379","564931779","True","0.0008098","C"
"tzlocal","","481398468","177528257","276260215","450797110","579673980","922732778","True","0.0007962","C"
"future","pythoncharmers/python-future","459697066","357532270","401772651","397494491","498377713","643308206","True","0.00078772","C"
"pyzmq","zeromq/pyzmq","441640640","189281214","166418077","261867206","470484655","1120152049","True","0.00078339","C"
"backoff","litl/backoff","490070095","43262792","163591686","366330433","770782705","1106382859","True","0.00078002","C"
"mako","","419254317","206860200","258647781","320048330","507940866","802774409","True","0.00077791","C"
