"package","github_repo"
"nginx:http-dav-ext","arut/nginx-dav-ext-module"
"nginx:http-echo","agentzh/echo-nginx-module"
"nginx:http-fancyindex","aperezdc/ngx-fancyindex"
"nginx:http-geoip2","leev/ngx_http_geoip2_module"
"nginx:http-headers-more-filter","openresty/headers-more-nginx-module"
"nginx:http-lua","openresty/lua-nginx-module"
"nginx:http-ndk","simpl/ngx_devel_kit"
"nginx:http-subs-filter","yaoweibin/ngx_http_substitutions_filter_module"
"nginx:http-uploadprogress","masterzen/nginx-upload-progress-module"
"nginx:http-upstream-fair","gnosek/nginx-upstream-fair"
"nginx:nchan","slact/nchan"
"ngtcp2","ngtcp2/ngtcp2"
"ninja","ninja-build/ninja"
"nlohmann-json","nlohmann/json"
"node-build","nodenv/node-build"
"node:undici","nodejs/llhttp"
"ntfs-3g","tuxera/ntfs-3g"
"numactl","numactl/numactl"
"nvm","nvm-sh/nvm"
"ocl-icd","OCL-dev/ocl-icd"
"onednn","oneapi-src/oneDNN"
"onetbb","uxlfoundation/oneTBB"
"onigmo","k-takata/Onigmo"
"oniguruma","kkos/oniguruma"
"onnx","onnx/onnx"
"onnxruntime","microsoft/onnxruntime"
"opa-psm2","01org/opa-psm2"
"openal-soft","kcat/openal-soft"
"openblas","OpenMathLib/OpenBLAS"
"opencl-clhpp","KhronosGroup/OpenCL-CLHPP"
"opencv","opencv/opencv"
"openexr","AcademySoftwareFoundation/openexr"
"openfec","roc-streaming/openfec"
"openjdk","openjdk/jdk25u"
"openjpeg","uclouvain/openjpeg"
"openjph","aous72/OpenJPH"
"openpgm","steve-o/openpgm"
"opensc","OpenSC/OpenSC"
"openslide","openslide/openslide"
"openssl","openssl/openssl"
"openvino","openvinotoolkit/openvino"
"openxr","KhronosGroup/OpenXR-SDK-Source"
"ostree","ostreedev/ostree"
"p11-kit","p11-glue/p11-kit"
"p7zip","p7zip-project/p7zip"
"pam","linux-pam/linux-pam"
"pcaudiolib","espeak-ng/pcaudiolib"
