"package","github_repo","git","eco_guess","llm_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","license"
"libunistring","","https://git.jff.email/cgit/libunistring.git","git","","20077","1618694","1646601","0.00768014","B","gpl-2.0-only or lgpl-3.0-or-later"
"glib","gnome/glib","https://github.com/gnome/glib.git","","git,github","216841","3003625","3305033","0.00727768","B","lgpl-2.1-or-later"
"mpfr","","","","","156814","638726","856697","0.00710504","B","lgpl-3.0-or-later"
"tcp-wrappers","","https://salsa.debian.org/md/tcp-wrappers.git","git","","229025","0","318344","0.00695139","B",""
"lz4","lz4/lz4","https://github.com/lz4/lz4.git","","","212800","1828779","2124571","0.00666159","B","bsd-2-clause"
"ca-certificates","opensuse/ca-certificates","https://salsa.debian.org/debian/ca-certificates.git","","git","0","4731609","4731609","0.00598409","B","mpl-2.0"
"boehm-gc","bdwgc/bdwgc","https://github.com/bdwgc/bdwgc.git","","","85435","541194","659948","0.00547350","B",""
"isl","","","","","114600","583165","742459","0.00544251","B","mit"
"gnumpc","","","","","164699","435028","663959","0.00538467","B",""
"binutils","bminor/binutils-gdb","https://github.com/bminor/binutils-gdb.git","","","147480","306369","511366","0.00531574","B","gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.0-or-later and lgpl-3.0-only"
"libx11","","https://salsa.debian.org/xorg-team/lib/libx11.git","git","","227797","1837738","2154375","0.00478150","B","mit"
"readline","","","","","131686","2631392","2814435","0.00443906","B","gpl-3.0-or-later"
"python","10der/homeassistant-custom_components-awtrix","https://github.com/python/cpython.git","","git,github","35815","2224521","2274303","0.00425013","B",""
"libpng","pnggroup/libpng","https://github.com/pnggroup/libpng.git","","","192792","1910764","2178744","0.00417009","B","libpng-2.0"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo","https://github.com/libjpeg-turbo/libjpeg-turbo.git","","","189260","1803821","2066892","0.00416219","B",""
"xorgproto","freedesktop/xorg-xorgproto","https://github.com/freedesktop/xorg-xorgproto.git","","git,github","0","1206438","1206438","0.00400319","B","mit"
"sqlite","sqlite/sqlite","https://github.com/sqlite/sqlite.git","","git,github","229489","3691987","4010976","0.00387104","B","blessing"
"ncurses","thomasdickey/ncurses-snapshots","https://github.com/mirror/ncurses.git","","git,github","230113","964676","1284533","0.00373939","B","x11-distribute-modifications-variant"
"pkgconf","pkgconf/pkgconf","https://github.com/pkgconf/pkgconf.git","","","22205","612084","642948","0.00372675","B","isc"
"xxhash","Cyan4973/xxHash","https://github.com/cyan4973/xxhash.git","","","154762","120135","335254","0.00316393","B","bsd-2-clause and gpl-2.0-or-later"
"pcre","PCRE2Project/pcre2","https://github.com/pcre2project/pcre2.git","","","0","2306580","2306580","0.00301695","B","bsd-3-clause"
"tiff","","","","","72450","1648669","1749374","0.00295302","B",""
"freetype","freetype/freetype","https://github.com/freetype/freetype.git","","git,github","229438","1502390","1821308","0.00265563","B","ftl"
"harfbuzz","harfbuzz/harfbuzz","https://github.com/harfbuzz/harfbuzz.git","","","165196","2501400","2731022","0.00258381","B","mit"
"m4","autotools-mirror/m4","https://github.com/autotools-mirror/m4.git","","git,github","77602","926897","1034763","0.00248499","B","gpl-3.0-or-later"
"icu","unicode-org/icu","https://github.com/unicode-org/icu.git","","","40372","1587966","1644083","0.00248467","B",""
"nghttp2","nghttp2/nghttp2","https://github.com/nghttp2/nghttp2.git","","","210664","2517924","2810746","0.00244938","B","mit"
"libselinux","selinuxproject/selinux","https://github.com/selinuxproject/selinux.git","","git,github","230109","0","319851","0.00240876","B",""
"libxau","","https://salsa.debian.org/xorg-team/lib/libxau.git","git","","227983","1129290","1446186","0.00233453","B","mit"
"libxcb","gitlab-freedesktop-mirrors/libxcb","https://github.com/gitlab-freedesktop-mirrors/libxcb.git","","git,github","227837","1227499","1544192","0.00229149","B","mit"
"nodejs","nodejs/node","https://github.com/nodejs/node.git","","","32670","2773602","2819013","0.00218509","B",""
"gnutls","gnutls/gnutls","https://github.com/gnutls/gnutls.git","","git,github","193022","1550257","1818557","0.00214959","B","lgpl-2.1-or-later and gpl-3.0-only"
"libxdmcp","","https://salsa.debian.org/xorg-team/lib/libxdmcp.git","git","","227996","978297","1295211","0.00214595","B","mit"
"fontconfig","fontconfig/fontconfig","https://github.com/fontconfig/fontconfig.git","","git,github","195595","1634403","1906280","0.00210467","B","hpnd-sell-variant and unicode-3.0 and mit-modern-variant and mit and licenseref-homebrew-public-domain"
"util-linux","util-linux/util-linux","https://github.com/util-linux/util-linux.git","","","230126","239271","559146","0.00206742","B","bsd-3-clause and bsd-4-clause-uc and gpl-2.0-only and gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain"
"libxext","","https://salsa.debian.org/xorg-team/lib/libxext.git","git","","227097","1047804","1363468","0.00205321","B","mit"
"cairo-graphics-library","freedesktop-unofficial-mirror/cairo","https://github.com/freedesktop-unofficial-mirror/cairo.git","","git,github","168977","1015615","1250493","0.00204870","B",""
"libidn2","libidn/libidn2","https://github.com/libidn/libidn2.git","","git,github","212517","1650326","1945724","0.00199506","B","(gpl-2.0-or-later or lgpl-3.0-or-later) and (unicode-tou and unicode-dfs-2016) and gpl-3.0-or-later and lgpl-2.1-or-later and fsfap-no-warranty-disclaimer"
"python3-defaults","","https://salsa.debian.org/cpython-team/python3-defaults.git","","git","217534","0","302372","0.00198836","B",""
"bzip2","","https://sourceware.org/bzip2/","","","230128","383645","703522","0.00197053","B","bzip2-1.0.6"
"lcms","mm2/little-cms","https://github.com/mm2/little-cms.git","","","165742","1458510","1688891","0.00194155","B",""
"libgpg-error","gpg/libgpg-error","","","","228979","603556","921836","0.00187794","B","lgpl-2.1-or-later"
"brotli","google/brotli","https://github.com/google/brotli.git","","","177778","1156315","1403426","0.00186771","B","mit"
"krb5","krb5/krb5","https://github.com/krb5/krb5.git","","","229140","1056264","1374768","0.00182925","B","bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later)"
"expat","libexpat/libexpat","https://github.com/libexpat/libexpat.git","","","229837","425033","744506","0.00171857","B","mit"
"libxml2","gnome/libxml2","https://github.com/gnome/libxml2.git","","git,github","228070","520962","837979","0.00169978","B","mit"
"libwebp","webmproject/libwebp","https://github.com/webmproject/libwebp.git","","git,github","131256","1453192","1635637","0.00166343","B",""
"libuv","libuv/libuv","https://github.com/libuv/libuv.git","","","139346","1232141","1425831","0.00159423","B","mit"
"curl","curl/curl","https://github.com/curl/curl.git","","","202088","1060193","1341095","0.00157230","B","curl"
"nettle","gnutls/nettle","https://github.com/gnutls/nettle.git","","git,github","131546","1036662","1219510","0.00155609","B","gpl-2.0-or-later or lgpl-3.0-or-later"
"pango","gnome/pango","https://github.com/gnome/pango.git","","git,github","161379","1136114","1360430","0.00152881","B","lgpl-2.0-or-later"
"git","git/git","https://github.com/git/git.git","","","125366","1832306","2006564","0.00151383","B","gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit"
"pam","linux-pam/linux-pam","https://github.com/linux-pam/linux-pam.git","","","230129","13151","333030","0.00150511","B",""
"unbound","nlnetlabs/unbound","https://github.com/nlnetlabs/unbound.git","","","64087","1640424","1729504","0.00148625","B","bsd-3-clause"
"autoconf","autotools-mirror/autoconf","https://github.com/autotools-mirror/autoconf.git","","git,github","0","707705","707705","0.00147993","B","gpl-3.0-or-later and (gpl-3.0-or-later with autoconf-exception-3.0)"
"qt","qt/qt5","https://github.com/qt/qt5.git","","git,github","79428","324718","435122","0.00145383","B","bsd-3-clause and gfdl-1.3-no-invariants-only and gpl-2.0-only and (gpl-3.0-only with qt-gpl-exception-1.0) and lgpl-3.0-only"
"gdbm","","https://git.gnu.org.ua/gdbm.git","","","173519","968923","1210114","0.00144696","B","gpl-3.0-or-later"
"mpdecimal","","","","","111","1496913","1497067","0.00142987","B","bsd-2-clause"
"c-ares","c-ares/c-ares","https://github.com/c-ares/c-ares.git","","","40850","1237988","1294769","0.00141195","B","mit"
"giflib","","https://git.code.sf.net/p/giflib/code","","","110978","963324","1117583","0.00139596","B","mit"
"libtool","autotools-mirror/libtool","https://github.com/autotools-mirror/libtool.git","","git,github","179341","1032999","1282282","0.00137518","B","gpl-2.0-or-later"
"acl","","https://git.hadrons.org/cgit/debian/pkgs/acl.git","git","","230130","78861","398741","0.00132733","B","gpl-2.0-or-later and lgpl-2.1-or-later"
"libffi","libffi/libffi","https://github.com/libffi/libffi.git","","","94902","677552","809465","0.00132047","B","mit"
"awscli","aws/aws-cli","https://github.com/aws/aws-cli.git","","","0","1751886","1751886","0.00132011","B","apache-2.0"
"pcre2","PCRE2Project/pcre2","https://github.com/pcre2project/pcre2.git","","","200436","0","278606","0.00131771","B","bsd-3-clause"
"aom","","https://aomedia.googlesource.com/aom.git","","","69761","1485175","1582142","0.00128853","B","bsd-2-clause"
"libjxl","libjxl/libjxl","https://github.com/libjxl/libjxl.git","","","14334","1621571","1641495","0.00128397","B",""
"libxrender","","https://salsa.debian.org/xorg-team/lib/libxrender.git","git","","174911","944970","1188096","0.00128139","B","mit"
"libtasn1","gnutls/libtasn1","https://github.com/gnutls/libtasn1.git","","git,github","222853","796456","1106221","0.00128049","B","lgpl-2.1-or-later"
"ffmpeg","ffmpeg/ffmpeg","https://github.com/ffmpeg/ffmpeg.git","","","49970","1266137","1335595","0.00127595","B","gpl-3.0-or-later"
"libyaml","yaml/libyaml","https://github.com/yaml/libyaml.git","","","158064","534774","754482","0.00123324","B","mit"
"gdk-pixbuf","gnome/gdk-pixbuf","https://github.com/gnome/gdk-pixbuf.git","","git,github","157622","554524","773618","0.00118563","B","lgpl-2.1-or-later"
"pixman","libpixman/pixman","https://github.com/libpixman/pixman.git","","git,github","169887","1123316","1359458","0.00117740","B","mit"
"dbus","","https://salsa.debian.org/utopia-team/dbus.git","git","","227606","318864","635236","0.00117399","B","afl-2.1 or gpl-2.0-or-later"
"libogg","xiph/ogg","https://github.com/xiph/ogg.git","","git,github","140449","281060","476284","0.00117359","B","bsd-3-clause"
"audit","linux-audit/audit-userspace","https://github.com/linux-audit/audit-userspace.git","","git,github","222766","0","309644","0.00116980","B",""
"p11-kit","p11-glue/p11-kit","https://github.com/p11-glue/p11-kit.git","","","227578","965128","1281461","0.00116657","B","bsd-3-clause"
"vmaf","Netflix/vmaf","https://github.com/netflix/vmaf.git","","","0","782731","782731","0.00115374","B",""
"libevent","libevent/libevent","https://github.com/libevent/libevent.git","","","97074","850595","985527","0.00112288","B","bsd-3-clause"
"perl","perl/perl5","https://github.com/perl/perl5.git","","git,github","230126","214762","534637","0.00112228","B","artistic-1.0-perl or gpl-1.0-or-later"
"openexr","AcademySoftwareFoundation/openexr","https://github.com/academysoftwarefoundation/openexr.git","","","54572","1181137","1256992","0.00106039","C","bsd-3-clause"
"libcap","","https://git.kernel.org/pub/scm/libs/libcap/libcap.git/","","git","229822","55416","374868","0.00105789","C","bsd-3-clause and gpl-2.0-or-later"
"libusb","libusb/libusb","https://github.com/libusb/libusb.git","","","208980","512095","802577","0.00105582","C","lgpl-2.1-or-later"
"cmake","Kitware/CMake","https://github.com/kitware/cmake.git","","","27060","1332849","1370462","0.00103269","C","bsd-3-clause"
"imath","AcademySoftwareFoundation/Imath","https://github.com/academysoftwarefoundation/imath.git","","","49172","1008002","1076351","0.00103261","C","bsd-3-clause"
"libtommath","libtom/libtommath","https://github.com/libtom/libtommath.git","","","45859","53827","117571","0.00100459","C","unlicense"
"openldap","","https://git.openldap.org/openldap/openldap.git","","git","207896","697337","986312","0.00100419","C","oldap-2.8"
"protobuf","google/protobuf","https://github.com/google/protobuf.git","","","34803","1003974","1052350","0.00100200","C","bsd-3-clause"
"pyenv","pyenv/pyenv","https://github.com/pyenv/pyenv.git","","","0","1267218","1267218","0.00098174","C","mit"
"attr","","","","","230118","56712","376576","0.00095901","C","gpl-2.0-or-later"
"fribidi","fribidi/fribidi","https://github.com/fribidi/fribidi.git","","","165046","737907","967320","0.00095821","C","gpl-2.0-or-later and lgpl-2.1-or-later"
"llvm","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","","40600","686364","742798","0.00095629","C","apache-2.0 with llvm-exception"
"ruby","ruby/ruby","https://github.com/ruby/ruby.git","","","7558","802348","812853","0.00095572","C","ruby"
"wget","mirror/wget","https://github.com/mirror/wget.git","","git,github","226288","939560","1254100","0.00094501","C","gpl-3.0-or-later"
"graphite2","silnrsi/graphite","https://github.com/silnrsi/graphite.git","","","165249","710634","940330","0.00093308","C","gpl-2.0-or-later or lgpl-2.1-or-later or mpl-1.1+"
"openjpeg","uclouvain/openjpeg","https://github.com/uclouvain/openjpeg.git","","","145281","783774","985714","0.00092613","C","bsd-2-clause"
"libcap-ng","stevegrubb/libcap-ng","https://github.com/stevegrubb/libcap-ng.git","","","225066","0","312841","0.00092582","C",""
"oniguruma","kkos/oniguruma","https://github.com/kkos/oniguruma.git","","","79218","696339","806452","0.00090978","C","bsd-2-clause"
"openjdk","openjdk/jdk25u","https://github.com/openjdk/jdk25u.git","","","0","1196957","1196957","0.00090545","C","gpl-2.0-only with classpath-exception-2.0"
"db","berkeleydb/libdb","https://github.com/berkeleydb/libdb.git","","","203462","291419","574231","0.00089534","C",""
"gtk","gnome/gtk","https://github.com/gnome/gtk.git","","git,github","128198","168928","347123","0.00089112","C",""
"tcltk","","","","","0","504348","504348","0.00088022","C",""
"gnupg","gpg/gnupg","https://github.com/gpg/gnupg.git","","git,github","228528","759991","1077644","0.00087915","C","gpl-3.0-or-later"
"ruby-build","rbenv/ruby-build","https://github.com/rbenv/ruby-build.git","","","0","846438","846438","0.00086819","C","mit"
"libarchive","libarchive/libarchive","https://github.com/libarchive/libarchive.git","","","117632","696702","860210","0.00086705","C","bsd-2-clause"
"sdl2","libsdl-org/SDL","https://github.com/libsdl-org/sdl.git","","","103367","865257","1008937","0.00086389","C","zlib"
"libgcrypt","gpg/libgcrypt","https://github.com/gpg/libgcrypt.git","","git,github","221677","374095","682226","0.00086014","C","lgpl-2.1-or-later and gpl-2.0-or-later"
"abseil-cpp","abseil/abseil-cpp","https://github.com/abseil/abseil-cpp.git","","","14320","448307","468211","0.00085429","C",""
"libssh2","libssh2/libssh2","https://github.com/libssh2/libssh2.git","","","206863","621327","908866","0.00084599","C","bsd-3-clause"
"lzo","","","","","137979","700894","892684","0.00084531","C","gpl-2.0-or-later"
"postgresql","postgres/postgres","https://github.com/postgres/postgres.git","","git,github","86385","836096","956171","0.00082684","C",""
"jansson","akheron/jansson","https://github.com/akheron/jansson.git","","","191192","100151","365907","0.00081804","C","mit"
"highway-simd-library","google/highway","https://github.com/google/highway.git","","","39775","912315","967602","0.00081433","C",""
"libsodium","jedisct1/libsodium","https://github.com/jedisct1/libsodium.git","","","146952","600436","804699","0.00080738","C","isc"
"coreutils","coreutils/coreutils","https://github.com/coreutils/coreutils.git","","","230128","687007","1006884","0.00080374","C","gpl-3.0-or-later"
"imagemagick","imagemagick/imagemagick","https://github.com/imagemagick/imagemagick.git","","","74274","945142","1048382","0.00079846","C","imagemagick"
"go","golang/go","https://github.com/golang/go.git","","git,github","0","1047691","1047691","0.00078947","C","bsd-3-clause"
"kmod","","https://git.kernel.org/pub/scm/utils/kernel/kmod/kmod.git/","","git","227466","0","316177","0.00078605","C",""
"dpkg","guillemj/dpkg","https://github.com/guillemj/dpkg.git","","git,github","230133","19853","339737","0.00077755","C","gpl-2.0-only"
"make","","","","","130800","118077","299889","0.00077376","C","gpl-3.0-only"
"libseccomp","seccomp/libseccomp","https://github.com/seccomp/libseccomp.git","","","213288","0","296470","0.00076941","C",""
"librsvg","gnome/librsvg","https://github.com/gnome/librsvg.git","","git,github","150447","615170","824291","0.00076704","C","lgpl-2.1-or-later"
"boost","boostorg/boost","https://github.com/boostorg/boost.git","","","37013","676969","728417","0.00074853","C","bsl-1.0"
"tesseract-ocr","tesseract-ocr/tesseract","https://github.com/tesseract-ocr/tesseract.git","","","11587","913768","929873","0.00073730","C",""
"libsndfile","libsndfile/libsndfile","https://github.com/libsndfile/libsndfile.git","","","136410","494974","684583","0.00073642","C","lgpl-2.1-or-later"
"alsa-lib","alsa-project/alsa-lib","https://github.com/alsa-project/alsa-lib.git","","git,github","152239","75135","286747","0.00073240","C","lgpl-2.1-or-later and gpl-2.0-or-later"
"libglvnd","nvidia/libglvnd","https://github.com/nvidia/libglvnd.git","","git,github","128923","0","179202","0.00073171","C",""
"libtirpc","","http://git.linux-nfs.org/?p=steved/libtirpc.git","","","166227","180808","411863","0.00072890","C","bsd-3-clause"
"php","php/php-src","https://github.com/php/php-src.git","","","0","694800","694800","0.00069843","C","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and apache-2.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"libdeflate","ebiggers/libdeflate","https://github.com/ebiggers/libdeflate.git","","","127225","288004","464846","0.00067771","C","mit"
"shared-mime-info","","https://gitlab.freedesktop.org/xdg/shared-mime-info.git","","","0","322284","322284","0.00067287","C","gpl-2.0-only"
"snappy-compression","google/snappy","https://github.com/google/snappy.git","","","142621","554733","752976","0.00067142","C",""
"gd","libgd/libgd","https://github.com/libgd/libgd.git","","","166459","571656","803034","0.00067026","C","gd"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","https://github.com/artifexsoftware/ghostpdl-downloads.git","","","132195","530114","713865","0.00066159","C","agpl-3.0-or-later"
"automake","autotools-mirror/automake","https://github.com/autotools-mirror/automake.git","","git,github","0","341353","341353","0.00064750","C","gpl-2.0-or-later"
"libsepol","selinuxproject/selinux","https://github.com/selinuxproject/selinux.git","","git,github","81951","0","113911","0.00064306","C",""
"libheif","strukturag/libheif","https://github.com/strukturag/libheif.git","","","111641","608208","763388","0.00063818","C","lgpl-3.0-or-later"
"folly","facebook/folly","https://github.com/facebook/folly.git","","","0","474026","474026","0.00062823","C","apache-2.0"
"fmt","fmtlib/fmt","https://github.com/fmtlib/fmt.git","","","8276","290346","301849","0.00062645","C","mit"
"libbsd","","https://gitlab.freedesktop.org/libbsd/libbsd.git","","git","229267","0","318681","0.00062203","C",""
"libavif","AOMediaCodec/libavif","https://github.com/aomediacodec/libavif.git","","","16241","720852","743426","0.00061331","C","bsd-2-clause"
"gobject-introspection","gnome/gobject-introspection","https://github.com/gnome/gobject-introspection.git","","git,github","152520","522107","734109","0.00060322","C","gpl-2.0-or-later and lgpl-2.0-or-later and mit"
"jemalloc","jemalloc/jemalloc","https://github.com/jemalloc/jemalloc.git","","","90595","150134","276061","0.00060244","C","bsd-2-clause"
"ngtcp2","ngtcp2/ngtcp2","https://github.com/ngtcp2/ngtcp2.git","","","18249","567026","592392","0.00060159","C",""
"openblas","OpenMathLib/OpenBLAS","https://github.com/openmathlib/openblas.git","","","12639","361316","378884","0.00059312","C","bsd-3-clause and bsd-2-clause-views and bsd-3-clause-open-mpi and bsd-2-clause"
"elfutils","","https://sourceware.org/elfutils/","","","199964","64564","342513","0.00059262","C","gpl-2.0-or-later and gpl-3.0-or-later and lgpl-2.0-only"
"rtmpdump","k-s-v/rtmpdump","https://github.com/k-s-v/rtmpdump.git","","git,github","220113","338635","644592","0.00058635","C","gpl-2.0-or-later and lgpl-2.1-or-later"
"mesa","","https://gitlab.freedesktop.org/mesa/mesa.git","","git","145794","49254","251907","0.00058531","C","mit and apache-2.0 and bsd-2-clause and bsd-3-clause and bsl-1.0 and hpnd and hpnd-sell-variant and icu and mit-khronos-old and sgi-b-2.0 and licenseref-homebrew-public-domain and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note)"
"jasper","jasper-software/jasper","https://github.com/jasper-software/jasper.git","","","0","691511","691511","0.00058415","C","jasper-2.0"
"texinfo","","","","","40953","53303","110227","0.00058347","C","gpl-3.0-or-later"
"mbedtls","Mbed-TLS/mbedtls","https://github.com/mbed-tls/mbedtls.git","","","15545","591402","613009","0.00058159","C","apache-2.0"
"mpg123","dreamerc/mpg123","https://github.com/dreamerc/mpg123.git","","","113000","492407","649477","0.00058097","C","lgpl-2.1-only"
"guile","","","","","0","759055","759055","0.00057819","C","lgpl-3.0-or-later"
"libvorbis","","https://gitlab.xiph.org/xiph/vorbis.git","","git","140320","256517","451561","0.00056287","C","bsd-3-clause"
"libxfixes","","https://gitlab.freedesktop.org/xorg/lib/libxfixes.git","","git","162033","107069","332294","0.00056256","C","mit"
"popt","rpm-software-management/popt","https://github.com/rpm-software-management/popt.git","","","230060","85837","405620","0.00055943","C","mit"
"libxt","","https://gitlab.freedesktop.org/xorg/lib/libxt.git","","git","133437","56866","242343","0.00055717","C","mit"
"libksba","","","","","200721","402629","681631","0.00055520","C","lgpl-3.0-or-later or gpl-2.0-or-later"
"unixodbc","lurcher/unixodbc","https://github.com/lurcher/unixodbc.git","","","33623","385424","432159","0.00054889","C","lgpl-2.1-or-later and gpl-2.0-or-later"
"dav1d","videolan/dav1d","https://github.com/videolan/dav1d.git","","git,github","18213","516721","542037","0.00054102","C","bsd-2-clause"
"libsamplerate","libsndfile/libsamplerate","https://github.com/libsndfile/libsamplerate.git","","","129809","291149","471583","0.00053926","C","bsd-2-clause"
"e2fsprogs","tytso/e2fsprogs","https://github.com/tytso/e2fsprogs.git","","","229993","0","319690","0.00053709","C",""
"nss","nss-dev/nss","https://github.com/nss-dev/nss.git","","","152599","357458","569570","0.00053596","C","mpl-2.0"
"libfido2","Yubico/libfido2","https://github.com/yubico/libfido2.git","","","150905","428495","638252","0.00053326","C","bsd-2-clause"
"libass","libass/libass","https://github.com/libass/libass.git","","","113239","523758","681160","0.00053102","C","isc"
"tcl-lang","tcltk/tcl","https://github.com/tcltk/tcl.git","","","77576","0","107830","0.00052953","C",""
"opus","xiph/opus","https://github.com/xiph/opus.git","","git,github","135467","325404","513703","0.00052939","C","bsd-3-clause"
"debianutils","","https://salsa.debian.org/debian/debianutils.git","","","229908","0","319572","0.00052878","C",""
"rubberband","breakfastquay/rubberband","https://github.com/breakfastquay/rubberband.git","","","116587","521210","683265","0.00052606","C","gpl-2.0-or-later"
"vim","vim/vim","https://github.com/vim/vim.git","","","228765","366637","684620","0.00051589","C","vim"
"libev","enki/libev","https://github.com/enki/libev.git","","git,github","14309","35286","55175","0.00051150","C","bsd-2-clause or gpl-2.0-or-later"
"libsm","","https://gitlab.freedesktop.org/xorg/lib/libsm.git","","git","154458","53003","267699","0.00050312","C","mit"
"nspr","","https://salsa.debian.org/mozilla-team/nspr.git","git","","152824","180335","392760","0.00050071","C","mpl-2.0"
"zlib-ng","zlib-ng/zlib-ng","https://github.com/zlib-ng/zlib-ng.git","","","0","124","124","0.00049649","C",""
"leptonica","DanBloomberg/leptonica","https://github.com/danbloomberg/leptonica.git","","","3515","565886","570771","0.00049538","C","bsd-2-clause"
"libice","","https://gitlab.freedesktop.org/xorg/lib/libice.git","","git","154468","56048","270758","0.00049315","C","mit"
"libedit","chimera-linux/libedit-chimera","https://github.com/chimera-linux/libedit-chimera.git","","","230020","235861","555588","0.00049158","C","bsd-3-clause"
"freetds","freetds/freetds","https://github.com/freetds/freetds.git","","git,github","8100","594619","605878","0.00049125","C","gpl-2.0-or-later"
"apr","apache/apr","https://github.com/apache/apr.git","","git,github","112592","374074","530576","0.00049084","C","apache-2.0"
"flac","xiph/flac","https://github.com/xiph/flac.git","","","17414","490471","514676","0.00048420","C","bsd-3-clause and gpl-2.0-or-later and isc and lgpl-2.0-or-later and lgpl-2.1-or-later and licenseref-homebrew-public-domain and (gpl-2.0-or-later or lgpl-2.1-or-later)"
"netpbm","","","","","76472","457559","563855","0.00048389","C","gpl-3.0-or-later"
"libmd","","https://gitlab.freedesktop.org/libbsd/libmd.git","","git","150434","5055","214158","0.00048171","C","bsd-3-clause and bsd-2-clause and isc and beerware and licenseref-homebrew-public-domain"
"bash","","","","","230075","313461","633265","0.00047719","C","gpl-3.0-or-later"
"libbluray","","https://code.videolan.org/videolan/libbluray.git","","git","114590","452628","611908","0.00047586","C","lgpl-2.1-or-later"
"librist","","https://code.videolan.org/rist/librist.git","","","56340","538033","616345","0.00047563","C","bsd-2-clause"
"graphviz","ellson/graphviz","https://github.com/ellson/graphviz.git","","git,github","55652","546439","623795","0.00047117","C","epl-1.0"
"tar","","","","","230127","234511","554387","0.00046512","C",""
"jq","jqlang/jq","https://github.com/jqlang/jq.git","","","65417","517103","608032","0.00045817","C","mit"
"libassuan","","","","","18124","262411","287603","0.00045480","C","lgpl-2.1-or-later and gpl-3.0-or-later and fsfullr"
"libmnl","","https://git.netfilter.org/libmnl/","","git","221417","0","307769","0.00045357","C",""
"rav1e","xiph/rav1e","https://github.com/xiph/rav1e.git","","","19428","453835","480839","0.00045291","C","bsd-2-clause"
"librevenge","libreoffice/librevenge","https://github.com/libreoffice/librevenge.git","","git,github","102723","0","142784","0.00045188","C",""
"libxi","","https://gitlab.freedesktop.org/xorg/lib/libxi.git","","git","163285","105371","332337","0.00044948","C","mit"
