"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"eog","57472","0.0504","0",""
"nfs-utils","57455","0.0504","0",""
"gdm-gnome-display-manager","57444","0.0504","0",""
"clutter-gst","57379","0.0504","0",""
"shotwell","57342","0.0503","0",""
"libnatpmp","57334","0.0503","0",""
"gegl","56950","0.0500","0",""
"libdvbpsi","56626","0.0497","0",""
"tinysparql","56571","0.0496","0",""
"x264","56474","0.0496","353427","0.1769"
"smartmontools","56469","0.0496","34039","0.0170"
"libraw","14722","0.0129","362567","0.1815"
"cheese","56408","0.0495","0",""
"debian:libgdbm3","55774","0.0489","0",""
"openblas","12639","0.0111","361316","0.1808"
"folks","55522","0.0487","0",""
"debian:libswresample4","55507","0.0487","0",""
"evolution","55243","0.0485","0",""
"rbenv","0","","359313","0.1798"
"screen","55231","0.0485","13170","0.0066"
"malcontent-parental-controls","55113","0.0484","0",""
"bogofilter","54888","0.0482","0",""
"ytnef","54859","0.0481","0",""
"ostree","54661","0.0480","0",""
"gmmlib","54164","0.0475","0",""
"sdl-image","54155","0.0475","0",""
"dee","54154","0.0475","0",""
"debian:libntfs-3g883","54006","0.0474","0",""
"webkitgtk","53986","0.0474","0",""
"gnome-contacts","53831","0.0472","0",""
"tpm2-tss","53802","0.0472","0",""
"libopenmpt-modplug","53722","0.0471","0",""
"libb2","29584","0.0260","348950","0.1747"
"rhythmbox","53714","0.0471","0",""
"libdecor-0","53666","0.0471","0",""
"gnome-menus","53665","0.0471","0",""
"debian:libavresample4","53474","0.0469","0",""
"luajit","0","","347785","0.1741"
"debian:libavutil57","53294","0.0468","0",""
"localsearch","53243","0.0467","0",""
"rdma-core","53217","0.0467","0",""
"gsound","52619","0.0462","0",""
"libmypaint","52451","0.0460","0",""
"gucharmap","52443","0.0460","0",""
"libntlm","52247","0.0459","0",""
"automake","0","","341353","0.1709"
"gom","52146","0.0458","0",""
"hoichess","51930","0.0456","0",""
"debian:libcroco3","51551","0.0452","0",""
"debian:libavcodec59","51458","0.0452","0",""
"libxnvctrl","51452","0.0452","0",""
"pigz","51435","0.0451","0",""
"libgnome-games-support","51431","0.0451","0",""
"pinentry","0","","334378","0.1674"
"hitori","51108","0.0449","0",""
"flatpak","50730","0.0445","0",""
"libqrtr-glib","50584","0.0444","0",""
"debian:libswscale6","50402","0.0442","0",""
"qqwing","50368","0.0442","0",""
"meta-gnome3","50220","0.0441","0",""
"debian:libavformat59","49978","0.0439","0",""
"rpcsvc-proto","49971","0.0439","0",""
"libxmlb","49823","0.0437","10382","0.0052"
"libldac","49620","0.0435","0",""
"gstreamer:editing-services","49519","0.0435","0",""
"fluidsynth","49506","0.0434","26755","0.0134"
"mailx-unclassified","49488","0.0434","0",""
"liblrdf","49305","0.0433","0",""
"shared-mime-info","0","","322284","0.1613"
"debian:libpostproc56","49197","0.0432","0",""
"powertop","49076","0.0431","0",""
"ann","49040","0.0430","0",""
"tree-steve-baker","41564","0.0365","320156","0.1602"
"libfreeaptx","48905","0.0429","0",""
"debian:libavfilter8","48791","0.0428","0",""
"mc","48754","0.0428","66679","0.0334"
"libmusicbrainz","48171","0.0423","0",""
"nmap","48141","0.0422","241190","0.1207"
"debian:libnetpbm10","47832","0.0420","0",""
"libpst","47368","0.0416","0",""
"gdk-pixbuf-xlib","47286","0.0415","0",""
"edencommon","0","","318274","0.1593"
"aribb24","46866","0.0411","188899","0.0945"
"http-parser","46488","0.0408","0",""
"box2d","46336","0.0407","0",""
"lightdm","46336","0.0407","0",""
"libmspack","46328","0.0407","0",""
"editorconfig-core-unclassified","46149","0.0405","0",""
"debian:libreadline5","46100","0.0405","0",""
"gts-triangulated-surface","46020","0.0404","143973","0.0721"
"libid3tag","45865","0.0403","0",""
"libtommath","45859","0.0402","53827","0.0269"
"colord-gtk","45816","0.0402","0",""
"tmux","33855","0.0297","313602","0.1570"
"libunity","45379","0.0398","0",""
"gedit","44965","0.0395","13216","0.0066"
"liburing","44928","0.0394","0",""
"debian:libnautilus-extension1a","44908","0.0394","0",""
"libebml","44793","0.0393","6385","0.0032"
"libmatroska","44787","0.0393","5894","0.0030"
"debian:libx264-160","44133","0.0387","0",""
"libadwaita-1","43697","0.0383","0",""
"perl:b-hooks-op-check","43166","0.0379","0",""
"w3m","43147","0.0379","0",""
"libcloudproviders","43129","0.0378","0",""
"kcoreaddons","42719","0.0375","0",""
"kwindowsystem","42656","0.0374","0",""
"libspatialaudio","42591","0.0374","0",""
"polkit-qt-1","42530","0.0373","0",""
"kwidgetsaddons","42490","0.0373","0",""
"tcpdump","42155","0.0370","0",""
"xcbeautify","0","","306106","0.1532"
"kguiaddons","41996","0.0369","0",""
"kconfig","41908","0.0368","0",""
"kitemviews","41860","0.0367","0",""
"autogen","41854","0.0367","0",""
"libwpe","41849","0.0367","0",""
"wpebackend-fdo","41829","0.0367","0",""
"ki18n","41723","0.0366","0",""
"kwayland","41657","0.0366","0",""
