repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
yargs/set-blocking,github,39,,npm,1,npm,set-blocking,1246697431,,,,,0.000328,,,,25.13,56.69,27.38,100,44.61,1,0,1,10000,69,4,2.8,0,1,0,1,100.00,10.04,96.51,46.00,45.95,isc,registry,False,False,False,0,0,0,False,False,False,False,False,True,,,,,,,True,True,True,True,True,45.28,562,gh/58830287
inspect-js/has-tostringtag,github,5,,npm,1,npm,has-tostringtag,1507185806,,,,,0.001586,,,,55.95,67.06,28.07,100,49.14,1,0,1,10000,113,3,4.6,0,4,2,2,100.00,10.61,50.00,56.65,41.64,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,45.23,563,gh/392913710
isaacs/wrappy,github,56,,npm,1,npm,wrappy,2241553705,,,,,0.002209,,,,62.83,69.24,28.29,100,50.18,1,0,1,10000,80,4,4,0,0,0,0,100.00,11.15,65.01,37.60,40.63,isc,registry,False,False,True,22,0,22,True,False,True,False,False,True,,,,,,,True,True,True,True,True,45.15,564,gh/24208073
isaacs/inherits,github,353,,npm,1,npm,inherits,3869152891,,,,,0.002413,,,,63.51,69.82,33.74,100,53.58,3,0,1,4688,135,2,2.9,0,4,3,1,68.47,9.26,95.77,34.02,37.91,isc,registry,False,False,True,22,0,22,True,False,True,False,False,True,,,,,,,True,True,True,True,True,45.07,565,gh/1580001
tokio-rs/loom,github,2685,,crates,1,crates,loom,,,7155614,,,,,0.002365,,33.52,70.70,46.02,,47.54,37,0,4,973,10775,22,4.4,0,85,42,43,15.60,61.07,51.90,67.06,42.67,mit,registry,False,False,True,114,0,114,False,False,False,False,False,True,,tokio,,,,,True,True,True,True,True,45.04,566,gh/161875917
sindresorhus/p-locate,github,79,,npm,1,npm,p-locate,5442206167,,,,,0.002862,,,,66.90,70.95,35.24,100,54.93,3,0,1,5000,124,4,4.1,0,1,0,1,70.71,13.40,59.30,32.89,36.87,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,45.00,567,gh/74265632
litejs/natural-compare-lite,github,114,,npm,2,npm,natural-compare,1838656764,,,,,0.000470,,,,32.01,59.05,26.05,100,44.74,2,0,1,8347,154,25,4,0,3,4,-1,91.36,30.34,65.01,23.24,45.24,mit,registry,False,False,True,1,0,1,True,False,True,False,False,True,,,,,,,True,True,True,True,True,44.99,568,gh/9146732
bluss/bencher,github,92,,crates,1,crates,bencher,,,1288547,,,,,0.001332,,27.77,67.42,20.46,,27.24,0,1,1,10000,1697,11,3.1,0,2,0,2,100.00,40.94,88.16,84.06,74.22,mit/apache-2.0,registry,False,False,True,0,0,0,False,False,False,False,False,True,,,,,,,True,True,True,True,True,44.96,569,gh/65987276
jslicense/spdx-license-ids,github,37,,npm,1,npm,spdx-license-ids,1287046339,,,,,0.000754,,,,40.94,62.16,42.26,100,55.67,3,0,1,8648,132,4,4,0,4,5,-1,92.99,13.98,65.01,20.43,36.25,cc0-1.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,False,False,True,True,False,44.92,,gh/26001547
mcollina/reusify,github,184,,npm,1,npm,reusify,1591142221,,,,,0.000864,,,,43.12,63.06,37.37,100,53.04,2,0,1,6800,194,2,4.8,0,3,2,1,82.46,10.61,50.00,47.38,37.94,mit,registry,False,False,True,13,1,14,False,False,True,False,False,True,,,,,,,True,True,True,True,True,44.86,570,gh/42106515
