repo,platform,ecosystem,top_eco_pkg,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,concentration,complexity,security,workload,risk_score,score,oss,intent,nonprofit,active,eligible,priority,eco_priority,repo_id
clap-rs/clap,github,crates,clap,42.76,73.72,64.60,100,70.41,75.50,84.84,50.00,60.87,66.45,68.40,True,True,True,True,True,34,11,gh/31315121
cssnano/cssnano,github,npm,cssnano-utils,75.68,73.48,57.45,100,69.39,87.07,68.58,50.00,68.91,67.35,68.36,True,True,True,True,True,35,14,gh/33943153
json5/json5,github,npm,json5,51.07,65.12,52.03,100,62.84,74.69,56.43,92.71,75.93,73.80,68.10,True,False,True,True,False,,,gh/4463453
mrmlnc/fast-glob,github,npm,fast-glob,39.48,61.72,47.85,100,58.83,88.46,70.38,84.48,72.82,78.67,68.03,True,False,True,True,False,,,gh/77467076
grahamdumpleton/wrapt,github,pypi,wrapt,43.09,74.24,53.73,100,63.97,87.99,70.28,59.24,74.71,72.33,68.02,True,True,True,True,True,36,8,gh/10357291
boto/botocore,github,pypi,botocore,89.90,86.76,62.76,100,75.32,84.11,70.41,50.00,47.39,61.20,67.89,True,True,False,True,False,,,gh/6670942
sinclairzx81/typebox,github,npm,@sinclair/typebox,47.96,64.23,53.84,100,63.52,91.04,91.46,50.00,65.11,72.16,67.70,True,False,True,True,False,,,gh/87454905
csstree/csstree,github,npm,css-tree,36.66,60.80,45.22,100,56.88,89.41,78.76,72.12,81.60,80.23,67.55,True,True,True,True,True,37,15,gh/67236461
rust-cli/anstyle,github,crates,anstyle,48.30,75.34,53.89,100,64.70,91.49,55.69,72.49,66.69,70.45,67.51,True,True,True,True,True,38,12,gh/493821282
python-pillow/pillow,github,pypi,pillow,35.12,78.90,62.10,100,68.66,68.66,89.86,97.85,32.13,66.36,67.50,True,True,True,True,True,39,9,gh/5171600
coveragepy/coveragepy,github,pypi,coverage,29.17,68.49,60.44,100,66.03,94.36,77.59,50.00,60.58,68.62,67.31,True,True,True,True,True,40,10,gh/138421996
frenic/csstype,github,npm,csstype,41.16,62.23,44.55,100,57.07,91.79,63.90,80.99,83.57,79.38,67.31,True,False,True,True,False,,,gh/104001328
mrabarnett/mrab-regex,github,pypi,regex,28.25,68.14,46.97,100,57.82,90.53,91.34,50.00,90.38,78.19,67.24,True,False,True,True,False,,,gh/309446978
util-linux/util-linux,github,cpp,util-linux,31.86,58.79,65.49,100,68.36,30.77,92.77,92.34,72.40,66.09,67.22,True,False,True,True,False,,,gh/2339555
caolan/async,github,npm,async,41.24,62.24,58.59,100,65.50,53.95,78.02,72.49,73.87,68.90,67.18,True,False,True,True,False,,,gh/698041
httplib2/httplib2,github,pypi,httplib2,28.77,68.35,49.62,100,59.48,65.48,77.73,82.06,79.25,75.85,67.17,True,False,True,True,False,,,gh/53002916
dtolnay/proc-macro2,github,crates,proc-macro2,80.31,84.67,54.81,100,69.38,97.31,61.13,50.00,59.66,64.90,67.10,True,True,True,True,True,41,13,gh/91860126
floating-ui/floating-ui,github,npm,@floating-ui/utils,46.06,63.82,62.80,100,68.67,79.68,76.74,50.00,60.19,65.50,67.07,True,True,True,True,True,42,16,gh/54994103
isaacs/minipass,github,npm,minipass,71.36,72.56,44.89,100,61.33,91.31,55.69,92.71,60.43,73.06,66.94,True,True,True,True,True,43,17,gh/84886212
curl/curl,github,cpp,curl,28.96,56.88,69.92,100,70.54,35.60,94.45,99.52,48.54,63.48,66.92,True,True,True,True,True,44,4,gh/569041
conventional-changelog/conventional-changelog,github,npm,conventional-commits-parser,37.47,61.06,56.70,100,63.87,63.70,68.32,72.49,76.23,70.03,66.88,True,False,True,True,False,,,gh/15639771
petkaantonov/bluebird,github,npm,bluebird,25.23,56.70,55.73,100,61.63,39.12,80.35,98.84,89.23,72.56,66.87,True,False,True,True,False,,,gh/12670444
postcss/postcss,github,npm,postcss,48.48,64.43,63.48,100,69.38,57.71,73.69,85.17,47.33,64.35,66.82,True,True,True,True,True,45,18,gh/13078968
micromark/micromark,github,npm,micromark-util-symbol,63.28,69.59,48.25,100,62.24,91.21,69.08,64.94,64.66,71.72,66.81,True,True,True,True,True,46,19,gh/157420458
pallets/werkzeug,github,pypi,werkzeug,37.46,72.03,62.01,100,68.16,67.10,73.17,93.54,39.86,65.41,66.77,True,True,True,True,True,47,11,gh/997338
follow-redirects/follow-redirects,github,npm,follow-redirects,38.39,61.35,54.16,100,62.47,82.91,54.86,87.32,65.23,71.34,66.76,True,True,True,True,True,48,20,gh/6697086
taiki-e/portable-atomic,github,crates,portable-atomic,53.42,76.20,41.85,100,58.07,98.50,82.55,50.00,84.67,76.60,66.69,True,True,True,True,True,49,14,gh/448365131
legrandin/pycryptodome,github,pypi,pycryptodomex,25.51,66.78,52.18,100,60.54,81.46,76.26,72.49,64.48,73.41,66.67,True,False,True,True,False,,,gh/19378935
browserslist/browserslist,github,npm,browserslist,54.31,66.30,61.50,100,68.96,78.43,70.02,72.49,43.19,64.39,66.64,True,True,True,True,True,50,21,gh/27971466
grantjenks/python-sortedcontainers,github,pypi,sortedcontainers,25.30,66.73,48.31,100,58.19,87.12,57.15,80.99,83.73,76.23,66.60,True,True,True,True,True,51,12,gh/17144859
suguru03/neo-async,github,npm,neo-async,30.46,58.59,42.21,100,54.23,100.00,71.76,96.52,64.54,81.77,66.59,True,False,True,True,False,,,gh/27030361
jridgewell/resolve-uri,github,npm,@jridgewell/resolve-uri,51.19,65.16,38.60,100,54.80,95.51,60.36,86.48,85.52,80.81,66.55,True,False,True,True,False,,,gh/196878944
isaacs/node-tar,github,npm,tar,26.10,56.99,56.42,100,62.16,78.80,77.12,90.67,46.72,71.23,66.54,True,True,True,True,True,52,22,gh/1534331
systemd/systemd,github,cpp,systemd,49.83,69.48,75.65,,71.65,20.78,97.57,96.17,74.54,61.74,66.51,True,True,True,True,True,53,5,gh/32873313
stub42/pytz,github,pypi,pytz,46.05,74.69,47.88,100,60.80,82.29,77.37,50.00,87.78,72.71,66.49,True,True,True,True,True,54,13,gh/63155638
harfbuzz/harfbuzz,github,cpp,harfbuzz,34.42,60.41,63.52,100,67.59,72.81,94.18,85.17,31.26,65.37,66.47,True,True,True,True,True,55,6,gh/5050525
andialbrecht/sqlparse,github,pypi,sqlparse,26.26,67.13,52.10,100,60.60,72.58,62.88,85.17,72.11,72.76,66.40,True,False,True,True,False,,,gh/4067434
kjd/idna,github,pypi,idna,68.57,82.84,54.12,100,67.61,70.21,68.17,72.49,52.05,65.19,66.39,True,False,True,True,False,,,gh/10323585
madler/zlib,github,cpp,zlib,55.14,73.65,53.92,100,65.23,40.68,87.30,90.67,64.74,67.57,66.39,True,False,True,True,False,,,gh/2359378
pypa/distlib,github,pypi,distlib,30.57,69.46,48.49,100,59.10,82.51,75.21,80.99,61.38,74.53,66.37,True,True,True,True,True,56,14,gh/436970140
yaml/pyyaml,github,pypi,pyyaml,54.10,78.62,52.80,100,64.95,38.37,69.17,85.17,93.61,67.82,66.37,True,False,True,True,False,,,gh/2700147
moxystudio/node-cross-spawn,github,npm,cross-spawn,46.35,63.87,52.85,100,62.73,85.31,37.38,97.36,78.00,70.15,66.34,True,False,True,True,False,,,gh/21335844
eliben/pycparser,github,pypi,pycparser,84.26,85.81,52.21,100,68.33,55.42,79.04,50.00,77.92,64.27,66.27,True,False,True,True,False,,,gh/10589864
pyparsing/pyparsing,github,pypi,pyparsing,45.38,74.58,53.35,100,64.01,85.29,80.92,50.00,63.77,68.49,66.21,True,True,True,True,True,57,15,gh/91262163
7rulnik/source-map-js,github,npm,source-map-js,44.36,63.51,49.40,100,60.43,65.83,63.46,92.71,70.90,72.39,66.14,True,True,True,True,True,58,23,gh/330043541
colinhacks/zod,github,npm,zod,25.43,56.75,61.83,100,65.32,62.91,87.34,72.49,50.00,66.80,66.06,True,True,True,True,True,59,24,gh/245704608
serde-rs/json,github,crates,serde_json,66.01,81.08,59.89,100,70.64,76.50,51.89,50.00,73.05,61.71,66.02,True,True,True,True,True,60,15,gh/35894511
alexhuszagh/rust-lexical,github,crates,lexical-util,25.18,66.50,45.82,100,56.66,95.32,81.99,82.06,53.77,76.63,65.89,True,False,True,True,False,,,gh/155286170
estools/estraverse,github,npm,estraverse,60.56,68.43,42.74,100,58.54,70.71,69.10,82.26,75.29,74.17,65.89,True,False,True,True,False,,,gh/6145439
google/zerocopy,github,crates,zerocopy,32.84,70.31,54.19,100,62.83,42.11,83.94,72.49,88.94,69.09,65.89,True,True,False,True,False,,,gh/534354967
mpfr/mpfr,gitlab,cpp,mpfr,46.47,67.64,,,57.06,83.92,91.34,59.24,73.36,75.97,65.84,True,True,True,True,True,61,7,gl/inria-33626
babel/babel,github,npm,@babel/helper-plugin-utils,92.24,92.68,71.53,100,81.41,24.37,93.55,82.06,42.57,53.12,65.76,True,True,True,True,True,62,25,gh/24560307
besser82/libxcrypt,github,cpp,libxcrypt,65.97,78.79,46.36,100,62.29,75.95,80.12,53.33,71.53,69.41,65.75,True,False,True,True,False,,,gh/35503965
rayon-rs/rayon,github,crates,rayon,61.03,79.29,54.80,100,66.91,65.70,65.89,50.00,80.01,64.51,65.70,True,False,True,True,False,,,gh/24725038
burntsushi/memchr,github,crates,memchr,43.17,73.94,49.49,100,61.40,76.21,87.03,50.00,73.13,70.18,65.64,True,True,True,True,True,63,16,gh/37290652
burntsushi/walkdir,github,crates,walkdir,36.81,71.58,49.06,100,60.27,68.72,48.88,95.78,80.87,71.42,65.61,True,True,True,True,True,64,17,gh/42685794
dtolnay/paste,github,crates,paste,32.40,70.24,41.87,100,55.39,100.00,53.33,72.49,94.32,77.71,65.61,True,True,True,False,False,,,gh/155652490
taiki-e/pin-project,github,crates,pin-project,28.47,68.12,48.17,100,58.56,99.06,69.58,50.00,84.70,73.50,65.61,True,True,True,True,True,65,18,gh/164668916
salesforce/tough-cookie,github,npm,tough-cookie,34.30,59.90,51.82,100,60.51,63.96,72.08,72.49,76.35,71.07,65.58,True,True,False,True,False,,,gh/2606873
tootallnate/proxy-agents,github,npm,agent-base,71.00,72.46,51.86,100,65.46,65.80,60.97,82.06,56.62,65.71,65.58,True,False,True,True,False,,,gh/11293703
babel/babel-polyfills,github,npm,@babel/helper-define-polyfill-provider,53.62,66.11,48.29,100,60.95,71.73,89.58,50.00,77.06,70.54,65.57,True,True,True,True,True,66,26,gh/190579283
aws/aws-cli,github,pypi,awscli,42.19,92.26,63.57,100,71.59,81.44,82.51,50.00,38.04,59.79,65.42,True,True,False,True,False,,,gh/6780767
dtolnay/anyhow,github,crates,anyhow,40.84,73.32,51.51,100,62.32,95.95,62.86,50.00,73.77,68.68,65.42,True,True,True,True,True,67,19,gh/212936374
dtolnay/thiserror,github,crates,thiserror,40.11,73.20,52.87,100,63.05,95.15,65.22,50.00,68.32,67.85,65.41,True,True,True,True,True,69,20,gh/213836768
swc-project/swc,github,npm,@swc/helpers,27.58,85.55,62.89,100,69.05,37.04,99.63,50.00,79.95,61.97,65.41,True,True,True,True,True,68,27,gh/115110181
executablebooks/markdown-it-py,github,pypi,markdown-it-py,35.52,71.23,46.97,100,58.86,67.51,69.59,82.06,72.18,72.63,65.38,True,False,True,True,False,,,gh/249956697
form-data/form-data,github,npm,form-data,47.14,64.06,52.89,100,62.85,75.68,49.63,72.49,77.26,67.72,65.24,True,False,True,True,False,,,gh/1755793
ardatan/graphql-tools,github,npm,@graphql-tools/utils,52.68,65.72,61.85,100,68.95,52.86,84.32,50.00,64.36,61.54,65.14,True,True,True,True,True,70,28,gh/54432168
grpc/grpc,github,pypi,grpcio,70.88,91.61,70.16,100,78.34,11.25,96.44,93.54,84.81,54.16,65.14,True,True,True,True,True,72,16,gh/27729880
rustcrypto/utils,github,crates,zeroize,60.06,78.77,52.96,100,65.66,72.41,53.03,82.06,55.34,64.62,65.14,True,True,True,True,True,71,21,gh/77307442
bdwgc/bdwgc,github,cpp,boehm-gc,42.98,65.74,56.28,,55.80,93.02,88.78,50.00,80.16,75.85,65.06,True,False,True,True,False,,,gh/2109456
nlnetlabs/unbound,github,cpp,unbound,28.11,56.47,51.99,,49.56,64.23,92.98,96.65,92.02,85.37,65.05,True,True,True,True,True,73,8,gh/94195301
csstools/postcss-plugins,github,npm,@csstools/utilities,73.65,73.06,55.04,100,67.69,75.71,91.17,50.00,44.21,62.50,65.04,True,True,True,True,True,74,29,gh/219192307
nodejs/string_decoder,github,npm,string_decoder,56.11,67.11,42.18,100,57.63,100.00,48.78,72.12,82.45,73.39,65.03,True,True,True,True,True,75,30,gh/95052330
