repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
bluss/bencher,gh/65987276,True,0,0,0,100.0,92,16,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,100,True,True
bminor/glibc,gh/13868694,False,0,0,0,100.0,1863,464,False,False,,False,False,,False,,False,0,,0,100.0,fsf/gnu,nonprofit,,,0.5,79,True,True
boto/boto3,gh/24774658,False,0,0,0,100.0,9775,1968,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
boto/botocore,gh/6670942,False,0,0,0,100.0,1613,1153,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
boto/s3transfer,gh/49535299,False,0,0,0,100.0,232,152,False,False,,False,False,,False,,False,0,,0,100.0,,,amazon.com,company,0,1,True,False
brianc/node-postgres,gh/991475,True,16,0,16,25.66,13114,1309,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,64,True,True
broofa/mime,gh/534940,True,5,0,5,34.72,2355,322,True,True,github,False,True,https://github.com/sponsors/broofa,False,,True,2,,0,100.0,,,,,1,70,True,True
broofa/node-int64,gh/1208666,,,0,0,100.0,205,45,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,True,True
browserify/events,gh/1649251,False,0,0,0,100.0,1409,174,True,True,tidelift,False,False,,False,,False,1,,0,100.0,,,,,1,79,True,True
browserify/node-util,gh/14568009,False,0,0,0,100.0,254,92,True,True,tidelift,False,False,,False,,True,1,,0,100.0,,,,,1,79,True,True
browserify/randombytes,gh/29300004,False,0,0,0,100.0,102,47,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,True,True
browserify/resolve,gh/1915099,False,0,0,0,100.0,793,190,True,True,"github,tidelift",True,True,https://github.com/sponsors/ljharb,False,,True,4,,0,100.0,,,,,1,79,True,True
browserslist/browserslist,gh/27971466,False,0,0,0,100.0,13527,763,True,True,"github,open_collective,tidelift",False,True,https://opencollective.com/browserslist,False,,True,4,browserslist,4300.28,5.02,,,,,1,37,True,True
browserslist/caniuse-lite,gh/80221890,False,0,0,0,100.0,611,84,True,True,"github,open_collective,tidelift",False,True,https://opencollective.com/browserslist,False,,True,4,,0,100.0,,,,,1,79,True,True
browserslist/update-db,gh/505548145,False,0,0,0,100.0,766,210,True,True,"github,open_collective,tidelift",False,True,https://opencollective.com/browserslist,False,,True,4,,0,100.0,,,,,1,79,True,True
burntsushi/aho-corasick,gh/37290678,True,110,2,112,13.32,1233,114,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/jiff,gh/759017108,True,110,2,112,13.32,2691,96,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/memchr,gh/37290652,True,110,2,112,13.32,1431,140,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/quickcheck,gh/17559913,True,110,2,112,13.32,2749,162,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,51,True,True
burntsushi/same-file,gh/78375612,True,110,2,112,13.32,120,24,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/termcolor,gh/141345580,True,110,2,112,13.32,487,55,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/ucd-generate,gh/123997498,True,110,2,112,13.32,117,26,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/walkdir,gh/42685794,True,110,2,112,13.32,1497,125,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
burntsushi/winapi-util,gh/146040682,True,110,2,112,13.32,75,20,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,51,True,True
businho/pytest-ruff,gh/599731435,False,0,0,0,100.0,35,9,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
bytecodealliance/rustix,gh/295544240,False,0,0,0,100.0,1973,260,False,False,,False,False,,False,,False,0,,0,100.0,bytecodealliance.org,nonprofit,,,0.5,79,True,True
bytecodealliance/wasi-rs,gh/196445196,False,0,0,0,100.0,351,63,False,False,,False,False,,False,,False,0,,0,100.0,bytecodealliance.org,nonprofit,,,0.5,79,True,True
c-ares/c-ares,gh/571708,False,0,0,0,100.0,2132,658,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
calvinmetcalf/minimalistic-assert,gh/29144257,False,0,0,0,100.0,19,4,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
calvinmetcalf/process-nextick-args,gh/36039131,False,0,0,0,100.0,33,16,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
caolan/async,gh/698041,False,0,0,0,100.0,28173,2381,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
certbot/certbot,gh/26516210,False,0,0,0,100.0,33013,3495,True,True,custom,False,False,,False,,False,1,,0,100.0,eff.org,nonprofit,,,0.5,79,True,True
certifi/python-certifi,gh/3060959,False,0,0,0,100.0,966,288,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
chaijs/type-detect,gh/12107007,False,0,0,0,100.0,127,30,False,False,,False,False,,False,,True,0,chaijs,0,100.0,,,,,1,100,True,True
chalk/ansi-regex,gh/20451415,False,0,0,0,100.0,202,90,True,False,"github,tidelift",False,True,https://github.com/chalk/ansi-regex?sponsor=1,False,,True,3,,0,100.0,,,,,1,79,True,True
chalk/ansi-styles,gh/11803168,False,0,0,0,100.0,458,81,True,False,"github,tidelift",False,True,https://github.com/chalk/ansi-styles?sponsor=1,False,,True,3,,0,100.0,,,,,1,79,True,True
chalk/chalk,gh/11855195,False,0,0,0,100.0,23161,959,True,False,"github,open_collective,tidelift,custom",False,True,https://github.com/chalk/chalk?sponsor=1,False,,True,5,,0,100.0,,,,,1,79,True,True
chalk/slice-ansi,gh/43191689,False,0,0,0,100.0,51,18,True,False,"github,tidelift",False,True,https://github.com/chalk/slice-ansi?sponsor=1,False,,True,3,,0,100.0,,,,,1,79,True,True
