repo,repo_id,eol,archived,mirror,active
eventualbuddha/lines-and-columns,47284288,False,False,False,True
executablebooks/markdown-it-py,249956697,False,False,False,True
executablebooks/mdurl,387293763,False,False,False,True
exodusoss/bytes,885154008,False,False,False,True
expressjs/body-parser,15669006,False,False,False,True
expressjs/serve-static,17464338,False,False,False,True
facebook/create-react-app,63537249,False,False,False,True
facebook/metro,76504246,False,False,False,True
facebook/prop-types,87597642,False,True,False,False
facebook/react,10270250,False,False,False,True
facebook/regenerator,13346571,False,True,False,False
facebook/watchman,6930489,False,False,False,True
facebook/zstd,29759715,False,False,False,True
facelessuser/soupsieve,160789418,False,False,False,True
fastify/fast-uri,419317518,False,False,False,True
faye/websocket-driver-node,9733816,False,False,False,True
fb55/boolbase,16864585,False,False,False,True
fb55/css-select,3411063,False,False,False,True
fb55/css-what,4460687,False,False,False,True
fb55/domelementtype,6627835,False,False,False,True
fb55/domhandler,5414232,False,False,False,True
fb55/domutils,6627949,False,False,False,True
fb55/entities,3172629,False,False,False,True
fb55/htmlparser2,2279062,False,False,False,True
fb55/nth-check,16864923,False,False,False,True
felixge/node-combined-stream,1787452,False,False,False,True
felixge/node-delayed-stream,1783893,False,False,False,True
feross/buffer,14494363,False,False,False,True
feross/ieee754,15489525,False,False,False,True
feross/is-buffer,25997846,False,False,False,True
feross/queue-microtask,207021895,False,False,False,True
feross/run-parallel,18700638,False,False,False,True
feross/safe-buffer,49538897,False,False,False,True
ffmpeg/ffmpeg,1614410,False,False,False,True
firebase/firebase-js-sdk,89290483,False,False,False,True
fitzgen/glob-to-regexp,11461122,False,True,False,False
floatdrop/require-from-string,39301848,False,True,False,False
floating-ui/floating-ui,54994103,False,False,False,True
follow-redirects/follow-redirects,6697086,False,False,False,True
form-data/form-data,1755793,False,False,False,True
formatjs/formatjs,19117456,False,False,False,True
freedesktop-unofficial-mirror/cairo,34372735,False,False,True,True
freetype/freetype,187000659,False,False,True,True
frenic/csstype,104001328,False,False,False,True
frommi/miniz_oxide,96124162,False,False,False,True
fsevents/fsevents,1402936,False,False,False,True
fsspec/filesystem_spec,130727736,False,False,False,True
fsspec/s3fs,53987953,False,False,False,True
garycourt/uri-js,989080,False,False,False,True
gcc-mirror/gcc,22711503,False,False,True,True
getsentry/sentry-javascript,3328572,False,False,False,True
giampaolo/psutil,20101515,False,False,False,True
git/git,36502,False,False,False,True
gitlab-freedesktop-mirrors/libxcb,444023705,False,False,True,True
gitoxidelabs/gitoxide,136510559,False,False,False,True
gitpython-developers/gitdb,1126093,False,False,False,True
gitpython-developers/smmap,1865144,False,False,False,True
gkz/levn,13287279,False,False,False,True
gkz/optionator,13435927,False,False,False,True
gkz/prelude-ls,4457759,False,False,False,True
gkz/type-check,13182168,False,False,False,True
gmp-mirror/gmp,681340775,False,False,False,True
gnome/pango,4537144,False,False,True,True
google/brotli,24993138,False,False,False,True
google/zerocopy,534354967,False,False,False,True
googleapis/google-cloud-python,16316451,False,False,False,True
googleapis/python-cloud-core,226992462,False,True,False,False
googleapis/python-crc32c,159736041,False,True,False,False
googlechrome/workbox,55424670,False,False,False,True
grahamdumpleton/wrapt,10357291,False,False,False,True
grantjenks/python-sortedcontainers,17144859,False,False,False,True
graydon/exhaustigen-rs,432630522,False,False,False,True
gregberge/svgr,102155012,False,False,False,True
grncdr/merge-stream,10579821,False,False,False,True
grpc/grpc,27729880,False,False,False,True
gsnedders/python-webencodings,7043404,False,False,False,True
guillaumegomez/doc-comment,127254922,False,False,False,True
gulpjs/glob-parent,29154915,False,False,False,True
gweis/isodate,6449370,False,False,False,True
gyscos/zstd-rs,52115335,False,False,False,True
hapijs/hoek,5831189,False,False,False,True
harfbuzz/harfbuzz,5050525,False,False,False,True
hiddentao/fast-levenshtein,9490451,False,False,False,True
httplib2/httplib2,53002916,False,False,False,True
huggingface/huggingface_hub,323591830,False,False,False,True
hukkin/tomli,370616797,False,False,False,True
hyperium/http,84983058,False,False,False,True
hyperium/http-body,183281612,False,False,False,True
iarna/aproba,31432421,False,False,False,True
import-js/eslint-plugin-import,32238354,False,False,False,True
indexmap-rs/indexmap,68294628,False,False,False,True
indutny/bn.js,19176350,False,False,False,True
indygreg/python-zstandard,67307930,False,False,False,True
inikulin/parse5,8862593,False,False,False,True
inspect-js/array-buffer-byte-length,607836784,False,False,False,True
inspect-js/available-typed-arrays,235965505,False,False,False,True
inspect-js/functions-have-names,198357138,False,False,False,True
inspect-js/has-bigints,201714166,False,False,False,True
inspect-js/has-property-descriptors,481834578,False,False,False,True
inspect-js/has-proto,577580747,False,False,False,True
inspect-js/has-symbols,68573418,False,False,False,True
inspect-js/has-tostringtag,392913710,False,False,False,True
inspect-js/hasown,703350811,False,False,False,True
inspect-js/is-accessor-descriptor,41658954,False,False,False,True
inspect-js/is-arguments,15725461,False,False,False,True
inspect-js/is-array-buffer,45977026,False,False,False,True
inspect-js/is-bigint,149682261,False,False,False,True
inspect-js/is-boolean-object,34700259,False,False,False,True
inspect-js/is-callable,30012910,False,False,False,True
inspect-js/is-core-module,24578130,False,False,False,True
inspect-js/is-data-descriptor,41659073,False,False,False,True
inspect-js/is-data-view,751048078,False,False,False,True
inspect-js/is-date-object,29991041,False,False,False,True
inspect-js/is-descriptor,41658845,False,False,False,True
inspect-js/is-number-object,29991666,False,False,False,True
inspect-js/is-regex,15930063,False,False,False,True
inspect-js/is-string,30010185,False,False,False,True
inspect-js/is-symbol,29791606,False,False,False,True
inspect-js/is-typed-array,43528820,False,False,False,True
inspect-js/node-supports-preserve-symlinks-flag,443970899,False,False,False,True
inspect-js/object-inspect,11683441,False,False,False,True
inspect-js/typed-array-buffer,649850465,False,False,False,True
inspect-js/which-boxed-primitive,201685155,False,False,False,True
inspect-js/which-typed-array,43708371,False,False,False,True
ipython/traitlets,14993021,False,False,False,True
isaacs/chownr,3858354,False,False,False,True
isaacs/cliui,634056857,False,False,False,True
isaacs/core-util-is,12391440,False,False,False,True
isaacs/fs-minipass,102982143,False,False,False,True
isaacs/fs.realpath,61231712,False,False,False,True
isaacs/inflight-deprecated-do-not-use,19442260,False,True,False,False
isaacs/inherits,1580001,False,False,False,True
isaacs/isexe,49804297,False,False,False,True
isaacs/minimatch,2056549,False,False,False,True
isaacs/minipass,84886212,False,False,False,True
isaacs/minizlib,86429676,False,False,False,True
isaacs/node-glob,357681,False,False,False,True
isaacs/node-graceful-fs,2077020,False,False,False,True
isaacs/node-lru-cache,679662,False,False,False,True
isaacs/node-mkdirp,2718248,False,False,False,True
isaacs/node-tar,1534331,False,False,False,True
isaacs/once,5409660,False,False,False,True
isaacs/package-json-from-dist,800543709,False,False,False,True
isaacs/path-scurry,591569499,False,False,False,True
isaacs/rimraf,1341324,False,False,False,True
isaacs/sax-js,508894,False,False,False,True
