repo,repo_id,license,license_source,oss
dtolnay/paste,gh/155652490,mit or apache-2.0,registry,True
dtolnay/proc-macro2,gh/91860126,mit or apache-2.0,registry,True
dtolnay/quote,gh/67273122,mit or apache-2.0,registry,True
dtolnay/ref-cast,gh/106295902,mit or apache-2.0,registry,True
dtolnay/rustversion,gh/183990447,mit or apache-2.0,registry,True
dtolnay/ryu,gh/142720484,apache-2.0 or bsl-1.0,registry,True
dtolnay/semver,gh/22432442,mit or apache-2.0,registry,True
dtolnay/syn,gh/67305738,mit or apache-2.0,registry,True
dtolnay/target-triple,gh/734167706,mit or apache-2.0,registry,True
dtolnay/thiserror,gh/213836768,mit or apache-2.0,registry,True
dtolnay/trybuild,gh/184941159,mit or apache-2.0,registry,True
dtolnay/unicode-ident,gh/492639579,(mit or apache-2.0) and unicode-3.0,registry,True
eemeli/yaml,gh/119439276,isc,registry,True
ehmicky/human-signals,gh/214467546,apache-2.0,registry,True
eliben/pycparser,gh/10589864,bsd-3-clause,registry,True
emotion-js/emotion,gh/92570536,mit,registry,True
enarx/ciborium,gh/313759241,apache-2.0,registry,True
encode/httpcore,gh/237210639,bsd-3-clause,registry,True
encode/httpx,gh/179492861,bsd-3-clause,registry,True
epoberezkin/fast-deep-equal,gh/94483360,mit,registry,True
epoberezkin/fast-json-stable-stringify,gh/108103016,mit,registry,True
epoberezkin/json-schema-traverse,gh/93333933,mit,registry,True
es-shims/array-includes,gh/28753032,mit,registry,True
es-shims/dunder-proto,gh/898274312,mit,registry,True
es-shims/es-object-atoms,gh/773229339,mit,registry,True
es-shims/es-set-tostringtag,gh/580683868,mit,registry,True
es-shims/math-intrinsics,gh/902014040,mit,registry,True
es-shims/object.values,gh/41723335,mit,registry,True
es-shims/regexp.prototype.flags,gh/26932422,mit,registry,True
es-shims/string.prototype.trimend,gh/114682758,mit,registry,True
es-shims/string.prototype.trimstart,gh/114682105,mit,registry,True
eslint-community/eslint-utils,gh/568240379,mit,registry,True
eslint/doctrine,gh/4286644,apache-2.0,registry,True
eslint/eslint,gh/11061773,mit,registry,True
eslint/js,gh/27620277,bsd-2-clause,registry,True
eslint/rewrite,gh/791446923,apache-2.0,registry,True
estools/escodegen,gh/3611422,bsd-2-clause,registry,True
estools/esquery,gh/11412938,bsd-3-clause,registry,True
estools/esrecurse,gh/27429822,bsd-2-clause,registry,True
estools/estraverse,gh/6145439,bsd-2-clause,registry,True
estools/esutils,gh/14677293,bsd-2-clause,registry,True
ethers-io/ethers.js,gh/63465664,mit,registry,True
evanw/esbuild,gh/61137153,mit,registry,True
evanw/node-source-map-support,gh/7682781,mit,registry,True
eventualbuddha/lines-and-columns,gh/47284288,mit,registry,True
