repo,repo_id,oss,intent,nonprofit,active,eligible
dtolnay/dissimilar,gh/229514821,True,True,True,True,True
dtolnay/indoc,gh/54252316,True,True,True,True,True
dtolnay/itoa,gh/61962375,True,True,True,True,True
dtolnay/no-panic,gh/143469762,True,True,True,True,True
dtolnay/paste,gh/155652490,True,True,True,False,False
dtolnay/proc-macro2,gh/91860126,True,True,True,True,True
dtolnay/quote,gh/67273122,True,True,True,True,True
dtolnay/ref-cast,gh/106295902,True,True,True,True,True
dtolnay/rustversion,gh/183990447,True,True,True,True,True
dtolnay/ryu,gh/142720484,True,True,True,True,True
dtolnay/semver,gh/22432442,True,True,True,True,True
dtolnay/syn,gh/67305738,True,True,True,True,True
dtolnay/target-triple,gh/734167706,True,True,True,True,True
dtolnay/thiserror,gh/213836768,True,True,True,True,True
dtolnay/trybuild,gh/184941159,True,True,True,True,True
dtolnay/unicode-ident,gh/492639579,True,True,True,True,True
eemeli/yaml,gh/119439276,True,True,True,True,True
ehmicky/human-signals,gh/214467546,True,False,True,True,False
eliben/pycparser,gh/10589864,True,False,True,True,False
emotion-js/emotion,gh/92570536,True,True,True,True,True
encode/httpcore,gh/237210639,True,True,True,True,True
encode/httpx,gh/179492861,True,True,True,True,True
epoberezkin/fast-deep-equal,gh/94483360,True,True,True,True,True
epoberezkin/fast-json-stable-stringify,gh/108103016,True,True,True,True,True
epoberezkin/json-schema-traverse,gh/93333933,True,True,True,True,True
es-shims/array-includes,gh/28753032,True,True,True,True,True
es-shims/dunder-proto,gh/898274312,True,True,True,True,True
es-shims/es-object-atoms,gh/773229339,True,True,True,True,True
es-shims/es-set-tostringtag,gh/580683868,True,True,True,True,True
es-shims/math-intrinsics,gh/902014040,True,True,True,True,True
es-shims/object.values,gh/41723335,True,True,True,True,True
es-shims/regexp.prototype.flags,gh/26932422,True,True,True,True,True
es-shims/string.prototype.trimend,gh/114682758,True,True,True,True,True
es-shims/string.prototype.trimstart,gh/114682105,True,True,True,True,True
eslint-community/eslint-utils,gh/568240379,True,True,True,True,True
eslint/doctrine,gh/4286644,True,True,True,False,False
eslint/eslint,gh/11061773,True,True,True,True,True
eslint/js,gh/27620277,True,True,True,True,True
eslint/rewrite,gh/791446923,True,True,True,True,True
estools/escodegen,gh/3611422,True,False,True,True,False
estools/esquery,gh/11412938,True,False,True,True,False
estools/esrecurse,gh/27429822,True,False,True,True,False
estools/estraverse,gh/6145439,True,False,True,True,False
estools/esutils,gh/14677293,True,False,True,True,False
ethers-io/ethers.js,gh/63465664,True,True,True,True,True
evanw/esbuild,gh/61137153,True,False,True,True,False
evanw/node-source-map-support,gh/7682781,True,True,True,True,True
eventualbuddha/lines-and-columns,gh/47284288,True,False,True,True,False
executablebooks/markdown-it-py,gh/249956697,True,False,True,True,False
executablebooks/mdurl,gh/387293763,True,False,True,True,False
exodusoss/bytes,gh/885154008,True,False,True,True,False
expressjs/body-parser,gh/15669006,True,True,True,True,True
expressjs/serve-static,gh/17464338,True,True,True,True,True
facebook/prop-types,gh/87597642,True,True,True,False,False
facebook/regenerator,gh/13346571,True,True,True,False,False
facebook/watchman,gh/6930489,True,True,False,True,False
facebook/zstd,gh/29759715,True,True,False,True,False
facelessuser/soupsieve,gh/160789418,True,True,True,True,True
fastify/fast-uri,gh/419317518,True,True,True,True,True
faye/websocket-driver-node,gh/9733816,True,False,True,True,False
fb55/boolbase,gh/16864585,True,True,True,True,True
fb55/css-select,gh/3411063,True,True,True,True,True
fb55/css-what,gh/4460687,True,True,True,True,True
fb55/domelementtype,gh/6627835,True,True,True,True,True
fb55/domhandler,gh/5414232,True,True,True,True,True
fb55/domutils,gh/6627949,True,True,True,True,True
fb55/entities,gh/3172629,True,True,True,True,True
fb55/htmlparser2,gh/2279062,True,True,True,True,True
fb55/nth-check,gh/16864923,True,True,True,True,True
felixge/node-combined-stream,gh/1787452,True,False,True,True,False
felixge/node-delayed-stream,gh/1783893,True,False,True,True,False
feross/buffer,gh/14494363,True,True,True,True,True
feross/ieee754,gh/15489525,True,True,True,True,True
feross/is-buffer,gh/25997846,True,True,True,True,True
feross/queue-microtask,gh/207021895,True,True,True,True,True
feross/run-parallel,gh/18700638,True,True,True,True,True
feross/safe-buffer,gh/49538897,True,True,True,True,True
ffmpeg/ffmpeg,gh/1614410,True,True,True,True,True
firebase/firebase-js-sdk,gh/89290483,True,True,False,True,False
fitzgen/glob-to-regexp,gh/11461122,True,False,True,False,False
floatdrop/require-from-string,gh/39301848,True,False,True,False,False
floating-ui/floating-ui,gh/54994103,True,True,True,True,True
follow-redirects/follow-redirects,gh/6697086,True,True,True,True,True
form-data/form-data,gh/1755793,True,False,True,True,False
formatjs/formatjs,gh/19117456,True,True,True,True,True
freedesktop-unofficial-mirror/cairo,gh/34372735,True,True,True,True,True
freetype/freetype,gh/187000659,True,False,True,True,False
frenic/csstype,gh/104001328,True,False,True,True,False
frommi/miniz_oxide,gh/96124162,True,False,True,True,False
fsevents/fsevents,gh/1402936,True,True,True,True,True
fsspec/filesystem_spec,gh/130727736,True,True,True,True,True
fsspec/s3fs,gh/53987953,True,True,True,True,True
garycourt/uri-js,gh/989080,True,False,True,True,False
gcc-mirror/gcc,gh/22711503,True,True,True,True,True
getsentry/sentry-javascript,gh/3328572,True,True,False,True,False
giampaolo/psutil,gh/20101515,True,True,True,True,True
git/git,gh/36502,True,True,True,True,True
gitlab-freedesktop-mirrors/libxcb,gh/444023705,True,True,True,True,True
gitoxidelabs/gitoxide,gh/136510559,True,True,True,True,True
gitpython-developers/gitdb,gh/1126093,True,True,True,True,True
gitpython-developers/smmap,gh/1865144,True,True,True,True,True
gkz/levn,gh/13287279,True,False,True,True,False
gkz/optionator,gh/13435927,True,False,True,True,False
gkz/prelude-ls,gh/4457759,True,False,True,True,False
gkz/type-check,gh/13182168,True,False,True,True,False
gmp-mirror/gmp,gh/681340775,True,True,True,True,True
gnome/pango,gh/4537144,True,True,True,True,True
google/brotli,gh/24993138,True,True,False,True,False
google/zerocopy,gh/534354967,True,True,False,True,False
googleapis/google-cloud-python,gh/16316451,True,True,False,True,False
googleapis/python-cloud-core,gh/226992462,True,False,True,False,False
googleapis/python-crc32c,gh/159736041,True,False,True,False,False
googlechrome/workbox,gh/55424670,True,True,False,True,False
grahamdumpleton/wrapt,gh/10357291,True,True,True,True,True
grantjenks/python-sortedcontainers,gh/17144859,True,True,True,True,True
graydon/exhaustigen-rs,gh/432630522,True,False,True,True,False
gregberge/svgr,gh/102155012,True,True,True,True,True
grncdr/merge-stream,gh/10579821,True,False,True,True,False
grpc/grpc,gh/27729880,True,True,True,True,True
gsnedders/python-webencodings,gh/7043404,True,False,True,True,False
guillaumegomez/doc-comment,gh/127254922,True,True,True,True,True
gulpjs/glob-parent,gh/29154915,True,True,True,True,True
gweis/isodate,gh/6449370,True,True,True,True,True
gyscos/zstd-rs,gh/52115335,True,False,True,True,False
hapijs/hoek,gh/5831189,True,True,True,True,True
harfbuzz/harfbuzz,gh/5050525,True,True,True,True,True
hiddentao/fast-levenshtein,gh/9490451,True,False,True,True,False
httplib2/httplib2,gh/53002916,True,False,True,True,False
huggingface/huggingface_hub,gh/323591830,True,True,False,True,False
hukkin/tomli,gh/370616797,True,False,True,True,False
hyperium/http,gh/84983058,True,True,True,True,True
hyperium/http-body,gh/183281612,True,True,True,True,True
iarna/aproba,gh/31432421,True,False,True,True,False
import-js/eslint-plugin-import,gh/32238354,True,True,True,True,True
indexmap-rs/indexmap,gh/68294628,True,False,True,True,False
indutny/bn.js,gh/19176350,True,True,True,True,True
indygreg/python-zstandard,gh/67307930,True,True,True,True,True
inikulin/parse5,gh/8862593,True,True,True,True,True
inspect-js/array-buffer-byte-length,gh/607836784,True,True,True,True,True
inspect-js/available-typed-arrays,gh/235965505,True,True,True,True,True
inspect-js/functions-have-names,gh/198357138,True,True,True,True,True
inspect-js/has-bigints,gh/201714166,True,True,True,True,True
inspect-js/has-property-descriptors,gh/481834578,True,True,True,True,True
inspect-js/has-proto,gh/577580747,True,True,True,True,True
inspect-js/has-symbols,gh/68573418,True,True,True,True,True
inspect-js/has-tostringtag,gh/392913710,True,True,True,True,True
inspect-js/hasown,gh/703350811,True,True,True,True,True
inspect-js/is-accessor-descriptor,gh/41658954,True,True,True,True,True
inspect-js/is-arguments,gh/15725461,True,True,True,True,True
inspect-js/is-array-buffer,gh/45977026,True,True,True,True,True
inspect-js/is-bigint,gh/149682261,True,True,True,True,True
inspect-js/is-boolean-object,gh/34700259,True,True,True,True,True
inspect-js/is-callable,gh/30012910,True,True,True,True,True
inspect-js/is-core-module,gh/24578130,True,True,True,True,True
