"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"rsa","sybrenstuvel/python-rsa","2037122837","972247014","1290690125","1476636912","2504039736","3942000400","True","0.00346262","A","https://github.com/sybrenstuvel/python-rsa.git","eco","gh/50107469","","apache-2.0"
"filelock","tox-dev/filelock","1334509277","291075119","497492765","914935634","1799684939","3169357929","True","0.00343198","A","https://github.com/tox-dev/filelock.git","eco","gh/17098256","","mit"
"pytz","stub42/pytz","1973381728","797238680","1254042237","1573226137","2451322665","3791078921","True","0.00339651","A","https://github.com/stub42/pytz.git","override","gh/63155638","","mit"
"pluggy","pytest-dev/pluggy","1406797111","316180044","519122850","884185711","1861190935","3453306015","True","0.00338407","A","https://github.com/pytest-dev/pluggy.git","override","gh/34739117","","mit"
"azure-core","azure/azure-sdk-for-python","835734268","343611938","582861984","736833123","1069607279","1445757018","True","0.00336906","A","https://github.com/azure/azure-sdk-for-python.git","eco","gh/4127088","",""
"pyparsing","pyparsing/pyparsing","1336544702","713222103","1279204146","997565550","1507794688","2184937022","True","0.0033425","A","https://github.com/pyparsing/pyparsing.git","eco","gh/91262163","","mit"
"platformdirs","tox-dev/platformdirs","1576167490","127077459","511958798","1070882861","2288236974","3882681357","True","0.00332234","A","https://github.com/tox-dev/platformdirs.git","eco","gh/367032142","","mit"
"exceptiongroup","agronholm/exceptiongroup","889076042","331","97435585","807359157","1540572638","2000012500","True","0.00331619","A","https://github.com/agronholm/exceptiongroup.git","eco","gh/447694800","","mit"
"multidict","aio-libs/multidict","1254437923","487701310","953014781","885761650","1432730952","2512980921","True","0.00329043","A","https://github.com/aio-libs/multidict.git","eco","gh/51206425","",""
"s3fs","fsspec/s3fs","2293443452","174989812","535501398","1375646457","3443564403","5937515190","True","0.00328089","A","https://github.com/fsspec/s3fs.git","eco","gh/53987953","","bsd-3-clause"
"pytest-mypy","realpython/pytest-mypy","5810935","3781790","9197173","3650475","6900358","5524880","False","0.00327924","A","https://github.com/realpython/pytest-mypy.git","eco","gh/69576530","","mit"
"wrapt","grahamdumpleton/wrapt","1308995152","376232320","744702774","967471139","1840693633","2615875894","True","0.00317962","A","https://github.com/grahamdumpleton/wrapt.git","eco","gh/10357291","","bsd-2-clause"
"pyjwt","jpadilla/pyjwt","1593465211","546822308","1104224424","1400879036","2115489004","2799911283","True","0.00315966","A","https://github.com/jpadilla/pyjwt.git","eco","gh/1408162","","mit"
"isodate","gweis/isodate","993618223","396047279","625593269","841741361","1320083804","1784625400","True","0.00292784","A","https://github.com/gweis/isodate.git","eco","gh/6449370","","bsd-3-clause"
"awscli","aws/aws-cli","2023743595","1095235514","1555891132","2180787119","2245456670","3041347538","True","0.00289462","A","https://github.com/aws/aws-cli.git","eco","gh/6780767","","apache-2.0"
"oauthlib","oauthlib/oauthlib","1231001916","598591637","983618970","999470595","1452735597","2120592779","True","0.00288739","A","https://github.com/oauthlib/oauthlib.git","eco","gh/2811323","","bsd-3-clause"
"proto-plus","googleapis/google-cloud-python","738103791","168465168","350377448","477393072","998062849","1696220416","True","0.00285274","A","https://github.com/googleapis/google-cloud-python.git","eco","gh/16316451","","apache-2.0"
"pywin32","mhammond/pywin32","96072283","27310697","38934914","59591610","123991552","230532642","True","0.00278218","A","https://github.com/mhammond/pywin32.git","eco","gh/108187130","","python-2.0"
"referencing","python-jsonschema/referencing","656172941","0","2779","271613586","971125862","2038122476","True","0.00272128","A","https://github.com/python-jsonschema/referencing.git","eco","gh/569027868","","mit"
"anyio","agronholm/anyio","984409889","36314465","173387531","462175113","1096866995","3153305342","True","0.00269601","A","https://github.com/agronholm/anyio.git","eco","gh/145337588","","mit"
"iniconfig","pytest-dev/iniconfig","1091583981","215784681","409419454","664195716","1496933987","2671586065","True","0.00262227","A","https://github.com/pytest-dev/iniconfig.git","eco","gh/66012563","","mit"
"mdurl","executablebooks/mdurl","592313100","66586","26535488","242725931","793578645","1898658851","True","0.0025718","A","https://github.com/executablebooks/mdurl.git","eco","gh/387293763","","mit"
"sqlalchemy","sqlalchemy/sqlalchemy","1194988539","385874142","632108418","1008091488","1620604189","2328264459","True","0.00253419","A","https://github.com/sqlalchemy/sqlalchemy.git","eco","gh/159271175","","mit"
"h11","python-hyper/h11","995948721","120523671","257198499","361266016","1025597250","3215158169","True","0.00247943","A","https://github.com/python-hyper/h11.git","eco","gh/57372073","","mit"
"frozenlist","aio-libs/frozenlist","1002532321","60801113","507238490","784987573","1340852842","2318781585","True","0.00246904","A","https://github.com/aio-libs/frozenlist.git","eco","gh/204197530","","apache-2.0"
"requests-oauthlib","requests/requests-oauthlib","1259441144","578064990","901563901","906441446","1507266017","2403869364","True","0.00246397","A","https://github.com/requests/requests-oauthlib.git","eco","gh/6825724","","bsd-3-clause"
