"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"avro","https://github.com/apache/avro.git","","","","","","git,github",""
"avro-gen","https://github.com/rbystrit/avro_gen.git","","","","","","",""
"avro-gen3","https://github.com/acryldata/avro_gen.git","","","","","","",""
"avro-python3","","","","","","","",""
"aws-cdk-asset-awscli-v1","https://github.com/cdklabs/awscdk-asset-awscli.git","","","","","","",""
"aws-cdk-asset-kubectl-v20","https://github.com/cdklabs/awscdk-asset-kubectl.git","","","","","","",""
"aws-cdk-asset-node-proxy-agent-v6","https://github.com/cdklabs/awscdk-asset-node-proxy-agent.git","","","","","","",""
"aws-cdk-cloud-assembly-schema","https://github.com/aws/aws-cdk.git","","","","","","",""
"aws-cdk-integ-tests-alpha","https://github.com/aws/aws-cdk.git","","","","","","",""
"aws-cdk-lib","https://github.com/aws/aws-cdk.git","","","","","","",""
"aws-embedded-metrics","https://github.com/awslabs/aws-embedded-metrics-python.git","","","","","","",""
"aws-encryption-sdk","https://github.com/aws/aws-encryption-sdk-python.git","","","","","","",""
"aws-lambda-builders","https://github.com/awslabs/aws-lambda-builders.git","","","","","","",""
"aws-lambda-powertools","https://github.com/aws-powertools/powertools-lambda-python.git","","","","","","",""
"aws-psycopg2","https://github.com/abhimanyuhk/aws-psycopg2.git","","","","","","",""
"aws-requests-auth","https://github.com/davidmuller/aws-requests-auth.git","","","","","","",""
"aws-sam-cli","https://github.com/aws/aws-sam-cli.git","","","","","","",""
"aws-sam-translator","https://github.com/awslabs/serverless-application-model.git","","","","","","",""
"aws-sdk-bedrock-runtime","","","","","","","",""
"aws-sdk-signers","https://github.com/smithy-lang/smithy-python.git","","","","","","",""
"aws-xray-sdk","https://github.com/aws/aws-xray-sdk-python.git","","","","","","",""
"awscli","https://github.com/aws/aws-cli.git","","","","","","",""
"awscrt","https://github.com/awslabs/aws-crt-python.git","","","","","","",""
"awswrangler","https://github.com/aws/aws-sdk-pandas.git","","","","","","",""
"azure","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-ai-ml","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-ai-projects","","","","","","","",""
"azure-appconfiguration","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
