"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"vuejs/core","github","gh/137078487","https://github.com/vuejs/core.git","","True","npm","11","npm","@vue/shared","41.3918","62.40","A","A","","","","65.04","1","69.40"
"cssnano/cssnano","github","gh/33943153","https://github.com/cssnano/cssnano.git","","True","npm","38","npm","cssnano-utils","75.6834","73.48","A","A","","","","57.45","1","69.39"
"dtolnay/proc-macro2","github","gh/91860126","https://github.com/dtolnay/proc-macro2.git","","True","crates","1","crates","proc-macro2","80.3085","84.67","A","","","A","","54.81","1","69.38"
"postcss/postcss","github","gh/13078968","https://github.com/postcss/postcss.git","","True","npm","1","npm","postcss","48.4756","64.43","A","A","","","","63.48","1","69.38"
"acornjs/acorn","github","gh/5932749","https://github.com/acornjs/acorn.git","","True","npm","3","npm","acorn","64.485","70.02","A","A","","","","59.82","1","69.34"
"axios/axios","github","gh/23088740","https://github.com/axios/axios.git","","True","npm","1","npm","axios","33.8224","59.73","A","A","","","","66.58","1","69.30"
"pallets/click","github","gh/19103692","https://github.com/pallets/click.git","","True","pypi","1","pypi","click","50.4305","77.27","A","","A","","","60.64","1","69.15"
"swc-project/swc","github","gh/115110181","https://github.com/swc-project/swc.git","","True","npm,crates","95","npm","@swc/helpers","27.578","85.55","A","A","","B","","62.89","1","69.05"
"browserslist/browserslist","github","gh/27971466","https://github.com/browserslist/browserslist.git","","True","npm","1","npm","browserslist","54.3108","66.30","A","A","","","","61.50","1","68.96"
"ardatan/graphql-tools","github","gh/54432168","https://github.com/ardatan/graphql-tools.git","","True","npm","22","npm","@graphql-tools/utils","52.6792","65.72","A","A","","","","61.85","1","68.95"
"tokio-rs/tracing","github","gh/165289175","https://github.com/tokio-rs/tracing.git","","True","crates","12","crates","tracing","49.9342","75.67","A","","","A","","60.63","1","68.94"
"angular/angular-cli","github","gh/36891867","https://github.com/angular/angular-cli.git","","True","npm","4","npm","@angular-devkit/core","25.0662","56.63","A","A","","","","67.95","1","68.94"
"toml-rs/toml","github","gh/95902102","https://github.com/toml-rs/toml.git","","True","crates","7","crates","toml","54.6865","76.48","A","","","A","","59.65","1","68.91"
