repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
burntsushi/quickcheck,17559913,ok,13,2,1731,92,1,4449,38,561,0,0.8,,2026-05-18T23:27:40+00:00
burntsushi/same-file,78375612,ok,2,1,7222,13,1,3835,6,58,0,0.8,,2026-05-18T23:27:40+00:00
burntsushi/termcolor,141345580,ok,10,1,2917,185,1,4567,24,977,0,0.7,,2026-05-18T23:27:40+00:00
burntsushi/ucd-generate,123997498,ok,10,1,6151,15,1,6249,59,176,0,1.0,,2026-05-18T23:27:40+00:00
burntsushi/walkdir,42685794,ok,5,1,4722,39,1,4749,12,185,0,0.9,,2026-05-18T23:27:40+00:00
burntsushi/winapi-util,146040682,ok,5,1,5986,7,1,6914,17,35,0,0.9,,2026-05-18T23:27:40+00:00
businho/pytest-ruff,599731435,ok,7,1,6410,7,1,6410,39,39,0,0.9,,2026-05-18T23:27:40+00:00
bytecodealliance/rustix,295544240,ok,123,1,7136,126,1,7132,2146,2207,0,1.2,,2026-05-18T23:27:41+00:00
bytecodealliance/wasi-rs,196445196,ok,18,2,2359,26,2,1762,59,148,0,0.8,,2026-05-18T23:27:41+00:00
c-ares/c-ares,571708,ok,76,1,7195,180,2,1900,880,2947,0,1.1,,2026-05-18T23:27:41+00:00
calvinmetcalf/minimalistic-assert,29144257,ok,0,0,0,2,1,5556,0,3,0,0.7,,2026-05-18T23:27:41+00:00
calvinmetcalf/process-nextick-args,36039131,ok,0,0,0,8,1,5089,0,27,0,0.7,,2026-05-18T23:27:42+00:00
caolan/async,698041,ok,19,1,2911,266,3,1480,66,1477,1,0.9,,2026-05-18T23:27:42+00:00
certbot/certbot,26516210,ok,88,2,1887,536,4,1001,1137,9105,0,8.2,,2026-05-18T23:27:42+00:00
certifi/python-certifi,3060959,ok,19,2,1856,39,2,1901,50,183,2,0.6,,2026-05-18T23:27:42+00:00
chaijs/type-detect,12107007,ok,1,1,10000,16,2,2868,3,129,0,0.9,,2026-05-18T23:27:42+00:00
chalk/ansi-regex,20451415,ok,7,1,3516,15,1,4084,16,63,0,2.3,,2026-05-18T23:27:42+00:00
chalk/ansi-styles,11803168,ok,8,1,3560,21,1,3892,21,114,0,2.0,,2026-05-18T23:27:43+00:00
chalk/chalk,11855195,ok,11,1,3988,66,1,3070,63,348,0,6.6,,2026-05-18T23:27:43+00:00
chalk/slice-ansi,43191689,ok,3,1,7083,12,1,4329,12,69,0,4.8,,2026-05-18T23:27:45+00:00
chalk/strip-ansi,15014856,ok,2,1,8200,13,1,5737,10,73,0,5.0,,2026-05-18T23:27:45+00:00
chalk/supports-color,11855007,ok,14,1,3802,43,1,4016,43,193,0,4.8,,2026-05-18T23:27:45+00:00
chalk/wrap-ansi,41053676,ok,4,1,5537,11,1,4596,11,78,0,4.7,,2026-05-18T23:27:45+00:00
chalker/safer-buffer,125825141,ok,0,0,0,6,1,7734,0,49,0,4.8,,2026-05-18T23:27:45+00:00
chardet/chardet,5196969,ok,13,1,6970,54,1,7184,160,988,1,0.9,,2026-05-18T23:27:49+00:00
cheeriojs/dom-serializer,18991884,ok,4,1,8466,19,1,5654,37,134,2,0.9,,2026-05-18T23:27:49+00:00
chicoxyzzy/node-releases,73765596,ok,5,1,5952,11,2,4478,223,454,0,0.6,,2026-05-18T23:27:50+00:00
chronotope/chrono,18210201,ok,150,1,2981,255,3,1434,981,1581,1,0.7,,2026-05-18T23:27:50+00:00
chronotope/humantime,59320323,ok,13,1,3657,20,1,3363,44,117,0,0.6,,2026-05-18T23:27:50+00:00
clap-rs/clap,31315121,ok,306,1,5701,581,2,2474,3796,6649,2,1.7,,2026-05-18T23:27:50+00:00
cloudflare/cloudflare-python,753271547,ok,11,1,8301,12,1,6556,966,1099,1,1.7,,2026-05-18T23:27:50+00:00
colinhacks/zod,245704608,ok,451,1,3958,534,1,4460,1929,2588,3,1.2,,2026-05-18T23:27:50+00:00
colorjs/color-name,27038309,ok,3,2,3571,8,1,4337,14,41,0,0.9,,2026-05-18T23:27:50+00:00
comex/rust-shlex,37886228,ok,6,2,2622,8,2,3210,30,47,1,0.7,,2026-05-18T23:27:50+00:00
component/escape-html,5444800,ok,0,0,0,8,1,5000,0,36,0,0.7,,2026-05-18T23:40:01+00:00
component/toidentifier,114743189,ok,1,1,10000,2,1,9756,31,81,0,0.6,,2026-05-18T23:27:51+00:00
conventional-changelog/commitlint,51575745,ok,176,6,1570,291,3,1443,496,1527,2,1.0,,2026-05-18T23:27:51+00:00
conventional-changelog/conventional-changelog,15639771,ok,49,1,4034,158,1,3424,210,1579,3,0.7,,2026-05-18T23:27:51+00:00
cosmiconfig/cosmiconfig,45750507,ok,11,2,3022,35,2,1949,160,462,1,0.5,,2026-05-18T23:27:51+00:00
coveragepy/coveragepy,138421996,ok,97,1,8904,199,1,8840,2551,7154,1,1.0,,2026-05-18T23:27:52+00:00
cpburnz/python-pathspec,14648551,ok,11,1,6279,28,1,7441,159,355,0,0.5,,2026-05-18T23:27:52+00:00
crate-py/rpds,608018848,ok,18,1,5911,18,1,5906,264,268,2,0.7,,2026-05-18T23:27:52+00:00
criterion-rs/criterion.rs,1081104682,ok,68,4,936,136,2,2971,209,1365,2,0.7,,2026-05-18T23:27:52+00:00
crossbeam-rs/crossbeam,35566048,ok,50,1,5381,160,2,2580,454,1857,1,0.7,,2026-05-18T23:27:52+00:00
css-modules/icss-utils,42766912,ok,0,0,0,11,2,2022,0,60,1,1.1,,2026-05-18T23:27:52+00:00
cssnano/cssnano,33943153,ok,44,1,7582,128,1,3474,540,2578,1,0.7,,2026-05-18T23:25:53+00:00
csstools/postcss-plugins,219192307,ok,53,1,5732,135,1,4127,3245,4401,1,1.0,,2026-05-18T23:27:52+00:00
csstree/csstree,67236461,ok,16,1,7995,31,1,9255,235,1211,0,0.8,,2026-05-18T23:27:52+00:00
curl/curl,569041,ok,654,2,2535,1454,1,2978,10620,38423,2,2.5,,2026-05-18T23:40:02+00:00
cuviper/autocfg,135481335,ok,4,1,6440,9,1,6044,38,87,0,0.6,,2026-05-18T23:27:53+00:00
cyan4973/xxhash,19330466,ok,71,2,2751,123,1,4002,513,1438,1,1.2,,2026-05-18T23:27:53+00:00
daaku/nodejs-makeerror,2097803,ok,1,1,10000,2,1,8200,1,20,0,0.5,,2026-05-18T23:27:53+00:00
daaku/nodejs-tmpl,2171213,ok,1,1,10000,4,1,6095,3,13,0,0.5,,2026-05-18T23:27:53+00:00
dateutil/dateutil,26876372,ok,15,2,2720,130,2,2602,67,1147,0,0.6,,2026-05-18T23:27:53+00:00
davidhalter/parso,90668463,ok,20,4,1042,52,1,7560,51,1097,0,0.8,,2026-05-18T23:27:53+00:00
davisjam/safe-regex,90781457,ok,0,0,0,8,2,2497,0,62,0,0.6,,2026-05-18T23:27:53+00:00
dchest/tweetnacl-js,15649752,ok,4,1,6095,18,1,8728,13,378,0,0.6,,2026-05-18T23:27:53+00:00
