repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
ljharb/gopd,560708130,ok,1,1,10000,1,1,10000,23,26,0,0.5,,2026-05-18T23:28:54+00:00
ljharb/internal-slot,216159146,ok,1,1,10000,1,1,10000,46,73,0,0.5,,2026-05-18T23:28:54+00:00
ljharb/object-keys,9103992,ok,1,1,10000,8,1,9599,22,345,0,0.8,,2026-05-18T23:28:54+00:00
ljharb/object.assign,17755831,ok,1,1,10000,6,1,9718,65,351,1,0.5,,2026-05-18T23:28:54+00:00
ljharb/possible-typed-array-names,760136716,ok,1,1,10000,1,1,10000,15,16,0,0.5,,2026-05-18T23:28:54+00:00
ljharb/qs,22266795,ok,19,1,6656,76,1,4321,214,941,0,0.6,,2026-05-18T23:28:54+00:00
ljharb/safe-regex-test,540138887,ok,2,1,9356,3,1,8441,30,36,0,0.5,,2026-05-18T23:25:53+00:00
ljharb/set-function-length,704249795,ok,1,1,10000,1,1,10000,34,34,0,0.6,,2026-05-18T23:28:54+00:00
ljharb/side-channel,225239081,ok,2,1,8861,4,1,8945,33,73,0,0.5,,2026-05-18T23:28:54+00:00
ljharb/side-channel-list,901451610,ok,1,1,10000,1,1,10000,5,10,0,0.5,,2026-05-18T23:28:55+00:00
ljharb/side-channel-map,901191461,ok,1,1,10000,1,1,10000,9,9,0,0.5,,2026-05-18T23:28:55+00:00
ljharb/side-channel-weakmap,901188921,ok,1,1,10000,1,1,10000,12,12,0,0.5,,2026-05-18T23:28:55+00:00
lodash/lodash,3955647,ok,8,1,3989,260,1,7505,23,7507,1,1.0,,2026-05-18T23:28:55+00:00
loganfsmyth/gensync,132383032,ok,0,0,0,3,1,4877,0,18,0,0.5,,2026-05-18T23:28:55+00:00
lokathor/bytemuck,209673558,ok,59,1,3589,70,1,4690,305,462,0,0.6,,2026-05-18T23:28:55+00:00
lukeed/dequal,174421655,ok,3,1,4400,4,1,8984,5,57,1,0.5,,2026-05-18T23:28:55+00:00
lukeed/escalade,273568715,ok,2,1,7551,4,1,8778,7,47,0,0.5,,2026-05-18T23:28:55+00:00
lukeed/kleur,140393403,ok,4,1,3333,16,1,7441,6,123,0,0.5,,2026-05-18T23:28:55+00:00
lxml/lxml,1353927,ok,60,1,7999,177,2,4284,1068,6529,1,0.9,,2026-05-18T23:28:56+00:00
lydell/js-tokens,17552490,ok,3,1,8856,4,1,9444,50,141,1,0.5,,2026-05-18T23:28:56+00:00
lz4/lz4,18106269,ok,83,1,4144,199,1,3483,752,2781,1,0.7,,2026-05-18T23:28:56+00:00
madler/zlib,2359378,ok,57,2,3309,89,1,5033,456,1030,0,0.8,,2026-05-18T23:28:56+00:00
mafintosh/end-of-stream,14732255,ok,2,1,5000,9,1,5191,2,48,0,0.7,,2026-05-18T23:28:56+00:00
mafintosh/pump,12118126,ok,2,1,7551,7,1,7980,7,74,0,0.7,,2026-05-18T23:28:56+00:00
mafintosh/tar-stream,15340089,ok,6,1,5283,44,1,5256,21,224,0,0.5,,2026-05-18T23:28:56+00:00
marshallpierce/rust-base64,47371310,ok,25,1,4329,52,1,4219,146,385,0,0.5,,2026-05-18T23:28:56+00:00
mathiasbynens/cssesc,12001360,ok,0,0,0,5,1,6301,0,28,0,0.5,,2026-05-18T23:28:56+00:00
mathiasbynens/emoji-regex,24557614,ok,7,1,7199,18,1,7078,39,119,0,0.5,,2026-05-18T23:28:57+00:00
mathiasbynens/jsesc,10498729,ok,2,1,6250,9,1,8562,4,133,0,0.6,,2026-05-18T23:28:57+00:00
mathiasbynens/punycode.js,2755924,ok,10,1,3422,19,1,7227,23,146,0,0.5,,2026-05-18T23:25:53+00:00
mathiasbynens/regenerate,10182772,ok,0,0,0,6,1,8752,0,123,0,0.5,,2026-05-18T23:28:57+00:00
mathiasbynens/regexpu-core,49437324,ok,4,2,3243,7,1,4593,71,180,0,0.5,,2026-05-18T23:28:57+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,ok,1,1,10000,1,1,10000,4,16,0,0.5,,2026-05-18T23:28:57+00:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,ok,2,1,7812,3,1,8496,8,25,0,0.5,,2026-05-18T23:28:57+00:00
matklad/once_cell,143220272,ok,36,4,1152,58,1,2827,170,362,0,0.6,,2026-05-18T23:28:57+00:00
matplotlib/matplotlib,1385122,ok,687,5,727,1811,7,449,9600,37328,3,5.4,,2026-05-18T23:28:57+00:00
mcollina/fastq,37368217,ok,16,1,4040,28,1,5159,43,109,2,0.5,,2026-05-18T23:28:58+00:00
mcollina/reusify,42106515,ok,2,1,6800,7,1,3793,5,29,1,0.5,,2026-05-18T23:28:58+00:00
mdn/data,70901646,ok,61,3,1728,115,7,636,471,981,2,0.6,,2026-05-18T23:28:58+00:00
medikoo/d,10817569,ok,1,1,10000,2,1,9770,22,86,0,0.8,,2026-05-18T23:28:58+00:00
medikoo/es5-ext,1792941,ok,4,1,8767,11,1,9832,62,1657,0,0.9,,2026-05-18T23:28:58+00:00
medikoo/es6-symbol,14423385,ok,1,1,10000,6,1,8936,16,109,0,1.4,,2026-05-18T23:28:58+00:00
medikoo/type,177198492,ok,2,1,8400,2,1,9522,57,204,0,1.1,,2026-05-18T23:28:58+00:00
mhammond/pywin32,108187130,ok,61,2,2994,112,1,5305,536,4954,0,1.1,,2026-05-18T23:28:58+00:00
micheles/decorator,14656555,ok,12,1,4857,31,1,6326,85,380,0,0.7,,2026-05-18T23:28:59+00:00
micromark/micromark,157420458,ok,18,1,8319,21,1,8908,316,656,0,0.6,,2026-05-18T23:28:59+00:00
micromatch/anymatch,11458302,ok,3,1,3750,14,1,4616,4,157,0,0.5,,2026-05-18T23:28:59+00:00
micromatch/braces,25475303,ok,7,2,2222,13,1,7636,18,235,0,0.5,,2026-05-18T23:28:59+00:00
micromatch/is-extglob,31788841,ok,0,0,0,2,1,7341,0,19,0,0.5,,2026-05-18T23:29:00+00:00
micromatch/is-glob,28179425,ok,3,2,3469,7,1,5986,7,64,0,0.5,,2026-05-18T23:29:00+00:00
micromatch/micromatch,27359938,ok,7,2,2044,31,1,7395,30,554,0,0.5,,2026-05-18T23:29:00+00:00
micromatch/picomatch,156211895,ok,13,2,1957,28,1,3019,41,219,1,0.5,,2026-05-18T23:29:00+00:00
micromatch/to-regex-range,40355891,ok,1,1,10000,4,1,8067,3,77,0,0.5,,2026-05-18T23:29:00+00:00
microsoft/tslib,34414315,ok,17,2,2220,37,3,1390,73,231,2,0.4,,2026-05-18T23:25:53+00:00
microsoft/typescript,20929025,ok,329,5,691,877,8,439,4992,28872,2,4.0,,2026-05-18T23:29:00+00:00
microsoft/windows-rs,208102250,ok,72,1,6703,87,1,6152,1492,1862,2,0.8,,2026-05-18T23:29:00+00:00
minimistjs/minimist,549230701,ok,7,1,4775,22,2,2196,81,165,0,0.5,,2026-05-18T23:29:00+00:00
mitsuhiko/insta,165561258,ok,51,1,4172,72,1,4747,622,963,1,1.0,,2026-05-18T23:29:00+00:00
mlocati/gettext-iconv-windows,12751919,ok,2,1,9832,3,1,9853,118,271,0,0.8,,2026-05-18T23:29:01+00:00
mm2/little-cms,507969,ok,43,1,6495,73,1,5984,488,1119,2,0.7,,2026-05-18T23:29:01+00:00
moment/moment,1424470,ok,13,1,4044,667,4,1006,63,3050,0,0.8,,2026-05-18T23:29:01+00:00
more-itertools/more-itertools,4144530,ok,78,2,1723,140,2,2343,846,1701,0,1.3,,2026-05-18T23:29:01+00:00
motdotla/dotenv,11205780,ok,57,1,7086,106,1,4951,492,785,2,0.7,,2026-05-18T23:29:01+00:00
moxystudio/node-cross-spawn,21335844,ok,3,1,7278,19,1,7810,13,214,1,0.6,,2026-05-18T23:29:01+00:00
mozilla/source-map,2014930,ok,12,3,1702,93,1,2864,37,537,0,1.3,,2026-05-18T23:29:02+00:00
mrabarnett/mrab-regex,309446978,ok,6,1,8195,12,2,2862,104,488,0,0.6,,2026-05-18T23:29:02+00:00
mrmlnc/fast-glob,77467076,ok,14,1,5219,30,1,8900,155,653,0,0.6,,2026-05-18T23:29:02+00:00
msgpack/msgpack-python,2242705,ok,22,1,5321,82,1,5829,102,803,1,1.0,,2026-05-18T23:29:02+00:00
mysticatea/abort-controller,105228556,ok,0,0,0,5,1,8092,0,49,0,0.5,,2026-05-18T23:29:02+00:00
mysticatea/event-target-shim,31137469,ok,1,1,10000,7,1,8039,15,124,0,0.5,,2026-05-18T23:29:02+00:00
netflix/vmaf,51317975,ok,54,3,1408,113,1,3304,515,2064,1,0.9,,2026-05-18T23:29:03+00:00
nghttp2/nghttp2,11452676,ok,45,1,8934,165,1,8731,1258,7490,2,1.1,,2026-05-18T23:29:03+00:00
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,ok,1,1,10000,3,1,8168,15,50,0,0.6,,2026-05-18T23:29:03+00:00
nlnetlabs/unbound,94195301,ok,92,1,4061,140,1,7004,1781,7845,0,1.0,,2026-05-18T23:29:03+00:00
node-fetch/fetch-blob,186960326,ok,4,1,6163,10,2,2817,48,91,2,0.7,,2026-05-18T23:29:03+00:00
node-fetch/node-fetch,29849956,ok,51,7,978,113,2,1460,94,592,2,0.8,,2026-05-18T23:29:03+00:00
nodeca/argparse,4325614,ok,1,1,10000,25,2,2385,1,221,0,0.5,,2026-05-18T23:29:04+00:00
nodeca/js-yaml,2504175,ok,6,1,3673,78,2,2741,14,1216,0,0.6,,2026-05-18T23:29:04+00:00
nodeca/pako,16231859,ok,5,1,4792,23,1,6281,35,364,0,0.7,,2026-05-18T23:29:04+00:00
nodejs/node,27193779,ok,1149,13,260,4228,19,200,12808,46201,2,24.2,,2026-05-18T23:29:04+00:00
nodejs/readable-stream,5187096,ok,15,2,2521,56,3,1875,38,461,0,0.6,,2026-05-18T23:29:04+00:00
nodejs/string_decoder,95052330,ok,0,0,0,10,2,3037,0,45,0,0.5,,2026-05-18T23:29:04+00:00
nodejs/undici,133092972,ok,322,4,1081,365,2,1982,2356,3607,2,1.0,,2026-05-18T23:29:04+00:00
nodelib/nodelib,129310478,ok,5,1,4776,7,1,6582,122,319,0,0.9,,2026-05-18T23:29:05+00:00
npm/abbrev-js,554893,ok,6,1,3745,10,2,3131,27,66,2,1.1,,2026-05-18T23:29:05+00:00
npm/cacache,193812470,ok,14,2,2089,34,1,4767,93,668,3,0.7,,2026-05-18T23:29:05+00:00
npm/hosted-git-info,25002984,ok,14,2,2607,36,3,1624,76,239,2,0.6,,2026-05-18T23:29:05+00:00
npm/ini,2167680,ok,14,2,2632,27,2,2316,50,131,2,0.5,,2026-05-18T23:29:05+00:00
npm/json-parse-even-better-errors,211384370,ok,3,1,6033,7,2,2644,33,65,2,0.6,,2026-05-18T23:29:05+00:00
npm/mute-stream,5159166,ok,6,1,3750,11,2,2467,28,58,2,0.6,,2026-05-18T23:29:05+00:00
npm/node-semver,1357199,ok,29,2,2062,101,1,3066,100,478,2,0.8,,2026-05-18T23:29:06+00:00
npm/node-which,2169708,ok,8,1,3246,19,1,5079,29,148,2,0.5,,2026-05-18T23:29:06+00:00
npm/nopt,1544436,ok,5,1,3872,25,2,1935,48,151,2,0.5,,2026-05-18T23:29:06+00:00
npm/normalize-package-data,9301720,ok,12,2,2397,39,3,1720,64,297,2,0.5,,2026-05-18T23:29:06+00:00
npm/ssri,193817839,ok,11,2,2435,16,1,3126,57,179,2,0.5,,2026-05-18T23:29:06+00:00
npm/unique-slug,35246620,ok,7,1,4498,12,2,2034,34,56,2,0.5,,2026-05-18T23:29:06+00:00
npm/write-file-atomic,23896209,ok,6,1,3726,27,3,1651,47,159,2,0.6,,2026-05-18T23:29:06+00:00
numpy/numpy,908607,ok,918,11,373,2020,12,269,10356,30543,2,4.8,,2026-05-18T23:29:06+00:00
nv/cssom,1025209,ok,3,1,4400,22,1,5093,5,185,0,0.6,,2026-05-18T23:29:07+00:00
nvzqz/static-assertions,100129252,ok,0,0,0,6,1,9238,0,281,0,0.5,,2026-05-18T23:29:07+00:00
oauthlib/oauthlib,2811323,ok,40,2,2582,199,5,906,195,1355,0,0.6,,2026-05-18T23:29:07+00:00
octokit/openapi-types.ts,304109193,ok,11,1,4216,11,1,3959,237,268,3,0.6,,2026-05-18T23:29:07+00:00
octokit/types.ts,216109757,ok,16,1,3339,23,2,3227,231,337,5,0.8,,2026-05-18T23:29:07+00:00
oozcitak/xmlbuilder-js,1042809,ok,1,1,10000,30,1,8542,6,619,1,0.7,,2026-05-18T23:29:07+00:00
open-telemetry/opentelemetry-js,185901023,ok,280,5,720,381,6,570,1937,3051,3,2.7,,2026-05-18T23:29:07+00:00
open-telemetry/opentelemetry-js-contrib,255986659,ok,272,7,464,326,8,470,1610,2459,4,0.8,,2026-05-18T23:29:08+00:00
open-telemetry/opentelemetry-python,185478926,ok,252,5,662,352,8,477,1226,2098,3,1.7,,2026-05-18T23:29:08+00:00
open-telemetry/opentelemetry-python-contrib,220524743,ok,360,12,312,456,8,489,1625,2825,3,0.9,,2026-05-18T23:29:08+00:00
openssl/openssl,7634677,ok,737,6,516,1395,5,670,10851,39772,1,11.5,,2026-05-18T23:29:08+00:00
opensuse/ca-certificates,10785433,ok,8,1,3965,15,1,4802,32,133,0,0.7,,2026-05-18T23:29:08+00:00
p11-glue/p11-kit,12060420,ok,43,2,3058,101,2,2842,355,1517,0,1.0,,2026-05-18T23:29:08+00:00
pallets/click,19103692,ok,157,3,1332,434,4,960,655,1904,4,1.7,,2026-05-18T23:29:09+00:00
pallets/flask,596892,ok,153,1,4067,835,3,1232,702,3660,3,1.8,,2026-05-18T23:29:09+00:00
pallets/itsdangerous,1945034,ok,9,1,8354,41,1,3426,104,303,3,0.6,,2026-05-18T23:29:10+00:00
pallets/jinja,994551,ok,68,1,4897,331,1,3211,282,2054,3,1.1,,2026-05-18T23:29:10+00:00
pallets/markupsafe,734244,ok,19,1,7711,46,1,4790,212,369,3,1.1,,2026-05-18T23:29:10+00:00
pallets/werkzeug,997338,ok,112,1,4503,504,2,1883,665,4212,3,1.9,,2026-05-18T23:29:10+00:00
pandas-dev/pandas,858127,ok,1591,7,668,3945,10,459,11372,34716,5,5.4,,2026-05-18T23:29:11+00:00
paramiko/paramiko,119609,ok,33,1,6676,178,1,3685,440,2932,0,1.3,,2026-05-18T23:29:11+00:00
paulmillr/chokidar,4090287,ok,24,2,3324,119,2,3286,176,1539,1,0.9,,2026-05-18T23:29:12+00:00
paulmillr/readdirp,4494405,ok,9,1,7533,36,2,3404,60,411,1,0.9,,2026-05-18T23:29:12+00:00
pcre2project/pcre2,398251321,ok,58,2,2374,63,1,4572,894,2181,2,0.9,,2026-05-18T23:29:12+00:00
pest-parser/pest,56964647,ok,74,4,1355,141,2,2427,225,1149,0,0.9,,2026-05-18T23:29:12+00:00
peternator7/strum,80964373,ok,88,5,1266,116,3,1946,196,309,0,1.0,,2026-05-18T23:29:13+00:00
petkaantonov/bluebird,12670444,ok,4,2,3061,234,1,6023,7,1892,1,0.7,,2026-05-18T23:29:13+00:00
pexpect/ptyprocess,24727748,ok,9,3,1378,20,1,3145,15,116,0,0.5,,2026-05-18T23:29:13+00:00
pillarjs/encodeurl,60721766,ok,6,2,2727,8,1,5624,11,46,1,0.5,,2026-05-18T23:29:13+00:00
pillarjs/finalhandler,20547377,ok,7,1,4164,11,1,7562,105,378,1,0.6,,2026-05-18T23:29:13+00:00
pillarjs/iconv-lite,2743221,ok,6,1,4739,41,1,5170,21,274,1,0.5,,2026-05-18T23:25:52+00:00
pillarjs/parseurl,17533192,ok,5,1,8258,8,1,8355,54,183,1,0.8,,2026-05-18T23:29:14+00:00
pillarjs/path-to-regexp,5265803,ok,12,1,7799,39,1,7321,102,352,1,0.5,,2026-05-18T23:29:14+00:00
pillarjs/send,4879977,ok,9,1,3824,36,1,6537,103,583,1,0.5,,2026-05-18T23:29:14+00:00
pkgconf/pkgconf,4180110,ok,47,1,5303,96,1,6383,672,2112,0,0.6,,2026-05-18T23:29:14+00:00
pnggroup/libpng,3768025,ok,50,1,4985,114,1,5763,497,4609,0,0.9,,2026-05-18T23:29:14+00:00
postcss/postcss,13078968,ok,99,1,3330,439,1,5199,722,3710,1,1.2,,2026-05-18T23:29:15+00:00
postcss/postcss-selector-parser,36500102,ok,17,2,1800,46,2,2488,50,356,1,0.7,,2026-05-18T23:29:15+00:00
prettier/prettier,75104123,ok,274,1,4067,795,3,1508,2850,7236,5,2.6,,2026-05-18T23:29:15+00:00
primus/eventemitter3,13100677,ok,4,1,8752,31,1,4411,46,297,1,0.6,,2026-05-18T23:29:15+00:00
proptest-rs/proptest,94702898,ok,65,5,781,99,2,2216,252,934,1,1.3,,2026-05-18T23:29:16+00:00
protobufjs/protobuf.js,8507859,ok,45,3,1249,120,1,5050,152,923,4,1.0,,2026-05-18T23:29:16+00:00
protocolbuffers/protobuf,23357588,ok,604,3,1768,1357,5,956,11683,19385,1,4.3,,2026-05-18T23:29:16+00:00
psf/requests,1362490,ok,102,6,1207,763,2,2217,239,4809,1,1.9,,2026-05-18T23:29:16+00:00
psycopg/psycopg2,7730829,ok,34,1,6163,142,1,4660,245,2809,1,1.2,,2026-05-18T23:29:16+00:00
pvorb/clone,2317381,ok,1,1,10000,33,1,3689,1,183,0,0.5,,2026-05-18T23:29:17+00:00
py4j/py4j,1045976,ok,18,2,2083,43,1,6960,59,754,0,0.8,,2026-05-18T23:29:17+00:00
pyasn1/pyasn1,512723255,ok,15,2,1730,29,2,4065,46,949,0,0.5,,2026-05-18T23:29:18+00:00
pyasn1/pyasn1-modules,512723354,ok,5,2,2711,15,2,2874,15,337,0,0.5,,2026-05-18T23:29:18+00:00
pyca/bcrypt,9993757,ok,19,1,4692,38,2,2909,143,324,1,0.7,,2026-05-18T23:29:18+00:00
pyca/cryptography,11939484,ok,152,1,4211,369,2,2996,2888,9102,3,4.1,,2026-05-18T23:29:18+00:00
pyca/pynacl,8350032,ok,26,2,1724,75,3,1466,114,672,1,0.6,,2026-05-18T23:29:18+00:00
pyca/pyopenssl,15778059,ok,32,1,3046,108,2,2343,238,1979,1,0.6,,2026-05-18T23:29:19+00:00
pydantic/pydantic,90194616,ok,547,4,854,749,4,923,4017,4938,4,1.6,,2026-05-18T23:29:19+00:00
pydantic/typing-inspection,930576948,ok,3,1,7727,3,1,7769,47,48,0,0.6,,2026-05-18T23:29:19+00:00
pygments/pygments,205564111,ok,323,5,852,887,7,889,1467,6111,0,1.7,,2026-05-18T23:29:19+00:00
pypa/distlib,436970140,ok,20,1,6808,41,1,8793,170,1281,0,0.7,,2026-05-18T23:29:20+00:00
pypa/packaging,19837758,ok,88,4,1065,140,4,886,348,875,1,0.8,,2026-05-18T23:29:20+00:00
pypa/pip,1446467,ok,299,5,701,827,8,466,3173,11803,2,1.7,,2026-05-18T23:29:20+00:00
pypa/setuptools,54980593,ok,233,2,2635,612,2,1794,4541,13921,2,2.0,,2026-05-18T23:29:21+00:00
pypa/virtualenv,1446474,ok,107,1,2948,150,1,4144,427,825,4,1.0,,2026-05-18T23:29:21+00:00
pypa/wheel,98346885,ok,31,1,4861,85,2,2690,199,898,1,1.0,,2026-05-18T23:29:21+00:00
pyparsing/pyparsing,91262163,ok,50,1,6972,78,1,7022,933,1625,0,0.8,,2026-05-18T23:29:21+00:00
pytest-dev/iniconfig,66012563,ok,8,1,4512,15,1,4002,63,149,1,0.7,,2026-05-18T23:29:21+00:00
pytest-dev/pluggy,34739117,ok,23,2,2485,56,3,1182,182,560,2,0.7,,2026-05-18T23:29:21+00:00
pytest-dev/pytest,37489525,ok,412,5,1010,1059,4,793,2179,12156,3,1.8,,2026-05-18T23:29:22+00:00
python-attrs/attrs,29918975,ok,102,1,6388,184,1,6190,879,1719,2,0.6,,2026-05-18T23:29:22+00:00
python-cffi/cffi,696427398,ok,40,2,1678,99,1,7511,193,3287,0,0.7,,2026-05-18T23:29:22+00:00
python-greenlet/greenlet,3003137,ok,34,1,7243,83,1,2969,533,1069,1,0.7,,2026-05-18T23:29:22+00:00
python-hyper/brotlicffi,43543393,ok,11,1,2811,21,2,3596,26,313,0,0.6,,2026-05-18T23:29:22+00:00
python-hyper/h11,57372073,ok,19,3,1302,36,1,4817,57,439,0,0.5,,2026-05-18T23:29:23+00:00
python-jsonschema/jsonschema,3072629,ok,39,1,6840,122,1,6328,789,2395,2,1.1,,2026-05-18T23:29:23+00:00
python-pillow/pillow,5171600,ok,153,1,4714,498,2,2192,5492,14241,2,2.1,,2026-05-18T23:29:23+00:00
python-poetry/poetry,123303402,ok,386,4,884,639,3,1340,1891,3577,2,1.1,,2026-05-18T23:29:23+00:00
python-poetry/tomlkit,140365570,ok,36,1,4649,45,2,3320,198,376,2,0.7,,2026-05-18T23:29:23+00:00
python-trio/sniffio,142657210,ok,6,2,2654,15,3,1510,33,69,0,0.6,,2026-05-18T23:29:23+00:00
python/importlib_metadata,306448340,ok,48,1,6440,69,1,6784,739,1459,1,0.9,,2026-05-18T23:29:23+00:00
python/importlib_resources,306147182,ok,39,1,6578,50,1,5224,530,885,1,0.7,,2026-05-18T23:29:24+00:00
python/mypy,7053637,ok,419,5,753,814,3,1642,3759,13095,3,2.0,,2026-05-18T23:29:24+00:00
python/mypy_extensions,165752308,ok,7,2,2686,23,3,1440,22,64,1,0.5,,2026-05-18T23:29:24+00:00
python/typeshed,31696383,ok,887,6,590,1633,10,339,6881,11122,4,1.7,,2026-05-18T23:29:25+00:00
python/typing,24604008,ok,83,3,1221,144,4,989,448,1041,2,0.6,,2026-05-18T23:29:25+00:00
python/typing_extensions,494077289,ok,57,2,1982,77,2,1594,441,503,2,0.7,,2026-05-18T23:29:25+00:00
python/tzdata,242158882,ok,6,1,5280,6,1,6243,66,142,2,0.7,,2026-05-18T23:29:25+00:00
qix-/color-convert,1874305,ok,6,1,4464,31,1,3045,17,135,0,0.5,,2026-05-18T23:29:25+00:00
qix-/node-error-ex,41388258,ok,1,1,10000,5,1,8321,1,45,0,0.5,,2026-05-18T23:29:25+00:00
qix-/node-is-arrayish,41376759,ok,1,1,10000,4,1,7049,1,24,0,0.5,,2026-05-18T23:29:26+00:00
qt/qt5,9880318,ok,125,9,458,218,4,1387,2087,6342,0,1.3,,2026-05-18T23:29:26+00:00
radix-ui/primitives,273499522,ok,82,3,1499,85,3,1800,1152,1620,2,0.7,,2026-05-18T23:29:26+00:00
raszi/node-tmp,2313213,ok,7,2,3675,37,1,3992,40,358,1,0.5,,2026-05-18T23:29:26+00:00
raynos/for-each,6006855,ok,2,1,8951,3,1,7594,18,67,0,0.5,,2026-05-18T23:29:26+00:00
raynos/function-bind,10727014,ok,2,1,8951,6,1,9011,18,98,0,0.4,,2026-05-18T23:29:26+00:00
rayon-rs/either,42479602,ok,20,1,3288,40,2,1705,104,211,0,0.6,,2026-05-18T23:29:27+00:00
rayon-rs/rayon,24725038,ok,47,1,4316,154,2,2614,401,1767,0,0.7,,2026-05-18T23:29:27+00:00
reactivex/rxjs,32247847,ok,124,2,2051,547,3,1558,849,4953,1,0.8,,2026-05-18T23:29:27+00:00
realpython/pytest-mypy,69576530,ok,2,1,9584,17,1,7825,94,232,0,0.9,,2026-05-18T23:29:27+00:00
remix-run/react-router,19872456,ok,584,4,1148,1248,4,908,4974,9306,3,1.4,,2026-05-18T23:29:27+00:00
remusao/tldts,97631656,ok,4,1,5447,20,1,3711,757,1421,4,0.8,,2026-05-18T23:29:27+00:00
requests/requests-oauthlib,6825724,ok,20,1,3824,117,5,621,115,469,0,0.5,,2026-05-18T23:29:27+00:00
requests/toolbelt,15515181,ok,16,2,1881,73,1,2976,45,472,0,0.6,,2026-05-18T23:29:28+00:00
retep998/winapi-rs,23853482,ok,1,1,10000,161,3,2308,1,903,0,0.6,,2026-05-18T23:29:28+00:00
rich-harris/estree-walker,33668779,ok,4,1,3878,12,1,4807,14,97,0,0.5,,2026-05-18T23:29:28+00:00
rich-harris/magic-string,26143240,ok,32,1,3467,55,1,3641,136,522,2,0.8,,2026-05-18T23:29:28+00:00
rob--w/proxy-from-env,52038793,ok,1,1,10000,4,1,8365,2,46,0,0.5,,2026-05-18T23:29:28+00:00
rogdham/backports.zstd,977687927,ok,2,1,9678,3,1,9456,61,72,0,0.6,,2026-05-18T23:29:28+00:00
rollup/plugins,203607977,ok,157,2,1913,257,3,1306,709,1260,1,0.6,,2026-05-18T23:29:28+00:00
ronaldoussoren/pyobjc,243933900,ok,10,1,9868,34,1,7252,1362,5715,1,0.8,,2026-05-18T23:29:28+00:00
rust-cli/anstyle,493821282,ok,25,1,8370,38,1,6930,771,943,2,0.7,,2026-05-18T23:29:29+00:00
rust-cli/env_logger,96382888,ok,26,1,6531,75,2,2580,293,516,2,0.7,,2026-05-18T23:29:29+00:00
rust-embedded/critical-section,365854323,ok,13,1,3489,13,1,3489,104,104,0,0.7,,2026-05-18T23:29:29+00:00
rust-fuzz/arbitrary,90591032,ok,53,6,987,63,2,2082,160,292,0,0.5,,2026-05-18T23:29:29+00:00
rust-itertools/itertools,22360263,ok,93,3,1229,189,3,1025,667,1900,1,0.8,,2026-05-18T23:29:29+00:00
rust-lang-nursery/lazy-static.rs,21157492,ok,14,3,1213,59,3,1622,26,201,0,0.7,,2026-05-18T23:29:29+00:00
rust-lang/cc-rs,26039547,ok,162,7,1044,322,6,1114,500,1201,3,0.6,,2026-05-18T23:29:29+00:00
rust-lang/cfg-if,38723660,ok,8,2,1982,18,1,2860,26,84,3,0.5,,2026-05-18T23:29:30+00:00
rust-lang/compiler-builtins,65153793,ok,117,1,3362,211,3,1541,1043,2149,1,0.8,,2026-05-18T23:29:30+00:00
rust-lang/flate2-rs,21954009,ok,49,5,751,110,3,1973,188,631,3,0.7,,2026-05-18T23:29:30+00:00
rust-lang/futures-rs,55077261,ok,101,1,3112,352,3,1133,391,3021,1,0.7,,2026-05-18T23:29:30+00:00
rust-lang/glob,23241722,ok,15,3,1326,46,5,963,47,177,2,0.8,,2026-05-18T23:29:30+00:00
rust-lang/hashbrown,155119796,ok,87,5,780,133,6,840,462,854,1,0.8,,2026-05-18T23:29:30+00:00
rust-lang/libc,29197565,ok,427,11,555,829,20,285,2699,5832,3,1.1,,2026-05-18T23:29:30+00:00
rust-lang/libz-sys,26042019,ok,29,3,1330,56,3,1354,158,336,2,0.6,,2026-05-18T23:29:30+00:00
rust-lang/log,27974762,ok,51,2,1988,130,4,899,272,645,0,0.7,,2026-05-18T23:29:30+00:00
rust-lang/pkg-config-rs,26042035,ok,20,3,1224,56,3,1174,65,221,0,0.5,,2026-05-18T23:29:30+00:00
rust-lang/regex,27890669,ok,72,1,6538,207,1,5077,516,1423,0,0.6,,2026-05-18T23:29:31+00:00
rust-lang/rust,724712,ok,3875,42,112,7511,57,79,99014,224223,4,32.2,,2026-05-18T23:29:31+00:00
rust-num/num-traits,114705611,ok,27,1,3192,131,4,1534,128,905,0,0.5,,2026-05-18T23:29:31+00:00
rust-phf/rust-phf,15992970,ok,32,1,4552,72,1,3987,140,658,1,0.5,,2026-05-18T23:29:31+00:00
rust-random/getrandom,166545969,ok,44,2,2897,63,2,2790,356,580,1,0.7,,2026-05-18T23:29:31+00:00
rust-random/rand,30227790,ok,94,2,1792,308,3,1241,561,2793,1,1.1,,2026-05-18T23:29:31+00:00
rust-random/rand_core,1086593277,ok,26,1,3074,38,2,2860,170,343,1,0.6,,2026-05-18T23:29:31+00:00
rust-random/rngs,209510094,ok,15,1,3178,21,1,3707,80,149,1,0.5,,2026-05-18T23:29:31+00:00
rustcrypto/formats,406051759,ok,96,1,3735,101,1,3919,1447,1573,1,0.9,,2026-05-18T23:29:32+00:00
