"package","year","downloads","fetched_at"
"@agora-js/report","2021","0","2026-03-29 00:00:00.000000"
"@agora-js/report","2022","0","2026-03-29 00:00:00.000000"
"@agora-js/report","2023","206650","2026-03-29 00:00:00.000000"
"@agora-js/report","2024","1303518","2026-03-29 00:00:00.000000"
"@agora-js/report","2025","2318956","2026-03-29 00:00:00.000000"
"@agora-js/shared","2021","0","2026-03-29 00:00:00.000000"
"@agora-js/shared","2022","0","2026-03-29 00:00:00.000000"
"@agora-js/shared","2023","206632","2026-03-29 00:00:00.000000"
"@agora-js/shared","2024","1303150","2026-03-29 00:00:00.000000"
"@agora-js/shared","2025","2319375","2026-03-29 00:00:00.000000"
"@ai-sdk/amazon-bedrock","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/amazon-bedrock","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/amazon-bedrock","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/amazon-bedrock","2024","361849","2026-03-29 00:00:00.000000"
"@ai-sdk/amazon-bedrock","2025","7437951","2026-03-29 00:00:00.000000"
"@ai-sdk/anthropic","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/anthropic","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/anthropic","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/anthropic","2024","1882627","2026-03-29 00:00:00.000000"
"@ai-sdk/anthropic","2025","31695310","2026-03-29 00:00:00.000000"
"@ai-sdk/azure","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/azure","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/azure","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/azure","2024","493237","2026-03-29 00:00:00.000000"
"@ai-sdk/azure","2025","8522192","2026-03-29 00:00:00.000000"
"@ai-sdk/gateway","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/gateway","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/gateway","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/gateway","2024","0","2026-03-29 00:00:00.000000"
"@ai-sdk/gateway","2025","45694992","2026-03-29 00:00:00.000000"
"@ai-sdk/google","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google","2024","827870","2026-03-29 00:00:00.000000"
"@ai-sdk/google","2025","26774674","2026-03-29 00:00:00.000000"
"@ai-sdk/google-vertex","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google-vertex","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google-vertex","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/google-vertex","2024","202023","2026-03-29 00:00:00.000000"
"@ai-sdk/google-vertex","2025","7279803","2026-03-29 00:00:00.000000"
"@ai-sdk/groq","2021","0","2026-03-29 00:00:00.000000"
"@ai-sdk/groq","2022","0","2026-03-29 00:00:00.000000"
"@ai-sdk/groq","2023","0","2026-03-29 00:00:00.000000"
"@ai-sdk/groq","2024","180976","2026-03-29 00:00:00.000000"
"@ai-sdk/groq","2025","6237003","2026-03-29 00:00:00.000000"
"@ai-sdk/mistral","2021","0","2026-03-29 00:00:00.000000"
