repo,repo_id,cve_count_5y,cve_ids_5y,packages_queried,fetched_at
axios/axios,23088740,6,"CVE-2020-28168,CVE-2021-3749,CVE-2023-45857,CVE-2024-39338,CVE-2025-27152,CVE-2025-58754",npm:axios,2026-05-03T15:43:09+00:00
azure/azure-sdk-for-js,108311273,1,CVE-2024-35255,"npm:@azure/abort-controller,npm:@azure/core-tracing,npm:@azure/core-util,npm:@typespec/ts-http-runtime,npm:@azure/logger,npm:@azure/core-auth,npm:@azure/core-rest-pipeline,npm:@azure/core-paging,npm:@azure/core-lro,npm:@azure/core-client,npm:@azure/identity,npm:@azure/core-http-compat,npm:@azure/storage-blob,npm:@azure/keyvault-keys,npm:@azure/core-xml,npm:@azure/keyvault-common,npm:@azure/storage-common,npm:@azure-rest/core-client",2026-05-03T15:43:27+00:00
azure/azure-sdk-for-python,4127088,2,"CVE-2022-30187,CVE-2024-35255","PyPI:azure-core,PyPI:azure-nspkg,PyPI:azure-common,PyPI:azure-mgmt-core,PyPI:azure-storage-blob,PyPI:azure-identity,PyPI:azure-mgmt-nspkg,PyPI:azure-keyvault-secrets,PyPI:azure-storage-file-datalake,PyPI:azure-mgmt-resource,PyPI:azure-mgmt-storage,PyPI:azure-cosmos,PyPI:azure-keyvault-keys,PyPI:azure-mgmt-containerregistry,PyPI:azure-mgmt-keyvault,PyPI:azure-mgmt-authorization,PyPI:azure-mgmt-datalake-nspkg,PyPI:azure-keyvault,PyPI:azure-graphrbac,PyPI:azure-servicebus,PyPI:azure-keyvault-certificates,PyPI:azure-batch,PyPI:azure-mgmt-compute,PyPI:azure-mgmt-cosmosdb,PyPI:azure-eventhub,PyPI:azure-mgmt-containerinstance,PyPI:azure-mgmt-datafactory,PyPI:azure-mgmt-containerservice,PyPI:azure-mgmt-datalake-store,PyPI:azure-mgmt-network,PyPI:azure-storage-file-share,PyPI:azure-data-tables,PyPI:azure-mgmt-sql,PyPI:azure-mgmt-monitor,PyPI:azure-mgmt-msi,PyPI:azure-mgmt-web,PyPI:azure-mgmt-rdbms,PyPI:azure-mgmt-redis,PyPI:azure-mgmt-servicebus,PyPI:azure-mgmt-batch,PyPI:azure-mgmt-recoveryservices,PyPI:azure-mgmt-iothub,PyPI:azure-mgmt-cdn,PyPI:azure-mgmt-eventhub,PyPI:azure-mgmt-loganalytics,PyPI:azure-mgmt-trafficmanager,PyPI:azure-mgmt-managementgroups,PyPI:azure-mgmt-cognitiveservices,PyPI:azure-mgmt-signalr,PyPI:azure-mgmt-recoveryservicesbackup,PyPI:azure-mgmt-search,PyPI:azure-mgmt-marketplaceordering,PyPI:azure-mgmt-applicationinsights,PyPI:azure-mgmt-eventgrid,PyPI:azure-mgmt-advisor,PyPI:azure-mgmt-dns,PyPI:azure-mgmt-media,PyPI:azure-mgmt-billing,PyPI:azure-mgmt-servicefabric,PyPI:azure-mgmt-policyinsights,PyPI:azure-mgmt-iothubprovisioningservices,PyPI:azure-mgmt-batchai,PyPI:azure-mgmt-iotcentral,PyPI:azure-mgmt-datamigration,PyPI:azure-mgmt-maps,PyPI:azure-synapse-artifacts,PyPI:azure-appconfiguration,PyPI:azure-mgmt-devtestlabs,PyPI:azure-synapse-spark,PyPI:azure-mgmt-datalake-analytics,PyPI:azure-loganalytics,PyPI:azure-mgmt-consumption,PyPI:azure-mgmt-reservations,PyPI:azure-mgmt-relay,PyPI:azure-mgmt-apimanagement,PyPI:azure-mgmt-security,PyPI:azure-mgmt-hdinsight,PyPI:azure-mgmt-privatedns,PyPI:azure-mgmt-netapp,PyPI:azure-mgmt-appconfiguration,PyPI:azure-eventgrid,PyPI:azure-mgmt-synapse,PyPI:azure-mgmt-redhatopenshift,PyPI:azure-mgmt-sqlvirtualmachine,PyPI:azure-mgmt-botservice,PyPI:azure-keyvault-administration,PyPI:azure-mgmt-imagebuilder,PyPI:azure-synapse-accesscontrol,PyPI:azure-mgmt-servicefabricmanagedclusters,PyPI:azure-mgmt-extendedlocation,PyPI:azure-synapse-managedprivateendpoints,PyPI:azure-mgmt-servicelinker,PyPI:azure-monitor-opentelemetry-exporter,PyPI:azure-mgmt-databoxedge,PyPI:azure-mgmt-kusto,PyPI:azure-monitor-query,PyPI:azure-mgmt-managedservices,PyPI:azure-synapse-nspkg,PyPI:azure-mgmt-subscription,PyPI:azure,PyPI:azure-core-tracing-opentelemetry,PyPI:azure-monitor-opentelemetry,PyPI:azure-mgmt-logic,PyPI:azure-mgmt-notificationhubs,PyPI:azure-mgmt,PyPI:azure-servicefabric,PyPI:azure-servicemanagement-legacy,PyPI:azure-mgmt-scheduler,PyPI:azure-mgmt-deploymentmanager,PyPI:azure-mgmt-commerce,PyPI:azure-mgmt-powerbiembedded,PyPI:azure-mgmt-hanaonazure,PyPI:azure-mgmt-managementpartner,PyPI:azure-mgmt-machinelearningcompute,PyPI:azure-applicationinsights,PyPI:azure-mgmt-devspaces,PyPI:azure-mgmt-appcontainers,PyPI:azure-search-documents,PyPI:azure-ai-ml,PyPI:azure-mgmt-postgresqlflexibleservers,PyPI:azure-mgmt-mysqlflexibleservers,PyPI:azure-schemaregistry,PyPI:azure-keyvault-securitydomain,PyPI:azure-mgmt-resource-deploymentstacks,PyPI:azure-mgmt-resource-templatespecs,PyPI:azure-mgmt-resource-deployments,PyPI:azure-mgmt-resource-deploymentscripts",2026-05-03T15:45:16+00:00
azure/msrest-for-python,71186468,0,,PyPI:msrest,2026-05-03T15:43:10+00:00
azuread/microsoft-authentication-library-for-python,67243113,0,,"PyPI:msal,PyPI:pymsalruntime",2026-05-03T15:43:11+00:00
babel/babel,24560307,2,"CVE-2023-45133,CVE-2025-27789","npm:@babel/helper-plugin-utils,npm:@babel/types,npm:@babel/helper-validator-identifier,npm:@babel/helper-string-parser,npm:@babel/traverse,npm:@babel/parser,npm:@babel/code-frame,npm:@babel/runtime,npm:@babel/template,npm:@babel/helper-annotate-as-pure,npm:@babel/generator,npm:@babel/helper-create-regexp-features-plugin,npm:@babel/helper-module-imports,npm:@babel/helper-module-transforms,npm:@babel/helper-create-class-features-plugin,npm:@babel/helper-skip-transparent-expression-wrappers,npm:@babel/core,npm:@babel/helper-compilation-targets,npm:@babel/compat-data,npm:babel-runtime,npm:@babel/helper-validator-option,npm:@babel/helper-member-expression-to-functions,npm:@babel/helper-replace-supers,npm:@babel/helper-optimise-call-expression,npm:@babel/helper-globals,npm:@babel/helpers,npm:@babel/highlight,npm:@babel/plugin-syntax-jsx,npm:@babel/helper-remap-async-to-generator,npm:@babel/plugin-syntax-nullish-coalescing-operator,npm:@babel/plugin-syntax-numeric-separator,npm:@babel/plugin-syntax-optional-catch-binding,npm:@babel/helper-wrap-function,npm:@babel/plugin-syntax-object-rest-spread,npm:@babel/plugin-syntax-optional-chaining,npm:@babel/plugin-transform-react-jsx,npm:@babel/plugin-transform-parameters,npm:@babel/plugin-syntax-async-generators,npm:@babel/plugin-transform-destructuring,npm:@babel/plugin-transform-modules-commonjs,npm:@babel/plugin-syntax-typescript,npm:@babel/plugin-syntax-class-properties,npm:@babel/plugin-syntax-top-level-await,npm:@babel/plugin-syntax-json-strings,npm:@babel/preset-env,npm:@babel/plugin-transform-dotall-regex,npm:@babel/plugin-syntax-logical-assignment-operators,npm:@babel/helper-environment-visitor,npm:@babel/plugin-transform-classes,npm:@babel/plugin-transform-block-scoping,npm:@babel/plugin-transform-for-of,npm:@babel/plugin-transform-spread,npm:@babel/plugin-transform-arrow-functions,npm:@babel/plugin-transform-computed-properties,npm:@babel/plugin-transform-template-literals,npm:@babel/plugin-transform-literals,npm:@babel/plugin-transform-function-name,npm:@babel/plugin-transform-shorthand-properties,npm:@babel/plugin-transform-block-scoped-functions,npm:@babel/plugin-transform-object-super,npm:@babel/plugin-transform-async-to-generator,npm:@babel/plugin-transform-property-literals,npm:@babel/plugin-transform-member-expression-literals,npm:@babel/plugin-transform-regenerator,npm:@babel/plugin-transform-modules-systemjs,npm:@babel/plugin-transform-unicode-regex,npm:@babel/plugin-syntax-private-property-in-object,npm:@babel/plugin-transform-sticky-regex,npm:@babel/plugin-transform-modules-amd,npm:@babel/plugin-transform-named-capturing-groups-regex,npm:@babel/plugin-transform-exponentiation-operator,npm:@babel/plugin-syntax-import-meta,npm:@babel/plugin-transform-typeof-symbol,npm:@babel/plugin-transform-modules-umd,npm:@babel/plugin-transform-duplicate-keys,npm:@babel/plugin-transform-new-target,npm:@babel/plugin-transform-optional-chaining,npm:@babel/plugin-transform-reserved-words,npm:babel-types,npm:@babel/plugin-transform-unicode-escapes,npm:@babel/plugin-proposal-object-rest-spread,npm:@babel/plugin-syntax-import-attributes,npm:@babel/plugin-syntax-export-namespace-from,npm:@babel/plugin-syntax-bigint,npm:@babel/plugin-proposal-class-properties,npm:@babel/plugin-transform-typescript,npm:@babel/plugin-transform-react-display-name,npm:@babel/plugin-bugfix-v8-spread-parameters-in-optional-chaining,npm:@babel/plugin-syntax-flow,npm:@babel/plugin-syntax-class-static-block,npm:@babel/plugin-proposal-unicode-property-regex,npm:@babel/plugin-syntax-dynamic-import,npm:@babel/plugin-proposal-optional-chaining,npm:@babel/plugin-proposal-nullish-coalescing-operator,npm:@babel/preset-typescript,npm:@babel/plugin-transform-runtime,npm:@babel/plugin-transform-private-methods,npm:@babel/plugin-transform-nullish-coalescing-operator,npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression,npm:@babel/plugin-transform-async-generator-functions,npm:@babel/plugin-transform-class-properties,npm:@babel/plugin-proposal-numeric-separator,npm:@babel/preset-react,npm:@babel/runtime-corejs3,npm:@babel/plugin-transform-object-rest-spread,npm:@babel/plugin-transform-private-property-in-object,npm:@babel/plugin-transform-logical-assignment-operators,npm:@babel/plugin-transform-numeric-separator,npm:@babel/plugin-transform-optional-catch-binding,npm:@babel/plugin-transform-export-namespace-from,npm:@babel/plugin-transform-class-static-block,npm:@babel/plugin-proposal-async-generator-functions,npm:@babel/plugin-transform-json-strings,npm:@babel/plugin-transform-dynamic-import,npm:@babel/plugin-transform-unicode-sets-regex,npm:@babel/plugin-transform-unicode-property-regex,npm:@babel/plugin-transform-react-jsx-development,npm:@babel/plugin-transform-react-pure-annotations,npm:@babel/plugin-proposal-optional-catch-binding,npm:@babel/plugin-proposal-private-methods,npm:@babel/plugin-syntax-import-assertions,npm:@babel/plugin-transform-flow-strip-types,npm:@babel/plugin-syntax-decorators,npm:@babel/plugin-bugfix-firefox-class-in-computed-class-key,npm:@babel/plugin-proposal-export-namespace-from,npm:@babel/plugin-bugfix-v8-static-class-fields-redefine-readonly,npm:babel-template,npm:@babel/plugin-proposal-decorators,npm:@babel/plugin-syntax-unicode-sets-regex,npm:@babel/plugin-transform-duplicate-named-capturing-groups-regex,npm:@babel/plugin-bugfix-safari-class-field-initializer-scope,npm:babel-traverse,npm:@babel/plugin-transform-react-jsx-source,npm:@babel/plugin-transform-react-jsx-self,npm:@babel/register,npm:babel-core,npm:babel-code-frame,npm:@babel/plugin-transform-regexp-modifiers,npm:@babel/plugin-transform-react-constant-elements,npm:@babel/eslint-parser,npm:babel-messages,npm:@babel/preset-flow,npm:babel-plugin-syntax-jsx,npm:babel-plugin-syntax-trailing-function-commas,npm:@babel/plugin-transform-explicit-resource-management,npm:@babel/plugin-proposal-export-default-from,npm:babel-plugin-syntax-object-rest-spread,npm:@babel/plugin-syntax-export-default-from,npm:babel-helper-function-name,npm:babel-generator,npm:babel-plugin-transform-es2015-modules-commonjs,npm:babel-plugin-transform-strict-mode,npm:babel-helper-get-function-arity,npm:babel-helper-regex,npm:@babel/cli,npm:babel-helper-hoist-variables,npm:babel-helper-replace-supers,npm:babel-plugin-transform-object-rest-spread,npm:babel-register,npm:babel-helpers,npm:babel-helper-optimise-call-expression,npm:babel-plugin-transform-es2015-modules-amd,npm:@babel/polyfill,npm:babel-helper-call-delegate,npm:babel-helper-explode-assignable-expression,npm:babel-plugin-syntax-async-functions,npm:babel-polyfill,npm:babel-helper-define-map,npm:babel-helper-builder-binary-assignment-operator-visitor,npm:babel-plugin-syntax-exponentiation-operator,npm:babel-helper-remap-async-to-generator,npm:babel-plugin-transform-es2015-block-scoping,npm:babel-plugin-transform-es2015-parameters,npm:babel-plugin-transform-es2015-destructuring,npm:babel-plugin-transform-es2015-function-name,npm:babel-plugin-check-es2015-constants,npm:babel-plugin-transform-es2015-spread,npm:babel-plugin-transform-regenerator,npm:babel-plugin-transform-es2015-classes,npm:babel-plugin-transform-es2015-arrow-functions,npm:babel-plugin-transform-es2015-template-literals,npm:babel-plugin-transform-es2015-shorthand-properties,npm:babel-plugin-transform-es2015-computed-properties,npm:babel-plugin-transform-es2015-for-of,npm:babel-plugin-transform-es2015-unicode-regex,npm:babel-plugin-transform-es2015-sticky-regex,npm:babel-plugin-transform-es2015-literals,npm:babel-plugin-transform-es2015-object-super,npm:babel-plugin-transform-es2015-block-scoped-functions,npm:babel-plugin-transform-es2015-typeof-symbol,npm:babel-plugin-transform-es2015-modules-systemjs,npm:babel-plugin-transform-es2015-duplicate-keys,npm:babel-plugin-transform-es2015-modules-umd,npm:babel-plugin-transform-exponentiation-operator,npm:babel-plugin-transform-async-to-generator,npm:babel-plugin-syntax-class-properties,npm:babel-plugin-transform-class-properties,npm:babel-plugin-syntax-dynamic-import,npm:@babel/plugin-transform-object-assign,npm:@babel/runtime-corejs2,npm:@babel/standalone,npm:babel-preset-es2015",2026-05-03T15:46:31+00:00
babel/babel-polyfills,190579283,0,,"npm:@babel/helper-define-polyfill-provider,npm:babel-plugin-polyfill-corejs3,npm:babel-plugin-polyfill-regenerator,npm:babel-plugin-polyfill-corejs2",2026-05-03T15:43:13+00:00
beatgammit/base64-js,2853282,0,,npm:base64-js,2026-05-03T15:43:10+00:00
benjaminp/six,77868600,0,,PyPI:six,2026-05-03T15:43:10+00:00
bincode-org/bincode,24130045,1,RUSTSEC-2025-0141,"crates.io:bincode,crates.io:bincode_derive",2026-05-03T15:43:11+00:00
