"formula","dep_name","dep_type","fetched_at"
"adplug","texinfo","build","2026-04-16 22:49:08.142515"
"adplug","libbinio","runtime","2026-04-16 22:49:08.142515"
"adr-tools","__none__","","2026-04-16 22:49:08.142515"
"adr-viewer","python@3.14","runtime","2026-04-16 22:49:08.142515"
"advancecomp","autoconf","build","2026-04-16 22:49:08.142515"
"advancecomp","automake","build","2026-04-16 22:49:08.142515"
"advancecomp","libtool","build","2026-04-16 22:49:08.142515"
"advancescan","__none__","","2026-04-16 22:49:08.142515"
"adwaita-icon-theme","gtk4","build","2026-04-16 22:49:08.142515"
"adwaita-icon-theme","meson","build","2026-04-16 22:49:08.142515"
"adwaita-icon-theme","ninja","build","2026-04-16 22:49:08.142515"
"adwaita-icon-theme","pkgconf","build","2026-04-16 22:49:08.142515"
"adwaita-icon-theme","librsvg","runtime","2026-04-16 22:49:08.142515"
"aerc","go","build","2026-04-16 22:49:08.142515"
"aerc","scdoc","build","2026-04-16 22:49:08.142515"
"aerc","notmuch","runtime","2026-04-16 22:49:08.142515"
"aerleon","libyaml","runtime","2026-04-16 22:49:08.142515"
"aerleon","python@3.14","runtime","2026-04-16 22:49:08.142515"
"aescrypt","__none__","","2026-04-16 22:49:08.142515"
"aescrypt-packetizer","__none__","","2026-04-16 22:49:08.142515"
"aespipe","__none__","","2026-04-16 22:49:08.142515"
"afflib","autoconf","build","2026-04-16 22:49:08.142515"
"afflib","automake","build","2026-04-16 22:49:08.142515"
"afflib","libtool","build","2026-04-16 22:49:08.142515"
"afflib","pkgconf","build","2026-04-16 22:49:08.142515"
"afflib","python@3.14","build","2026-04-16 22:49:08.142515"
"afflib","openssl@3","runtime","2026-04-16 22:49:08.142515"
"afio","__none__","","2026-04-16 22:49:08.142515"
"afl++","coreutils","build","2026-04-16 22:49:08.142515"
"afl++","llvm","runtime","2026-04-16 22:49:08.142515"
"afl++","python@3.14","runtime","2026-04-16 22:49:08.142515"
"afsctool","cmake","build","2026-04-16 22:49:08.142515"
"afsctool","google-sparsehash","build","2026-04-16 22:49:08.142515"
"afsctool","pkgconf","build","2026-04-16 22:49:08.142515"
"aften","cmake","build","2026-04-16 22:49:08.142515"
"aftman","pkgconf","build","2026-04-16 22:49:08.142515"
"aftman","rust","build","2026-04-16 22:49:08.142515"
"afuse","autoconf","build","2026-04-16 22:49:08.142515"
"afuse","automake","build","2026-04-16 22:49:08.142515"
"afuse","pkgconf","build","2026-04-16 22:49:08.142515"
"afuse","libfuse@2","runtime","2026-04-16 22:49:08.142515"
"agda","cabal-install","build","2026-04-16 22:49:08.142515"
"agda","emacs","build","2026-04-16 22:49:08.142515"
"agda","ghc@9.12","runtime","2026-04-16 22:49:08.142515"
"agda","gmp","runtime","2026-04-16 22:49:08.142515"
"age","go","build","2026-04-16 22:49:08.142515"
"age-plugin-se","scdoc","build","2026-04-16 22:49:08.142515"
"age-plugin-yubikey","pkgconf","build","2026-04-16 22:49:08.142515"
"age-plugin-yubikey","rust","build","2026-04-16 22:49:08.142515"
"agedu","cmake","build","2026-04-16 22:49:08.142515"
"agent-browser","node","runtime","2026-04-16 22:49:08.142515"
"agg","rust","build","2026-04-16 22:49:08.142515"
"aggregate","__none__","","2026-04-16 22:49:08.142515"
"aha","__none__","","2026-04-16 22:49:08.142515"
"ahcpd","__none__","","2026-04-16 22:49:08.142515"
"ahoy","go","build","2026-04-16 22:49:08.142515"
"aiac","go","build","2026-04-16 22:49:08.142515"
"aichat","rust","build","2026-04-16 22:49:08.142515"
"aicommit","go","build","2026-04-16 22:49:08.142515"
"aicommit2","node","runtime","2026-04-16 22:49:08.142515"
"aicommits","node","runtime","2026-04-16 22:49:08.142515"
"aide","pkgconf","build","2026-04-16 22:49:08.142515"
"aide","libgcrypt","runtime","2026-04-16 22:49:08.142515"
"aide","libgpg-error","runtime","2026-04-16 22:49:08.142515"
"aide","pcre2","runtime","2026-04-16 22:49:08.142515"
"aider","ninja","build","2026-04-16 22:49:08.142515"
"aider","pkgconf","build","2026-04-16 22:49:08.142515"
"aider","rust","build","2026-04-16 22:49:08.142515"
"aider","certifi","runtime","2026-04-16 22:49:08.142515"
"aider","freetype","runtime","2026-04-16 22:49:08.142515"
"aider","gcc","runtime","2026-04-16 22:49:08.142515"
"aider","jpeg-turbo","runtime","2026-04-16 22:49:08.142515"
"aider","libyaml","runtime","2026-04-16 22:49:08.142515"
"aider","openblas","runtime","2026-04-16 22:49:08.142515"
"aider","python@3.12","runtime","2026-04-16 22:49:08.142515"
"aiken","pkgconf","build","2026-04-16 22:49:08.142515"
"aiken","rust","build","2026-04-16 22:49:08.142515"
"ain","go","build","2026-04-16 22:49:08.142515"
"air","rust","build","2026-04-16 22:49:08.142515"
"aircrack-ng","autoconf","build","2026-04-16 22:49:08.142515"
"aircrack-ng","automake","build","2026-04-16 22:49:08.142515"
"aircrack-ng","libtool","build","2026-04-16 22:49:08.142515"
"aircrack-ng","pkgconf","build","2026-04-16 22:49:08.142515"
"aircrack-ng","openssl@3","runtime","2026-04-16 22:49:08.142515"
"aircrack-ng","pcre2","runtime","2026-04-16 22:49:08.142515"
"aircrack-ng","sqlite","runtime","2026-04-16 22:49:08.142515"
"airshare","certifi","runtime","2026-04-16 22:49:08.142515"
"airshare","python@3.14","runtime","2026-04-16 22:49:08.142515"
"airspy","cmake","build","2026-04-16 22:49:08.142515"
"airspy","pkgconf","build","2026-04-16 22:49:08.142515"
"airspy","libusb","runtime","2026-04-16 22:49:08.142515"
"airspyhf","cmake","build","2026-04-16 22:49:08.142515"
"airspyhf","pkgconf","build","2026-04-16 22:49:08.142515"
"airspyhf","libusb","runtime","2026-04-16 22:49:08.142515"
"airtable-mcp-server","node","runtime","2026-04-16 22:49:08.142515"
"aiven-client","certifi","runtime","2026-04-16 22:49:08.142515"
"aiven-client","python@3.14","runtime","2026-04-16 22:49:08.142515"
"akamai","go","build","2026-04-16 22:49:08.142515"
"akku","pkgconf","build","2026-04-16 22:49:08.142515"
"akku","guile","runtime","2026-04-16 22:49:08.142515"
"aklomp-base64","cmake","build","2026-04-16 22:49:08.142515"
"alass","rust","build","2026-04-16 22:49:08.142515"
"alda","go","build","2026-04-16 22:49:08.142515"
"alda","gradle@8","build","2026-04-16 22:49:08.142515"
"alda","openjdk","runtime","2026-04-16 22:49:08.142515"
"aldo","libao","runtime","2026-04-16 22:49:08.142515"
"alejandra","rust","build","2026-04-16 22:49:08.142515"
"alembic","cmake","build","2026-04-16 22:49:08.142515"
"alembic","hdf5","runtime","2026-04-16 22:49:08.142515"
"alembic","imath","runtime","2026-04-16 22:49:08.142515"
"alexjs","node","runtime","2026-04-16 22:49:08.142515"
"algernon","go","build","2026-04-16 22:49:08.142515"
"algol68g","__none__","","2026-04-16 22:49:08.142515"
"algolia","go","build","2026-04-16 22:49:08.142515"
"ali","go","build","2026-04-16 22:49:08.142515"
"aliae","go","build","2026-04-16 22:49:08.142515"
"aliddns","go","build","2026-04-16 22:49:08.142515"
"align","__none__","","2026-04-16 22:49:08.142515"
"alive2","cmake","build","2026-04-16 22:49:08.142515"
"alive2","re2c","build","2026-04-16 22:49:08.142515"
"alive2","hiredis","runtime","2026-04-16 22:49:08.142515"
"alive2","llvm","runtime","2026-04-16 22:49:08.142515"
"alive2","z3","runtime","2026-04-16 22:49:08.142515"
"alive2","zstd","runtime","2026-04-16 22:49:08.142515"
"aliyun-cli","go","build","2026-04-16 22:49:08.142515"
"aliyunpan","go","build","2026-04-16 22:49:08.142515"
"all-repos","python@3.14","runtime","2026-04-16 22:49:08.142515"
"allegro","cmake","build","2026-04-16 22:49:08.142515"
"allegro","flac","runtime","2026-04-16 22:49:08.142515"
"allegro","freetype","runtime","2026-04-16 22:49:08.142515"
"allegro","jpeg-turbo","runtime","2026-04-16 22:49:08.142515"
"allegro","libogg","runtime","2026-04-16 22:49:08.142515"
"allegro","libopenmpt","runtime","2026-04-16 22:49:08.142515"
"allegro","libpng","runtime","2026-04-16 22:49:08.142515"
"allegro","libvorbis","runtime","2026-04-16 22:49:08.142515"
"allegro","opus","runtime","2026-04-16 22:49:08.142515"
"allegro","opusfile","runtime","2026-04-16 22:49:08.142515"
"allegro","physfs","runtime","2026-04-16 22:49:08.142515"
"allegro","theora","runtime","2026-04-16 22:49:08.142515"
"allegro","webp","runtime","2026-04-16 22:49:08.142515"
"alloy-analyzer","openjdk","runtime","2026-04-16 22:49:08.142515"
"allure","openjdk","runtime","2026-04-16 22:49:08.142515"
"allureofthestars","cabal-install","build","2026-04-16 22:49:08.142515"
"allureofthestars","ghc","build","2026-04-16 22:49:08.142515"
"allureofthestars","pkgconf","build","2026-04-16 22:49:08.142515"
"allureofthestars","gmp","runtime","2026-04-16 22:49:08.142515"
"allureofthestars","sdl2","runtime","2026-04-16 22:49:08.142515"
"allureofthestars","sdl2_ttf","runtime","2026-04-16 22:49:08.142515"
"alluxio","openjdk@11","runtime","2026-04-16 22:49:08.142515"
"alot","sphinx-doc","build","2026-04-16 22:49:08.142515"
"alot","swig","build","2026-04-16 22:49:08.142515"
"alot","gpgmepy","runtime","2026-04-16 22:49:08.142515"
"alot","libmagic","runtime","2026-04-16 22:49:08.142515"
"alot","notmuch","runtime","2026-04-16 22:49:08.142515"
"alot","python@3.14","runtime","2026-04-16 22:49:08.142515"
"alp","go","build","2026-04-16 22:49:08.142515"
"alpine","openssl@3","runtime","2026-04-16 22:49:08.142515"
"alpscore","cmake","build","2026-04-16 22:49:08.142515"
"alpscore","boost","runtime","2026-04-16 22:49:08.142515"
"alpscore","eigen","runtime","2026-04-16 22:49:08.142515"
"alpscore","hdf5","runtime","2026-04-16 22:49:08.142515"
"alpscore","open-mpi","runtime","2026-04-16 22:49:08.142515"
"alsa-lib","__none__","","2026-04-16 22:49:08.142515"
"alure","cmake","build","2026-04-16 22:49:08.142515"
"alure","pkgconf","build","2026-04-16 22:49:08.142515"
"amass","go","build","2026-04-16 22:49:08.142515"
"amazon-ecs-cli","go","build","2026-04-16 22:49:08.142515"
"amber","bdw-gc","runtime","2026-04-16 22:49:08.142515"
"amber","crystal","runtime","2026-04-16 22:49:08.142515"
"amber","libevent","runtime","2026-04-16 22:49:08.142515"
"amber","libyaml","runtime","2026-04-16 22:49:08.142515"
"amber","openssl@3","runtime","2026-04-16 22:49:08.142515"
"amber","pcre2","runtime","2026-04-16 22:49:08.142515"
"amber","sqlite","runtime","2026-04-16 22:49:08.142515"
"amdatu-bootstrap","openjdk@8","runtime","2026-04-16 22:49:08.142515"
"amfora","go","build","2026-04-16 22:49:08.142515"
"ammonite-repl","openjdk","runtime","2026-04-16 22:49:08.142515"
"amp","cmake","build","2026-04-16 22:49:08.142515"
"amp","rust","build","2026-04-16 22:49:08.142515"
"ampl-asl","cmake","build","2026-04-16 22:49:08.142515"
"ampl-mp","cmake","build","2026-04-16 22:49:08.142515"
"amqp-cpp","cmake","build","2026-04-16 22:49:08.142515"
"amqp-cpp","openssl@3","runtime","2026-04-16 22:49:08.142515"
"amtterm","gtk+3","runtime","2026-04-16 22:49:08.142515"
"amtterm","vte3","runtime","2026-04-16 22:49:08.142515"
"analog","gd","runtime","2026-04-16 22:49:08.142515"
"analog","jpeg-turbo","runtime","2026-04-16 22:49:08.142515"
"analog","libpng","runtime","2026-04-16 22:49:08.142515"
"analog","minizip","runtime","2026-04-16 22:49:08.142515"
"analog","pcre2","runtime","2026-04-16 22:49:08.142515"
"anchor","pkgconf","build","2026-04-16 22:49:08.142515"
