repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
dateutil/dateutil,26876372,ok,150,1150,1.0,,2026-05-19T11:23:21+00:00
davidhalter/parso,90668463,ok,54,1097,0.7,,2026-05-19T11:23:21+00:00
davisjam/safe-regex,90781457,ok,9,62,0.8,,2026-05-19T11:23:21+00:00
dchest/tweetnacl-js,15649752,ok,18,378,1.0,,2026-05-19T11:23:22+00:00
dcodeio/long.js,8678904,ok,22,137,0.8,,2026-05-19T11:23:22+00:00
debug-js/debug,2871998,ok,138,470,0.5,,2026-05-19T11:17:29+00:00
definitelytyped/definitelytyped,6093316,ok,22087,72588,31.2,,2026-05-19T11:23:22+00:00
defunctzombie/node-process,7580644,ok,18,60,0.6,,2026-05-19T11:23:23+00:00
django/asgiref,48501860,ok,118,483,0.9,,2026-05-19T11:23:23+00:00
djc/rustc-version-rs,41272773,ok,17,102,0.9,,2026-05-19T11:23:23+00:00
dmitrysoshnikov/regexp-tree,85459304,ok,30,489,0.9,,2026-05-19T11:23:23+00:00
docutils/docutils,44840244,ok,66,9862,1.5,,2026-06-28T12:24:56+00:00
doowb/ansi-colors,47135420,ok,16,111,0.9,,2026-05-19T11:23:23+00:00
douglasdwyer/wasm_sync,668034655,ok,2,4,1.2,,2026-05-19T11:23:23+00:00
dougwilson/nodejs-depd,20848667,ok,2,228,0.6,,2026-05-19T11:23:24+00:00
dtolnay/anyhow,212936374,ok,27,757,0.9,,2026-05-19T11:23:24+00:00
dtolnay/automod,173074854,ok,6,119,1.0,,2026-05-19T11:23:24+00:00
dtolnay/dissimilar,229514821,ok,3,134,0.9,,2026-05-19T11:23:24+00:00
dtolnay/indoc,54252316,ok,9,348,0.8,,2026-05-19T11:23:25+00:00
dtolnay/itoa,61962375,ok,15,296,0.6,,2026-05-19T11:23:25+00:00
dtolnay/no-panic,143469762,ok,3,216,0.7,,2026-05-19T11:23:25+00:00
dtolnay/proc-macro2,91860126,ok,32,1021,4.5,,2026-05-19T11:23:26+00:00
dtolnay/quote,67273122,ok,29,631,0.6,,2026-05-19T11:23:26+00:00
dtolnay/ref-cast,106295902,ok,4,256,0.7,,2026-05-19T11:23:26+00:00
dtolnay/rustversion,183990447,ok,3,180,3.0,,2026-05-19T11:23:26+00:00
dtolnay/ryu,142720484,ok,8,370,0.7,,2026-05-19T11:23:26+00:00
dtolnay/semver,22432442,ok,74,570,0.6,,2026-05-19T11:23:26+00:00
