repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
pypa/virtualenv,1446474,ok,172,1008,1.0,,2026-05-19T11:25:56+00:00
pypa/wheel,98346885,ok,92,962,1.0,,2026-05-19T11:25:56+00:00
pyparsing/pyparsing,91262163,ok,85,1625,0.9,,2026-05-19T11:25:57+00:00
pytest-dev/iniconfig,66012563,ok,18,154,0.6,,2026-05-19T11:25:57+00:00
pytest-dev/pluggy,34739117,ok,68,717,0.7,,2026-05-19T11:25:58+00:00
pytest-dev/pytest,37489525,ok,1194,12858,1.9,,2026-05-19T11:25:58+00:00
python-attrs/attrs,29918975,ok,207,1766,0.7,,2026-05-19T11:17:29+00:00
python-cffi/cffi,696427398,ok,111,3287,1.0,,2026-05-19T11:25:58+00:00
python-greenlet/greenlet,3003137,ok,90,1076,1.1,,2026-05-19T11:25:59+00:00
python-hyper/brotlicffi,43543393,ok,22,313,1.2,,2026-05-19T11:25:59+00:00
python-hyper/h11,57372073,ok,40,439,0.5,,2026-05-19T11:26:00+00:00
python-jsonschema/jsonschema,3072629,ok,133,2559,0.8,,2026-05-19T11:26:00+00:00
python-pillow/pillow,5171600,ok,550,14464,2.3,,2026-05-19T11:26:00+00:00
python-poetry/poetry,123303402,ok,688,3665,1.1,,2026-05-19T11:26:01+00:00
python-poetry/tomlkit,140365570,ok,49,426,0.8,,2026-05-19T11:26:01+00:00
python-trio/sniffio,142657210,ok,16,69,0.5,,2026-05-19T11:26:01+00:00
python/cpython,81598961,ok,3964,119009,92.2,,2026-05-19T11:30:47+00:00
python/importlib_metadata,306448340,ok,79,1460,0.7,,2026-05-19T11:26:01+00:00
python/importlib_resources,306147182,ok,58,886,0.6,,2026-05-19T11:26:02+00:00
python/mypy,7053637,ok,912,13152,1.5,,2026-05-19T11:26:02+00:00
python/mypy_extensions,165752308,ok,24,66,0.6,,2026-05-19T11:26:02+00:00
python/typeshed,31696383,ok,1800,11611,1.9,,2026-05-19T11:26:03+00:00
python/typing,24604008,ok,155,1046,0.9,,2026-05-19T11:26:03+00:00
python/typing_extensions,494077289,ok,83,516,0.9,,2026-05-19T11:26:03+00:00
python/tzdata,242158882,ok,13,146,0.7,,2026-05-19T11:26:04+00:00
qix-/color-convert,1874305,ok,45,135,0.7,,2026-05-19T11:26:04+00:00
qix-/node-error-ex,41388258,ok,9,45,0.5,,2026-05-19T11:26:04+00:00
qix-/node-is-arrayish,41376759,ok,8,24,0.5,,2026-05-19T11:26:04+00:00
qt/qt5,9880318,ok,288,6342,1.0,,2026-05-19T11:26:05+00:00
radix-ui/primitives,273499522,ok,97,1632,0.7,,2026-05-19T11:17:29+00:00
raszi/node-tmp,2313213,ok,42,360,0.6,,2026-05-19T11:26:05+00:00
raynos/for-each,6006855,ok,5,67,0.5,,2026-05-19T11:26:05+00:00
raynos/function-bind,10727014,ok,6,98,0.6,,2026-05-19T11:26:05+00:00
rayon-rs/either,42479602,ok,41,211,0.6,,2026-05-19T11:26:05+00:00
rayon-rs/rayon,24725038,ok,171,1767,0.9,,2026-05-19T11:26:06+00:00
reactivex/rxjs,32247847,ok,591,4993,2.4,,2026-05-19T11:26:06+00:00
realpython/pytest-mypy,69576530,ok,17,232,0.6,,2026-05-19T11:26:06+00:00
remix-run/react-router,19872456,ok,1305,9800,1.8,,2026-05-19T11:26:06+00:00
remusao/tldts,97631656,ok,32,2880,1.7,,2026-05-19T11:26:06+00:00
requests/requests-oauthlib,6825724,ok,126,469,0.9,,2026-05-19T11:26:07+00:00
requests/toolbelt,15515181,ok,76,472,0.8,,2026-05-19T11:26:07+00:00
retep998/winapi-rs,23853482,ok,178,903,0.7,,2026-05-19T11:26:09+00:00
rich-harris/estree-walker,33668779,ok,15,97,0.5,,2026-05-19T11:26:09+00:00
rich-harris/magic-string,26143240,ok,63,526,0.6,,2026-05-19T11:26:09+00:00
rob--w/proxy-from-env,52038793,ok,4,46,0.6,,2026-05-19T11:26:09+00:00
rogdham/backports.zstd,977687927,ok,3,72,0.7,,2026-05-19T11:26:09+00:00
rollup/plugins,203607977,ok,268,1274,2.4,,2026-05-19T11:26:10+00:00
ronaldoussoren/pyobjc,243933900,ok,41,5716,1.9,,2026-05-19T11:26:10+00:00
rust-cli/anstyle,493821282,ok,42,1045,0.7,,2026-05-19T11:26:10+00:00
rust-cli/env_logger,96382888,ok,80,580,0.7,,2026-05-19T11:26:10+00:00
rust-embedded/critical-section,365854323,ok,14,104,0.6,,2026-05-19T11:26:10+00:00
rust-fuzz/arbitrary,90591032,ok,65,292,1.1,,2026-05-19T11:26:11+00:00
rust-itertools/itertools,22360263,ok,205,1908,0.9,,2026-05-19T11:26:11+00:00
rust-lang-nursery/lazy-static.rs,21157492,ok,61,201,0.7,,2026-05-19T11:26:11+00:00
rust-lang/cc-rs,26039547,ok,346,1379,0.7,,2026-05-19T11:26:12+00:00
rust-lang/cfg-if,38723660,ok,21,101,0.7,,2026-05-19T11:26:12+00:00
rust-lang/compiler-builtins,65153793,ok,236,2200,1.0,,2026-05-19T11:26:12+00:00
rust-lang/flate2-rs,21954009,ok,120,636,0.7,,2026-05-19T11:26:13+00:00
rust-lang/futures-rs,55077261,ok,385,3022,0.7,,2026-05-19T11:26:14+00:00
rust-lang/glob,23241722,ok,50,182,0.5,,2026-05-19T11:26:14+00:00
rust-lang/hashbrown,155119796,ok,145,860,0.7,,2026-05-19T11:26:14+00:00
rust-lang/libc,29197565,ok,929,5857,1.6,,2026-05-19T11:26:14+00:00
rust-lang/libz-sys,26042019,ok,64,359,0.6,,2026-05-19T11:26:15+00:00
rust-lang/log,27974762,ok,136,645,0.7,,2026-05-19T11:26:15+00:00
rust-lang/pkg-config-rs,26042035,ok,62,221,0.5,,2026-05-19T11:26:16+00:00
rust-lang/regex,27890669,ok,222,1423,0.7,,2026-05-19T11:26:16+00:00
rust-lang/rust,724712,ok,8530,224499,119.4,,2026-05-19T11:26:16+00:00
rust-num/num-traits,114705611,ok,137,905,0.6,,2026-05-19T11:26:17+00:00
rust-phf/rust-phf,15992970,ok,78,693,0.8,,2026-05-19T11:26:17+00:00
rust-random/getrandom,166545969,ok,68,628,0.7,,2026-05-19T11:26:18+00:00
rust-random/rand,30227790,ok,335,2823,0.8,,2026-05-19T11:26:18+00:00
rust-random/rand_core,1086593277,ok,45,347,0.8,,2026-05-19T11:26:19+00:00
rust-random/rngs,209510094,ok,23,153,0.7,,2026-05-19T11:26:19+00:00
rustcrypto/formats,406051759,ok,112,1794,9.2,,2026-05-19T11:26:20+00:00
rustcrypto/hashes,74106774,ok,99,679,6.0,,2026-05-19T11:26:20+00:00
rustcrypto/stream-ciphers,83051505,ok,35,499,0.7,,2026-05-19T11:26:20+00:00
rustcrypto/traits,85605821,ok,80,1904,0.7,,2026-05-19T11:26:21+00:00
rustcrypto/utils,77307442,ok,87,1308,8.1,,2026-05-19T11:26:21+00:00
rvagg/bl,10706095,ok,42,255,0.5,,2026-05-19T11:26:22+00:00
rvagg/through2,11808187,ok,22,114,0.5,,2026-05-19T11:26:23+00:00
ryanzim/universalify,87651180,ok,8,28,0.6,,2026-05-19T11:26:24+00:00
salesforce/tough-cookie,2606873,ok,52,561,0.6,,2026-05-19T11:26:25+00:00
samn/json-stable-stringify,76598131,ok,9,32,0.5,,2026-05-19T11:26:25+00:00
samverschueren/decode-uri-component,91837954,ok,3,19,0.5,,2026-05-19T11:26:26+00:00
sboudrias/inquirer.js,10114077,ok,269,2041,0.6,,2026-05-19T11:26:26+00:00
scikit-build/ninja-python-distributions,75102202,ok,13,347,0.7,,2026-05-19T11:26:26+00:00
scikit-learn/scikit-learn,843222,ok,3588,30693,4.2,,2026-05-19T11:26:26+00:00
scipy/scipy,1460385,ok,1951,30515,6.0,,2026-05-19T11:26:26+00:00
seanmonstar/reqwest,62350380,ok,420,1214,0.9,,2026-05-19T11:26:27+00:00
sec-ant/readable-stream,569980966,ok,7,129,0.7,,2026-05-19T11:26:27+00:00
selinuxproject/selinux,20648799,ok,213,4108,1.0,,2026-05-19T11:26:28+00:00
serde-rs/bytes,87358441,ok,9,192,0.9,,2026-05-19T11:26:29+00:00
serde-rs/json,35894511,ok,149,1482,0.9,,2026-05-19T11:26:29+00:00
serde-rs/serde,14367737,ok,221,3531,7.0,,2026-05-19T11:26:30+00:00
servo/rust-fnv,33499190,ok,18,42,0.6,,2026-05-19T11:26:30+00:00
servo/rust-smallvec,33456236,ok,103,337,0.8,,2026-05-19T11:26:30+00:00
servo/rust-url,14934771,ok,207,1100,0.8,,2026-05-19T11:26:30+00:00
sinclairzx81/typebox,87454905,ok,59,765,0.7,,2026-05-19T11:26:31+00:00
sindresorhus/ansi-escapes,40721875,ok,18,82,0.6,,2026-05-19T11:26:31+00:00
sindresorhus/array-union,21005682,ok,9,24,0.5,,2026-05-19T11:26:32+00:00
sindresorhus/binary-extensions,29771015,ok,23,68,0.5,,2026-05-19T11:26:32+00:00
sindresorhus/callsites,18938743,ok,7,37,0.5,,2026-05-19T11:26:32+00:00
sindresorhus/camelcase,25116836,ok,30,100,0.7,,2026-05-19T11:26:32+00:00
sindresorhus/clean-stack,62838930,ok,15,59,0.5,,2026-05-19T11:26:33+00:00
sindresorhus/cli-cursor,23512396,ok,6,28,0.6,,2026-05-19T11:26:33+00:00
sindresorhus/crypto-random-string,73665728,ok,8,33,0.5,,2026-05-19T11:26:33+00:00
sindresorhus/decamelize,29773710,ok,15,55,0.5,,2026-05-19T11:26:33+00:00
sindresorhus/detect-newline,21304485,ok,9,38,0.5,,2026-05-19T11:26:33+00:00
sindresorhus/environment,793180075,ok,1,5,0.6,,2026-05-19T11:26:34+00:00
sindresorhus/escape-string-regexp,21169121,ok,8,33,0.7,,2026-05-19T11:26:34+00:00
sindresorhus/execa,47475908,ok,66,822,0.8,,2026-05-19T11:26:34+00:00
sindresorhus/figures,21672939,ok,13,127,0.6,,2026-05-19T11:26:34+00:00
sindresorhus/file-type,19105307,ok,128,625,0.8,,2026-05-19T11:26:34+00:00
sindresorhus/find-cache-directory,48783244,ok,14,54,0.5,,2026-05-19T11:26:35+00:00
sindresorhus/find-up,41723004,ok,18,76,0.5,,2026-05-19T11:26:35+00:00
sindresorhus/find-up-simple,714044439,ok,2,7,0.6,,2026-05-19T11:26:35+00:00
sindresorhus/get-east-asian-width,711160838,ok,4,26,0.5,,2026-05-19T11:26:35+00:00
sindresorhus/get-stream,44264225,ok,19,123,0.7,,2026-05-19T11:26:35+00:00
sindresorhus/globals,15186239,ok,105,390,0.6,,2026-05-19T11:26:36+00:00
sindresorhus/globby,21069494,ok,52,257,0.6,,2026-05-19T11:26:36+00:00
sindresorhus/has-flag,38718671,ok,7,22,0.7,,2026-05-19T11:26:36+00:00
sindresorhus/import-fresh,22020904,ok,8,37,0.5,,2026-05-19T11:26:36+00:00
sindresorhus/import-local,90292430,ok,9,30,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/indent-string,20576837,ok,11,47,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/is-binary-path,29771247,ok,6,22,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/is-docker,33590534,ok,7,31,0.7,,2026-05-19T11:26:37+00:00
sindresorhus/is-fullwidth-code-point,39222301,ok,9,26,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/is-inside-container,601943060,ok,1,3,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/is-path-inside,21054113,ok,8,33,0.5,,2026-05-19T11:26:37+00:00
sindresorhus/is-plain-obj,38923193,ok,7,29,0.5,,2026-05-19T11:26:38+00:00
sindresorhus/is-stream,29436825,ok,6,33,0.5,,2026-05-19T11:26:38+00:00
sindresorhus/is-unicode-supported,348660847,ok,5,20,0.5,,2026-05-19T11:26:38+00:00
sindresorhus/is-wsl,88415331,ok,7,25,0.5,,2026-05-19T11:26:38+00:00
sindresorhus/leven,22794601,ok,8,39,0.6,,2026-05-19T11:26:38+00:00
sindresorhus/locate-path,74266248,ok,8,32,0.5,,2026-05-19T11:26:38+00:00
sindresorhus/log-symbols,21673868,ok,13,47,0.7,,2026-05-19T11:26:38+00:00
sindresorhus/lowercase-keys,29769737,ok,3,21,0.5,,2026-05-19T11:26:39+00:00
sindresorhus/make-dir,90776169,ok,12,60,0.7,,2026-05-19T11:26:39+00:00
sindresorhus/map-obj,25117742,ok,11,54,0.6,,2026-06-28T14:47:38+00:00
sindresorhus/meow,25121561,ok,46,203,0.5,,2026-05-19T11:26:39+00:00
sindresorhus/mimic-function,71381729,ok,12,51,0.5,,2026-05-19T11:26:39+00:00
sindresorhus/mimic-response,93189529,ok,6,22,0.5,,2026-05-19T11:26:39+00:00
sindresorhus/node-defaults,7985040,ok,5,22,0.5,,2026-05-19T11:26:39+00:00
sindresorhus/normalize-url,29094022,ok,45,174,0.5,,2026-05-19T11:26:40+00:00
sindresorhus/npm-run-path,48707028,ok,7,42,0.5,,2026-05-19T11:26:40+00:00
sindresorhus/object-assign,16457190,ok,14,61,0.7,,2026-05-19T11:26:40+00:00
sindresorhus/onetime,14847357,ok,10,50,0.5,,2026-05-19T11:26:40+00:00
sindresorhus/open,18469325,ok,57,217,0.5,,2026-05-19T11:26:40+00:00
sindresorhus/p-limit,71542716,ok,19,76,0.5,,2026-05-19T11:26:40+00:00
sindresorhus/p-locate,74265632,ok,6,27,0.6,,2026-05-19T11:26:40+00:00
sindresorhus/p-map,71526722,ok,18,69,0.5,,2026-05-19T11:26:41+00:00
sindresorhus/p-try,71534796,ok,5,17,0.5,,2026-05-19T11:26:41+00:00
sindresorhus/package-directory,41724281,ok,9,41,0.7,,2026-05-19T11:26:41+00:00
sindresorhus/parent-module,50187748,ok,6,26,0.5,,2026-05-19T11:26:41+00:00
sindresorhus/parse-json,41367145,ok,15,65,0.5,,2026-05-19T11:26:41+00:00
sindresorhus/path-exists,34965664,ok,7,25,0.5,,2026-05-19T11:26:41+00:00
sindresorhus/path-key,48706449,ok,6,22,0.6,,2026-05-19T11:26:42+00:00
sindresorhus/path-type,41905436,ok,7,26,0.5,,2026-05-19T11:26:42+00:00
sindresorhus/pify,41585934,ok,16,68,0.7,,2026-05-19T11:26:42+00:00
sindresorhus/quick-lru,86679721,ok,18,69,0.7,,2026-05-19T11:26:42+00:00
sindresorhus/read-package-up,41842429,ok,9,45,0.6,,2026-05-19T11:26:42+00:00
sindresorhus/read-pkg,41790094,ok,9,53,0.5,,2026-05-19T11:26:42+00:00
sindresorhus/resolve-cwd,47504070,ok,4,15,0.7,,2026-05-19T11:26:43+00:00
sindresorhus/resolve-from,22022707,ok,7,30,0.5,,2026-05-19T11:26:43+00:00
sindresorhus/restore-cursor,23512229,ok,6,22,0.7,,2026-05-19T11:26:43+00:00
sindresorhus/shebang-regex,30903733,ok,4,14,0.7,,2026-05-19T11:26:43+00:00
sindresorhus/slash,11516031,ok,8,33,0.7,,2026-05-19T11:26:43+00:00
sindresorhus/string-width,39222730,ok,14,78,0.5,,2026-05-19T11:26:43+00:00
sindresorhus/strip-bom,18444852,ok,7,35,0.6,,2026-05-19T11:26:44+00:00
sindresorhus/strip-final-newline,47453723,ok,4,20,0.6,,2026-05-19T11:26:44+00:00
sindresorhus/strip-indent,18242629,ok,8,40,0.6,,2026-05-19T11:26:44+00:00
sindresorhus/strip-json-comments,14468669,ok,21,74,0.7,,2026-05-19T11:26:44+00:00
sindresorhus/tagged-tag,795552264,ok,1,5,0.7,,2026-05-19T11:26:44+00:00
sindresorhus/to-fast-properties,31656998,ok,9,32,0.7,,2026-05-19T11:26:44+00:00
sindresorhus/type-fest,175398594,ok,228,938,0.6,,2026-05-19T11:26:45+00:00
sindresorhus/unicorn-magic,716660564,ok,2,12,0.5,,2026-05-19T11:26:45+00:00
sindresorhus/yocto-queue,315531538,ok,4,17,0.5,,2026-05-19T11:26:45+00:00
sinonjs/commons,143001748,ok,14,159,2.3,,2026-05-19T11:26:45+00:00
sinonjs/fake-timers,16523712,ok,94,716,0.7,,2026-05-19T11:26:45+00:00
smithy-lang/smithy-rs,308027791,ok,166,3117,1.1,,2026-05-19T11:26:45+00:00
smithy-lang/smithy-typescript,208319207,ok,129,2917,0.8,,2026-05-19T11:26:45+00:00
smol-rs/fastrand,267368764,ok,26,138,0.6,,2026-05-19T11:26:46+00:00
snowflakedb/snowflake-connector-python,62262074,ok,168,1832,43.2,,2026-05-19T11:26:46+00:00
socketio/socket.io,557980,ok,594,6548,1.3,,2026-05-19T11:26:46+00:00
sqlalchemy/sqlalchemy,159271175,ok,874,15308,2.1,,2026-05-19T11:26:47+00:00
sqlite/sqlite,176278485,ok,38,29541,10.6,,2026-05-19T11:26:47+00:00
srijs/rust-crc32fast,157348282,ok,12,97,0.7,,2026-05-19T11:26:47+00:00
stebalien/tempfile,33832372,ok,82,432,0.7,,2026-05-19T11:26:48+00:00
stefanpenner/get-caller-file,48818175,ok,5,42,0.5,,2026-05-19T11:26:48+00:00
storybookjs/storybook,54173593,ok,2627,55890,21.4,,2026-05-19T11:26:48+00:00
stream-utils/destroy,15544623,ok,3,130,0.8,,2026-05-19T11:26:49+00:00
stream-utils/raw-body,12823654,ok,18,536,1.8,,2026-05-19T11:26:49+00:00
stream-utils/unpipe,37428186,ok,1,81,0.6,,2026-05-19T11:26:49+00:00
streamich/memfs,37490572,ok,87,1872,0.7,,2026-05-19T11:26:50+00:00
stub42/pytz,63155638,ok,26,612,0.6,,2026-05-19T11:26:50+00:00
suguru03/neo-async,27030361,ok,23,933,0.6,,2026-05-19T11:26:51+00:00
sval-rs/sval,157205610,ok,11,367,0.6,,2026-05-19T11:26:51+00:00
swc-project/swc,115110181,ok,402,11807,1.6,,2026-05-19T11:26:51+00:00
syntax-tree/unist-util-is,41795086,ok,8,132,0.7,,2026-05-19T11:26:52+00:00
systemd/systemd,32873313,ok,3358,78780,24.1,,2026-05-19T11:26:53+00:00
taiki-e/pin-project,164668916,ok,12,1200,1.3,,2026-05-19T11:26:53+00:00
taiki-e/pin-project-lite,216847853,ok,11,657,0.6,,2026-05-19T11:26:54+00:00
taiki-e/portable-atomic,448365131,ok,11,1855,0.6,,2026-05-19T11:26:55+00:00
tapjs/signal-exit,35711072,ok,14,107,0.5,,2026-05-19T11:26:55+00:00
tapjs/stack-utils,48974178,ok,14,93,0.7,,2026-05-19T11:26:56+00:00
tartley/colorama,18892209,ok,55,293,0.7,,2026-05-19T11:26:56+00:00
teambition/merge2,25396227,ok,8,36,0.5,,2026-05-19T11:26:57+00:00
teddriggs/darling,89984100,ok,50,539,0.7,,2026-05-19T11:26:57+00:00
tehshrike/deepmerge,3276413,ok,39,273,0.7,,2026-05-19T11:26:58+00:00
terkelg/sisteransi,122441239,ok,7,28,2.1,,2026-05-19T11:26:58+00:00
terser/terser,29097127,ok,279,3229,7.7,,2026-05-19T11:26:58+00:00
textualize/rich,220809393,ok,308,3386,1.0,,2026-05-19T11:26:59+00:00
theskumar/python-dotenv,23727790,ok,118,419,0.5,,2026-05-19T11:27:00+00:00
thkukuk/rpcsvc-proto,55140533,ok,8,26,0.6,,2026-05-19T11:27:00+00:00
thlorenz/convert-source-map,8751561,ok,27,114,0.5,,2026-05-19T11:27:01+00:00
thlorenz/deep-is,9345558,ok,4,24,0.6,,2026-05-19T11:27:01+00:00
thomasdickey/ncurses-snapshots,65149533,ok,1,1650,0.5,,2026-05-19T11:27:02+00:00
tim-kos/node-retry,1738798,ok,28,124,0.6,,2026-05-19T11:27:02+00:00
time-rs/time,26459635,ok,72,1268,0.6,,2026-05-19T11:27:03+00:00
tj/commander.js,2206953,ok,209,1208,0.7,,2026-05-19T11:27:03+00:00
tj/node-cookie-signature,6229722,ok,13,54,0.5,,2026-05-19T11:27:04+00:00
tjguk/wmi,23124645,ok,3,814,0.5,,2026-05-19T11:27:04+00:00
tkem/cachetools,18006791,ok,22,446,0.7,,2026-05-19T11:27:05+00:00
tokio-rs/bytes,30062547,ok,136,546,0.7,,2026-05-19T11:27:05+00:00
tokio-rs/loom,161875917,ok,61,235,0.7,,2026-05-19T11:27:06+00:00
tokio-rs/prost,94262864,ok,176,791,0.7,,2026-05-19T11:27:06+00:00
tokio-rs/slab,37093133,ok,42,128,0.6,,2026-05-19T11:27:06+00:00
tokio-rs/tokio,67836789,ok,1082,4334,1.2,,2026-05-19T11:27:07+00:00
tokio-rs/tracing,165289175,ok,339,1610,1.4,,2026-05-19T11:27:07+00:00
toml-rs/toml,95902102,ok,168,2412,1.8,,2026-05-19T11:27:07+00:00
tootallnate/proxy-agents,11293703,ok,50,338,0.6,,2026-05-19T11:27:09+00:00
tootallnate/util-deprecate,19321056,ok,3,8,0.5,,2026-05-19T11:27:09+00:00
torvalds/linux,2325298,ok,42365,1351264,152.7,,2026-06-28T12:24:56+00:00
tower-rs/tower,98244646,ok,113,607,0.6,,2026-05-19T11:27:10+00:00
tox-dev/filelock,17098256,ok,66,475,0.7,,2026-05-19T11:27:10+00:00
tox-dev/platformdirs,367032142,ok,96,558,0.6,,2026-05-19T11:27:10+00:00
tqdm/tqdm,36804486,ok,122,1741,0.8,,2026-05-19T11:27:11+00:00
tritondatacenter/node-assert-plus,4767976,ok,15,35,0.8,,2026-05-19T11:27:11+00:00
tritondatacenter/node-extsprintf,4058064,ok,7,20,0.6,,2026-05-19T11:27:11+00:00
troygoode/node-require-directory,3053807,ok,10,70,0.6,,2026-05-19T11:27:11+00:00
trysound/postcss-value-parser,40920306,ok,15,107,0.6,,2026-05-19T11:30:48+00:00
tsconfig/bases,263697285,ok,107,281,0.7,,2026-05-19T11:30:48+00:00
tukaani-project/xz,553665726,ok,66,3013,2.7,,2026-05-19T11:27:12+00:00
typescript-eslint/typescript-eslint,165536154,ok,847,6528,13.0,,2026-05-19T11:27:12+00:00
unicode-org/icu,49244766,ok,324,33640,77.0,,2026-05-19T11:27:15+00:00
unicode-org/icu4x,243395141,ok,166,4951,3.9,,2026-05-19T11:27:18+00:00
unicode-rs/unicode-xid,34637906,ok,24,61,0.5,,2026-05-19T11:27:21+00:00
unshiftio/requires-port,26316179,ok,5,46,0.5,,2026-05-19T11:27:21+00:00
uqfoundation/dill,11031844,ok,50,701,0.5,,2026-05-19T11:27:22+00:00
urllib3/urllib3,2410676,ok,438,3642,1.0,,2026-05-19T11:27:22+00:00
util-linux/util-linux,2339555,ok,1166,20757,1.8,,2026-05-19T11:27:23+00:00
uuidjs/uuid,1203139,ok,89,561,0.5,,2026-05-19T11:27:23+00:00
vercel/ai,644461337,ok,658,6988,87.4,,2026-05-19T11:27:24+00:00
vercel/ms,3655872,ok,43,164,0.5,,2026-05-19T11:27:25+00:00
vercel/next.js,70107786,ok,4154,33790,21.6,,2026-05-19T11:27:26+00:00
visionmedia/bytes.js,4626886,ok,20,162,0.5,,2026-05-19T11:27:26+00:00
vitest-dev/vitest,434708679,ok,788,5771,1.1,,2026-05-19T11:27:27+00:00
vorner/signal-hook,137260008,ok,37,292,0.5,,2026-05-19T11:27:29+00:00
vuejs/core,137078487,ok,670,6998,3.8,,2026-05-19T11:27:30+00:00
wasm-bindgen/wasm-bindgen,114685405,ok,591,3547,0.9,,2026-05-19T11:27:30+00:00
watson/ci-info,71475907,ok,38,210,0.6,,2026-05-19T11:27:30+00:00
wbond/asn1crypto,36823669,ok,40,758,0.7,,2026-05-19T11:27:31+00:00
webmproject/libwebp,23368445,ok,78,4008,1.1,,2026-05-19T11:27:31+00:00
webpack/enhanced-resolve,5400204,ok,92,813,2.8,,2026-05-19T11:27:32+00:00
webpack/schema-utils,80306715,ok,26,206,0.8,,2026-05-19T11:27:34+00:00
webpack/tapable,7730086,ok,42,233,0.7,,2026-05-19T11:27:34+00:00
webpack/terser-webpack-plugin,143057914,ok,45,423,0.9,,2026-05-19T11:27:35+00:00
webpack/watchpack,24119524,ok,40,360,0.7,,2026-05-19T11:27:35+00:00
webpack/webpack-sources,48954523,ok,32,275,0.7,,2026-05-19T11:27:36+00:00
webreflection/flatted,131121620,ok,14,151,0.6,,2026-05-19T11:27:36+00:00
webreflection/html-escaper,33597730,ok,2,27,0.5,,2026-05-19T11:27:36+00:00
websocket-client/websocket-client,1202362,ok,235,1037,0.7,,2026-05-19T11:27:37+00:00
websockets/ws,2744972,ok,217,1730,0.6,,2026-05-19T11:27:37+00:00
wesleytodd/setprototypeof,30301031,ok,8,25,0.5,,2026-05-19T11:27:37+00:00
whitequark/ipaddr.js,2110585,ok,43,175,0.5,,2026-05-19T11:27:38+00:00
withoutboats/heck,86326466,ok,15,57,0.6,,2026-05-19T11:27:38+00:00
xiph/ogg,33956205,ok,65,600,0.5,,2026-05-19T11:27:39+00:00
xtuc/webassemblyjs,113006071,ok,48,1709,0.6,,2026-05-19T11:27:39+00:00
yahoo/serialize-javascript,24106944,ok,31,164,0.6,,2026-05-19T11:27:39+00:00
yaml/libyaml,2699072,ok,37,226,0.6,,2026-05-19T11:27:40+00:00
yaml/pyyaml,2700147,ok,47,325,0.5,,2026-05-19T11:27:40+00:00
yargs/cliui,34287546,ok,22,116,0.5,,2026-05-19T11:27:40+00:00
yargs/set-blocking,58830287,ok,6,13,0.5,,2026-05-19T11:27:41+00:00
yargs/y18n,39720886,ok,23,99,0.6,,2026-05-19T11:27:41+00:00
yargs/yargs,14210523,ok,323,1615,0.7,,2026-05-19T11:27:41+00:00
yargs/yargs-parser,50258379,ok,68,353,0.7,,2026-05-19T11:27:41+00:00
yuzujs/setimmediate,1981208,ok,16,110,0.6,,2026-05-19T11:27:42+00:00
zertosh/loose-envify,41947687,ok,5,30,0.5,,2026-05-19T11:27:42+00:00
zesterer/spin-rs,21686666,ok,64,316,0.8,,2026-05-19T11:27:43+00:00
zloirock/core-js,11481338,ok,149,7506,1.3,,2026-05-19T11:27:43+00:00
