repo,repo_id,git_url,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
open-telemetry/opentelemetry-js-contrib,gh/255986659,https://github.com/open-telemetry/opentelemetry-js-contrib.git,2025,1691,263960,166960,430920,1793,plugins/node/opentelemetry-instrumentation-mysql2/test/mysql.test.ts,4658,48.1,2026-05-03T17:22:01Z
harfbuzz/harfbuzz,gh/5050525,https://github.com/harfbuzz/harfbuzz.git,2025,8237,246200,172954,419154,670,src/hb-ucd-table.hh,42020,37.3,2026-05-03T17:22:01Z
bytecodealliance/rustix,gh/295544240,https://github.com/bytecodealliance/rustix.git,2025,2146,250623,166445,417068,793,src/imp/linux_raw/syscalls.rs,11410,4.8,2026-05-03T17:22:01Z
ardatan/graphql-tools,gh/54432168,https://github.com/ardatan/graphql-tools.git,2025,4683,201998,203276,405274,1711,packages/federation/src/supergraph.ts,6038,74.4,2026-05-03T17:22:01Z
c-ares/c-ares,gh/571708,https://github.com/c-ares/c-ares.git,2025,880,189494,213317,402811,305,src/lib/ares_platform.c,76582,6.6,2026-05-03T17:22:01Z
pypa/setuptools,gh/54980593,https://github.com/pypa/setuptools.git,2025,4547,211605,185845,397450,680,pkg_resources/_vendor/more_itertools/more.py,18812,48.1,2026-05-03T17:22:01Z
zloirock/core-js,gh/11481338,https://github.com/zloirock/core-js.git,2025,4266,223658,168600,392258,5651,deno/corejs/index.js,138700,31.1,2026-05-03T17:22:01Z
gnome/libxml2,gl/gnome-1665,https://github.com/gnome/libxml2.git,2025,2718,130569,252998,383567,329,testapi.c,66626,17.2,2026-05-03T17:22:01Z
snowflakedb/snowflake-connector-python,gh/62262074,https://github.com/snowflakedb/snowflake-connector-python.git,2025,961,247900,127828,375728,680,src/snowflake/connector/nanoarrow_cpp/ArrowIterator/nanoarrow_ipc.c,63269,17.8,2026-05-03T17:22:01Z
ethers-io/ethers.js,gh/63465664,https://github.com/ethers-io/ethers.js.git,2025,781,286340,88266,374606,1126,dist/ethers.js,92708,165.6,2026-05-03T17:22:01Z
git/git,gh/36502,https://github.com/git/git.git,2025,12822,230050,136236,366286,1032,object-file.c,7978,102.4,2026-05-03T17:22:01Z
evanw/esbuild,gh/61137153,https://github.com/evanw/esbuild.git,2025,2802,238650,127417,366067,229,internal/js_parser/js_parser.go,29407,9.8,2026-05-03T17:22:01Z
rust-lang/libc,gh/29197565,https://github.com/rust-lang/libc.git,2025,2704,205194,155034,360228,627,src/unix/linux_like/linux/mod.rs,17856,25.1,2026-05-03T17:22:01Z
mhammond/pywin32,gh/108187130,https://github.com/mhammond/pywin32.git,2025,538,212480,135317,347797,1187,com/win32comext/mapi/src/MAPIStubLibrary/include/mimeole.h,9637,68.9,2026-05-03T17:22:01Z
nlnetlabs/unbound,gh/94195301,https://github.com/nlnetlabs/unbound.git,2025,1784,168805,164792,333597,231,util/configlexer.c,137247,30.1,2026-05-03T17:22:01Z
reactivex/rxjs,gh/32247847,https://github.com/reactivex/rxjs.git,2025,879,157066,159883,316949,1885,spec/operators/groupBy-spec.ts,4215,43.4,2026-05-03T17:22:01Z
gregberge/svgr,gh/102155012,https://github.com/gregberge/svgr.git,2025,188,154556,153701,308257,171,.yarn/releases/yarn-1.18.0.cjs,294310,9.2,2026-05-03T17:22:01Z
facebook/watchman,gh/6930489,https://github.com/facebook/watchman.git,2025,8797,157268,139692,296960,1117,watchman/watcher/eden.cpp,4595,20.8,2026-05-03T17:22:01Z
libjpeg-turbo/libjpeg-turbo,gh/39760454,https://github.com/libjpeg-turbo/libjpeg-turbo.git,2025,508,161444,131987,293431,628,java/doc/jquery/jszip/dist/jszip.js,11370,10.1,2026-05-18T00:11:16Z
pcre2project/pcre2,gh/398251321,https://github.com/pcre2project/pcre2.git,2025,937,137599,149370,286969,113,src/pcre2_ucd.c,67369,23.3,2026-05-03T17:22:01Z
wasm-bindgen/wasm-bindgen,gh/114685405,https://github.com/wasm-bindgen/wasm-bindgen.git,2025,992,185641,98976,284617,2501,crates/cli-support/src/js/mod.rs,7541,43.5,2026-05-03T17:22:01Z
csstools/postcss-plugins,gh/219192307,https://github.com/csstools/postcss-plugins.git,2025,4556,189037,91603,280640,3018,plugins/postcss-progressive-custom-properties/src/matchers.ts,7223,16.0,2026-05-03T17:22:01Z
browserslist/caniuse-lite,gh/80221890,https://github.com/browserslist/caniuse-lite.git,2025,742,139438,139149,278587,903,publish.js,867,33.4,2026-05-18T00:11:16Z
smithy-lang/smithy-typescript,gh/208319207,https://github.com/smithy-lang/smithy-typescript.git,2025,2429,195661,80347,276008,1637,packages/signature-v4a/src/elliptic/Ec.ts,9563,17.7,2026-05-03T17:22:01Z
mrabarnett/mrab-regex,gh/309446978,https://github.com/mrabarnett/mrab-regex.git,2025,104,106922,166827,273749,27,regex_3/_regex_unicode.c,76979,3.1,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-python,gh/185478926,https://github.com/open-telemetry/opentelemetry-python.git,2025,1263,164082,106382,270464,928,opentelemetry-proto/src/opentelemetry/proto/metrics/v1/metrics_pb2.pyi,4409,10.0,2026-05-18T00:11:16Z
rustcrypto/formats,gh/406051759,https://github.com/rustcrypto/formats.git,2025,1639,173451,96872,270323,574,const-oid/src/db/gen.rs,56334,6.0,2026-05-03T17:22:01Z
certbot/certbot,gh/26516210,https://github.com/certbot/certbot.git,2025,1137,133897,134026,267923,810,certbot/certbot/_internal/tests/main_test.py,5384,35.8,2026-05-03T17:22:01Z
radix-ui/primitives,gh/273499522,https://github.com/radix-ui/primitives.git,2025,1164,144925,120503,265428,632,packages/react/dropdown-menu/src/DropdownMenu.stories.tsx,9420,31.1,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-python-contrib,gh/220524743,https://github.com/open-telemetry/opentelemetry-python-contrib.git,2025,1644,151216,113046,264262,1187,reference/ddtrace/vendor/msgpack/_cmsgpack.cpp,15777,7.3,2026-05-18T00:11:16Z
vuejs/core,gh/137078487,https://github.com/vuejs/core.git,2025,3830,166214,97999,264213,731,packages/compiler-sfc/src/compileScript.ts,8433,16.4,2026-05-03T17:22:01Z
socketio/socket.io,gh/557980,https://github.com/socketio/socket.io.git,2025,1035,141915,111672,253587,604,dist/socket.io.js,26187,16.3,2026-05-03T17:22:01Z
toml-rs/toml,gh/95902102,https://github.com/toml-rs/toml.git,2025,1579,131276,116481,247757,429,crates/toml_edit/tests/testsuite/parse.rs,7086,5.2,2026-05-03T17:22:01Z
indygreg/python-zstandard,gh/67307930,https://github.com/indygreg/python-zstandard.git,2025,385,114081,133631,247712,83,zstd/zstdlib.c,156379,3.9,2026-05-03T17:22:01Z
python-poetry/poetry-core,gh/238972646,https://github.com/python-poetry/poetry-core.git,2025,795,115411,114870,230281,594,src/poetry/core/_vendor/pyparsing.py,14214,4.8,2026-05-03T17:22:01Z
burntsushi/jiff,gh/759017108,https://github.com/burntsushi/jiff.git,2025,543,170692,46718,217410,229,src/span.rs,10649,2.4,2026-05-03T17:22:01Z
rust-lang/compiler-builtins,gh/65153793,https://github.com/rust-lang/compiler-builtins.git,2025,1096,121429,95466,216895,674,libm/src/math/support/hex_float.rs,4068,1.9,2026-05-03T17:22:01Z
bdwgc/bdwgc,gh/2109456,https://github.com/bdwgc/bdwgc.git,2025,2516,112506,104121,216627,153,os_dep.c,19627,11.8,2026-05-18T00:11:16Z
tokio-rs/tokio,gh/67836789,https://github.com/tokio-rs/tokio.git,2025,1995,151105,65462,216567,816,tokio/src/runtime/metrics/runtime.rs,6468,28.6,2026-05-03T17:22:01Z
jestjs/jest,gh/15062869,https://github.com/jestjs/jest.git,2025,2229,127619,86871,214490,2158,packages/jest-mock/src/index.ts,3516,185.4,2026-05-03T17:22:01Z
time-rs/time,gh/26459635,https://github.com/time-rs/time.git,2025,727,120323,93185,213508,390,tests/parsing.rs,5186,3.4,2026-05-03T17:22:01Z
taiki-e/portable-atomic,gh/448365131,https://github.com/taiki-e/portable-atomic.git,2025,1755,121672,86726,208398,405,src/lib.rs,13833,6.5,2026-05-03T17:22:01Z
burntsushi/memchr,gh/37290652,https://github.com/burntsushi/memchr.git,2025,112,133580,69025,202605,123,bench/data/code/rust-library.rs,104190,6.7,2026-05-03T17:22:01Z
facebook/metro,gh/76504246,https://github.com/react/metro.git,2025,1727,131134,67947,199081,746,flow-typed/npm/babel-types_v17.x.x.js,8028,57.0,2026-05-03T17:22:01Z
python-poetry/poetry,gh/123303402,https://github.com/python-poetry/poetry.git,2025,1994,117388,80543,197931,656,tests/installation/test_installer.py,7220,15.0,2026-05-18T00:11:16Z
aio-libs/aiohttp,gh/13258039,https://github.com/aio-libs/aiohttp.git,2025,5091,141864,55100,196964,171,aiohttp/client_reqrep.py,11538,46.9,2026-05-18T00:11:16Z
nghttp2/nghttp2,gh/11452676,https://github.com/nghttp2/nghttp2.git,2025,1395,93578,86191,179769,358,third-party/llhttp/src/llhttp.c,30118,16.1,2026-05-03T17:22:01Z
pyca/cryptography,gh/11939484,https://github.com/pyca/cryptography.git,2025,6421,105251,67707,172958,430,src/rust/src/x509/certificate.rs,6263,58.7,2026-05-03T17:22:01Z
floating-ui/floating-ui,gh/54994103,https://github.com/floating-ui/floating-ui.git,2025,1429,102124,60469,162593,728,website/pages/index.js,8331,34.5,2026-05-03T17:22:01Z
jridgewell/resolve-uri,gh/196878944,https://github.com/jridgewell/resolve-uri.git,2025,44,105428,57093,162521,23,test/resolve-uri.test.js,46604,1.1,2026-05-03T17:22:01Z
rust-lang/regex,gh/27890669,https://github.com/rust-lang/regex.git,2025,515,122105,38867,160972,316,regex-automata/src/dfa/dense.rs,5498,7.2,2026-05-03T17:22:01Z
util-linux/util-linux,gh/2339555,https://github.com/util-linux/util-linux.git,2025,5358,111248,47876,159124,580,misc-utils/lsfd.c,9612,99.1,2026-05-03T17:22:01Z
googleapis/python-storage,gh/226992639,https://github.com/googleapis/python-storage.git,2025,644,115417,41297,156714,371,tests/unit/gapic/storage_v2/test_storage.py,11790,24.4,2026-05-03T17:22:01Z
bytecodealliance/wasi-rs,gh/196445196,https://github.com/bytecodealliance/wasi-rs.git,2025,59,96488,57562,154050,50,src/bindings.rs,60928,1.3,2026-05-03T17:22:01Z
python-pillow/pillow,gh/5171600,https://github.com/python-pillow/pillow.git,2025,5738,88415,60876,149291,449,src/PIL/Image.py,5340,40.8,2026-05-03T22:57:48Z
ljharb/es-abstract,gh/28995155,https://github.com/ljharb/es-abstract.git,2025,459,107192,41601,148793,2681,test/tests.js,35172,4.7,2026-05-03T17:22:01Z
sindresorhus/execa,gh/47475908,https://github.com/sindresorhus/execa.git,2025,503,89579,56694,146273,802,index.test-d.ts,12495,3.0,2026-05-03T17:22:01Z
pygments/pygments,gh/205564111,https://github.com/pygments/pygments.git,2025,1468,79998,54756,134754,648,pygments/lexers/_lilypond_builtins.py,5764,27.0,2026-05-03T17:22:01Z
kjd/idna,gh/10323585,https://github.com/kjd/idna.git,2025,142,91426,38543,129969,23,tests/test_idna_uts46.py,75524,0.8,2026-05-03T17:22:01Z
lxml/lxml,gh/1353927,https://github.com/lxml/lxml.git,2025,1088,61136,58364,119500,132,src/lxml/tests/test_etree.py,13084,24.5,2026-05-03T17:22:01Z
micromark/micromark,gh/157420458,https://github.com/micromark/micromark.git,2025,316,60401,52065,112466,417,test/io/flow/html.js,3425,1.9,2026-05-03T17:22:01Z
giampaolo/psutil,gh/20101515,https://github.com/giampaolo/psutil.git,2025,725,56253,54434,110687,289,psutil/tests/test_linux.py,5383,21.1,2026-05-03T17:22:01Z
facebook/zstd,gh/29759715,https://github.com/facebook/zstd.git,2025,2056,70606,39517,110123,311,lib/compress/zstd_compress.c,12946,25.4,2026-05-03T17:22:01Z
coveragepy/coveragepy,gh/138421996,https://github.com/coveragepy/coveragepy.git,2025,2648,61307,48224,109531,223,tests/test_process.py,3835,13.1,2026-05-03T17:22:01Z
chronotope/chrono,gh/18210201,https://github.com/chronotope/chrono.git,2025,996,59697,45213,104910,77,src/format/parse.rs,8662,6.1,2026-05-03T17:22:01Z
axios/axios,gh/23088740,https://github.com/axios/axios.git,2025,809,55546,44234,99780,197,dist/axios.js,32951,11.0,2026-05-03T17:22:01Z
rustcrypto/hashes,gh/74106774,https://github.com/rustcrypto/hashes.git,2025,331,52292,45196,97488,291,fsb/src/pi.rs,34054,2.5,2026-05-03T17:22:01Z
freetype/freetype,gh/187000659,https://github.com/freetype/freetype.git,2025,1510,59125,38139,97264,503,src/gzip/crc32.h,10318,18.8,2026-05-03T22:57:48Z
serde-rs/serde,gh/14367737,https://github.com/serde-rs/serde.git,2025,1005,48389,47163,95552,206,serde_derive/src/de.rs,6233,6.9,2026-05-03T17:22:01Z
rustcrypto/utils,gh/77307442,https://github.com/rustcrypto/utils.git,2025,890,49848,44880,94728,278,hybrid-array/src/lib.rs,3468,2.0,2026-05-03T17:22:01Z
webmproject/libwebp,gh/23368445,https://github.com/webmproject/libwebp.git,2025,806,54361,39517,93878,252,sharpyuv/sharpyuv_risk_table.c,12420,6.3,2026-05-03T17:22:01Z
boto/botocore,gh/6670942,https://github.com/boto/botocore.git,2025,3919,62963,29113,92076,277,tests/functional/test_s3.py,6239,180.9,2026-05-03T17:22:01Z
google/brotli,gh/24993138,https://github.com/google/brotli.git,2025,316,57335,34145,91480,196,c/enc/static_dict_lut.c,11898,49.0,2026-05-03T17:22:01Z
servo/rust-url,gh/14934771,https://github.com/servo/rust-url.git,2025,211,38889,50639,89528,34,idna/src/uts46_mapping_table.rs,71729,2.0,2026-05-03T17:22:01Z
ardatan/whatwg-node,gh/429511342,https://github.com/ardatan/whatwg-node.git,2025,2900,51280,37522,88802,229,e2e/deno/lib.deno.d.ts,30756,11.5,2026-05-03T17:22:01Z
dtolnay/syn,gh/67305738,https://github.com/dtolnay/syn.git,2025,1753,48492,38251,86743,135,src/gen/debug.rs,7605,8.4,2026-05-03T17:22:01Z
pytest-dev/pytest,gh/37489525,https://github.com/pytest-dev/pytest.git,2025,2812,57329,29149,86478,276,src/_pytest/fixtures.py,3798,15.7,2026-05-03T17:22:01Z
streamich/memfs,gh/37490572,https://github.com/streamich/memfs.git,2025,1085,53322,31127,84449,331,src/volume.ts,7550,5.9,2026-05-03T17:22:01Z
conventional-changelog/conventional-changelog,gh/15639771,https://github.com/conventional-changelog/conventional-changelog.git,2025,393,45333,37783,83116,371,packages/conventional-changelog-core/test/index.spec.js,5254,3.2,2026-05-03T17:22:01Z
rustcrypto/traits,gh/85605821,https://github.com/rustcrypto/traits.git,2025,1252,43975,36703,80678,174,elliptic-curve/src/jwk.rs,1976,3.5,2026-05-03T17:22:01Z
