url,valid,method,checked_at
https://codeberg.org/guile/guile.git,True,ls-remote,2026-07-06T10:53:22Z
https://codeberg.org/gumbo-parser/gumbo-parser.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/hjacobs/python-clickclick.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/jasterv/test-context.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/jplatte/serde_html_form.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/jpt/jellyfish.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/jssfr/rxml.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/kornelski/load_image.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/koutheir/selinux-sys.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/koutheir/selinux.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/ltworf/pypular.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/ltworf/typedload.git,True,ls-remote,2026-06-28T13:20:44Z
https://codeberg.org/nielsenb-jf/aniso8601.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/notgull/ctor-lite.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/notgull/smol-hyper.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/polyfloyd/rust-id3.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/sarah-quinones/dyn-stack.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/sarah-quinones/faer.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/swsnr/gethostname.rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/tenacityteam/libmad.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/tlocke/pg8000.git,True,ls-remote,2026-04-27T20:41:04Z
https://codeberg.org/tlocke/scramp.git,True,ls-remote,2026-04-27T20:41:04Z
https://codeberg.org/wvwwvwwv/scalable-concurrent-containers.git,True,ls-remote,2026-05-17T23:15:11Z
