project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/debian/libdv,True,33165,gl/debian-33165,salsa.debian.org,Organization,group,debian,libdv,debian/libdv,libdv packaging,https://salsa.debian.org/debian/libdv,master,lgpl-2.1,C,,0,1,,,public,2019-01-08T20:38:31.714Z,2026-01-18T21:11:57.930Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libemf,True,19332,gl/debian-19332,salsa.debian.org,Organization,group,debian,libemf,debian/libemf,Repository imported from https://anonscm.debian.org/git/collab-maint/libemf.git/,https://salsa.debian.org/debian/libemf,master,gpl-2.0+,C,,1,0,,,public,2018-03-27T12:07:50.478Z,2026-05-04T19:09:39.217Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libev,True,33805,gl/debian-33805,salsa.debian.org,Organization,group,debian,libev,debian/libev,libev packaging,https://salsa.debian.org/debian/libev,master,other,Shell,,0,1,,,public,2019-02-02T19:22:57.482Z,2024-03-28T16:13:29.434Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libevdev,True,25572,gl/debian-25572,salsa.debian.org,Organization,group,debian,libevdev,debian/libevdev,Repository imported from https://anonscm.debian.org/git/collab-maint/libevdev.git/,https://salsa.debian.org/debian/libevdev,master,other,C,,1,1,,,public,2018-05-03T09:45:54.166Z,2026-07-04T09:13:33.944Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libgpg-error,True,9597,gl/debian-9597,salsa.debian.org,Organization,group,debian,libgpg-error,debian/libgpg-error,Debian packaging for common portability library for GnuPG,https://salsa.debian.org/debian/libgpg-error,debian/unstable,gpl-2.0+,C,gnupg-team,2,4,,,public,2018-02-05T23:58:09.169Z,2026-06-25T16:44:06.917Z,2026-07-06T10:53:20Z
salsa.debian.org/debian/libgpod,True,30562,gl/debian-30562,salsa.debian.org,Organization,group,debian,libgpod,debian/libgpod,libgpod packaging,https://salsa.debian.org/debian/libgpod,master,lgpl-2.0,C,,0,3,,,public,2018-09-18T19:29:02.581Z,2025-12-02T15:00:53.756Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libidn,True,30730,gl/debian-30730,salsa.debian.org,Organization,group,debian,libidn,debian/libidn,Debian packaging of GNU Libidn -- https://tracker.debian.org/pkg/libidn -- https://www.gnu.org/software/libidn/,https://salsa.debian.org/debian/libidn,debian/latest,gpl-3.0+,Java,,0,2,,,public,2018-09-26T11:09:07.633Z,2026-06-16T17:48:03.978Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libiec61883,True,32268,gl/debian-32268,salsa.debian.org,Organization,group,debian,libiec61883,debian/libiec61883,Debian packaging for libiec61883,https://salsa.debian.org/debian/libiec61883,debian/master,lgpl-2.1,Shell,,0,3,,,public,2018-11-28T22:46:00.439Z,2026-03-21T00:36:50.314Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/liblognorm,True,70912,gl/debian-70912,salsa.debian.org,Organization,group,debian,liblognorm,debian/liblognorm,,https://salsa.debian.org/debian/liblognorm,master,lgpl-2.1,C,,0,0,,,public,2022-06-16T12:26:36.583Z,2026-05-18T13:59:36.037Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libmspack,True,20763,gl/debian-20763,salsa.debian.org,Organization,group,debian,libmspack,debian/libmspack,libmspack packaging,https://salsa.debian.org/debian/libmspack,master,lgpl-2.1,C,,1,2,,,public,2018-04-05T03:15:15.552Z,2023-02-07T15:30:14.918Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libmtp,True,33503,gl/debian-33503,salsa.debian.org,Organization,group,debian,libmtp,debian/libmtp,libmtp packaging,https://salsa.debian.org/debian/libmtp,master,lgpl-2.1,C,,0,1,,,public,2019-01-21T19:49:20.999Z,2026-03-31T21:09:38.017Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/libndp,True,8590,gl/debian-8590,salsa.debian.org,Organization,group,debian,libndp,debian/libndp,libndp packaging,https://salsa.debian.org/debian/libndp,debian,lgpl-2.1,C,,0,1,,,public,2018-01-29T23:54:56.506Z,2026-03-18T15:05:34.685Z,2026-07-06T00:20:29Z
salsa.debian.org/debian/liboauth,True,44356,gl/debian-44356,salsa.debian.org,Organization,group,debian,liboauth,debian/liboauth,liboauth packaging,https://salsa.debian.org/debian/liboauth,master,mit,Shell,,0,0,,,public,2020-03-12T09:59:39.644Z,2022-04-03T08:44:41.829Z,2026-07-06T00:20:29Z
