project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
gitlab.freedesktop.org/xorg/driver/xf86-video-ati,True,598,gl/freedesktop-598,gitlab.freedesktop.org,Organization,group,xorg/driver,xf86-video-ati,xorg/driver/xf86-video-ati,ATI/AMD Radeon video driver for the Xorg X server,https://gitlab.freedesktop.org/xorg/driver/xf86-video-ati,master,hpnd-sell-variant,C,,4,17,,,public,2018-07-29T09:23:07.253Z,2026-06-30T10:09:48.160Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/driver/xf86-video-fbdev,True,603,gl/freedesktop-603,gitlab.freedesktop.org,Organization,group,xorg/driver,xf86-video-fbdev,xorg/driver/xf86-video-fbdev,framebuffer device video driver for the Xorg X server,https://gitlab.freedesktop.org/xorg/driver/xf86-video-fbdev,master,other,C,,2,5,,,public,2018-07-29T09:23:12.042Z,2025-08-13T00:42:31.400Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/driver/xf86-video-vesa,True,648,gl/freedesktop-648,gitlab.freedesktop.org,Organization,group,xorg/driver,xf86-video-vesa,xorg/driver/xf86-video-vesa,Generic VESA video driver for the Xorg X server,https://gitlab.freedesktop.org/xorg/driver/xf86-video-vesa,master,x11-distribute-modifications-variant,C,,2,7,,,public,2018-07-29T09:40:42.163Z,2025-07-19T18:02:10.653Z,2026-07-06T18:12:18Z
gitlab.freedesktop.org/xorg/driver/xf86-video-vmware,True,651,gl/freedesktop-651,gitlab.freedesktop.org,Organization,group,xorg/driver,xf86-video-vmware,xorg/driver/xf86-video-vmware,VMware guest video driver for the Xorg X server,https://gitlab.freedesktop.org/xorg/driver/xf86-video-vmware,master,other,C,,1,10,,,public,2018-07-29T09:40:45.419Z,2025-12-16T02:49:23.277Z,2026-07-06T18:12:18Z
gitlab.freedesktop.org/xorg/lib/libapplewm,True,696,gl/freedesktop-696,gitlab.freedesktop.org,Organization,group,xorg/lib,libAppleWM,xorg/lib/libapplewm,Xlib-based library for the Apple-WM extension,https://gitlab.freedesktop.org/xorg/lib/libapplewm,master,mit,C,,1,1,,,public,2018-07-29T09:41:35.361Z,2023-03-04T19:14:50.845Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/lib/libice,True,698,gl/freedesktop-698,gitlab.freedesktop.org,Organization,group,xorg/lib,libICE,xorg/lib/libice,Inter-Client Exchange Library,https://gitlab.freedesktop.org/xorg/lib/libice,master,mit-open-group,C,,0,9,,,public,2018-07-29T09:41:37.673Z,2025-05-31T15:22:43.522Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libpciaccess,True,743,gl/freedesktop-743,gitlab.freedesktop.org,Organization,group,xorg/lib,libpciaccess,xorg/lib/libpciaccess,Generic PCI access library,https://gitlab.freedesktop.org/xorg/lib/libpciaccess,master,mit,C,,8,23,,,public,2018-07-29T09:42:33.991Z,2026-03-26T20:23:48.663Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libsm,True,699,gl/freedesktop-699,gitlab.freedesktop.org,Organization,group,xorg/lib,libSM,xorg/lib/libsm,X Session Management Library,https://gitlab.freedesktop.org/xorg/lib/libsm,master,mit,C,,0,2,,,public,2018-07-29T09:41:38.920Z,2025-03-09T01:37:16.416Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libx11,True,701,gl/freedesktop-701,gitlab.freedesktop.org,Organization,group,xorg/lib,libX11,xorg/lib/libx11,"Core X11 protocol client library (aka ""Xlib"")",https://gitlab.freedesktop.org/xorg/lib/libx11,master,bsd-1-clause,C,,26,92,,,public,2018-07-29T09:41:41.673Z,2026-07-12T01:48:23.195Z,2026-07-12T21:32:49Z
gitlab.freedesktop.org/xorg/lib/libxau,True,706,gl/freedesktop-706,gitlab.freedesktop.org,Organization,group,xorg/lib,libXau,xorg/lib/libxau,Functions for handling Xauthority files and entries.,https://gitlab.freedesktop.org/xorg/lib/libxau,master,mit-open-group,C,,1,7,,,public,2018-07-29T09:41:47.714Z,2026-07-12T17:31:36.050Z,2026-07-12T21:32:49Z
gitlab.freedesktop.org/xorg/lib/libxaw,True,707,gl/freedesktop-707,gitlab.freedesktop.org,Organization,group,xorg/lib,libXaw,xorg/lib/libxaw,"X Athena Widget Set, based on the X Toolkit Intrinsics (Xt) Library",https://gitlab.freedesktop.org/xorg/lib/libxaw,master,mit-open-group,C,,3,10,,,public,2018-07-29T09:41:49.473Z,2026-07-05T21:54:37.619Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/lib/libxcursor,True,710,gl/freedesktop-710,gitlab.freedesktop.org,Organization,group,xorg/lib,libXcursor,xorg/lib/libxcursor,Xlib-based Cursor management library,https://gitlab.freedesktop.org/xorg/lib/libxcursor,master,other,C,,0,13,,,public,2018-07-29T09:41:52.922Z,2026-01-25T22:36:22.111Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/lib/libxdmcp,True,712,gl/freedesktop-712,gitlab.freedesktop.org,Organization,group,xorg/lib,libXdmcp,xorg/lib/libxdmcp,X Display Manager Control Protocol library,https://gitlab.freedesktop.org/xorg/lib/libxdmcp,master,mit-open-group,C,,1,2,,,public,2018-07-29T09:41:55.453Z,2026-01-25T23:15:14.117Z,2026-07-12T21:32:49Z
gitlab.freedesktop.org/xorg/lib/libxext,True,714,gl/freedesktop-714,gitlab.freedesktop.org,Organization,group,xorg/lib,libXext,xorg/lib/libxext,Xlib-based library for common extensions to the X11 protocol,https://gitlab.freedesktop.org/xorg/lib/libxext,master,mit-open-group,C,,6,2,,,public,2018-07-29T09:41:58.069Z,2026-01-29T02:27:00.449Z,2026-07-12T21:32:49Z
gitlab.freedesktop.org/xorg/lib/libxfixes,True,715,gl/freedesktop-715,gitlab.freedesktop.org,Organization,group,xorg/lib,libXfixes,xorg/lib/libxfixes,Xlib-based library for the XFIXES Extension,https://gitlab.freedesktop.org/xorg/lib/libxfixes,master,mit,C,,1,3,,,public,2018-07-29T09:41:59.354Z,2026-01-25T23:22:40.087Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libxfont,True,716,gl/freedesktop-716,gitlab.freedesktop.org,Organization,group,xorg/lib,libXfont,xorg/lib/libxfont,X font handling library for server & utilities,https://gitlab.freedesktop.org/xorg/lib/libxfont,master,bsd-4-clause-uc,C,,1,13,,,public,2018-07-29T09:42:00.338Z,2026-06-24T01:38:19.771Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/lib/libxft,True,718,gl/freedesktop-718,gitlab.freedesktop.org,Organization,group,xorg/lib,libXft,xorg/lib/libxft,X FreeType library,https://gitlab.freedesktop.org/xorg/lib/libxft,master,other,C,,7,10,,,public,2018-07-29T09:42:02.763Z,2026-05-25T09:53:43.924Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/lib/libxi,True,719,gl/freedesktop-719,gitlab.freedesktop.org,Organization,group,xorg/lib,libXi,xorg/lib/libxi,"Xlib library for the X Input Extension
",https://gitlab.freedesktop.org/xorg/lib/libxi,master,mit,C,,2,8,,,public,2018-07-29T09:42:04.226Z,2026-05-18T00:14:08.890Z,2026-07-06T17:11:48Z
gitlab.freedesktop.org/xorg/lib/libxinerama,True,720,gl/freedesktop-720,gitlab.freedesktop.org,Organization,group,xorg/lib,libXinerama,xorg/lib/libxinerama,Xlib API for Xinerama extension to X11 Protocol,https://gitlab.freedesktop.org/xorg/lib/libxinerama,master,mit,C,,0,3,,,public,2018-07-29T09:42:05.355Z,2026-02-21T23:39:55.977Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/lib/libxmu,True,722,gl/freedesktop-722,gitlab.freedesktop.org,Organization,group,xorg/lib,libXmu,xorg/lib/libxmu,X miscellaneous utility routines library,https://gitlab.freedesktop.org/xorg/lib/libxmu,master,0bsd,C,,0,4,,,public,2018-07-29T09:42:08.000Z,2026-02-08T19:57:15.887Z,2026-07-06T17:11:48Z
gitlab.freedesktop.org/xorg/lib/libxpm,True,724,gl/freedesktop-724,gitlab.freedesktop.org,Organization,group,xorg/lib,libXpm,xorg/lib/libxpm,X Pixmap (XPM) image file format library,https://gitlab.freedesktop.org/xorg/lib/libxpm,master,other,C,,3,8,,,public,2018-07-29T09:42:10.780Z,2026-04-21T13:00:22.876Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/lib/libxpresent,True,725,gl/freedesktop-725,gitlab.freedesktop.org,Organization,group,xorg/lib,libXpresent,xorg/lib/libxpresent,Xlib-based library for the X Present Extension,https://gitlab.freedesktop.org/xorg/lib/libxpresent,master,mit,C,,0,2,,,public,2018-07-29T09:42:12.211Z,2026-05-09T16:05:55.956Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/lib/libxrandr,True,728,gl/freedesktop-728,gitlab.freedesktop.org,Organization,group,xorg/lib,libXrandr,xorg/lib/libxrandr,"Xlib Resize, Rotate and Reflection (RandR) extension library
",https://gitlab.freedesktop.org/xorg/lib/libxrandr,master,hpnd,C,,4,4,,,public,2018-07-29T09:42:15.859Z,2026-04-04T15:25:55.624Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libxrender,True,730,gl/freedesktop-730,gitlab.freedesktop.org,Organization,group,xorg/lib,libXrender,xorg/lib/libxrender,Xlib library for the Render Extension to the X11 protocol,https://gitlab.freedesktop.org/xorg/lib/libxrender,master,other,C,,2,7,,,public,2018-07-29T09:42:18.035Z,2026-01-26T00:29:13.848Z,2026-07-12T21:32:49Z
gitlab.freedesktop.org/xorg/lib/libxshmfence,True,748,gl/freedesktop-748,gitlab.freedesktop.org,Organization,group,xorg/lib,libxshmfence,xorg/lib/libxshmfence,Shared memory 'SyncFence' synchronization primitive,https://gitlab.freedesktop.org/xorg/lib/libxshmfence,master,hpnd-sell-variant,C,,3,6,,,public,2018-07-29T09:42:39.823Z,2026-01-26T00:31:41.700Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/lib/libxt,True,731,gl/freedesktop-731,gitlab.freedesktop.org,Organization,group,xorg/lib,libXt,xorg/lib/libxt,X Toolkit Intrinsics library,https://gitlab.freedesktop.org/xorg/lib/libxt,master,mit,C,X Toolkit,2,18,,,public,2018-07-29T09:42:19.556Z,2026-03-06T01:34:10.930Z,2026-07-06T17:11:48Z
gitlab.freedesktop.org/xorg/lib/libxtst,True,732,gl/freedesktop-732,gitlab.freedesktop.org,Organization,group,xorg/lib,libXtst,xorg/lib/libxtst,Xlib-based library for XTEST & RECORD extensions,https://gitlab.freedesktop.org/xorg/lib/libxtst,master,x11-distribute-modifications-variant,C,,0,2,,,public,2018-07-29T09:42:20.603Z,2026-01-26T00:53:35.762Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libxv,True,733,gl/freedesktop-733,gitlab.freedesktop.org,Organization,group,xorg/lib,libXv,xorg/lib/libxv,Xlib-based library for the X Video (Xv) extension to the X Window System,https://gitlab.freedesktop.org/xorg/lib/libxv,master,other,C,,0,3,,,public,2018-07-29T09:42:21.730Z,2026-01-26T00:55:49.079Z,2026-07-06T17:11:49Z
gitlab.freedesktop.org/xorg/lib/libxxf86vm,True,738,gl/freedesktop-738,gitlab.freedesktop.org,Organization,group,xorg/lib,libXxf86vm,xorg/lib/libxxf86vm,Xlib-based library for the XFree86-VidMode X extension,https://gitlab.freedesktop.org/xorg/lib/libxxf86vm,master,x11-distribute-modifications-variant,C,,0,2,,,public,2018-07-29T09:42:28.278Z,2026-02-21T23:48:09.945Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/lib/pthread-stubs,True,2428,gl/freedesktop-2428,gitlab.freedesktop.org,Organization,group,xorg/lib,pthread-stubs,xorg/lib/pthread-stubs,Stub replacements for POSIX Threads functions,https://gitlab.freedesktop.org/xorg/lib/pthread-stubs,master,x11-distribute-modifications-variant,M4Sugar,,0,2,,,public,2019-02-16T19:31:57.059Z,2026-01-26T01:17:25.093Z,2026-07-06T10:53:20Z
gitlab.freedesktop.org/xorg/proto/xorgproto,True,788,gl/freedesktop-788,gitlab.freedesktop.org,Organization,group,xorg/proto,xorgproto,xorg/proto/xorgproto,X Window System unified protocol definitions,https://gitlab.freedesktop.org/xorg/proto/xorgproto,master,sgi-b-1.1,C,,13,54,,,public,2018-07-29T09:43:22.748Z,2026-06-26T16:29:46.087Z,2026-07-06T00:20:18Z
gitlab.freedesktop.org/xorg/xserver,True,371,gl/freedesktop-371,gitlab.freedesktop.org,Organization,group,xorg,xserver,xorg/xserver,X server,https://gitlab.freedesktop.org/xorg/xserver,main,sgi-b-1.1,C,,129,382,,,public,2018-07-09T16:30:01.749Z,2026-07-06T02:44:17.639Z,2026-07-06T10:53:20Z
gitlab.gnome.org/archive/clutter,True,1631,gl/gnome-1631,gitlab.gnome.org,Organization,group,Archive,clutter,Archive/clutter,,https://gitlab.gnome.org/Archive/clutter,master,lgpl-2.1,C,,6,7,,,public,2018-05-23T10:42:34.014Z,2022-08-25T15:45:34.704Z,2026-07-06T17:11:49Z
gitlab.gnome.org/archive/clutter-gst,True,2906,gl/gnome-2906,gitlab.gnome.org,Organization,group,Archive,clutter-gst,Archive/clutter-gst,,https://gitlab.gnome.org/Archive/clutter-gst,master,lgpl-2.1,C,,1,2,,,public,2018-05-29T08:53:15.202Z,2020-09-25T06:05:26.527Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/atkmm,True,1511,gl/gnome-1511,gitlab.gnome.org,Organization,group,GNOME,atkmm,GNOME/atkmm,,https://gitlab.gnome.org/GNOME/atkmm,master,lgpl-2.1,Scheme,,0,1,,,public,2018-05-22T09:49:04.398Z,2026-05-26T07:27:09.776Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/evolution,True,1604,gl/gnome-1604,gitlab.gnome.org,Organization,group,GNOME,evolution,GNOME/evolution,,https://gitlab.gnome.org/GNOME/evolution,master,lgpl-2.1,C,,88,87,,,public,2018-05-23T09:57:08.522Z,2026-07-05T17:22:01.656Z,2026-07-06T00:20:18Z
gitlab.gnome.org/gnome/gdk-pixbuf,True,1548,gl/gnome-1548,gitlab.gnome.org,Organization,group,GNOME,gdk-pixbuf,GNOME/gdk-pixbuf,,https://gitlab.gnome.org/GNOME/gdk-pixbuf,master,lgpl-2.1,C,,13,72,,,public,2018-05-22T10:14:33.286Z,2026-06-27T12:41:40.602Z,2026-07-06T00:20:18Z
gitlab.gnome.org/gnome/gjs,True,106,gl/gnome-106,gitlab.gnome.org,Organization,group,GNOME,gjs,GNOME/gjs,GNOME Javascript bindings,https://gitlab.gnome.org/GNOME/gjs,master,other,C++,,67,116,,,public,2017-10-02T16:17:48.990Z,2026-06-30T18:25:35.069Z,2026-07-06T00:20:18Z
gitlab.gnome.org/gnome/glib,True,658,gl/gnome-658,gitlab.gnome.org,Organization,group,GNOME,GLib,GNOME/glib,Low-level core library that forms the basis for projects such as GTK and GNOME.,https://gitlab.gnome.org/GNOME/glib,main,lgpl-2.1,C,,136,637,,,public,2018-02-08T10:32:02.677Z,2026-07-05T21:10:24.706Z,2026-07-06T00:20:18Z
gitlab.gnome.org/gnome/glib-networking,True,1905,gl/gnome-1905,gitlab.gnome.org,Organization,group,GNOME,glib-networking,GNOME/glib-networking,Network extensions for GLib,https://gitlab.gnome.org/GNOME/glib-networking,master,lgpl-2.1,C,,7,38,,,public,2018-05-25T15:40:10.815Z,2026-06-30T17:49:41.287Z,2026-07-06T00:20:18Z
gitlab.gnome.org/gnome/glibmm,True,1517,gl/gnome-1517,gitlab.gnome.org,Organization,group,GNOME,glibmm,GNOME/glibmm,,https://gitlab.gnome.org/GNOME/glibmm,master,lgpl-2.1,C++,,7,19,,,public,2018-05-22T09:50:13.857Z,2026-07-05T17:25:14.789Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/gnome-session,True,1659,gl/gnome-1659,gitlab.gnome.org,Organization,group,GNOME,gnome-session,GNOME/gnome-session,,https://gitlab.gnome.org/GNOME/gnome-session,main,gpl-2.0+,C,,18,54,,,public,2018-05-23T11:56:16.362Z,2026-07-05T18:54:25.009Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/gnome-settings-daemon,True,664,gl/gnome-664,gitlab.gnome.org,Organization,group,GNOME,gnome-settings-daemon,GNOME/gnome-settings-daemon,,https://gitlab.gnome.org/GNOME/gnome-settings-daemon,main,gpl-2.0+,C,,26,140,,,public,2018-02-08T11:01:32.530Z,2026-07-05T13:44:33.540Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/gnome-shell,True,546,gl/gnome-546,gitlab.gnome.org,Organization,group,GNOME,gnome-shell,GNOME/gnome-shell,,https://gitlab.gnome.org/GNOME/gnome-shell,main,gpl-2.0+,JavaScript,,368,589,,,public,2018-01-24T10:49:23.305Z,2026-07-05T14:13:57.679Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/gobject-introspection,True,659,gl/gnome-659,gitlab.gnome.org,Organization,group,GNOME,gobject-introspection,GNOME/gobject-introspection,"📘 https://gi.readthedocs.io

📗 [libgirepository API docs](https://gnome.pages.gitlab.gnome.org/gobject-introspection/girepository)",https://gitlab.gnome.org/GNOME/gobject-introspection,main,lgpl-2.0,C,,29,113,,,public,2018-02-08T10:37:15.152Z,2026-06-25T17:28:28.985Z,2026-07-06T17:11:49Z
gitlab.gnome.org/gnome/gspell,True,1633,gl/gnome-1633,gitlab.gnome.org,Organization,group,GNOME,gspell,GNOME/gspell,,https://gitlab.gnome.org/GNOME/gspell,master,,C,,7,7,,,public,2018-05-23T10:48:08.028Z,2026-06-26T15:20:23.210Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/gtk,True,665,gl/gnome-665,gitlab.gnome.org,Organization,group,GNOME,gtk,GNOME/gtk,GTK is a multi-platform toolkit for creating graphical user interfaces.,https://gitlab.gnome.org/GNOME/gtk,main,lgpl-2.0,C,,290,861,,,public,2018-02-08T11:15:26.444Z,2026-07-13T08:47:39.881Z,2026-07-13T10:56:30Z
gitlab.gnome.org/gnome/gtk-mac-integration,True,1907,gl/gnome-1907,gitlab.gnome.org,Organization,group,GNOME,gtk-mac-integration,GNOME/gtk-mac-integration,,https://gitlab.gnome.org/GNOME/gtk-mac-integration,master,lgpl-2.1,C,,3,8,,,public,2018-05-25T15:44:15.790Z,2026-03-15T07:37:29.531Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/gtk-vnc,True,1533,gl/gnome-1533,gitlab.gnome.org,Organization,group,GNOME,gtk-vnc,GNOME/gtk-vnc,A VNC client viewer widget for GTK,https://gitlab.gnome.org/GNOME/gtk-vnc,master,lgpl-2.1,C,remote desktop | rfb | vnc,1,23,,,public,2018-05-22T10:04:42.791Z,2026-07-04T17:37:10.248Z,2026-07-06T10:53:20Z
gitlab.gnome.org/gnome/gtkmm-documentation,True,1622,gl/gnome-1622,gitlab.gnome.org,Organization,group,GNOME,gtkmm-documentation,GNOME/gtkmm-documentation,,https://gitlab.gnome.org/GNOME/gtkmm-documentation,master,gfdl-1.2,Python,,6,20,,,public,2018-05-23T10:32:07.741Z,2026-06-30T10:45:23.382Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/gtksourceview,True,1610,gl/gnome-1610,gitlab.gnome.org,Organization,group,GNOME,gtksourceview,GNOME/gtksourceview,A text editor widget for code editing,https://gitlab.gnome.org/GNOME/gtksourceview,master,lgpl-2.1,C,gnome | gtk4,47,141,,,public,2018-05-23T10:22:18.205Z,2026-07-05T09:13:31.305Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libdazzle,True,427,gl/gnome-427,gitlab.gnome.org,Organization,group,Archive,libdazzle,Archive/libdazzle,,https://gitlab.gnome.org/Archive/libdazzle,master,gpl-3.0,C,,17,0,,,public,2018-01-11T09:32:39.646Z,2025-08-14T08:46:19.101Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libdex,True,23745,gl/gnome-23745,gitlab.gnome.org,Organization,group,GNOME,libdex,GNOME/libdex,,https://gitlab.gnome.org/GNOME/libdex,main,lgpl-2.1,C,,14,22,,,public,2022-10-16T19:51:20.252Z,2026-06-30T10:36:07.702Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libgee,True,1752,gl/gnome-1752,gitlab.gnome.org,Organization,group,GNOME,libgee,GNOME/libgee,,https://gitlab.gnome.org/GNOME/libgee,main,lgpl-2.1,Vala,,5,10,,,public,2018-05-23T13:13:49.831Z,2025-09-03T12:32:07.475Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libgsf,True,1545,gl/gnome-1545,gitlab.gnome.org,Organization,group,GNOME,libgsf,GNOME/libgsf,,https://gitlab.gnome.org/GNOME/libgsf,master,lgpl-2.1,C,,3,9,,,public,2018-05-22T10:14:26.606Z,2026-06-06T19:06:33.579Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libgtop,True,415,gl/gnome-415,gitlab.gnome.org,Organization,group,GNOME,libgtop,GNOME/libgtop,A library for collecting system monitoring data,https://gitlab.gnome.org/GNOME/libgtop,master,gpl-2.0+,C,,8,23,,,public,2018-01-10T15:24:50.359Z,2026-06-12T01:43:25.573Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libhandy,True,11489,gl/gnome-11489,gitlab.gnome.org,Organization,group,GNOME,libhandy,GNOME/libhandy,Building blocks for modern adaptive GNOME apps,https://gitlab.gnome.org/GNOME/libhandy,main,lgpl-2.1,C,,43,40,,,public,2020-05-22T09:23:54.616Z,2026-05-23T00:28:23.829Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libpanel,True,15968,gl/gnome-15968,gitlab.gnome.org,Organization,group,GNOME,libpanel,GNOME/libpanel,A dock/panel library for GTK 4,https://gitlab.gnome.org/GNOME/libpanel,main,other,C,,24,24,,,public,2021-05-28T23:51:07.401Z,2026-06-04T22:45:40.382Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/librest,True,1781,gl/gnome-1781,gitlab.gnome.org,Organization,group,GNOME,librest,GNOME/librest,,https://gitlab.gnome.org/GNOME/librest,master,lgpl-2.1,C,,6,13,,,public,2018-05-23T13:42:34.357Z,2026-05-31T01:59:45.311Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/librsvg,True,296,gl/gnome-296,gitlab.gnome.org,Organization,group,GNOME,librsvg,GNOME/librsvg,"A library to render SVG images to Cairo surfaces.  GNOME uses this to render SVG icons.  Outside of GNOME, other desktop environments use it for similar purposes.  Wikimedia uses it for Wikipedia's SVG diagrams.",https://gitlab.gnome.org/GNOME/librsvg,main,lgpl-2.1,Rust,libraries | platform | rust | svg,49,129,,,public,2017-12-13T17:20:18.056Z,2026-06-26T01:27:38.191Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libshumate,True,6133,gl/gnome-6133,gitlab.gnome.org,Organization,group,GNOME,libshumate,GNOME/libshumate,Shumate is a GTK toolkit providing widgets for embedded maps.,https://gitlab.gnome.org/GNOME/libshumate,main,lgpl-2.1,C,,30,28,,,public,2019-01-09T21:37:19.042Z,2026-06-28T09:19:43.907Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libsoup,True,1630,gl/gnome-1630,gitlab.gnome.org,Organization,group,GNOME,libsoup,GNOME/libsoup,HTTP Library for GLib - https://libsoup.gnome.org/,https://gitlab.gnome.org/GNOME/libsoup,master,lgpl-2.0,C,c | glib | gobject | http | networking,22,97,,,public,2018-05-23T10:41:39.327Z,2026-07-05T17:41:15.576Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libwnck,True,550,gl/gnome-550,gitlab.gnome.org,Organization,group,GNOME,libwnck,GNOME/libwnck,,https://gitlab.gnome.org/GNOME/libwnck,master,lgpl-2.0,C,,7,18,,,public,2018-01-24T11:11:06.728Z,2026-05-15T23:00:29.172Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libxml2,True,1665,gl/gnome-1665,gitlab.gnome.org,Organization,group,GNOME,libxml2,GNOME/libxml2,XML parser and toolkit,https://gitlab.gnome.org/GNOME/libxml2,master,mit,C,,46,195,,,public,2018-05-23T12:05:55.926Z,2026-07-02T08:08:42.009Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/libxslt,True,1762,gl/gnome-1762,gitlab.gnome.org,Organization,group,GNOME,libxslt,GNOME/libxslt,XSLT processor,https://gitlab.gnome.org/GNOME/libxslt,master,x11-distribute-modifications-variant,HTML,,6,55,,,public,2018-05-23T13:20:56.169Z,2026-06-29T06:07:14.221Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/localsearch,True,1664,gl/gnome-1664,gitlab.gnome.org,Organization,group,GNOME,LocalSearch,GNOME/localsearch,,https://gitlab.gnome.org/GNOME/localsearch,main,lgpl-2.1,C,indexer | platform,17,72,,,public,2018-05-23T12:02:54.134Z,2026-07-06T16:00:51.291Z,2026-07-06T17:11:50Z
gitlab.gnome.org/gnome/perl-glib-object-introspection,True,1591,gl/gnome-1591,gitlab.gnome.org,Organization,group,GNOME,perl-Glib-Object-Introspection,GNOME/perl-glib-object-introspection,,https://gitlab.gnome.org/GNOME/perl-glib-object-introspection,master,lgpl-2.1,Perl,,2,3,,,public,2018-05-23T09:36:58.462Z,2026-06-08T08:27:04.848Z,2026-07-06T17:11:49Z
gitlab.gnome.org/gnome/phodav,True,1671,gl/gnome-1671,gitlab.gnome.org,Organization,group,GNOME,phodav,GNOME/phodav,,https://gitlab.gnome.org/GNOME/phodav,master,lgpl-2.1,C,,5,13,,,public,2018-05-23T12:11:33.595Z,2026-05-06T22:44:19.718Z,2026-07-06T10:53:21Z
gitlab.gnome.org/gnome/pygobject,True,416,gl/gnome-416,gitlab.gnome.org,Organization,group,GNOME,pygobject,GNOME/pygobject,🐍 https://pygobject.gnome.org/,https://gitlab.gnome.org/GNOME/pygobject,main,lgpl-2.1,Python,,54,121,,,public,2018-01-10T15:29:15.326Z,2026-07-02T11:48:16.810Z,2026-07-06T00:20:19Z
gitlab.gnome.org/gnome/sysprof,True,1603,gl/gnome-1603,gitlab.gnome.org,Organization,group,GNOME,sysprof,GNOME/sysprof,,https://gitlab.gnome.org/GNOME/sysprof,master,gpl-3.0,C,,21,60,,,public,2018-05-23T09:56:45.480Z,2026-07-06T15:48:37.087Z,2026-07-06T17:11:49Z
gitlab.gnome.org/gnome/tinysparql,True,1593,gl/gnome-1593,gitlab.gnome.org,Organization,group,GNOME,TinySPARQL,GNOME/tinysparql,Low-footprint RDF triple store library with SPARQL 1.1 interface,https://gitlab.gnome.org/GNOME/tinysparql,main,lgpl-2.1,C,library | rdf | sparql,23,61,,,public,2018-05-23T09:39:03.684Z,2026-06-29T10:45:20.304Z,2026-07-06T00:20:19Z
gitlab.gnome.org/world/dleyna,True,21235,gl/gnome-21235,gitlab.gnome.org,Organization,group,World,dLeyna,World/dLeyna,"dLeyna is a set of services and D-Bus APIs that aim to simplify access to UPnP and DLNA media devices in a network
",https://gitlab.gnome.org/World/dLeyna,master,lgpl-2.1,C,dlna | upnp,0,4,,,public,2022-06-03T06:01:38.208Z,2026-06-21T06:40:43.703Z,2026-07-06T00:20:19Z
gitlab.gnome.org/world/gedit/gedit,True,1501,gl/gnome-1501,gitlab.gnome.org,Organization,group,World/gedit,gedit,World/gedit/gedit,An easy-to-use and general-purpose text editor since 1998,https://gitlab.gnome.org/World/gedit/gedit,main,gpl-2.0+,C,,60,120,,,public,2018-05-22T08:05:31.299Z,2026-06-21T08:26:17.224Z,2026-07-06T00:20:19Z
