project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/debian/libev,True,33805,gl/salsa.debian.org-33805,salsa.debian.org,Organization,group,debian,libev,debian/libev,libev packaging,https://salsa.debian.org/debian/libev,master,other,,0,1,,,public,2019-02-02T19:22:57.482Z,2024-03-28T16:13:29.434Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libevdev,True,25572,gl/salsa.debian.org-25572,salsa.debian.org,Organization,group,debian,libevdev,debian/libevdev,Repository imported from https://anonscm.debian.org/git/collab-maint/libevdev.git/,https://salsa.debian.org/debian/libevdev,master,other,,1,1,,,public,2018-05-03T09:45:54.166Z,2026-07-04T09:13:33.944Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libidn,True,30730,gl/salsa.debian.org-30730,salsa.debian.org,Organization,group,debian,libidn,debian/libidn,Debian packaging of GNU Libidn -- https://tracker.debian.org/pkg/libidn -- https://www.gnu.org/software/libidn/,https://salsa.debian.org/debian/libidn,debian/latest,gpl-3.0+,,0,2,,,public,2018-09-26T11:09:07.633Z,2026-06-16T17:48:03.978Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libiec61883,True,32268,gl/salsa.debian.org-32268,salsa.debian.org,Organization,group,debian,libiec61883,debian/libiec61883,Debian packaging for libiec61883,https://salsa.debian.org/debian/libiec61883,debian/master,lgpl-2.1,,0,3,,,public,2018-11-28T22:46:00.439Z,2026-03-21T00:36:50.314Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/liblognorm,True,70912,gl/salsa.debian.org-70912,salsa.debian.org,Organization,group,debian,liblognorm,debian/liblognorm,,https://salsa.debian.org/debian/liblognorm,master,lgpl-2.1,,0,0,,,public,2022-06-16T12:26:36.583Z,2026-05-18T13:59:36.037Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libmtp,True,33503,gl/salsa.debian.org-33503,salsa.debian.org,Organization,group,debian,libmtp,debian/libmtp,libmtp packaging,https://salsa.debian.org/debian/libmtp,master,lgpl-2.1,,0,1,,,public,2019-01-21T19:49:20.999Z,2026-03-31T21:09:38.017Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libndp,True,8590,gl/salsa.debian.org-8590,salsa.debian.org,Organization,group,debian,libndp,debian/libndp,libndp packaging,https://salsa.debian.org/debian/libndp,debian,lgpl-2.1,,0,1,,,public,2018-01-29T23:54:56.506Z,2026-03-18T15:05:34.685Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/librist,True,68641,gl/salsa.debian.org-68641,salsa.debian.org,Organization,group,debian,librist,debian/librist,,https://salsa.debian.org/debian/librist,master,bsd-2-clause,,0,0,,,public,2022-03-14T19:21:46.389Z,2026-06-29T19:21:17.480Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libssh,True,20695,gl/salsa.debian.org-20695,salsa.debian.org,Organization,group,debian,libssh,debian/libssh,LibSSH packaging,https://salsa.debian.org/debian/libssh,debian,lgpl-2.1,,1,4,,,public,2018-04-03T15:07:55.155Z,2026-03-19T10:19:39.569Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libteam,True,24301,gl/salsa.debian.org-24301,salsa.debian.org,Organization,group,debian,libteam,debian/libteam,,https://salsa.debian.org/debian/libteam,master,,,1,1,,,public,2018-04-29T22:26:32.584Z,2022-12-07T13:24:57.339Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libtirpc,True,37926,gl/salsa.debian.org-37926,salsa.debian.org,Organization,group,debian,libtirpc,debian/libtirpc,,https://salsa.debian.org/debian/libtirpc,master,bsd-3-clause,,0,2,,,public,2019-09-01T17:31:50.825Z,2026-03-31T17:06:12.354Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libvisual,True,29822,gl/salsa.debian.org-29822,salsa.debian.org,Organization,group,debian,libvisual,debian/libvisual,,https://salsa.debian.org/debian/libvisual,debian/master,lgpl-2.1,,0,3,,,public,2018-08-24T13:54:00.838Z,2025-12-14T15:50:41.277Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libwacom,True,18802,gl/salsa.debian.org-18802,salsa.debian.org,Organization,group,debian,libwacom,debian/libwacom,libwacom packaging,https://salsa.debian.org/debian/libwacom,master,other,,0,1,,,public,2018-03-14T07:37:22.494Z,2026-02-13T08:09:59.146Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libyuv,True,63595,gl/salsa.debian.org-63595,salsa.debian.org,Organization,group,debian,libyuv,debian/libyuv,libyuv packaging,https://salsa.debian.org/debian/libyuv,master,bsd-3-clause,,0,1,,,public,2021-09-14T19:40:46.513Z,2026-07-02T19:55:22.092Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/lmdb,True,28832,gl/salsa.debian.org-28832,salsa.debian.org,Organization,group,debian,lmdb,debian/lmdb,,https://salsa.debian.org/debian/lmdb,master,,,0,2,,,public,2018-07-16T18:10:30.888Z,2026-06-23T05:11:19.293Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/mhash,True,19334,gl/salsa.debian.org-19334,salsa.debian.org,Organization,group,debian,mhash,debian/mhash,Repository imported from https://anonscm.debian.org/git/collab-maint/mhash.git/,https://salsa.debian.org/debian/mhash,master,lgpl-2.0,,1,2,,,public,2018-03-27T12:08:26.966Z,2026-01-01T21:48:25.389Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/mtdev,True,38184,gl/salsa.debian.org-38184,salsa.debian.org,Organization,group,debian,mtdev,debian/mtdev,mtdev packaging,https://salsa.debian.org/debian/mtdev,master,mit,,0,1,,,public,2019-09-12T18:53:20.030Z,2026-04-06T16:30:58.438Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/nas,True,8477,gl/salsa.debian.org-8477,salsa.debian.org,Organization,group,debian,nas,debian/nas,Network Audio System packaging,https://salsa.debian.org/debian/nas,master,,,0,4,,,public,2018-01-29T17:31:50.853Z,2026-02-16T10:41:35.238Z,2026-07-05T16:56:41Z
salsa.debian.org/debian/norm,True,44000,gl/salsa.debian.org-44000,salsa.debian.org,Organization,group,debian,norm,debian/norm,,https://salsa.debian.org/debian/norm,debian/sid,other,,0,0,,,public,2020-03-02T13:04:12.059Z,2025-10-13T14:38:00.838Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/pcsc-lite,True,19181,gl/salsa.debian.org-19181,salsa.debian.org,Organization,group,debian,pcsc-lite,debian/pcsc-lite,Repository imported from https://anonscm.debian.org/git/collab-maint/pcsc-lite.git/,https://salsa.debian.org/debian/pcsc-lite,master,gpl-3.0,C | PCSC | package | smartcard,1,3,,,public,2018-03-24T22:27:26.906Z,2026-06-10T12:47:35.969Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/ppp,True,34,gl/salsa.debian.org-34,salsa.debian.org,Organization,group,debian,ppp,debian/ppp,Point-to-Point Protocol (PPP) - daemon,https://salsa.debian.org/debian/ppp,master,gpl-2.0+,,1,8,,,public,2017-12-22T09:47:13.950Z,2026-05-07T12:00:18.847Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/rsync,True,32881,gl/salsa.debian.org-32881,salsa.debian.org,Organization,group,debian,rsync,debian/rsync,rsync packaging,https://salsa.debian.org/debian/rsync,debian/master,gpl-3.0+,,5,14,,,public,2018-12-25T21:36:49.227Z,2026-07-05T14:11:53.029Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/rsyslog,True,6035,gl/salsa.debian.org-6035,salsa.debian.org,Organization,group,debian,rsyslog,debian/rsyslog,rsyslog packaging,https://salsa.debian.org/debian/rsyslog,debian/latest,gpl-3.0,,5,11,,,public,2018-01-14T10:27:56.705Z,2026-07-02T20:39:40.597Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/sed,True,8498,gl/salsa.debian.org-8498,salsa.debian.org,Organization,group,debian,sed,debian/sed,Debian packaging of sed,https://salsa.debian.org/debian/sed,master,gpl-3.0+,,2,1,,,public,2018-01-29T23:12:14.671Z,2026-04-27T20:12:22.333Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/tar,True,22875,gl/salsa.debian.org-22875,salsa.debian.org,Organization,group,debian,tar,debian/tar,tar packaging,https://salsa.debian.org/debian/tar,dfsg-debian,gpl-3.0+,,2,6,,,public,2018-04-23T19:29:28.821Z,2026-04-24T07:48:40.043Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/usb-modeswitch,True,12963,gl/salsa.debian.org-12963,salsa.debian.org,Organization,group,debian,usb-modeswitch,debian/usb-modeswitch,usb-modeswitch packaging,https://salsa.debian.org/debian/usb-modeswitch,debian/main,bsd-2-clause,,0,1,,,public,2018-02-17T16:07:09.184Z,2025-09-23T16:19:44.870Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/wget,True,92820,gl/salsa.debian.org-92820,salsa.debian.org,Organization,group,debian,wget,debian/wget,,https://salsa.debian.org/debian/wget,master,gpl-3.0+,,0,3,,,public,2024-07-28T06:08:32.992Z,2025-09-10T13:02:04.478Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/zsh,True,20758,gl/salsa.debian.org-20758,salsa.debian.org,Organization,group,debian,zsh,debian/zsh,Debian's zsh packaging,https://salsa.debian.org/debian/zsh,debian,mit-modern-variant,,5,8,,,public,2018-04-04T23:47:42.389Z,2026-06-21T09:03:15.047Z,2026-07-05T16:56:40Z
salsa.debian.org/debianonmobile-team/libmbim,True,46844,gl/salsa.debian.org-46844,salsa.debian.org,Organization,group,DebianOnMobile-team,libmbim,DebianOnMobile-team/libmbim,,https://salsa.debian.org/DebianOnMobile-team/libmbim,debian/latest,,,0,5,,,public,2020-04-25T15:48:31.883Z,2026-01-25T11:47:58.467Z,2026-07-05T16:56:41Z
salsa.debian.org/debianonmobile-team/libqmi,True,46843,gl/salsa.debian.org-46843,salsa.debian.org,Organization,group,DebianOnMobile-team,libqmi,DebianOnMobile-team/libqmi,,https://salsa.debian.org/DebianOnMobile-team/libqmi,debian/latest,gpl-2.0+,,0,5,,,public,2020-04-25T15:48:07.494Z,2026-01-09T13:16:46.831Z,2026-07-05T16:56:41Z
salsa.debian.org/debianonmobile-team/modemmanager,True,46849,gl/salsa.debian.org-46849,salsa.debian.org,Organization,group,DebianOnMobile-team,modemmanager,DebianOnMobile-team/modemmanager,,https://salsa.debian.org/DebianOnMobile-team/modemmanager,debian/latest,gpl-2.0+,,0,12,,,public,2020-04-25T17:35:52.976Z,2025-11-27T22:05:43.966Z,2026-07-05T16:56:41Z
salsa.debian.org/dpkg-team/dpkg,True,49,gl/salsa.debian.org-49,salsa.debian.org,Organization,group,dpkg-team,dpkg,dpkg-team/dpkg,Debian package manager (mirror),https://salsa.debian.org/dpkg-team/dpkg,main,gpl-2.0+,administration | deb | packaging,25,36,,,public,2017-12-22T22:41:07.293Z,2026-07-04T22:26:08.625Z,2026-07-05T16:56:41Z
salsa.debian.org/eric/npth,True,6118,gl/salsa.debian.org-6118,salsa.debian.org,User,user,eric,npth,eric/npth,,https://salsa.debian.org/eric/npth,master,lgpl-2.1,,0,4,,,public,2018-01-16T03:27:09.757Z,2026-02-21T01:32:34.585Z,2026-07-05T16:56:41Z
salsa.debian.org/freedesktop-team/poppler,True,18284,gl/salsa.debian.org-18284,salsa.debian.org,Organization,group,freedesktop-team,poppler,freedesktop-team/poppler,,https://salsa.debian.org/freedesktop-team/poppler,master,,,1,14,,,public,2018-03-04T10:34:50.497Z,2026-07-02T17:23:31.828Z,2026-07-05T16:56:41Z
salsa.debian.org/games-team/wildmidi,True,33910,gl/salsa.debian.org-33910,salsa.debian.org,Organization,group,games-team,WildMIDI,games-team/wildmidi,,https://salsa.debian.org/games-team/wildmidi,master,other,,0,1,,,public,2019-02-06T13:50:20.067Z,2025-08-01T15:50:55.580Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/cairomm,True,5530,gl/salsa.debian.org-5530,salsa.debian.org,Organization,group,gnome-team,cairomm,gnome-team/cairomm,Debian packaging for cairomm,https://salsa.debian.org/gnome-team/cairomm,debian/latest,lgpl-2.1,,0,2,,,public,2018-01-09T12:11:28.188Z,2026-06-06T19:22:58.927Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/gcr,True,5381,gl/salsa.debian.org-5381,salsa.debian.org,Organization,group,gnome-team,gcr,gnome-team/gcr,Debian packaging for gcr,https://salsa.debian.org/gnome-team/gcr,debian/latest,lgpl-2.0,,0,0,,,public,2018-01-09T01:32:20.259Z,2025-12-06T02:56:05.276Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/gobject-introspection,True,5435,gl/salsa.debian.org-5435,salsa.debian.org,Organization,group,gnome-team,gobject-introspection,gnome-team/gobject-introspection,Debian packaging for gobject-introspection,https://salsa.debian.org/gnome-team/gobject-introspection,debian/latest,lgpl-2.0,,1,7,,,public,2018-01-09T02:13:24.765Z,2026-03-10T00:51:17.418Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/gsettings-desktop-schemas,True,5492,gl/salsa.debian.org-5492,salsa.debian.org,Organization,group,gnome-team,gsettings-desktop-schemas,gnome-team/gsettings-desktop-schemas,Debian packaging for gsettings-desktop-schemas,https://salsa.debian.org/gnome-team/gsettings-desktop-schemas,debian/latest,lgpl-2.1,,0,4,,,public,2018-01-09T02:51:48.075Z,2026-06-30T06:57:27.572Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/hicolor-icon-theme,True,18977,gl/salsa.debian.org-18977,salsa.debian.org,Organization,group,gnome-team,hicolor-icon-theme,gnome-team/hicolor-icon-theme,Debian packaging for hicolor-icon-theme,https://salsa.debian.org/gnome-team/hicolor-icon-theme,debian/latest,gpl-2.0+,,0,2,,,public,2018-03-18T17:14:02.986Z,2025-07-31T11:57:46.013Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/libcanberra,True,5376,gl/salsa.debian.org-5376,salsa.debian.org,Organization,group,gnome-team,libcanberra,gnome-team/libcanberra,Debian packaging for libcanberra,https://salsa.debian.org/gnome-team/libcanberra,debian/latest,lgpl-2.1,,0,4,,,public,2018-01-09T01:25:41.084Z,2026-06-23T21:29:23.398Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/libgudev,True,5306,gl/salsa.debian.org-5306,salsa.debian.org,Organization,group,gnome-team,libgudev,gnome-team/libgudev,Debian packaging for libgudev,https://salsa.debian.org/gnome-team/libgudev,debian/latest,lgpl-2.1,,0,0,,,public,2018-01-09T01:01:46.837Z,2025-08-31T15:13:07.080Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/libnotify,True,5309,gl/salsa.debian.org-5309,salsa.debian.org,Organization,group,gnome-team,libnotify,gnome-team/libnotify,Debian packaging for libnotify,https://salsa.debian.org/gnome-team/libnotify,debian/latest,lgpl-2.1,,0,4,,,public,2018-01-09T01:01:53.875Z,2026-01-09T09:53:18.183Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/libsecret,True,5314,gl/salsa.debian.org-5314,salsa.debian.org,Organization,group,gnome-team,libsecret,gnome-team/libsecret,Debian packaging for libsecret,https://salsa.debian.org/gnome-team/libsecret,debian/latest,lgpl-2.1,,0,2,,,public,2018-01-09T01:02:05.898Z,2025-09-12T21:36:02.474Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/libxklavier,True,5318,gl/salsa.debian.org-5318,salsa.debian.org,Organization,group,gnome-team,libxklavier,gnome-team/libxklavier,Debian packaging for libxklavier,https://salsa.debian.org/gnome-team/libxklavier,debian/latest,lgpl-2.0,,0,1,,,public,2018-01-09T01:02:14.226Z,2025-09-02T23:08:21.258Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/startup-notification,True,5477,gl/salsa.debian.org-5477,salsa.debian.org,Organization,group,gnome-team,startup-notification,gnome-team/startup-notification,Debian packaging for startup-notification,https://salsa.debian.org/gnome-team/startup-notification,debian/latest,lgpl-2.0,,0,2,,,public,2018-01-09T02:40:02.744Z,2025-07-31T13:21:28.085Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/sysprof,True,5419,gl/salsa.debian.org-5419,salsa.debian.org,Organization,group,gnome-team,sysprof,gnome-team/sysprof,Debian packaging for sysprof,https://salsa.debian.org/gnome-team/sysprof,debian/latest,gpl-3.0,,0,1,,,public,2018-01-09T02:03:02.238Z,2026-04-18T01:29:13.168Z,2026-07-05T16:56:41Z
salsa.debian.org/gnome-team/vte,True,5465,gl/salsa.debian.org-5465,salsa.debian.org,Organization,group,gnome-team,vte,gnome-team/vte,Debian packaging for vte,https://salsa.debian.org/gnome-team/vte,debian/latest,lgpl-2.0,,0,2,,,public,2018-01-09T02:26:06.092Z,2025-07-31T13:36:22.338Z,2026-07-05T16:56:41Z
salsa.debian.org/gnutls-team/libksba,True,7856,gl/salsa.debian.org-7856,salsa.debian.org,Organization,group,gnutls-team,libksba,gnutls-team/libksba,libksba packaging,https://salsa.debian.org/gnutls-team/libksba,master,,,0,5,,,public,2018-01-28T15:10:56.283Z,2026-05-25T09:41:59.180Z,2026-07-05T16:56:41Z
salsa.debian.org/holmgren/nettle,True,50952,gl/salsa.debian.org-50952,salsa.debian.org,User,user,holmgren,nettle,holmgren/nettle,,https://salsa.debian.org/holmgren/nettle,master,other,,0,4,,,public,2020-07-15T12:04:24.170Z,2026-05-04T10:04:48.089Z,2026-07-05T16:56:41Z
salsa.debian.org/hpc-team/openmpi,True,7192,gl/salsa.debian.org-7192,salsa.debian.org,Organization,group,hpc-team,openmpi,hpc-team/openmpi,High performance message passing library ,https://salsa.debian.org/hpc-team/openmpi,debian/latest,other,,0,5,,,public,2018-01-25T14:34:11.590Z,2026-04-21T03:36:07.600Z,2026-07-05T16:56:41Z
salsa.debian.org/installer-team/cdebconf,True,23413,gl/salsa.debian.org-23413,salsa.debian.org,Organization,group,installer-team,cdebconf,installer-team/cdebconf,Repository imported from https://anonscm.debian.org/git/d-i/cdebconf.git/,https://salsa.debian.org/installer-team/cdebconf,master,,,0,10,,,public,2018-04-25T21:04:05.441Z,2026-05-23T20:15:21.113Z,2026-07-05T16:56:41Z
salsa.debian.org/installer-team/console-setup,True,23419,gl/salsa.debian.org-23419,salsa.debian.org,Organization,group,installer-team,console-setup,installer-team/console-setup,Repository imported from https://anonscm.debian.org/git/d-i/console-setup.git/,https://salsa.debian.org/installer-team/console-setup,master,gpl-2.0+,,2,24,,,public,2018-04-25T21:09:20.364Z,2026-07-04T20:18:48.007Z,2026-07-05T16:56:41Z
salsa.debian.org/installer-team/discover-data,True,65394,gl/salsa.debian.org-65394,salsa.debian.org,Organization,group,installer-team,discover-data,installer-team/discover-data,Data lists for Discover hardware detection system,https://salsa.debian.org/installer-team/discover-data,master,,,0,1,,,public,2021-10-31T17:55:47.871Z,2022-10-19T09:00:47.650Z,2026-07-05T16:56:41Z
salsa.debian.org/jamessan/subversion,True,9721,gl/salsa.debian.org-9721,salsa.debian.org,User,user,jamessan,subversion,jamessan/subversion,Debian packaging for subversion,https://salsa.debian.org/jamessan/subversion,debian/sid,apache-2.0,,0,0,,,public,2018-02-08T03:45:48.600Z,2026-02-11T15:23:28.806Z,2026-07-05T16:56:41Z
salsa.debian.org/kernel-team/iw,True,31817,gl/salsa.debian.org-31817,salsa.debian.org,Organization,group,kernel-team,iw,kernel-team/iw,Debian iw repository,https://salsa.debian.org/kernel-team/iw,debian/latest,0bsd,,1,1,,,public,2018-11-08T15:30:12.991Z,2025-09-29T18:57:13.140Z,2026-07-05T16:56:41Z
salsa.debian.org/kernel-team/linux-base,True,18671,gl/salsa.debian.org-18671,salsa.debian.org,Organization,group,kernel-team,linux-base,kernel-team/linux-base,Debian linux-base repository,https://salsa.debian.org/kernel-team/linux-base,debian/latest,,,3,8,,,public,2018-03-11T17:25:48.044Z,2026-06-11T21:01:40.812Z,2026-07-05T16:56:41Z
salsa.debian.org/lamby/pkg-redis,True,27638,gl/salsa.debian.org-27638,salsa.debian.org,User,user,lamby,pkg-redis,lamby/pkg-redis,"Debian packaging for redis

http://packages.debian.org/src:redis",https://salsa.debian.org/lamby/pkg-redis,debian/sid,sspl-1.0,,1,10,,,public,2018-06-06T16:58:28.072Z,2026-06-10T12:02:14.499Z,2026-07-05T16:56:42Z
salsa.debian.org/lvm-team/lvm2,True,24161,gl/salsa.debian.org-24161,salsa.debian.org,Organization,group,lvm-team,lvm2,lvm-team/lvm2,,https://salsa.debian.org/lvm-team/lvm2,main,gpl-2.0+,,0,20,,,public,2018-04-28T17:51:11.793Z,2026-05-25T12:09:31.018Z,2026-07-05T16:56:41Z
salsa.debian.org/mariadb-team/mysql,True,17882,gl/salsa.debian.org-17882,salsa.debian.org,Organization,group,mariadb-team,mysql,mariadb-team/mysql,"MySQL packaging, including package mysql-common (migrated from https://anonscm.debian.org/cgit/pkg-mysql/mysql.git)",https://salsa.debian.org/mariadb-team/mysql,mysql-8.0/debian/latest,apache-2.0,mysql,1,8,,,public,2018-02-26T16:22:14.973Z,2026-07-03T18:06:15.948Z,2026-07-05T16:56:42Z
salsa.debian.org/md/kmod,True,6285,gl/salsa.debian.org-6285,salsa.debian.org,User,user,md,kmod,md/kmod,Debian kmod package,https://salsa.debian.org/md/kmod,master,lgpl-2.1,,0,11,,,public,2018-01-21T00:28:33.737Z,2025-04-25T09:54:35.427Z,2026-07-05T16:56:41Z
salsa.debian.org/md/tcp-wrappers,True,28852,gl/salsa.debian.org-28852,salsa.debian.org,User,user,md,tcp-wrappers,md/tcp-wrappers,,https://salsa.debian.org/md/tcp-wrappers,master,,,0,1,,,public,2018-07-17T00:03:59.646Z,2026-04-11T21:45:31.492Z,2026-07-05T16:56:41Z
salsa.debian.org/meskes/hostname,True,8611,gl/salsa.debian.org-8611,salsa.debian.org,User,user,meskes,hostname,meskes/hostname,Git repository for hostname,https://salsa.debian.org/meskes/hostname,master,other,,0,3,,,public,2018-01-30T10:25:03.192Z,2024-10-11T06:21:02.754Z,2026-07-05T16:56:42Z
salsa.debian.org/mod-player-team/libmodplug,True,25700,gl/salsa.debian.org-25700,salsa.debian.org,Organization,group,mod-player-team,libmodplug,mod-player-team/libmodplug,Repository imported from https://anonscm.debian.org/git/collab-maint/libmodplug.git/,https://salsa.debian.org/mod-player-team/libmodplug,master,other,,0,0,,,public,2018-05-04T11:31:25.765Z,2021-01-11T08:11:16.629Z,2026-07-05T16:56:42Z
salsa.debian.org/mozilla-team/nspr,True,21121,gl/salsa.debian.org-21121,salsa.debian.org,Organization,group,mozilla-team,nspr,mozilla-team/nspr,Repository imported from https://anonscm.debian.org/git/pkg-mozilla/nspr.git/,https://salsa.debian.org/mozilla-team/nspr,master,,,0,6,,,public,2018-04-10T00:21:44.706Z,2025-12-10T14:14:28.306Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/a52dec,True,7868,gl/salsa.debian.org-7868,salsa.debian.org,Organization,group,multimedia-team,a52dec,multimedia-team/a52dec,a52dec packaging,https://salsa.debian.org/multimedia-team/a52dec,master,gpl-2.0+,,0,1,,,public,2018-01-28T17:19:01.020Z,2026-01-23T19:29:22.749Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/aom,True,29534,gl/salsa.debian.org-29534,salsa.debian.org,Organization,group,multimedia-team,aom,multimedia-team/aom,aom packaging,https://salsa.debian.org/multimedia-team/aom,debian/master,bsd-2-clause,,0,1,,,public,2018-08-12T18:55:39.067Z,2025-10-28T18:19:56.534Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/chromaprint,True,7903,gl/salsa.debian.org-7903,salsa.debian.org,Organization,group,multimedia-team,chromaprint,multimedia-team/chromaprint,chromaprint packaging,https://salsa.debian.org/multimedia-team/chromaprint,master,mit,,0,1,,,public,2018-01-28T17:20:51.831Z,2026-06-26T05:48:27.678Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/dav1d,True,32601,gl/salsa.debian.org-32601,salsa.debian.org,Organization,group,multimedia-team,dav1d,multimedia-team/dav1d,dav1d packaging,https://salsa.debian.org/multimedia-team/dav1d,master,bsd-2-clause,,0,1,,,public,2018-12-12T06:36:49.553Z,2026-01-01T15:38:23.401Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/jack-audio-connection-kit,True,7997,gl/salsa.debian.org-7997,salsa.debian.org,Organization,group,multimedia-team,jack-audio-connection-kit,multimedia-team/jack-audio-connection-kit,jack-audio-connection-kit packaging,https://salsa.debian.org/multimedia-team/jack-audio-connection-kit,master,lgpl-2.1,,0,2,,,public,2018-01-28T17:25:55.799Z,2025-08-17T18:33:44.652Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/lame,True,8041,gl/salsa.debian.org-8041,salsa.debian.org,Organization,group,multimedia-team,lame,multimedia-team/lame,lame packaging,https://salsa.debian.org/multimedia-team/lame,master,lgpl-2.0,,0,1,,,public,2018-01-28T17:28:34.047Z,2026-04-10T10:05:21.236Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libaacs,True,8042,gl/salsa.debian.org-8042,salsa.debian.org,Organization,group,multimedia-team,libaacs,multimedia-team/libaacs,libaacs packaging,https://salsa.debian.org/multimedia-team/libaacs,master,lgpl-2.1,,0,0,,,public,2018-01-28T17:28:38.018Z,2025-08-18T03:14:06.441Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libavc1394,True,8046,gl/salsa.debian.org-8046,salsa.debian.org,Organization,group,multimedia-team,libavc1394,multimedia-team/libavc1394,libavc1394 packaging,https://salsa.debian.org/multimedia-team/libavc1394,master,lgpl-2.1,,0,1,,,public,2018-01-28T17:28:51.331Z,2021-09-25T10:39:03.052Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libbdplus,True,8047,gl/salsa.debian.org-8047,salsa.debian.org,Organization,group,multimedia-team,libbdplus,multimedia-team/libbdplus,libbdplus packaging,https://salsa.debian.org/multimedia-team/libbdplus,master,lgpl-2.1,,0,1,,,public,2018-01-28T17:28:56.394Z,2024-06-29T08:02:45.729Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libbluray,True,8048,gl/salsa.debian.org-8048,salsa.debian.org,Organization,group,multimedia-team,libbluray,multimedia-team/libbluray,libbluray packaging,https://salsa.debian.org/multimedia-team/libbluray,master,lgpl-2.1,,0,2,,,public,2018-01-28T17:29:00.209Z,2026-06-26T08:44:08.405Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libcaca,True,70844,gl/salsa.debian.org-70844,salsa.debian.org,Organization,group,multimedia-team,libcaca,multimedia-team/libcaca,,https://salsa.debian.org/multimedia-team/libcaca,debian/latest,wtfpl,,0,4,,,public,2022-06-12T13:38:47.476Z,2026-05-30T10:57:46.682Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libdc1394,True,53942,gl/salsa.debian.org-53942,salsa.debian.org,Organization,group,multimedia-team,libdc1394,multimedia-team/libdc1394,Packaging for libdc1394,https://salsa.debian.org/multimedia-team/libdc1394,master,lgpl-2.1,,0,2,,,public,2020-09-22T20:42:34.592Z,2025-09-07T19:52:18.590Z,2026-07-05T16:56:42Z
salsa.debian.org/multimedia-team/libdca,True,26268,gl/salsa.debian.org-26268,salsa.debian.org,Organization,group,multimedia-team,libdca,multimedia-team/libdca,,https://salsa.debian.org/multimedia-team/libdca,master,gpl-2.0+,,0,1,,,public,2018-05-15T14:36:36.196Z,2021-09-23T20:54:11.106Z,2026-07-05T16:56:42Z
