project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/xorg-team/lib/libpciaccess,True,4304,gl/salsa.debian.org-4304,salsa.debian.org,Organization,group,xorg-team/lib,libpciaccess,xorg-team/lib/libpciaccess,libpciaccess packaging,https://salsa.debian.org/xorg-team/lib/libpciaccess,debian-unstable,mit,,0,2,,,public,2018-01-07T18:50:24.630Z,2025-07-02T06:57:16.720Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libsm,True,4305,gl/salsa.debian.org-4305,salsa.debian.org,Organization,group,xorg-team/lib,libsm,xorg-team/lib/libsm,libsm packaging,https://salsa.debian.org/xorg-team/lib/libsm,debian-unstable,mit,,0,0,,,public,2018-01-07T18:50:27.143Z,2025-03-25T13:16:09.533Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libx11,True,4306,gl/salsa.debian.org-4306,salsa.debian.org,Organization,group,xorg-team/lib,libx11,xorg-team/lib/libx11,libx11 packaging,https://salsa.debian.org/xorg-team/lib/libx11,debian-unstable,bsd-1-clause,,1,2,,,public,2018-01-07T18:50:29.706Z,2026-02-24T07:26:25.921Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxau,True,4307,gl/salsa.debian.org-4307,salsa.debian.org,Organization,group,xorg-team/lib,libxau,xorg-team/lib/libxau,libxau packaging,https://salsa.debian.org/xorg-team/lib/libxau,debian-unstable,mit-open-group,,0,1,,,public,2018-01-07T18:50:32.371Z,2025-07-27T19:33:23.020Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxcomposite,True,4310,gl/salsa.debian.org-4310,salsa.debian.org,Organization,group,xorg-team/lib,libxcomposite,xorg-team/lib/libxcomposite,libxcomposite packaging,https://salsa.debian.org/xorg-team/lib/libxcomposite,debian-unstable,mit,,0,1,,,public,2018-01-07T18:50:40.439Z,2024-11-01T17:46:08.249Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxdamage,True,4312,gl/salsa.debian.org-4312,salsa.debian.org,Organization,group,xorg-team/lib,libxdamage,xorg-team/lib/libxdamage,libxdamage packaging,https://salsa.debian.org/xorg-team/lib/libxdamage,debian-unstable,other,,0,0,,,public,2018-01-07T18:50:46.116Z,2026-02-01T14:31:53.335Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxdmcp,True,4313,gl/salsa.debian.org-4313,salsa.debian.org,Organization,group,xorg-team/lib,libxdmcp,xorg-team/lib/libxdmcp,libxdmcp packaging,https://salsa.debian.org/xorg-team/lib/libxdmcp,debian-unstable,mit-open-group,,0,1,,,public,2018-01-07T18:50:48.810Z,2025-12-24T01:40:59.560Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxext,True,4314,gl/salsa.debian.org-4314,salsa.debian.org,Organization,group,xorg-team/lib,libxext,xorg-team/lib/libxext,libxext packaging,https://salsa.debian.org/xorg-team/lib/libxext,debian-unstable,mit-open-group,,0,0,,,public,2018-01-07T18:50:51.581Z,2021-09-16T17:07:21.158Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxfixes,True,4315,gl/salsa.debian.org-4315,salsa.debian.org,Organization,group,xorg-team/lib,libxfixes,xorg-team/lib/libxfixes,libxfixes packaging,https://salsa.debian.org/xorg-team/lib/libxfixes,debian-unstable,mit,,0,1,,,public,2018-01-07T18:50:54.288Z,2022-10-03T08:39:34.174Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libxi,True,4317,gl/salsa.debian.org-4317,salsa.debian.org,Organization,group,xorg-team/lib,libxi,xorg-team/lib/libxi,libxi packaging,https://salsa.debian.org/xorg-team/lib/libxi,debian-unstable,mit,,0,2,,,public,2018-01-07T18:51:00.094Z,2025-12-25T01:13:49.809Z,2026-07-05T16:56:44Z
