namespace,namespace_id,host,kind,name,path,full_path,web_url,description,fetched_at
salsa.debian.org/gnome-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/gnome-team/extras,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/gnutls-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/holmgren,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/hpc-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/installer-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/iso-codes-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/jamessan,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/java-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/kernel-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/lamby,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/libreoffice-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/libreoffice-team/document-liberation,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/libvirt-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/linux-blocks-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/lvm-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/lynx-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/mariadb-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/md,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/med-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/meskes,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/miniupnp-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/mod-player-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/mozilla-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/multimedia-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/mutt-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/nickg,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/nvidia-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/olly,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/openldap-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/optical-media-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/parted-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/perl-team/interpreter,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pino,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pkg-netfilter-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pkg-security-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pkg-voip-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pkgutopia-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/printing-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/pulseaudio-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/python-team/packages,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/qemu-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/qt-kde-team/extras,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/qt-kde-team/kde,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/qt-kde-team/qt,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:41Z
salsa.debian.org/rlb,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/samba-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/sanvila,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/science-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/selinux-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/ssh-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/sudo-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/tcltk-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/telepathy-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/toolchain-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/tts-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/utopia-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/webkit-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xfce-extras-team,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xfce-team/apps,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xfce-team/desktop,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xfce-team/goodies,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xorg-team/app,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xorg-team/data,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/xorg-team/lib,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
salsa.debian.org/yangfl-guest,,salsa.debian.org,,,,,,fetch failed: http_401,2026-07-06T18:13:42Z
