repo,repo_id,year,metric,value,fetched_at
gnutls/libtasn1,gl/919981,2021,opened_issues,8,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2022,closed_issues,2,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2022,opened_issues,1,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2023,closed_issues,3,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2023,opened_issues,6,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2024,closed_issues,0,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2024,opened_issues,5,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2025,closed_issues,1,2026-07-06T19:01:47+00:00
gnutls/libtasn1,gl/919981,2025,opened_issues,4,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2021,closed_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2021,opened_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2022,closed_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2022,opened_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2023,closed_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2023,opened_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2024,closed_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2024,opened_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2025,closed_issues,0,2026-07-06T19:01:47+00:00
holmgren/nettle,gl/debian-50952,2025,opened_issues,0,2026-07-06T19:01:47+00:00
libidn/libidn2,gl/2882658,2021,closed_issues,10,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2021,opened_issues,20,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2022,closed_issues,13,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2022,opened_issues,12,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2023,closed_issues,8,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2023,opened_issues,9,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2024,closed_issues,2,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2024,opened_issues,5,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2025,closed_issues,6,2026-07-06T19:01:49+00:00
libidn/libidn2,gl/2882658,2025,opened_issues,6,2026-07-06T19:01:49+00:00
libtiff/libtiff,gl/4720790,2021,closed_issues,58,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2021,opened_issues,118,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2022,closed_issues,155,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2022,opened_issues,151,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2023,closed_issues,162,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2023,opened_issues,105,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2024,closed_issues,47,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2024,opened_issues,33,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2025,closed_issues,100,2026-07-06T19:02:00+00:00
libtiff/libtiff,gl/4720790,2025,opened_issues,102,2026-07-06T19:02:00+00:00
md/tcp-wrappers,gl/debian-28852,2021,closed_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2021,opened_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2022,closed_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2022,opened_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2023,closed_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2023,opened_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2024,closed_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2024,opened_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2025,closed_issues,0,2026-07-06T19:02:01+00:00
md/tcp-wrappers,gl/debian-28852,2025,opened_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2021,closed_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2021,opened_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2022,closed_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2022,opened_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2023,closed_issues,0,2026-07-06T19:02:01+00:00
mpc/mpc,gl/inria-22470,2023,opened_issues,0,2026-07-06T19:02:01+00:00
