"package","dependency","type"
"fbthrift","folly","runtime"
"fbthrift","gflags","runtime"
"fbthrift","glog","runtime"
"fbthrift","openssl@3","runtime"
"fbthrift","wangle","runtime"
"fbthrift","xxhash","runtime"
"ffmpeg","dav1d","runtime"
"ffmpeg","lame","runtime"
"ffmpeg","libvmaf","runtime"
"ffmpeg","libvpx","runtime"
"ffmpeg","openssl@3","runtime"
"ffmpeg","opus","runtime"
"ffmpeg","sdl2-compat","runtime"
"ffmpeg","svt-av1","runtime"
"ffmpeg","x264","runtime"
"ffmpeg","x265","runtime"
"ffmpeg@4","aom","runtime"
"ffmpeg@4","dav1d","runtime"
"ffmpeg@4","fontconfig","runtime"
"ffmpeg@4","freetype","runtime"
"ffmpeg@4","frei0r","runtime"
"ffmpeg@4","gnutls","runtime"
"ffmpeg@4","lame","runtime"
"ffmpeg@4","libarchive","runtime"
"ffmpeg@4","libass","runtime"
"ffmpeg@4","libbluray","runtime"
"ffmpeg@4","libogg","runtime"
"ffmpeg@4","librist","runtime"
"ffmpeg@4","libsamplerate","runtime"
"ffmpeg@4","libsoxr","runtime"
"ffmpeg@4","libvidstab","runtime"
"ffmpeg@4","libvmaf","runtime"
"ffmpeg@4","libvorbis","runtime"
"ffmpeg@4","libvpx","runtime"
"ffmpeg@4","libxcb","runtime"
"ffmpeg@4","opencore-amr","runtime"
"ffmpeg@4","openjpeg","runtime"
"ffmpeg@4","opus","runtime"
"ffmpeg@4","rav1e","runtime"
"ffmpeg@4","rubberband","runtime"
"ffmpeg@4","sdl2-compat","runtime"
"ffmpeg@4","snappy","runtime"
"ffmpeg@4","speex","runtime"
"ffmpeg@4","srt","runtime"
"ffmpeg@4","tesseract","runtime"
"ffmpeg@4","theora","runtime"
"ffmpeg@4","webp","runtime"
"ffmpeg@4","x264","runtime"
"ffmpeg@4","x265","runtime"
"ffmpeg@4","xvid","runtime"
"ffmpeg@4","xz","runtime"
"ffmpeg@4","zeromq","runtime"
"ffmpeg@4","zimg","runtime"
"ffmpeg@6","aom","runtime"
"ffmpeg@6","aribb24","runtime"
"ffmpeg@6","dav1d","runtime"
"ffmpeg@6","fontconfig","runtime"
"ffmpeg@6","freetype","runtime"
"ffmpeg@6","frei0r","runtime"
"ffmpeg@6","gnutls","runtime"
"ffmpeg@6","harfbuzz","runtime"
"ffmpeg@6","jpeg-xl","runtime"
"ffmpeg@6","lame","runtime"
"ffmpeg@6","libarchive","runtime"
"ffmpeg@6","libass","runtime"
"ffmpeg@6","libbluray","runtime"
"ffmpeg@6","libogg","runtime"
"ffmpeg@6","librist","runtime"
"ffmpeg@6","libsamplerate","runtime"
"ffmpeg@6","libsoxr","runtime"
"ffmpeg@6","libssh","runtime"
"ffmpeg@6","libvidstab","runtime"
"ffmpeg@6","libvmaf","runtime"
"ffmpeg@6","libvorbis","runtime"
"ffmpeg@6","libvpx","runtime"
"ffmpeg@6","libx11","runtime"
"ffmpeg@6","libxcb","runtime"
"ffmpeg@6","opencore-amr","runtime"
"ffmpeg@6","openjpeg","runtime"
"ffmpeg@6","opus","runtime"
"ffmpeg@6","rav1e","runtime"
"ffmpeg@6","rubberband","runtime"
"ffmpeg@6","sdl2-compat","runtime"
"ffmpeg@6","snappy","runtime"
"ffmpeg@6","speex","runtime"
"ffmpeg@6","srt","runtime"
"ffmpeg@6","svt-av1","runtime"
"ffmpeg@6","tesseract","runtime"
"ffmpeg@6","theora","runtime"
"ffmpeg@6","webp","runtime"
"ffmpeg@6","x264","runtime"
"ffmpeg@6","x265","runtime"
"ffmpeg@6","xvid","runtime"
"ffmpeg@6","xz","runtime"
"ffmpeg@6","zeromq","runtime"
"ffmpeg@6","zimg","runtime"
"fftw","libomp","runtime"
