"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"libtasn1","","","","c/c++","796456","0","1861107","206521","434319","683879","True","True","False","0.00348996","A","lgpl-2.1-or-later"
"python@3.9","","","","c/c++","1488713","0","4272653","527040","680302","474857","True","True","False","0.00346317","A","python-2.0"
"python@3.11","","","","c/c++","1359832","0","1683606","1571411","1430574","753739","True","True","False","0.00316337","A","python-2.0"
"pango","","","","c/c++","1136114","0","1547861","314801","1251704","1430092","True","True","False","0.00316278","A","lgpl-2.0-or-later"
"openexr","AcademySoftwareFoundation/openexr","https://github.com/academysoftwarefoundation/openexr.git","","c/c++","1181137","0","1651312","694632","1129313","1249294","True","True","True","0.00313642","A","bsd-3-clause"
"cmake","Kitware/CMake","https://github.com/kitware/cmake.git","","c/c++","1332849","0","1440694","723699","1597582","1569424","True","True","False","0.00306152","A","bsd-3-clause"
"libxext","","","","c/c++","1047804","0","2029432","349622","1044767","767397","True","True","False","0.00305432","A","mit"
"pixman","","","","c/c++","1123316","0","2084098","345727","795323","1268116","True","True","False","0.00303525","A","mit"
"ffmpeg","","","","c/c++","1266137","0","1646538","425058","1479516","1513437","True","True","False","0.00301334","A","gpl-3.0-or-later"
"pyenv","pyenv/pyenv","https://github.com/pyenv/pyenv.git","","c/c++","1267218","0","1768041","579765","1395998","1325068","True","True","False","0.00299251","A","mit"
"libsodium","","","","c/c++","600436","0","1030897","182642","683730","504476","True","True","False","0.00299047","A","isc"
"mpfr","","","","c/c++","638726","0","1016267","499170","540738","498732","True","True","False","0.00297942","A","lgpl-3.0-or-later"
"oniguruma","kkos/oniguruma","https://github.com/kkos/oniguruma.git","","c/c++","696339","0","1316356","191075","589415","688510","True","True","False","0.00294839","A","bsd-2-clause"
"libomp","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","686364","0","1191879","263821","615592","674166","True","True","True","0.00290323","A","mit"
"protobuf","protocolbuffers/protobuf","https://github.com/protocolbuffers/protobuf.git","","c/c++","1003974","0","1720022","347527","999370","948979","True","True","False","0.00288795","A","bsd-3-clause"
