"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"docker-credential-helper","https://github.com/docker/docker-credential-helpers.git","","","","","",""
"docker-credential-helper-ecr","https://github.com/awslabs/amazon-ecr-credential-helper.git","","","","","",""
"docker-machine","","https://gitlab.com/gitlab-org/ci-cd/docker-machine.git","","","","",""
"doctl","https://github.com/digitalocean/doctl.git","","","","","",""
"docutils","","","","","","",""
"dos2unix","","","","","","",""
"dotnet","https://github.com/dotnet/dotnet.git","","","","","",""
"dotnet@8","https://github.com/dotnet/dotnet.git","","","","","",""
"double-conversion","https://github.com/google/double-conversion.git","","","","","",""
"doxygen","","","","","","",""
"dpkg","","","","","","",""
"dtc","","","","","","https://git.kernel.org/pub/scm/utils/dtc/dtc.git",""
"duckdb","https://github.com/duckdb/duckdb.git","","","","","",""
"duktape","https://github.com/svaarala/duktape.git","","","","","",""
"dust","https://github.com/bootandy/dust.git","","","","","",""
"dvc","","","","","","",""
"dwarfutils","","","","","","",""
"dysk","https://github.com/canop/dysk.git","","","","","",""
"edencommon","https://github.com/facebookexperimental/edencommon.git","","","","","",""
"eigen","","https://gitlab.com/libeigen/eigen.git","","","","",""
"eksctl","https://github.com/eksctl-io/eksctl.git","","","","","",""
"elfutils","","","","","","https://sourceware.org/elfutils/ftp/0.195/elfutils-0.195.tar.bz2",""
"elixir","https://github.com/elixir-lang/elixir.git","","","","","",""
"emacs","","","","","","",""
"emscripten","https://github.com/emscripten-core/emscripten.git","","","","","",""
"enchant","https://github.com/rrthomas/enchant.git","","","","","",""
"epsilon","","","","","","",""
"epstool","","","","","","",""
"erlang","https://github.com/erlang/otp.git","","","","","",""
"erlang@28","https://github.com/erlang/otp.git","","","","","",""
"eslint","","","","","","",""
"etcd","https://github.com/etcd-io/etcd.git","","","","","",""
"ethereum","https://github.com/ethereum/go-ethereum.git","","","","","",""
"exercism","https://github.com/exercism/cli.git","","","","","",""
"exiftool","","","","","","",""
"expat","https://github.com/libexpat/libexpat.git","","","","","",""
"expect","","","","","","",""
"eza","https://github.com/eza-community/eza.git","","","","","",""
"faac","https://github.com/knik0/faac.git","","","","","",""
"faad2","https://github.com/knik0/faad2.git","","","","","",""
"fastfetch","https://github.com/fastfetch-cli/fastfetch.git","","","","","",""
"fastlane","https://github.com/fastlane/fastlane.git","","","","","",""
"faudio","https://github.com/fna-xna/faudio.git","","","","","",""
"fb303","https://github.com/facebook/fb303.git","","","","","",""
"fbthrift","https://github.com/facebook/fbthrift.git","","","","","",""
"fd","https://github.com/sharkdp/fd.git","","","","","",""
"fdk-aac","","","","","","",""
"fetch","https://github.com/gruntwork-io/fetch.git","","","","","",""
"ffmpeg","","","","","","",""
"ffmpeg@4","","","","","","",""
"ffmpeg@6","","","","","","",""
"fftw","","","","","","",""
"fig2dev","","","","","","",""
"figlet","","","","","","",""
"findutils","","","","","","",""
"firebase-cli","","","","","","",""
"fish","https://github.com/fish-shell/fish-shell.git","","","","","",""
"fizz","https://github.com/facebookincubator/fizz.git","","","","","",""
"flac","","","","","","",""
"flann","https://github.com/flann-lib/flann.git","","","","","",""
"flex","https://github.com/westes/flex.git","","","","","",""
"fltk","https://github.com/fltk/fltk.git","","","","","",""
"fluid-synth","https://github.com/fluidsynth/fluidsynth.git","","","","","",""
"flyctl","https://github.com/superfly/flyctl.git","","","","","",""
"flyway","https://github.com/flyway/flyway.git","","","","","",""
"fmt","https://github.com/fmtlib/fmt.git","","","","","",""
"fnm","https://github.com/schniz/fnm.git","","","","","",""
"folly","https://github.com/facebook/folly.git","","","","","",""
"fontconfig","","https://gitlab.freedesktop.org/fontconfig/fontconfig.git","","","","",""
"fontforge","https://github.com/fontforge/fontforge.git","","","","","",""
"freeglut","https://github.com/freeglut/freeglut.git","","","","","",""
"freeimage","","","","","","",""
"freerdp","https://github.com/freerdp/freerdp.git","","","","","",""
"freetds","","","","","","",""
"freetype","","","","","","",""
"freexl","","","","","","",""
"frei0r","https://github.com/dyne/frei0r.git","","","","","",""
"fribidi","https://github.com/fribidi/fribidi.git","","","","","",""
