"package","avg_downloads","2021","2022","2023","2024","2025"
"libzip","388245","0","820296","180733","243219","308735"
"unixodbc","385424","0","963355","170162","215943","192237"
"bzip2","383645","0","68210","230946","567336","668090"
"cryptography","376711","0","0","42","526478","603614"
"libgcrypt","374095","0","568298","160507","307085","460493"
"apr","374074","0","899126","200448","204592","192133"
"maven","373997","0","632603","210998","348811","303577"
"nghttp2","371999","0","970100","205377","215244","97275"
"z3","371464","0","276404","112337","510498","586619"
"vim","366637","0","727565","166018","305468","267497"
"zimg","364072","0","702184","158892","259133","336080"
"libraw","362567","0","877101","78238","263018","231911"
"openblas","361316","0","443342","155431","561969","284522"
"azure-cli","360354","0","505132","159426","341025","435835"
"rbenv","359313","0","326869","83735","497338","529310"
"nss","357458","0","628946","131455","326914","342518"
"openjdk@11","356349","0","670247","201514","317120","236516"
"glibc","354990","0","0","197659","588383","278929"
"x264","353427","0","795901","87923","246240","283645"
"libb2","348950","0","617139","104256","318476","355929"
"luajit","347785","0","526759","149803","357519","357059"
"mongosh","344273","0","585981","173341","354858","262913"
"poppler","342841","0","450745","148464","327904","444254"
"yq","342580","0","275397","111268","448044","535611"
"automake","341353","0","563627","148265","312775","340747"
"rtmpdump","338635","0","563128","225172","321135","245106"
"pinentry","334378","0","534410","64499","434205","304400"
"cjson","333518","0","522199","137152","368120","306604"
"yt-dlp","333403","0","230129","78861","402676","621947"
"opus","325404","0","464401","155549","410409","271260"
"qt","324718","0","566428","149809","332375","250260"
"openjdk@17","323481","0","353028","160422","346607","433870"
"shared-mime-info","322284","0","552997","91632","329766","314744"
"tree","320156","0","555217","127343","304619","293448"
"dbus","318864","0","251474","129629","389730","504624"
"edencommon","318274","0","445208","206279","358347","263265"
"apr-util","316817","0","860213","169187","140652","97219"
"speex","315182","0","786174","85985","182598","205973"
"tmux","313602","0","483431","129580","348717","292682"
"opencore-amr","313468","0","772092","89364","183400","209019"
"bash","313461","0","390602","57539","417141","388562"
"binutils","306369","0","67416","254624","481781","421658"
"xcbeautify","306106","0","54718","123824","437308","608575"
"zeromq","305864","0","506692","91579","293639","331549"
"tree-sitter","301452","0","319776","81854","415386","388793"
"docker-compose","300141","0","382885","130302","313939","373440"
"yarn","299921","0","670366","120263","255967","153090"
"git-lfs","299270","0","366205","121121","315201","394556"
"swiftlint","297354","0","127952","157646","456766","447055"
"utf8proc","296469","0","517773","80032","211459","376615"
"ansible","296338","0","484654","156875","285310","258515"
"ninja","296268","0","285534","119469","326574","453495"
"libpthread-stubs","295982","0","1056018","72081","47588","8241"
"mise","295918","0","0","0","150546","441291"
"libcbor","295006","0","717435","100741","224915","136936"
"libidn","293129","0","730857","62856","211556","167248"
"libde265","292972","0","594265","133389","218635","225601"
"berkeley-db@5","291419","0","5284","120435","503493","536467"
"libsamplerate","291149","0","616921","123071","205001","219606"
"fmt","290346","0","495382","124044","253340","288618"
"libunibreak","288566","0","451306","123011","336563","243384"
"libdeflate","288004","0","2208","1597","313603","834608"
"qt@5","287482","0","672029","150741","197397","129762"
"double-conversion","286751","0","666887","136324","152151","191642"
"libogg","281060","0","539388","87789","201467","295596"
"mkcert","276172","0","104531","104745","244779","650634"
"jpeg","272910","0","784101","49285","161522","96734"
"composer","272755","0","499924","118390","253522","219185"
"theora","265951","0","432255","82978","226914","321658"
"gradle","262803","0","373515","120544","283259","273897"
"libassuan","262411","0","289328","88752","373921","297646"
"unzip","260077","0","51565","157183","377669","453891"
"libvorbis","256517","0","493344","87499","211088","234138"
"pandoc","253368","0","274392","137773","287552","313758"
"lame","253156","0","454009","93265","219040","246312"
"libnghttp3","247118","0","0","0","19073","475164"
"nmap","241190","0","322011","133406","210636","298707"
"gnu-getopt","239271","0","692615","71915","111067","81490"
"telnet","239214","0","405028","132596","230096","189138"
"lua","236781","0","346485","151832","204759","244050"
"libedit","235861","0","4852","125635","371581","441377"
"uvwasi","234930","0","0","0","0","234930"
"gnu-tar","234511","0","158083","151548","329263","299152"
"libvidstab","233488","0","429621","137730","174301","192300"
"hwloc","233406","0","247444","65355","379285","241543"
"libsoxr","225611","0","428064","75711","184621","214048"
"pnpm","225446","0","209138","104305","251482","336861"
"pycparser","223211","0","268","168783","427309","296484"
"htop","220868","0","464028","70375","145421","203648"
"hdf5","217962","0","394292","110528","213597","153434"
"xvid","216748","0","429107","73523","169211","195151"
"gemini-cli","215943","0","0","0","0","215943"
