"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"inherits","isaacs/inherits","3869152891","2988235897","3574265739","3851880882","3893468776","5037913162","True","0.00241263","A","https://github.com/isaacs/inherits.git","eco","gh/1580001","","isc"
"glob","isaacs/node-glob","5942831837","2304266164","3600700416","5770962698","7717726256","10320503652","True","0.00222390","A","https://github.com/isaacs/node-glob.git","eco","gh/357681","","blueoak-1.0.0"
"wrappy","isaacs/wrappy","2241553705","1332912554","1825893323","2190739931","2480405333","3377817386","True","0.00220915","A","https://github.com/isaacs/wrappy.git","eco","gh/24208073","","isc"
"to-regex-range","micromatch/to-regex-range","3034680347","1994539136","2820075828","3138060686","3134149410","4086576678","True","0.00215903","A","https://github.com/micromatch/to-regex-range.git","eco","gh/40355891","","mit"
"has-flag","sindresorhus/has-flag","8989739584","3518528819","7371375995","10548404874","12398164703","11112223533","True","0.00212777","A","https://github.com/sindresorhus/has-flag.git","eco","gh/38718671","","mit"
"graceful-fs","isaacs/node-graceful-fs","2715231885","1817595443","2322494193","2637958248","2913359444","3884752098","True","0.00212611","A","https://github.com/isaacs/node-graceful-fs.git","eco","gh/2077020","","isc"
"@jridgewell/sourcemap-codec","jridgewell/sourcemaps","2137958311","0","780420994","1922992554","2357891082","3490528615","True","0.00208538","A","https://github.com/jridgewell/sourcemaps.git","override","gh/897142826","","mit"
"color-convert","qix-/color-convert","8487718032","3236575266","6833555616","9925539822","11468264285","10974655171","True","0.00204753","A","https://github.com/qix-/color-convert.git","eco","gh/1874305","","mit"
"is-extglob","micromatch/is-extglob","2279020241","1335413150","1908823866","2182570298","2477888864","3490405030","True","0.00203949","A","https://github.com/micromatch/is-extglob.git","eco","gh/31788841","","mit"
"@babel/parser","babel/babel","2744636447","1754228152","2310508618","2645439630","2866476487","4146529352","True","0.00203856","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"call-bind","ljharb/call-bind","1926081134","915858231","1412290424","1855090375","2472860564","2974306078","True","0.00203583","A","https://github.com/ljharb/call-bind.git","eco","gh/308533760","","mit"
"picocolors","alexeyraspopov/picocolors","2479845700","237630812","2163002377","2578246036","3050141849","4370207428","True","0.00201247","A","https://github.com/alexeyraspopov/picocolors.git","eco","gh/410740124","","isc"
"eslint-visitor-keys","eslint/js","3489107832","1450303495","2655132600","3367746650","3778773907","6193582509","True","0.00199230","A","https://github.com/eslint/js.git","eco","gh/27620277","","apache-2.0"
"@jridgewell/trace-mapping","jridgewell/sourcemaps","2722092374","0","978858094","2246124035","3088375892","4575011477","True","0.00198316","A","https://github.com/jridgewell/sourcemaps.git","override","gh/897142826","","mit"
"ajv","ajv-validator/ajv","4749148152","2500320894","3706770741","4659103353","5425688858","7453856916","True","0.00196313","A","https://github.com/ajv-validator/ajv.git","eco","gh/35914020","","mit"
"estraverse","estools/estraverse","3928480631","2094786484","3284188639","4125522347","4485779667","5652126022","True","0.00195300","A","https://github.com/estools/estraverse.git","eco","gh/6145439","","bsd-2-clause"
"picomatch","micromatch/picomatch","2852247377","1199237679","1781401938","2039711732","2795656807","6445228732","True","0.00194717","A","https://github.com/micromatch/picomatch.git","eco","gh/156211895","","mit"
"@jest/types","jestjs/jest","3114244518","1463441975","2643096644","3678143520","3554819621","4231720833","True","0.00194000","A","https://github.com/jestjs/jest.git","eco","gh/15062869","","mit"
"es-object-atoms","es-shims/es-object-atoms","1765982851","0","0","0","655117846","2876847856","True","0.00193035","A","https://github.com/es-shims/es-object-atoms.git","eco","gh/773229339","","mit"
"safer-buffer","chalker/safer-buffer","1987654268","1294475455","1597150252","1848251295","2139427453","3058966888","True","0.00192859","A","https://github.com/chalker/safer-buffer.git","eco","gh/125825141","","mit"
"mime-db","jshttp/mime-db","2882321734","1938792893","2342174353","2492829187","2821216685","4816595553","True","0.00192598","A","https://github.com/jshttp/mime-db.git","eco","gh/22970419","","mit"
"locate-path","sindresorhus/locate-path","5431976915","2931831616","4430418256","5483155212","6197214959","8117264536","True","0.00192429","A","https://github.com/sindresorhus/locate-path.git","eco","gh/74266248","","mit"
"signal-exit","tapjs/signal-exit","3190643836","1265268178","1822980064","2422630372","4069673801","6372666767","True","0.00192095","A","https://github.com/tapjs/signal-exit.git","eco","gh/35711072","","isc"
"acorn","acornjs/acorn","4335249639","2635637385","3849825628","4430658464","4771368210","5988758511","True","0.00191185","A","https://github.com/acornjs/acorn.git","eco","gh/5932749","","mit"
"js-tokens","lydell/js-tokens","2305400030","1416632495","1791946155","2104117091","2454371059","3759933350","True","0.00188209","A","https://github.com/lydell/js-tokens.git","eco","gh/17552490","","mit"
"@types/unist","definitelytyped/definitelytyped","677113696","237377291","335224368","466112617","884327198","1462527010","True","0.00186293","A","https://github.com/definitelytyped/definitelytyped.git","eco","gh/6093316","","mit"
"escape-string-regexp","sindresorhus/escape-string-regexp","5467926208","2337975435","4002844290","5585934145","6783972369","8628904805","True","0.00183339","A","https://github.com/sindresorhus/escape-string-regexp.git","eco","gh/21169121","","mit"
"@babel/code-frame","babel/babel","3085584582","2180458906","2795234412","2903830619","3223505896","4324893077","True","0.00182963","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"commander","tj/commander.js","6484072250","3296082590","4785771765","6249363428","7562312237","10526831232","True","0.00181198","A","https://github.com/tj/commander.js.git","eco","gh/2206953","","mit"
"react-is","react/react","4020302625","1283003022","2445238655","3985359585","4991703612","7396208255","True","0.00181006","A","https://github.com/react/react.git","eco","gh/10270250","","mit"
"argparse","nodeca/argparse","3485207914","1299544459","2341474795","3433116715","4323093711","6028809890","True","0.00180915","A","https://github.com/nodeca/argparse.git","eco","gh/4325614","","python-2.0"
"is-glob","micromatch/is-glob","3063610751","2174551227","2941004918","3048078256","3083835550","4070583806","True","0.00178736","A","https://github.com/micromatch/is-glob.git","eco","gh/28179425","","mit"
"@babel/runtime","babel/babel","2482444876","1615466400","2129980106","2545206721","2688822559","3432748597","True","0.00176812","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
