repo,repo_id,package,has_npm_funding,npm_funding_url,fetched_at,status
frenic/csstype,104001328,csstype,False,,2026-06-29T23:54:29+00:00,ok
fsevents/fsevents,1402936,fsevents,False,,2026-06-29T23:54:29+00:00,ok
garycourt/uri-js,989080,uri-js,False,,2026-06-29T23:54:29+00:00,ok
getsentry/sentry-javascript,3328572,@sentry/core,False,,2026-06-29T23:54:29+00:00,ok
gkz/levn,13287279,levn,False,,2026-06-29T23:54:29+00:00,ok
gkz/optionator,13435927,optionator,False,,2026-06-29T23:54:29+00:00,ok
gkz/prelude-ls,4457759,prelude-ls,False,,2026-06-29T23:54:29+00:00,ok
gkz/type-check,13182168,type-check,False,,2026-06-29T23:54:29+00:00,ok
googlechrome/workbox,55424670,workbox-core,False,,2026-06-29T23:54:29+00:00,ok
gregberge/svgr,102155012,@svgr/babel-preset,True,https://github.com/sponsors/gregberge,2026-06-29T23:54:29+00:00,ok
grncdr/merge-stream,10579821,merge-stream,False,,2026-06-29T23:54:29+00:00,ok
gulpjs/glob-parent,29154915,glob-parent,False,,2026-06-29T23:54:29+00:00,ok
hapijs/hoek,5831189,@hapi/hoek,False,,2026-06-29T23:54:29+00:00,ok
hiddentao/fast-levenshtein,9490451,fast-levenshtein,False,,2026-06-29T23:54:29+00:00,ok
iarna/aproba,31432421,aproba,False,,2026-06-29T23:54:29+00:00,ok
import-js/eslint-plugin-import,32238354,eslint-plugin-import,False,,2026-06-29T23:54:29+00:00,ok
indutny/bn.js,19176350,bn.js,False,,2026-06-29T23:54:29+00:00,ok
inikulin/parse5,8862593,parse5,True,https://github.com/inikulin/parse5?sponsor=1,2026-06-29T23:54:29+00:00,ok
inspect-js/array-buffer-byte-length,607836784,array-buffer-byte-length,False,,2026-06-29T23:54:29+00:00,error
inspect-js/available-typed-arrays,235965505,available-typed-arrays,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/functions-have-names,198357138,functions-have-names,False,,2026-06-29T23:54:29+00:00,error
inspect-js/has-bigints,201714166,has-bigints,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/has-property-descriptors,481834578,has-property-descriptors,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/has-proto,577580747,has-proto,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/has-symbols,68573418,has-symbols,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/has-tostringtag,392913710,has-tostringtag,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/hasown,703350811,hasown,False,,2026-06-29T23:54:29+00:00,ok
inspect-js/is-accessor-descriptor,41658954,is-accessor-descriptor,False,,2026-06-29T23:54:29+00:00,ok
inspect-js/is-arguments,15725461,is-arguments,False,,2026-06-29T23:54:29+00:00,error
inspect-js/is-array-buffer,45977026,is-array-buffer,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-bigint,149682261,is-bigint,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
inspect-js/is-boolean-object,34700259,is-boolean-object,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
