repo_id,repo,ecosystem,value_score,risk_score
711160838,sindresorhus/get-east-asian-width,npm,64.7387,57
28768789,ljharb/define-properties,npm,56.9221,57
1915099,browserify/resolve,npm,53.3461,57
141345580,burntsushi/termcolor,crates,44.9126,57
85605821,rustcrypto/traits,crates,44.0401,57
143469762,dtolnay/no-panic,crates,39.8444,57
902014040,es-shims/math-intrinsics,npm,38.3353,57
608018848,crate-py/rpds,pypi,36.9263,57
211950686,istanbuljs/schema,npm,32.6373,57
569041,curl/curl,cpp,32.5217,57
209673558,lokathor/bytemuck,crates,31.6707,57
947175,kriszyp/json-schema,npm,27.741,57
68573418,inspect-js/has-symbols,npm,64.9956,56
791446923,eslint/rewrite,npm,45.6727,56
96382888,rust-cli/env_logger,crates,44.4614,56
534940,broofa/mime,npm,39.2891,56
505548145,browserslist/update-db,npm,36.4331,56
18700638,feross/run-parallel,npm,36.2531,56
65153793,rust-lang/compiler-builtins,crates,35.2976,56
634056857,isaacs/cliui,npm,29.8786,56
115110181,swc-project/swc,npm,28.0846,56
122441239,terkelg/sisteransi,npm,26.495,56
2206953,tj/commander.js,npm,58.4926,55
102155012,gregberge/svgr,npm,51.7962,55
14732255,mafintosh/end-of-stream,npm,40.5802,55
41658954,inspect-js/is-accessor-descriptor,npm,38.1365,55
3072629,python-jsonschema/jsonschema,pypi,37.1497,55
1945034,pallets/itsdangerous,pypi,29.8543,55
16523712,sinonjs/fake-timers,npm,29.1823,55
31455984,jonschlinkert/global-prefix,npm,29.102,55
577580747,inspect-js/has-proto,npm,28.9026,55
11836813,andrewrk/node-pend,npm,28.7053,55
597893818,joshuakgoldberg/ts-api-utils,npm,27.1812,55
183990447,dtolnay/rustversion,crates,69.2396,54
2755924,mathiasbynens/punycode.js,npm,64.2439,54
40633359,jonschlinkert/define-property,npm,49.4627,54
32873313,systemd/systemd,cpp,49.2729,54
98346885,pypa/wheel,pypi,48.3295,54
4475810,jshttp/cookie,npm,41.0266,54
43191689,chalk/slice-ansi,npm,37.6134,54
15349765,jshttp/on-finished,npm,36.313,54
209510094,rust-random/rngs,crates,36.0723,54
131121620,webreflection/flatted,npm,35.9557,54
1446474,pypa/virtualenv,pypi,34.0889,54
15992970,rust-phf/rust-phf,crates,34.0524,54
901188921,ljharb/side-channel-weakmap,npm,31.6022,54
580683868,es-shims/es-set-tostringtag,npm,31.3723,54
140365570,python-poetry/tomlkit,pypi,29.9938,54
14568009,browserify/node-util,npm,29.7956,54
216159146,ljharb/internal-slot,npm,29.4255,54
49538897,feross/safe-buffer,npm,76.9927,53
15489525,feross/ieee754,npm,55.3309,53
36618494,aio-libs/aiobotocore,pypi,51.4325,53
25475303,micromatch/braces,npm,50.3729,53
8678904,dcodeio/long.js,npm,49.8003,53
27359938,micromatch/micromatch,npm,46.1539,53
447694800,agronholm/exceptiongroup,pypi,44.8561,53
273568715,lukeed/escalade,npm,43.8205,53
23806086,jshttp/http-errors,npm,42.3698,53
2811323,oauthlib/oauthlib,pypi,42.0383,53
78972540,kilian/electron-to-chromium,npm,40.5064,53
11458302,micromatch/anymatch,npm,37.3584,53
45661176,jonschlinkert/assign-symbols,npm,35.8966,53
17533192,pillarjs/parseurl,npm,33.5279,53
38545952,jonschlinkert/object-visit,npm,31.0538,53
48954523,webpack/webpack-sources,npm,29.5482,53
140393403,lukeed/kleur,npm,28.4708,53
114682758,es-shims/string.prototype.trimend,npm,27.5146,53
41795086,syntax-tree/unist-util-is,npm,25.4699,53
13539234,juliangruber/brace-expansion,npm,72.4778,52
8507859,protobufjs/protobuf.js,npm,58.6738,52
49804297,isaacs/isexe,npm,57.9561,52
48222381,isaacs/yallist,npm,52.2977,52
4494405,paulmillr/readdirp,npm,50.6044,52
34761352,jsdom/whatwg-url,npm,42.042,52
3275614,jshttp/negotiator,npm,36.9213,52
71526722,sindresorhus/p-map,npm,36.0149,52
751048078,inspect-js/is-data-view,npm,32.3511,52
94262864,tokio-rs/prost,crates,29.1632,52
17464338,expressjs/serve-static,npm,26.7086,52
11855007,chalk/supports-color,npm,69.3233,51
156211895,micromatch/picomatch,npm,60.3733,51
36500102,postcss/postcss-selector-parser,npm,57.78,51
