repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
davidhalter/parso,90668463,1141,49,49,1,7725,1097,52,1,7560,51,20,4,1042,B,2026-05-19T11:24:20+00:00,2026-05-19T11:23:21+00:00
davisjam/safe-regex,90781457,69,6,6,1,4963,62,8,2,2497,0,0,0,0,D,2026-05-19T11:24:21+00:00,2026-05-19T11:23:21+00:00
dchest/tweetnacl-js,15649752,410,15,15,1,8961,378,18,1,8728,13,4,1,6095,A,2026-05-19T11:24:23+00:00,2026-05-19T11:23:22+00:00
dcodeio/long.js,8678904,124,18,18,1,7185,137,19,1,7430,34,7,1,6834,B,2026-05-19T11:24:25+00:00,2026-05-19T11:23:22+00:00
debug-js/debug,2871998,521,107,107,2,1749,470,122,3,1335,26,10,1,4408,D,2026-05-19T11:24:26+00:00,2026-05-19T11:17:29+00:00
definitelytyped/definitelytyped,6093316,40117,387,385,20,244,72588,19581,1028,17,17207,6542,280,73,D,2026-05-19T11:24:30+00:00,2026-05-19T11:23:22+00:00
defunctzombie/node-process,7580644,73,15,15,2,3376,60,16,2,2744,0,0,0,0,C,2026-05-19T11:24:29+00:00,2026-05-19T11:23:23+00:00
django/asgiref,48501860,474,106,106,1,2583,483,110,2,2550,175,68,6,744,C,2026-05-19T11:24:31+00:00,2026-05-19T11:23:23+00:00
djc/rustc-version-rs,41272773,113,15,15,2,3293,102,17,2,2809,39,4,1,8540,C,2026-05-19T11:24:31+00:00,2026-05-19T11:23:23+00:00
dmitrysoshnikov/regexp-tree,85459304,605,25,24,1,5897,489,26,1,5045,38,8,2,2608,B,2026-05-19T11:24:33+00:00,2026-05-19T11:23:23+00:00
doowb/ansi-colors,47135420,122,11,11,1,3975,111,13,1,3822,5,2,1,6800,C,2026-05-19T11:22:36+00:00,2026-05-19T11:23:23+00:00
douglasdwyer/wasm_sync,668034655,4,1,1,1,10000,4,1,1,10000,4,1,1,10000,A,2026-05-19T11:22:36+00:00,2026-05-19T11:23:23+00:00
dougwilson/nodejs-depd,20848667,228,2,2,1,9913,228,2,1,9913,6,1,1,10000,A,2026-05-19T11:22:37+00:00,2026-05-19T11:23:24+00:00
dtolnay/anyhow,212936374,917,25,25,1,9315,757,27,1,9123,444,14,1,9207,A,2026-05-19T11:22:37+00:00,2026-05-19T11:23:24+00:00
dtolnay/automod,173074854,133,6,6,1,9265,119,6,1,9181,77,4,1,9241,A,2026-05-19T11:22:38+00:00,2026-05-19T11:23:24+00:00
dtolnay/dissimilar,229514821,143,3,3,1,9321,134,3,1,9277,100,2,1,9232,A,2026-05-19T11:22:39+00:00,2026-05-19T11:23:24+00:00
dtolnay/indoc,54252316,379,7,7,1,9532,348,9,1,9379,128,3,1,9691,A,2026-05-19T11:22:40+00:00,2026-05-19T11:23:25+00:00
dtolnay/itoa,61962375,326,14,14,1,8531,296,15,1,8328,195,6,1,9298,A,2026-05-19T11:22:41+00:00,2026-05-19T11:23:25+00:00
