repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
jamesmunns/postcard,179385478,307,65,65,1,2716,311,69,1,2915,234,59,2,2277,C,2026-05-19T11:23:29+00:00,2026-05-19T11:24:42+00:00
jaraco/jaraco.develop,48289082,1134,24,23,1,8370,1073,27,1,7787,407,14,1,7843,B,2026-05-19T11:23:31+00:00,2026-05-19T11:24:42+00:00
jaraco/pytest-perf,372026120,320,14,13,1,7306,270,14,1,6800,256,14,1,6901,B,2026-05-19T11:23:32+00:00,2026-05-19T11:24:42+00:00
jaraco/zipp,157774633,917,32,31,1,8314,774,34,1,8042,404,26,1,7227,A,2026-05-19T11:23:34+00:00,2026-05-19T11:24:42+00:00
jaredhanson/utils-merge,11349896,23,4,4,1,7618,20,4,1,7300,0,0,0,0,B,2026-05-19T11:22:36+00:00,2026-05-19T11:24:42+00:00
jaredwray/cacheable,9267870,1932,96,94,1,4699,1802,107,1,5158,1425,70,1,7155,B,2026-05-19T11:22:37+00:00,2026-05-19T11:24:43+00:00
jaredwray/keyv,96540810,2100,79,78,1,6497,2117,80,1,6325,1654,70,1,7999,B,2026-05-19T11:22:38+00:00,2026-05-19T11:24:43+00:00
jawah/charset_normalizer,200259335,626,25,24,1,8538,778,24,1,8923,571,20,1,8704,A,2026-05-19T11:22:38+00:00,2026-05-19T11:24:43+00:00
jbgutierrez/path-parse,34113780,17,5,5,1,5225,13,6,1,3373,4,3,1,3750,C,2026-05-19T11:22:39+00:00,2026-05-19T11:24:43+00:00
jd/tenacity,65468547,550,88,86,1,2867,485,101,2,2178,116,48,5,976,D,2026-05-19T11:22:39+00:00,2026-05-19T11:24:43+00:00
jensyt/imurmurhash-js,11802843,11,1,1,1,10000,11,1,1,10000,0,0,0,0,A,2026-05-19T11:22:40+00:00,2026-05-19T11:24:43+00:00
jestjs/jest,15062869,6129,424,422,4,1111,7399,1699,11,730,2229,500,2,1852,D,2026-05-19T11:22:43+00:00,2026-05-19T11:24:44+00:00
jimp-dev/jimp,24008065,1097,159,157,1,3123,1065,172,2,2806,240,36,1,6794,C,2026-05-19T11:22:42+00:00,2026-05-19T11:24:44+00:00
jmespath/jmespath.py,8300763,575,29,28,1,7906,423,31,1,7176,42,10,2,3262,B,2026-05-19T11:22:43+00:00,2026-05-19T11:24:44+00:00
joblib/joblib,654608,1531,130,129,2,1793,1497,148,3,1571,238,59,3,1183,D,2026-05-19T11:22:45+00:00,2026-05-19T11:24:44+00:00
jonathanong/ee-first,20707897,93,2,2,1,8252,93,2,1,8252,0,0,0,0,A,2026-05-19T11:22:45+00:00,2026-05-19T11:24:44+00:00
jonschlinkert/assign-symbols,45661176,14,2,2,1,7551,14,2,1,7551,0,0,0,0,B,2026-05-19T11:22:46+00:00,2026-05-19T11:24:44+00:00
jonschlinkert/define-property,40633359,39,3,3,1,6976,37,3,1,7604,0,0,0,0,B,2026-05-19T11:22:47+00:00,2026-05-19T11:24:45+00:00
jonschlinkert/extend-shallow,25867410,47,3,3,1,7411,46,4,1,4811,0,0,0,0,C,2026-05-19T11:22:48+00:00,2026-05-19T11:24:45+00:00
jonschlinkert/fill-range,27113310,135,6,6,1,8588,132,6,1,8557,3,1,1,10000,A,2026-05-19T11:22:49+00:00,2026-05-19T11:24:45+00:00
jonschlinkert/get-value,24911025,101,6,6,1,8673,98,7,1,6947,6,3,1,5000,B,2026-05-19T11:22:50+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/global-prefix,31455984,49,8,8,1,3628,41,10,2,3111,2,1,1,10000,C,2026-05-19T11:22:51+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/has-value,24310408,38,3,3,1,8518,35,4,1,7894,0,0,0,0,B,2026-05-19T11:22:52+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/has-values,33009186,21,1,1,1,10000,21,1,1,10000,0,0,0,0,A,2026-05-19T11:22:53+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/is-extendable,38225016,16,4,4,1,3906,14,4,1,4694,0,0,0,0,C,2026-05-19T11:22:54+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/is-number,24313173,57,3,3,1,9317,58,5,1,6956,0,0,0,0,B,2026-05-19T11:22:55+00:00,2026-05-19T11:24:46+00:00
jonschlinkert/is-plain-object,24306940,51,7,7,2,3110,47,8,2,2965,0,0,0,0,C,2026-05-19T11:22:56+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/isobject,21342886,59,8,8,1,3697,51,10,2,2734,1,1,1,10000,C,2026-05-19T11:22:57+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/kind-of,24491562,120,11,11,1,7536,107,13,1,6508,2,1,1,10000,B,2026-05-19T11:22:58+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/map-cache,32450614,11,1,1,1,10000,11,2,1,8347,0,0,0,0,A,2026-05-19T11:22:59+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/normalize-path,21224182,42,3,3,1,9082,40,4,1,6325,0,0,0,0,B,2026-05-19T11:23:01+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/object-visit,38545952,35,2,2,1,9445,34,2,1,9429,0,0,0,0,A,2026-05-19T11:23:02+00:00,2026-05-19T11:24:47+00:00
jonschlinkert/word-wrap,18260583,72,13,13,1,4441,62,14,2,2341,12,3,1,4306,D,2026-05-19T11:23:03+00:00,2026-05-19T11:24:47+00:00
jorgebucaran/colorette,34648097,357,18,18,1,8966,352,18,1,8952,122,9,1,8439,A,2026-05-19T11:23:05+00:00,2026-05-19T11:24:48+00:00
joshuakgoldberg/ts-api-utils,597893818,989,12,9,1,4572,942,11,2,3650,748,9,2,3727,C,2026-05-19T11:23:05+00:00,2026-05-19T11:24:48+00:00
jpadilla/pyjwt,1408162,940,155,153,2,1480,837,161,3,1141,294,79,7,910,D,2026-05-19T11:23:08+00:00,2026-05-19T11:24:48+00:00
jprichardson/node-fs-extra,2791348,1119,88,87,1,4441,990,97,1,3971,71,20,1,4311,C,2026-05-19T11:23:09+00:00,2026-05-19T11:24:48+00:00
jprichardson/node-jsonfile,5754307,174,21,20,1,4693,159,26,1,3574,5,3,1,4400,C,2026-05-19T11:23:10+00:00,2026-05-19T11:24:48+00:00
jquast/wcwidth,18464187,472,20,19,1,6770,421,20,1,6532,154,13,1,3645,B,2026-05-19T11:23:11+00:00,2026-05-19T11:24:48+00:00
jquery/esprima,2833537,1235,65,65,1,6883,1232,68,1,6823,9,4,2,2840,B,2026-05-19T11:23:12+00:00,2026-05-19T11:17:29+00:00
jridgewell/resolve-uri,196878944,154,4,3,1,9628,102,4,1,4815,44,3,1,9122,C,2026-05-19T11:23:14+00:00,2026-05-19T11:24:49+00:00
jridgewell/sourcemaps,897142826,879,26,23,1,6984,736,24,1,5774,451,14,1,8839,B,2026-05-19T11:23:15+00:00,2026-05-19T11:24:49+00:00
jsdom/tr46,36964214,86,9,8,2,3138,86,8,2,3138,38,4,1,7437,C,2026-05-19T11:23:17+00:00,2026-05-19T11:24:50+00:00
jsdom/webidl-conversions,23000311,82,6,6,1,5291,98,6,1,4071,23,2,1,8412,C,2026-05-19T11:23:18+00:00,2026-05-19T11:24:50+00:00
jsdom/whatwg-mimetype,71014420,42,5,5,1,8209,42,5,1,8209,12,2,1,8472,A,2026-05-19T11:23:20+00:00,2026-05-19T11:24:50+00:00
jsdom/whatwg-url,34761352,352,20,19,1,4795,409,21,1,4332,87,6,1,8264,C,2026-05-19T11:23:21+00:00,2026-05-19T11:24:50+00:00
jsdom/xml-name-validator,28553202,29,2,2,1,7622,29,2,1,7622,9,1,1,10000,B,2026-05-19T11:23:22+00:00,2026-05-19T11:24:50+00:00
jshttp/accepts,15482433,269,16,15,1,7610,268,15,1,7667,46,9,1,4637,B,2026-05-19T11:23:24+00:00,2026-05-19T11:24:50+00:00
jshttp/content-disposition,24216676,185,16,15,1,5363,185,16,1,5361,52,9,1,3197,B,2026-05-19T11:23:25+00:00,2026-05-19T11:24:51+00:00
jshttp/content-type,30172150,134,12,12,1,6938,134,12,1,6938,42,5,1,7404,B,2026-05-19T11:23:26+00:00,2026-05-19T11:24:51+00:00
jshttp/cookie,4475810,379,45,44,1,4822,378,47,1,4754,135,23,1,3926,C,2026-05-19T11:23:28+00:00,2026-05-19T11:24:51+00:00
jshttp/etag,22894570,147,6,6,1,8949,148,7,1,8829,6,3,1,3889,A,2026-05-19T11:23:29+00:00,2026-05-19T11:24:51+00:00
jshttp/forwarded,24300217,179,6,5,1,9229,179,5,1,9229,50,5,1,7456,A,2026-05-19T11:23:31+00:00,2026-05-19T11:24:51+00:00
jshttp/fresh,4617552,226,17,16,1,7135,230,20,1,6877,72,7,1,6538,B,2026-05-19T11:23:33+00:00,2026-05-19T11:24:51+00:00
jshttp/http-errors,23806086,322,21,20,1,6408,321,22,1,6439,54,7,1,4661,B,2026-05-19T11:23:34+00:00,2026-05-19T11:24:51+00:00
jshttp/media-typer,20814275,239,7,6,1,9065,239,6,1,9065,25,4,1,5679,A,2026-05-19T11:23:35+00:00,2026-05-19T11:24:52+00:00
jshttp/methods,8274071,106,12,11,1,6588,107,12,1,6464,4,2,1,5000,B,2026-05-19T11:23:36+00:00,2026-05-19T11:24:52+00:00
jshttp/mime-db,22970419,883,92,90,1,7119,889,96,1,7021,200,32,1,5432,B,2026-05-19T11:23:37+00:00,2026-05-19T11:24:52+00:00
jshttp/mime-types,19380178,520,21,20,1,7589,520,20,1,7589,139,14,1,5817,B,2026-05-19T11:23:37+00:00,2026-05-19T11:24:52+00:00
jshttp/negotiator,3275614,301,22,21,1,5307,292,21,1,5564,55,9,1,4167,B,2026-05-19T11:23:39+00:00,2026-05-19T11:24:52+00:00
jshttp/on-finished,15349765,301,13,12,1,8261,302,13,1,8205,60,6,1,7486,A,2026-05-19T11:23:40+00:00,2026-05-19T11:24:52+00:00
jshttp/range-parser,4627131,169,13,12,1,7158,170,13,1,7072,8,3,1,3750,B,2026-05-19T11:23:41+00:00,2026-05-19T11:24:53+00:00
jshttp/statuses,17690272,316,14,13,1,7537,317,14,1,7487,44,6,2,2960,B,2026-05-19T11:23:41+00:00,2026-05-19T11:24:53+00:00
jshttp/type-is,15484233,361,20,19,1,7562,361,20,1,7560,60,8,1,5112,B,2026-05-19T11:23:42+00:00,2026-05-19T11:24:53+00:00
jshttp/vary,20498698,231,8,7,1,9298,231,7,1,9298,10,4,2,2778,A,2026-05-19T11:23:43+00:00,2026-05-19T11:24:53+00:00
jslicense/spdx-correct.js,34817196,117,7,7,1,7648,109,8,1,7480,9,2,1,8025,B,2026-05-19T11:23:44+00:00,2026-05-19T11:24:53+00:00
jslicense/spdx-exceptions.json,40062896,44,2,2,1,9556,44,2,1,9556,8,1,1,10000,A,2026-05-19T11:23:45+00:00,2026-05-19T11:24:53+00:00
jslicense/spdx-expression-parse.js,40067336,169,5,5,1,9083,164,5,1,9170,9,1,1,10000,A,2026-05-19T11:23:46+00:00,2026-05-19T11:24:54+00:00
jslicense/spdx-license-ids,26001547,148,4,3,1,4865,151,5,2,4671,56,3,1,8648,C,2026-05-19T11:23:46+00:00,2026-05-19T11:24:54+00:00
json5/json5,4463453,430,22,22,1,4076,391,26,1,3711,42,8,1,5578,C,2026-05-19T11:23:47+00:00,2026-05-19T11:24:54+00:00
juliangruber/balanced-match,13538817,120,16,15,1,5379,112,16,1,4258,45,5,1,7336,C,2026-05-19T11:23:48+00:00,2026-05-19T11:24:54+00:00
juliangruber/brace-expansion,13539234,159,25,23,1,3705,138,24,2,3014,29,8,1,4941,C,2026-05-19T11:23:49+00:00,2026-05-19T11:24:54+00:00
juliangruber/isarray,10227611,97,15,13,1,6064,89,13,1,5824,52,4,1,6886,B,2026-05-19T11:23:50+00:00,2026-05-19T11:24:54+00:00
justmoon/node-extend,3967764,196,13,13,1,6221,183,15,1,6131,14,2,1,8673,B,2026-05-19T11:23:52+00:00,2026-05-19T11:24:54+00:00
jviereck/regjsparser,14087781,355,16,15,2,2897,256,15,2,1967,129,8,2,2504,D,2026-05-19T11:23:53+00:00,2026-05-19T11:24:55+00:00
ka-weihe/fastest-levenshtein,158960628,134,8,8,1,8573,117,8,1,8377,13,5,1,3609,A,2026-05-19T11:24:02+00:00,2026-05-19T11:24:55+00:00
kaelzhang/node-ignore,12519245,229,18,17,1,8060,322,19,1,8374,90,7,1,7614,A,2026-05-19T11:23:55+00:00,2026-05-19T11:24:55+00:00
kemitchell/validate-npm-package-license.js,35000460,56,2,2,1,9649,55,2,1,9643,0,0,0,0,A,2026-05-19T11:23:57+00:00,2026-05-19T11:24:55+00:00
kevinbeaty/any-promise,26247715,40,4,4,1,6938,29,4,1,6005,0,0,0,0,B,2026-05-19T11:23:58+00:00,2026-05-19T11:24:55+00:00
kevva/dir-glob,49264969,32,6,6,1,5781,31,6,1,5671,0,0,0,0,B,2026-05-19T11:23:58+00:00,2026-05-19T11:24:55+00:00
kevva/shebang-command,47402913,10,1,1,1,10000,11,2,1,7025,0,0,0,0,B,2026-05-19T11:24:01+00:00,2026-05-19T11:24:55+00:00
kilian/electron-to-chromium,78972540,5054,10,9,1,9928,4982,11,1,9919,3390,3,1,9976,A,2026-05-19T11:24:02+00:00,2026-05-19T11:24:56+00:00
kjd/idna,10323585,438,32,30,1,6768,343,31,1,5287,142,19,1,4929,B,2026-05-19T11:24:03+00:00,2026-05-19T11:24:56+00:00
knurling-rs/defmt,282262730,2037,77,76,2,2077,1822,86,3,1459,1296,78,3,1869,D,2026-05-19T11:24:05+00:00,2026-05-19T11:24:56+00:00
kpdecker/jsdiff,1542219,612,72,71,1,3146,573,84,2,2642,160,15,1,7570,C,2026-05-19T11:24:06+00:00,2026-05-19T11:24:56+00:00
krb5/krb5,4307702,12146,120,120,3,1509,20278,181,4,872,398,53,1,4303,D,2026-05-19T11:24:08+00:00,2026-05-19T11:24:56+00:00
kriskowal/asap,11295071,120,12,12,1,3469,110,12,2,3304,2,2,1,5000,C,2026-05-19T11:24:08+00:00,2026-05-19T11:24:56+00:00
kriszyp/json-schema,947175,97,15,15,1,4471,78,17,1,3294,8,2,1,7812,C,2026-05-19T11:24:09+00:00,2026-05-19T11:24:56+00:00
langchain-ai/langchain,552661142,11205,469,465,6,544,15875,3581,12,293,14906,3488,13,290,D,2026-05-19T11:24:15+00:00,2026-05-19T11:24:57+00:00
laurent-laporte-pro/deprecated,111412148,297,21,21,1,4187,297,22,1,5822,136,14,1,4585,B,2026-05-19T11:24:11+00:00,2026-05-19T11:24:57+00:00
legrandin/pycryptodome,19378935,2593,131,131,1,5823,2871,161,1,4181,516,62,1,6636,C,2026-05-19T11:24:14+00:00,2026-05-19T11:24:57+00:00
libevent/libevent,1856976,4996,262,261,2,2661,4588,329,2,2201,552,106,3,1928,D,2026-05-19T11:24:15+00:00,2026-05-19T11:24:57+00:00
libexpat/libexpat,80314213,4937,102,101,1,3160,4330,124,2,2426,1139,45,1,5508,D,2026-05-19T11:24:19+00:00,2026-05-19T11:24:57+00:00
libffi/libffi,321154,1666,192,191,1,3828,1717,213,1,2921,492,85,1,5071,C,2026-05-19T11:24:17+00:00,2026-05-19T11:24:57+00:00
libidn/libidn2,87378214,1106,11,11,1,4604,1111,12,1,4441,287,6,1,8388,C,2026-05-19T11:24:18+00:00,2026-05-19T11:24:58+00:00
libjpeg-turbo/libjpeg-turbo,39760454,2963,45,45,1,9234,2538,52,2,4359,507,18,1,9190,C,2026-05-19T11:24:19+00:00,2026-05-19T11:24:58+00:00
libjxl/libjxl,340219494,3292,130,129,4,1181,3296,137,4,1108,3141,124,4,1131,D,2026-05-19T11:24:21+00:00,2026-05-19T11:24:59+00:00
libuv/libuv,14812739,4947,442,441,3,1433,5596,644,4,1096,835,195,4,998,D,2026-05-19T11:24:26+00:00,2026-05-19T11:24:59+00:00
linusu/buffer-from,66025821,19,2,2,1,9003,18,2,1,8951,2,1,1,10000,A,2026-05-19T11:24:23+00:00,2026-05-19T11:24:59+00:00
linux-audit/audit-userspace,52464964,1826,71,71,1,3803,3200,82,2,4114,1115,49,1,6315,C,2026-05-19T11:24:26+00:00,2026-05-19T11:24:59+00:00
linux-pam/linux-pam,76264690,2411,182,182,3,1460,2468,216,3,1394,718,130,3,1421,D,2026-05-19T11:24:27+00:00,2026-05-19T11:24:59+00:00
litejs/natural-compare-lite,9146732,60,4,4,1,9033,57,4,1,8984,11,2,1,8347,A,2026-05-19T11:24:28+00:00,2026-05-19T11:25:00+00:00
ljharb/call-bind,308533760,72,1,1,1,10000,72,1,1,10000,53,1,1,10000,A,2026-05-19T11:24:29+00:00,2026-05-19T11:25:00+00:00
ljharb/call-bind-apply-helpers,898190951,12,1,1,1,10000,12,1,1,10000,12,1,1,10000,A,2026-05-19T11:24:30+00:00,2026-05-19T11:25:00+00:00
ljharb/call-bound,898125972,20,1,1,1,10000,20,1,1,10000,20,1,1,10000,A,2026-05-19T11:24:31+00:00,2026-05-19T11:25:00+00:00
ljharb/concat-map,548993448,16,1,1,1,10000,33,2,1,5005,16,1,1,10000,B,2026-05-19T11:24:33+00:00,2026-05-19T11:25:01+00:00
ljharb/define-data-property,689109338,44,1,1,1,10000,44,1,1,10000,43,1,1,10000,A,2026-05-19T11:22:36+00:00,2026-05-19T11:25:01+00:00
ljharb/define-properties,28768789,134,1,1,1,10000,135,1,1,10000,30,1,1,10000,A,2026-05-19T11:22:37+00:00,2026-05-19T11:25:01+00:00
ljharb/es-abstract,28995155,1039,11,11,1,9452,1041,12,1,9397,567,7,1,9720,A,2026-05-19T11:22:38+00:00,2026-05-19T11:25:01+00:00
ljharb/es-define-property,756570458,15,1,1,1,10000,15,1,1,10000,15,1,1,10000,A,2026-05-19T11:22:38+00:00,2026-05-19T11:25:01+00:00
ljharb/es-errors,752160492,16,1,1,1,10000,16,1,1,10000,16,1,1,10000,A,2026-05-19T11:22:39+00:00,2026-05-19T11:25:02+00:00
ljharb/es-shim-unscopables,480458584,23,1,1,1,10000,23,1,1,10000,22,1,1,10000,A,2026-05-19T11:22:39+00:00,2026-05-19T11:25:02+00:00
ljharb/es-to-primitive,32377814,154,2,2,1,9871,153,2,1,9870,32,1,1,10000,A,2026-05-19T11:22:40+00:00,2026-05-19T11:25:02+00:00
ljharb/get-intrinsic,308516559,111,2,2,1,9646,111,2,1,9646,91,1,1,10000,A,2026-05-19T11:22:41+00:00,2026-05-19T11:25:02+00:00
ljharb/get-proto,911035271,8,1,1,1,10000,8,1,1,10000,7,1,1,10000,A,2026-05-19T11:22:42+00:00,2026-05-19T11:25:02+00:00
ljharb/gopd,560708130,26,1,1,1,10000,26,1,1,10000,23,1,1,10000,A,2026-05-19T11:22:43+00:00,2026-05-19T11:25:02+00:00
ljharb/internal-slot,216159146,73,1,1,1,10000,73,1,1,10000,46,1,1,10000,A,2026-05-19T11:22:44+00:00,2026-05-19T11:25:03+00:00
ljharb/object-keys,9103992,309,6,6,1,9680,345,8,1,9599,22,1,1,10000,A,2026-05-19T11:22:45+00:00,2026-05-19T11:25:03+00:00
ljharb/object.assign,17755831,354,6,5,1,9775,352,6,1,9718,65,1,1,10000,A,2026-05-19T11:22:46+00:00,2026-05-19T11:25:03+00:00
ljharb/possible-typed-array-names,760136716,16,1,1,1,10000,16,1,1,10000,15,1,1,10000,A,2026-05-19T11:22:47+00:00,2026-05-19T11:25:03+00:00
ljharb/qs,22266795,966,65,65,1,4376,941,76,1,4321,214,19,1,6656,C,2026-05-19T11:22:48+00:00,2026-05-19T11:25:04+00:00
ljharb/safe-regex-test,540138887,36,3,3,1,8441,36,3,1,8441,30,2,1,9356,A,2026-05-19T11:22:49+00:00,2026-05-19T11:25:04+00:00
ljharb/set-function-length,704249795,34,1,1,1,10000,34,1,1,10000,34,1,1,10000,A,2026-05-19T11:22:50+00:00,2026-05-19T11:25:04+00:00
ljharb/side-channel,225239081,73,4,4,1,8945,73,4,1,8945,33,2,1,8861,A,2026-05-19T11:22:51+00:00,2026-05-19T11:25:04+00:00
ljharb/side-channel-list,901451610,10,1,1,1,10000,10,1,1,10000,5,1,1,10000,A,2026-05-19T11:22:52+00:00,2026-05-19T11:25:05+00:00
ljharb/side-channel-map,901191461,9,1,1,1,10000,9,1,1,10000,9,1,1,10000,A,2026-05-19T11:22:53+00:00,2026-05-19T11:25:05+00:00
ljharb/side-channel-weakmap,901188921,12,1,1,1,10000,12,1,1,10000,12,1,1,10000,A,2026-05-19T11:22:54+00:00,2026-05-19T11:25:05+00:00
lodash/lodash,3955647,7568,219,218,1,7569,7509,260,1,7505,23,8,1,3989,B,2026-05-19T11:22:56+00:00,2026-05-19T11:25:05+00:00
loganfsmyth/gensync,132383032,19,3,3,1,5014,18,3,1,4877,0,0,0,0,C,2026-05-19T11:22:57+00:00,2026-05-19T11:25:05+00:00
lokathor/bytemuck,209673558,472,68,68,1,5039,462,70,1,4690,305,59,1,3589,C,2026-05-19T11:22:57+00:00,2026-05-19T11:25:06+00:00
lukeed/dequal,174421655,58,5,4,1,8984,58,4,1,8984,5,3,1,4400,A,2026-05-19T11:22:59+00:00,2026-05-19T11:25:06+00:00
lukeed/escalade,273568715,47,4,4,1,8778,47,4,1,8778,7,2,1,7551,A,2026-05-19T11:23:00+00:00,2026-05-19T11:25:06+00:00
lukeed/kleur,140393403,125,16,16,1,7478,123,16,1,7441,6,4,1,3333,B,2026-05-19T11:23:01+00:00,2026-05-19T11:25:07+00:00
lxml/lxml,1353927,3648,169,168,1,7478,6569,177,2,4284,1101,60,1,7999,C,2026-05-19T11:23:03+00:00,2026-05-19T11:25:07+00:00
lydell/js-tokens,17552490,166,5,4,1,9455,163,4,1,9444,68,3,1,8856,A,2026-05-19T11:23:04+00:00,2026-05-19T11:25:07+00:00
lz4/lz4,18106269,3604,176,175,1,5132,2865,199,1,3483,829,83,1,4144,C,2026-05-19T11:23:05+00:00,2026-05-19T11:25:07+00:00
madler/zlib,2359378,798,78,78,1,7077,1030,89,1,5033,456,57,2,3309,B,2026-05-19T11:23:06+00:00,2026-05-19T11:25:07+00:00
mafintosh/end-of-stream,14732255,50,9,9,1,5344,48,9,1,5191,2,2,1,5000,B,2026-05-19T11:23:07+00:00,2026-05-19T11:25:08+00:00
mafintosh/pump,12118126,75,7,7,1,8005,74,7,1,7980,7,2,1,7551,B,2026-05-19T11:23:09+00:00,2026-05-19T11:25:08+00:00
mafintosh/tar-stream,15340089,243,42,42,1,5633,224,44,1,5256,21,6,1,5283,B,2026-05-19T11:23:10+00:00,2026-05-19T11:25:08+00:00
marshallpierce/rust-base64,47371310,502,47,47,1,5070,385,52,1,4219,146,25,1,4329,C,2026-05-19T11:23:11+00:00,2026-05-19T11:25:08+00:00
mathiasbynens/cssesc,12001360,26,4,4,1,7249,28,5,1,6301,0,0,0,0,B,2026-05-19T11:23:13+00:00,2026-05-19T11:25:08+00:00
mathiasbynens/emoji-regex,24557614,117,16,16,1,7320,119,18,1,7078,39,7,1,7199,B,2026-05-19T11:23:14+00:00,2026-05-19T11:25:09+00:00
mathiasbynens/jsesc,10498729,133,9,9,1,8562,133,9,1,8562,4,2,1,6250,A,2026-05-19T11:23:15+00:00,2026-05-19T11:25:09+00:00
mathiasbynens/punycode.js,2755924,150,19,19,1,7295,146,19,1,7227,23,10,1,3422,B,2026-05-19T11:23:17+00:00,2026-05-19T11:25:09+00:00
mathiasbynens/regenerate,10182772,124,6,6,1,8762,123,6,1,8752,0,0,0,0,A,2026-05-19T11:23:18+00:00,2026-05-19T11:25:09+00:00
mathiasbynens/regexpu-core,49437324,180,7,7,1,4593,180,7,1,4593,71,4,2,3243,C,2026-05-19T11:23:19+00:00,2026-05-19T11:17:29+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,16,1,1,1,10000,16,1,1,10000,4,1,1,10000,A,2026-05-19T11:23:21+00:00,2026-05-19T11:25:10+00:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,25,3,3,1,8496,25,3,1,8496,8,2,1,7812,A,2026-05-19T11:23:22+00:00,2026-05-19T11:25:10+00:00
matklad/once_cell,143220272,521,57,56,1,3240,362,58,1,2827,170,36,4,1152,C,2026-05-19T11:23:24+00:00,2026-05-19T11:25:10+00:00
matplotlib/matplotlib,1385122,51222,427,425,5,623,,,,,,,,,,2026-05-19T11:23:27+00:00,
mcollina/fastq,37368217,122,28,26,1,5526,116,28,1,5159,46,16,1,4040,B,2026-05-19T11:23:27+00:00,2026-05-19T11:25:10+00:00
mcollina/reusify,42106515,33,7,6,1,5255,31,7,1,3793,7,2,1,6800,C,2026-05-19T11:23:28+00:00,2026-05-19T11:25:10+00:00
mdn/data,70901646,1270,109,107,5,849,1049,115,7,636,527,61,3,1728,D,2026-05-19T11:23:30+00:00,2026-05-19T11:25:11+00:00
medikoo/d,10817569,87,2,2,1,9773,86,2,1,9770,22,1,1,10000,A,2026-05-19T11:23:31+00:00,2026-05-19T11:25:11+00:00
medikoo/es5-ext,1792941,1673,10,10,1,9845,1657,11,1,9832,62,4,1,8767,A,2026-05-19T11:23:32+00:00,2026-05-19T11:25:11+00:00
medikoo/es6-symbol,14423385,112,5,5,1,9302,109,6,1,8936,16,1,1,10000,A,2026-05-19T11:23:35+00:00,2026-05-19T11:25:12+00:00
medikoo/type,177198492,204,2,2,1,9522,204,2,1,9522,57,2,1,8400,A,2026-05-19T11:23:35+00:00,2026-05-19T11:25:12+00:00
mhammond/pywin32,108187130,4838,102,102,1,5620,4954,112,1,5305,536,61,2,2994,B,2026-05-19T11:23:36+00:00,2026-05-19T11:25:12+00:00
micheles/decorator,14656555,383,27,27,1,7668,380,31,1,6326,85,12,1,4857,B,2026-05-19T11:23:37+00:00,2026-05-19T11:25:13+00:00
micromark/micromark,157420458,655,20,20,1,8935,656,21,1,8908,316,18,1,8319,A,2026-05-19T11:23:37+00:00,2026-05-19T11:25:13+00:00
micromatch/anymatch,11458302,176,12,12,1,4629,157,14,1,4616,4,3,1,3750,C,2026-05-19T11:23:39+00:00,2026-05-19T11:25:13+00:00
micromatch/braces,25475303,251,14,14,1,7244,235,13,1,7636,18,7,2,2222,B,2026-05-19T11:23:40+00:00,2026-05-19T11:25:14+00:00
micromatch/is-extglob,31788841,19,2,2,1,7341,19,2,1,7341,0,0,0,0,B,2026-05-19T11:23:41+00:00,2026-05-19T11:25:14+00:00
micromatch/is-glob,28179425,65,5,5,1,6530,64,7,1,5986,7,3,2,3469,B,2026-05-19T11:23:41+00:00,2026-05-19T11:25:14+00:00
micromatch/micromatch,27359938,602,30,30,1,7391,554,31,1,7395,30,7,2,2044,B,2026-05-19T11:23:42+00:00,2026-05-19T11:25:14+00:00
micromatch/picomatch,156211895,276,27,26,1,3553,220,28,1,3019,41,13,2,1957,C,2026-05-19T11:23:43+00:00,2026-05-19T11:25:15+00:00
micromatch/to-regex-range,40355891,79,5,5,1,7888,77,4,1,8067,3,1,1,10000,A,2026-05-19T11:23:45+00:00,2026-05-19T11:25:15+00:00
microsoft/tslib,34414315,293,37,35,3,1555,239,37,3,1390,81,17,2,2220,D,2026-05-19T11:23:45+00:00,2026-05-19T11:25:15+00:00
microsoft/typescript,20929025,31005,343,341,6,580,28958,877,8,439,5061,329,5,691,D,2026-05-19T11:23:49+00:00,2026-05-19T11:25:16+00:00
microsoft/windows-rs,208102250,2142,85,83,1,6153,2142,87,1,6152,1519,72,1,6703,B,2026-05-19T11:23:47+00:00,2026-05-19T11:25:16+00:00
minimistjs/minimist,549230701,95,17,17,1,3959,165,22,2,2196,81,7,1,4775,D,2026-05-19T11:23:47+00:00,2026-05-19T11:25:16+00:00
