repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
alibaba/havenask,552676144,10,2536,2,0,C,
alibaba/loongcollector,425785077,98,755,5,0,D,
alibaba/mnn,181436799,57,1494,3,0,D,
alibaba/photonlibos,500338009,31,2442,2,0,D,
alibaba/tengine,3784017,26,1879,2,0,D,
alibaba/tsar,7642569,2,5000,1,0,B,
alibaba/weex,53658802,6,2101,2,0,D,
alibaba/xquic,424947551,41,949,4,0,D,
alibaba/yalantinglibs,555646356,48,3551,2,0,C,
alibaba/zvec,1110443421,3,4286,1,0,C,
alibabaresearch/advancedliteratemachinery,542606488,3,3333,2,0,C,
alicevision/alicevision,28635894,49,1778,2,0,D,
alievk/avatarify-desktop,274153624,4,3061,2,0,C,
alinshans/mytinystl,64987779,9,1429,3,0,D,
alivetoolkit/alive2,136746484,32,7311,1,0,B,
allenk/geminiwatermarktool,1115438773,1,10000,1,0,A,
alliedmodders/sourcemod,20145274,66,880,5,0,D,
allinurl/goaccess,11397939,49,6126,1,0,B,
almamu/linux-wallpaperengine,146309233,18,6923,1,0,B,
alpha-liu-01/speedynote,933052538,6,7728,1,0,B,
altdesktop/playerctl,18788804,6,2000,2,0,D,
altramayor/f3,2984156,17,1205,3,0,D,
altramayor/gatekeeper,62745741,4,5581,1,0,B,
am0nsec/hellsgate,268861709,1,10000,1,0,A,
amadvance/snapraid,17883395,13,8708,1,0,A,
amanieu/asyncplusplus,8636694,4,2500,2,0,C,
ambrosiogabe/mathanimation,388966721,4,9244,1,0,A,
amerkoleci/vortice.windows,174409402,22,6076,1,0,B,
amhndu/simplenes,60143954,9,4240,1,0,C,
ammarahm-ed/react-native-mmkv-storage,246337002,42,6494,1,0,B,
ammen99/wf-recorder,152992105,33,837,5,0,D,
amnezia-vpn/amnezia-client,315035371,74,1776,2,0,D,
amov-lab/prometheus,225547305,16,1649,3,0,D,
amule-project/amule,43198405,18,2545,2,0,C,
amzeratul/halley,43295328,7,7815,1,0,B,
anael-seghezzi/ctoy,66404853,1,10000,1,0,A,
analogdevicesinc/no-os,7014478,81,823,4,0,D,
andersbakken/rtags,2070482,8,8443,1,0,A,
andmarti1424/sc-im,25980738,28,7144,1,0,B,
andreaorru/laines,14239434,1,10000,1,0,A,
andreas-mausch/whatsapp-viewer,18067526,1,10000,1,282956,A,B
andreasfertig/cppinsights,131510015,10,8598,1,0,A,
andrei-markeev/ts2c,64089592,1,10000,1,0,A,
andrewrk/libsoundio,38333501,2,5556,1,0,B,
andrivet/advobfuscator,21256865,2,8893,1,0,A,
android/ndk-samples,35718695,24,3874,1,0,C,
ands/lightmapper,58688426,1,10000,1,0,A,
angband/angband,1033705,39,5437,1,0,B,
ange-yaghi/engine-sim,439491516,6,7633,1,0,B,
angelmonica126/graphicalgorithm,271798397,1,10000,1,0,A,
anhkgg/superdllhijack,159637135,1,10000,1,0,A,
anhkgg/superrdp,328447750,1,10000,1,0,A,
ankitdhall/lidar_camera_calibration,90164146,1,10000,1,0,A,
ansem-sod/picofly,616848567,2,9565,1,0,A,
answer-huang/dsymtools,21232952,1,10000,1,0,A,
answerdotai/gpu.cpp,808280286,13,4676,1,0,C,
ansyun/dpdk-ans,23260311,1,10000,1,0,A,
anthwlock/untrunc,136157537,7,8532,1,0,A,
antimicrox/antimicrox,290138319,72,4560,1,0,C,
antimof/uxplay,255923578,10,9837,1,0,A,
antirez/dump1090,7455329,1,10000,1,0,A,
antirez/linenoise,571929,4,5644,1,0,B,
antirez/sds,16582463,2,5000,1,0,B,
antirez/smallchat,711090094,7,6132,1,0,B,
antoniococo/remotepotato0,337221642,1,10000,1,0,A,
antsx/ants,7777650,19,5165,1,0,B,
anttwo/sugar,723915956,1,10000,1,0,A,
any1/wayvnc,213255828,22,4699,1,0,C,
anybotics/grid_map,23927994,15,1393,3,0,D,
anyrtcio-community/anyrtc-rtmp-opensource,66623001,5,3926,1,0,C,
aomediacodec/libavif,191218735,63,2139,2,0,D,
aorimn/dislocker,7098048,19,665,6,0,D,
apache/age,276293034,87,1214,4,0,D,
apache/arrow,51905353,85,519,8,0,D,
apache/brpc,102343794,80,772,6,0,D,
apache/cloudberry,644742603,97,321,12,0,D,
apache/guacamole-server,54452627,33,2808,2,0,C,
apache/httpd,205423,13,1871,2,0,D,
apache/impala,56128733,53,609,6,0,D,
apache/incubator-pegasus,41712332,39,1548,3,0,D,
apache/kudu,50647838,25,2651,2,0,C,
apache/kvrocks,202483348,98,1356,3,0,D,
apache/mesos,11469439,7,3307,1,0,C,
apache/nuttx,228103273,91,343,13,0,D,
apache/openoffice,14357669,19,5770,1,0,B,
apache/singa,33294317,35,982,4,0,D,
apache/thrift,310611,46,1743,2,0,D,
apache/trafficserver,356066,53,689,6,860318,D,B
aphrodite-engine/aphrodite-engine,657414607,75,7829,1,0,B,
apitrace/apitrace,1611530,37,3814,1,0,C,
apolloauto/apollo,96246170,33,745,6,0,D,
apoorvnandan/tensor.h,870718877,1,10000,1,0,A,
appimage/appimagekit,9435153,7,3537,1,0,C,
apple-oss-distributions/xnu,413590840,1,10000,1,0,A,
apple/foundationdb,114187903,78,442,8,0,D,
applenob/cpp_primer_practice,103626963,19,617,7,0,D,
appleseedhq/appleseed,753784,8,1600,3,0,D,
appneta/tcpreplay,14542959,23,5815,1,0,B,
appspa/app-space,280132722,2,9201,1,0,A,
apress/ray-tracing-gems,175272971,1,10000,1,0,A,
aprilrobotics/apriltag,149340903,44,2814,1,0,C,
apsaradb/polardb-for-postgresql,370529505,52,1073,4,0,D,
arangodb/arangodb,2649214,47,1163,4,0,D,
aras-p/clangbuildanalyzer,202865539,11,3608,1,0,C,
aras-p/toypathtracer,126492058,1,10000,1,0,A,
aravisproject/aravis,64920647,43,7107,1,0,B,
ardera/flutter-pi,190380053,18,8987,1,0,A,
ardour/ardour,8757552,51,3591,2,0,C,
arduino/arduinocore-avr,103147930,12,2407,2,0,D,
ardupilot/ardupilot,7512484,68,1516,3,0,D,
arendst/tasmota,80286288,43,3181,2,0,C,
ares-emulator/ares,381546263,77,1399,3,0,D,
argotorg/solidity,40892817,46,1314,3,0,D,
aria2/aria2,1116542,15,5811,1,0,B,
arinerron/cve-2022-0847-dirtypipe-exploit,467221382,1,10000,1,0,A,
aristocratos/btop,365005377,93,2432,2,0,D,
aristocratos/btop4win,474499182,4,9258,1,0,A,
arkdb/inception,41525316,1,10000,1,0,A,
arkhipenko/taskscheduler,41944420,2,9850,1,0,A,
arkhipov/temporal_tables,8259812,4,6533,1,0,B,
arkime/arkime,4927517,47,5328,1,0,B,
arkingc/note,122694826,1,10000,1,0,A,
arm-software/arm-trusted-firmware,13740589,76,445,8,0,D,
