repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
dtolnay/ryu,142720484,5.5,0,True,2026-04-27
dtolnay/semver,22432442,5.4,0,False,2026-04-27
dtolnay/syn,67305738,5.8,0,False,2026-04-27
dtolnay/target-triple,734167706,4.2,0,False,2026-04-27
dtolnay/thiserror,213836768,5.0,0,False,2026-04-27
dtolnay/trybuild,184941159,5.6,0,False,2026-04-27
dtolnay/unicode-ident,492639579,5.3,0,False,2026-04-27
eemeli/yaml,119439276,7.8,1,False,2026-04-27
ehmicky/human-signals,214467546,3.1,0,False,2026-04-27
eliben/pycparser,10589864,5.8,0,True,2026-04-27
emotion-js/emotion,92570536,5.2,0,False,2026-04-27
encode/httpcore,237210639,5.4,0,True,2026-04-27
encode/httpx,179492861,6.3,1,True,2026-04-27
epoberezkin/ajv-keywords,60477053,4.7,0,False,2026-04-27
epoberezkin/fast-deep-equal,94483360,3.1,0,False,2026-04-27
epoberezkin/fast-json-stable-stringify,108103016,2.9,0,False,2026-04-27
epoberezkin/json-schema-traverse,93333933,3.4,0,False,2026-04-27
es-shims/array-includes,28753032,4.0,0,False,2026-04-27
es-shims/dunder-proto,898274312,3.9,0,False,2026-04-27
es-shims/es-set-tostringtag,580683868,3.9,0,False,2026-04-27
es-shims/math-intrinsics,902014040,3.9,0,False,2026-04-27
es-shims/object.values,41723335,4.0,0,False,2026-04-27
es-shims/regexp.prototype.flags,26932422,4.0,0,False,2026-04-27
es-shims/string.prototype.trimend,114682758,4.0,0,False,2026-04-27
es-shims/string.prototype.trimstart,114682105,,0,False,
eslint-community/eslint-utils,568240379,,0,False,
eslint/doctrine,4286644,4.5,0,False,2026-04-27
eslint/eslint,11061773,7.2,0,False,2026-04-27
eslint/js,27620277,6.7,0,False,2026-04-27
eslint/rewrite,791446923,6.7,2,False,2026-04-27
estools/escodegen,3611422,2.9,0,False,2026-04-28
estools/esquery,11412938,3.9,0,False,2026-04-27
estools/esrecurse,27429822,3.0,0,False,2026-04-27
estools/estraverse,6145439,3.4,0,False,2026-04-27
estools/esutils,14677293,3.1,0,False,2026-04-27
ethers-io/ethers.js,63465664,3.7,0,False,2026-04-27
evanw/esbuild,61137153,3.8,1,False,2026-04-27
evanw/node-source-map-support,7682781,3.0,0,False,2026-04-27
eventualbuddha/lines-and-columns,47284288,2.6,0,False,2026-04-27
executablebooks/markdown-it-py,249956697,6.2,2,True,2026-04-27
executablebooks/mdurl,387293763,3.5,0,True,2026-04-27
exodusoss/bytes,885154008,5.8,0,False,2026-04-27
expressjs/body-parser,15669006,8.2,2,False,2026-04-27
expressjs/serve-static,17464338,7.3,1,False,2026-04-27
facebook/create-react-app,63537249,4.1,1,False,2026-04-27
facebook/metro,76504246,5.8,0,False,2026-04-27
facebook/prop-types,87597642,4.8,0,False,2026-04-27
facebook/react,10270250,6.5,1,False,2026-04-06
facebook/regenerator,13346571,4.0,0,False,2026-04-27
facebook/watchman,6930489,5.4,0,False,2026-04-27
facebook/zstd,29759715,8.3,,True,2026-04-06
facelessuser/soupsieve,160789418,5.1,0,True,2026-04-27
fastify/fast-uri,419317518,7.2,0,False,2026-04-27
faye/websocket-driver-node,9733816,3.2,0,False,2026-04-27
fb55/boolbase,16864585,5.9,0,False,2026-04-27
fb55/css-select,3411063,6.3,0,False,2026-04-27
fb55/css-what,4460687,6.5,2,False,2026-04-27
fb55/domelementtype,6627835,6.1,0,False,2026-04-27
fb55/domhandler,5414232,6.4,0,False,2026-04-27
fb55/domutils,6627949,5.8,0,False,2026-04-27
fb55/entities,3172629,6.0,0,False,2026-04-27
fb55/htmlparser2,2279062,6.4,0,False,2026-04-27
fb55/nth-check,16864923,6.4,1,False,2026-04-27
felixge/node-combined-stream,1787452,2.9,0,False,2026-04-27
felixge/node-delayed-stream,1783893,2.9,0,False,2026-04-27
feross/buffer,14494363,3.9,0,False,2026-04-27
feross/ieee754,15489525,3.7,0,False,2026-04-27
feross/is-buffer,25997846,3.5,0,False,2026-04-27
feross/queue-microtask,207021895,3.8,0,False,2026-04-27
feross/run-parallel,18700638,3.7,0,False,2026-04-27
feross/safe-buffer,49538897,3.6,0,False,2026-04-27
ffmpeg/ffmpeg,1614410,5.1,,True,2026-04-06
firebase/firebase-js-sdk,89290483,6.5,2,False,2026-04-27
fitzgen/glob-to-regexp,11461122,2.9,0,False,2026-04-27
floatdrop/require-from-string,39301848,2.9,0,False,2026-04-27
floating-ui/floating-ui,54994103,5.1,0,False,2026-04-27
follow-redirects/follow-redirects,6697086,4.9,4,False,2026-04-27
fontconfig/fontconfig,926884194,4.0,,False,2026-04-27
form-data/form-data,1755793,4.8,1,False,2026-04-27
formatjs/formatjs,19117456,4.6,0,False,2026-04-27
frenic/csstype,104001328,3.5,0,False,2026-04-27
frommi/miniz_oxide,96124162,4.6,0,True,2026-04-27
fsevents/fsevents,1402936,3.3,2,False,2026-04-27
fsspec/filesystem_spec,130727736,5.4,0,True,2026-04-27
fsspec/s3fs,53987953,4.5,0,False,2026-04-27
garycourt/uri-js,989080,2.7,0,False,2026-04-27
gcc-mirror/gcc,22711503,3.4,,False,2026-04-27
getsentry/sentry-javascript,3328572,6.0,3,False,2026-04-27
giampaolo/psutil,20101515,5.4,0,True,2026-04-27
git/git,36502,5.3,,True,2026-04-06
gitlab-freedesktop-mirrors/libxcb,444023705,2.9,,False,2026-04-27
gitoxidelabs/gitoxide,136510559,7.3,11,True,2026-04-27
gitpython-developers/gitdb,1126093,6.7,0,True,2026-04-27
gitpython-developers/smmap,1865144,6.1,0,False,2026-04-27
gkz/levn,13287279,2.9,0,False,2026-04-27
gkz/optionator,13435927,3.9,0,False,2026-04-27
gkz/prelude-ls,4457759,3.0,0,False,2026-04-27
gkz/type-check,13182168,2.9,0,False,2026-04-27
gmp-mirror/gmp,681340775,3.0,,False,2026-04-27
gnome/gdk-pixbuf,4533539,4.1,,False,2026-04-28
gnome/glib,4537082,,,False,
gnome/libxml2,4537118,4.2,,False,2026-04-27
gnome/pango,4537144,3.8,,False,2026-04-27
gnutls/gnutls,58873704,5.3,,False,2026-04-27
gnutls/libtasn1,59017205,3.6,,False,2026-04-27
gnutls/nettle,59017402,4.0,,False,2026-04-27
google/brotli,24993138,7.7,2,True,2026-04-27
google/zerocopy,534354967,6.4,1,False,2026-04-27
googleapis/google-auth-library-python,69199387,7.1,0,True,2026-04-27
googleapis/google-cloud-node-core,1052931509,4.9,0,False,2026-04-27
googleapis/google-resumable-media-python,88091939,6.3,0,True,2026-04-27
googleapis/python-api-core,226992456,6.1,0,True,2026-04-27
googleapis/python-crc32c,159736041,6.5,0,True,2026-04-27
googleapis/python-storage,226992639,6.1,0,True,2026-04-27
googlechrome/workbox,55424670,5.0,0,False,2026-04-27
gozala/events,1649251,3.9,0,False,2026-04-27
gpg/libgpg-error,42075984,4.1,,False,2026-04-27
grahamdumpleton/wrapt,10357291,4.1,0,False,2026-04-27
graydon/exhaustigen-rs,432630522,2.2,0,False,2026-04-27
gregberge/svgr,102155012,4.6,0,False,2026-04-27
grncdr/merge-stream,10579821,3.1,0,False,2026-04-27
grpc/grpc,27729880,,5,True,
gsnedders/python-webencodings,7043404,,0,False,
guillaumegomez/doc-comment,127254922,3.0,0,False,2026-04-27
gulpjs/glob-parent,29154915,3.9,2,False,2026-04-27
gweis/isodate,6449370,3.8,0,True,2026-04-27
gyscos/zstd-rs,52115335,5.4,0,True,2026-04-27
hapijs/hoek,5831189,3.8,1,False,2026-04-27
harfbuzz/harfbuzz,5050525,7.7,,True,2026-04-27
hiddentao/fast-levenshtein,9490451,3.1,0,False,2026-04-27
httplib2/httplib2,53002916,5.7,2,True,2026-04-27
hukkin/tomli,370616797,4.8,0,False,2026-04-27
hyperium/http,84983058,5.8,2,False,2026-04-27
hyperium/http-body,183281612,4.3,0,False,2026-04-27
