repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
mathiasbynens/jsesc,10498729,133,9,9,8562,1,2026-04-27T23:50:36+00:00,1403,1339,37,2.76,19,0.54,3,2024,157,5809,3.4734,34.98,3,openssf_local,0,False,0,0,0,,2026-04-27T17:20:00+01:00,6,B,False,,False,,2026-04-28T00:16:02+00:00,794,53,13,2026-04-27T13:18:26Z,12.6,9,0,True,1,2024-12-11T08:25:58Z,7,1,0.143,6,0.3,0.0,-0.2143,155.8889,0.0,0.6667,56.72,39.03,82.25,56.68,B,2026-04-27T13:18:26Z
mathiasbynens/punycode.js,2755924,150,19,19,7295,1,2026-04-27T23:50:40+00:00,831,582,58,9.97,106,2.86,41,2023,69,4002,3.2674,33.60,3.6,openssf_local,0,False,0,0,0,,2026-04-27T14:56:17+01:00,6,B,False,,False,,2026-04-28T00:16:02+00:00,1678,169,31,2026-04-27T13:18:26Z,14.1,19,0,True,2,2024-04-18T16:14:56Z,17,8,0.471,9,0.0,-0.2,-0.0588,43.7368,0.0,0.4737,23.35,39.03,74.24,40.75,C,2026-04-27T13:18:26Z
mathiasbynens/regenerate,10182772,124,6,6,8762,1,2026-04-27T23:50:44+00:00,2122,1794,289,16.11,305,4.55,61,HEAD,0,0,0.0000,7.28,3,openssf_local,0,False,1,0,1,,2026-04-27T17:20:01+01:00,6,B,False,,False,,2026-04-28T00:16:03+00:00,376,39,17,2026-04-27T13:18:26Z,12.6,6,0,True,0,2021-12-29T22:19:35Z,4,2,0.5,2,0.1,-0.3,,353.6667,0.0,0.3333,74.64,39.03,66.18,57.77,B,2026-04-27T13:18:26Z
mathiasbynens/regexpu-core,49437324,180,7,7,4593,1,2026-04-27T23:50:46+00:00,8905,8442,338,4.00,408,3.29,58,2025,11336,3831568,10.2587,65.14,3.6,openssf_local,0,False,0,0,0,,2026-04-27T21:39:08+01:00,6,B,False,,False,,2026-04-28T00:16:03+00:00,80,12,7,2026-04-27T13:18:26Z,10.0,7,0,True,5,2025-09-22T15:20:14Z,17,23,1.353,-6,-0.7,0.0,0.2059,1272.1429,0.0,-0.8571,89.98,39.03,1.4,17.0,D,2026-04-27T13:18:26Z
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,16,1,1,10000,1,2026-04-27T23:50:48+00:00,85,80,0,0,0,0,0,2024,0,0,0.0000,7.28,3.3,openssf_local,0,False,0,0,0,,2026-04-27T17:20:07+01:00,6,B,False,,False,,2026-04-28T00:16:03+00:00,13,4,1,2026-04-27T13:18:26Z,8.7,1,0,True,2,2024-09-12T08:20:26Z,0,0,,0,,,,85.0,0.0,0.0,40.93,39.03,27.49,35.28,C,2026-04-27T13:18:26Z
mathiasbynens/unicode-property-aliases-ecmascript,88333533,25,3,3,8496,1,2026-04-27T23:50:49+00:00,126,121,5,4.13,6,3,6,2025,14,70,0.9152,17.55,3.2,openssf_local,0,False,0,0,0,,2026-04-27T17:20:08+01:00,6,B,False,,False,,2026-04-28T00:16:04+00:00,6,4,1,2026-04-27T13:18:26Z,8.7,3,0,True,3,2025-09-15T07:32:33Z,0,0,,0,,,,42.0,0.0,0.0,22.23,39.03,27.49,28.78,D,2026-04-27T13:18:26Z
matklad/once_cell,143220272,523,59,56,1802,4,2026-04-27T23:50:52+00:00,4072,2384,187,7.84,295,1.27,78,2025,6105,1141635,8.6094,58.60,4.9,openssf_local,1,False,0,0,0,,2026-04-27T21:39:18+01:00,0,A,False,,False,,2026-04-28T00:16:04+00:00,2080,123,19,2026-04-27T13:18:26Z,7.4,56,5,True,5,2026-03-12T10:59:54Z,64,70,1.094,-6,-1.8,-1.8,0.0,72.7143,0.0179,-0.1071,36.34,86.11,12.49,33.93,C,2026-04-27T13:18:26Z
matplotlib/matplotlib,1385122,54363,1911,425,547,6,2026-04-27T23:50:56+00:00,372848,272701,20647,7.57,30211,1.65,163,2025,548041,11315402527,24.7623,96.33,8.5,openssf_local,0,True,32,6,30,,2026-04-27T21:39:19+01:00,81,C,True,"github,custom",False,numfocus,2026-04-28T00:16:05+00:00,22739,8324,577,2026-04-27T13:18:26Z,14.9,425,10,True,5,2026-04-25T05:28:32Z,3846,4048,1.053,-202,-127.9,-85.0,0.0558,877.2894,0.0,-0.4753,86.73,39.03,3.53,22.86,D,2026-04-27T13:18:26Z
mcollina/fastq,37368217,124,30,26,4508,1,2026-04-27T23:50:58+00:00,1605,1234,56,4.54,64,0.28,13,2025,893,50008,5.1822,43.58,4.7,openssf_local,0,False,4,4,4,,2026-04-27T17:20:13+01:00,15,C,False,,False,,2026-04-28T00:16:06+00:00,1128,60,10,2026-04-27T13:18:26Z,10.6,26,0,True,5,2025-12-23T07:59:02Z,27,17,0.63,10,-1.3,-0.9,0.0741,61.7308,0.0,0.3846,32.31,39.03,69.6,44.44,C,2026-04-27T13:18:26Z
mcollina/reusify,42106515,36,8,6,3897,1,2026-04-27T23:51:01+00:00,194,142,9,6.34,7,0.54,2,2025,28,252,1.4624,20.64,4.8,openssf_local,0,False,0,0,0,,2026-04-27T21:39:25+01:00,15,C,False,,False,,2026-04-28T00:16:06+00:00,184,21,2,2026-04-27T13:18:26Z,10.3,6,0,True,3,2026-02-09T16:12:27Z,3,2,0.667,1,0.5,0.4,,32.3333,0.0,0.1667,16.35,39.03,51.9,32.11,C,2026-04-27T13:18:26Z
mdn/data,70901646,1382,122,107,639,7,2026-04-27T23:51:04+00:00,123,98,10,10.20,,,,2025,3,30,0.6270,15.83,7.8,openssf_local,0,False,0,0,0,,2026-04-27T17:20:16+01:00,0,A,False,,False,,2026-05-17T23:35:56+00:00,776,212,19,2026-04-27T13:18:26Z,9.2,107,10,True,5,2026-04-27T05:48:06Z,43,43,1.0,0,-1.3,0.1,0.1628,1.1495,0.0,0.0,0.39,39.03,27.49,7.49,D,2026-04-27T13:18:26Z
medikoo/d,10817569,87,2,2,9773,1,2026-04-27T23:51:06+00:00,549,502,43,8.57,49,0.91,11,2024,22,946,2.2379,27.75,3.2,openssf_local,0,False,0,0,0,,2026-04-27T17:20:17+01:00,3,B,True,"github,tidelift",False,,2026-04-28T00:16:07+00:00,44,24,2,2026-04-27T13:18:26Z,12.5,2,0,True,2,2024-03-01T13:07:48Z,4,3,0.75,1,-0.4,-0.2,,274.5,0.0,0.5,68.81,39.03,76.15,58.92,A,2026-04-27T13:18:26Z
medikoo/es5-ext,1792941,1676,11,10,9810,1,2026-04-27T23:51:08+00:00,16897,15128,764,5.05,882,0.8,74,2024,467,356788,7.7001,56.31,3.8,openssf_local,1,False,1,0,1,,2026-04-27T15:52:38+01:00,3,B,True,"github,tidelift",False,,2026-04-28T00:16:07+00:00,179,102,6,2026-04-27T13:18:26Z,14.6,10,0,True,3,2025-05-09T10:21:10Z,26,20,0.769,6,-1.4,-0.9,0.0962,1689.7,0.1,0.6,92.78,96.58,80.07,89.52,A,2026-04-27T13:18:26Z
medikoo/es6-symbol,14423385,114,6,5,8978,1,2026-04-27T23:51:10+00:00,350,282,50,17.73,54,1.93,22,2024,28,1400,2.4971,29.93,3.9,openssf_local,0,False,0,0,0,,2026-04-27T17:20:19+01:00,3,B,True,"github,tidelift",False,,2026-04-28T00:16:07+00:00,178,17,5,2026-04-27T13:18:26Z,12.1,5,0,True,2,2024-03-01T13:27:04Z,2,2,1.0,0,-0.2,-0.1,,70.0,0.0,0.0,35.11,39.03,27.49,33.52,C,2026-04-27T13:18:26Z
medikoo/type,177198492,204,2,2,9522,1,2026-04-27T23:51:13+00:00,3289,2864,288,10.06,508,0.81,43,2024,924,266112,7.2994,54.36,3.8,openssf_local,0,False,0,0,0,,2026-04-27T16:07:15+01:00,3,B,True,github,False,,2026-04-28T00:16:08+00:00,37,4,2,2026-04-27T13:18:26Z,6.8,2,0,True,3,2024-05-30T19:11:21Z,6,1,0.167,5,-0.6,-0.2,0.3333,1644.5,0.0,2.5,92.55,39.03,97.37,70.59,A,2026-04-27T13:18:26Z
mhammond/pywin32,108187130,4961,115,102,5341,1,2026-04-27T23:51:15+00:00,446754,349705,65438,18.71,70941,4.32,1080,2025,347797,22759140086,26.6861,97.82,5,openssf_local,1,False,73,3,73,,2026-05-03T23:28:16+01:00,0,A,False,,False,,2026-04-28T00:16:08+00:00,5551,851,143,2026-04-27T13:18:26Z,8.2,102,10,True,5,2026-04-27T00:53:45Z,460,531,1.154,-71,-15.7,6.7,0.2435,4379.9412,0.0098,-0.6961,96.92,83.15,2.07,25.56,D,2026-04-27T13:18:26Z
micheles/decorator,14656555,418,32,27,6323,1,2026-04-27T23:51:17+00:00,3306,2641,115,4.35,206,1.16,41,2025,6351,730365,7.8509,57.00,4.2,openssf_local,0,True,1,0,1,,2026-04-27T21:39:39+01:00,0,A,False,,False,,2026-04-28T00:16:08+00:00,906,115,25,2026-04-27T18:55:43Z,12.1,27,0,True,5,2025-12-12T16:57:16Z,56,46,0.821,10,-5.8,-5.0,0.0714,122.4444,0.0,0.3704,49.44,39.03,68.48,50.93,B,2026-04-27T18:55:43Z
micromark/micromark,157420458,656,21,20,8908,1,2026-04-27T23:47:53+00:00,23301,15433,715,4.63,1138,0.64,62,2025,112466,80413190,14.4202,79.70,4,openssf_local,0,False,0,0,0,,2026-04-27T14:56:23+01:00,0,A,False,,False,,2026-04-28T00:16:09+00:00,2169,77,12,2026-04-27T13:18:26Z,7.1,20,0,True,5,2025-05-10T18:46:45Z,47,44,0.936,3,-1.3,-1.0,0.0319,1165.05,0.0,0.15,89.31,39.03,50.22,55.94,B,2026-04-27T13:18:26Z
micromatch/anymatch,11458302,178,14,12,4525,1,2026-04-27T23:47:54+00:00,355,292,23,7.88,37,0.62,19,2022,6,138,1.1664,19.72,3.7,openssf_local,0,False,0,0,0,,2026-04-27T16:09:58+01:00,0,A,False,,False,,2026-04-28T00:16:09+00:00,401,43,11,2026-04-27T13:18:26Z,12.5,12,0,True,2,2023-05-18T16:52:59Z,5,2,0.4,3,-0.8,-0.2,0.6,29.5833,0.0,0.25,15.29,39.03,59.69,32.9,C,2026-04-27T13:18:26Z
micromatch/braces,25475303,251,14,14,7244,1,2026-04-27T23:47:55+00:00,3277,2529,171,6.76,234,0.94,81,2025,1387,237177,7.0249,53.10,3.9,openssf_local,2,False,1,1,1,,2026-04-27T15:08:10+01:00,0,A,False,,False,,2026-04-28T00:16:10+00:00,246,79,8,2026-04-27T13:18:26Z,11.2,14,0,True,2,2025-01-19T20:06:12Z,16,13,0.812,3,1.1,1.5,0.125,234.0714,0.1429,0.2143,65.68,97.54,56.89,71.43,A,2026-04-27T13:18:26Z
micromatch/is-extglob,31788841,19,2,2,7341,1,2026-05-17T23:35:35+00:00,144,122,4,3.28,5,0.83,5,HEAD,0,0,0.0000,7.28,4.2,openssf_local,0,False,0,0,0,,2026-05-18T00:38:15+01:00,20,C,True,"github,tidelift",False,,2026-05-17T23:35:56+00:00,23,5,2,2026-04-27T13:03:06Z,10.8,2,,True,0,2019-05-25T08:53:08Z,0,0,,0,,,,72.0,0.0,0.0,36.11,39.03,27.49,33.84,C,2026-04-27T13:03:06Z
micromatch/is-glob,28179425,68,7,5,5967,1,2026-04-27T23:47:58+00:00,479,414,56,13.53,104,2.74,82,2021,267,14952,4.2635,39.56,3.7,openssf_local,0,False,0,0,0,,2026-04-27T14:57:44+01:00,0,A,False,,False,,2026-04-28T00:16:10+00:00,96,13,4,2026-04-27T13:18:26Z,11.0,5,0,True,1,2022-12-29T12:56:43Z,2,1,0.5,1,-0.2,0.0,,95.8,0.0,0.2,43.06,39.03,55.43,45.33,B,2026-04-27T13:18:26Z
micromatch/micromatch,27359938,604,31,30,7343,1,2026-04-27T23:47:58+00:00,13625,10909,79,0.72,103,0.05,34,2024,165,13035,4.2251,39.45,3.9,openssf_local,1,False,0,0,0,,2026-04-27T21:39:45+01:00,22,C,True,github,False,,2026-04-28T00:16:10+00:00,3026,208,23,2026-04-27T13:18:26Z,11.1,30,0,True,4,2024-08-26T23:15:58Z,43,30,0.698,13,0.8,0.2,-0.0698,454.1667,0.0333,0.4333,78.67,90.48,71.95,80.01,A,2026-04-27T13:18:26Z
micromatch/picomatch,156211895,278,29,26,3477,1,2026-04-27T23:48:00+00:00,19334,16032,225,1.4,373,0.17,198,2025,572,128700,6.4930,50.11,6.8,openssf_local,0,False,3,0,3,,2026-04-27T14:57:04+01:00,0,A,False,,False,,2026-04-28T00:16:11+00:00,1250,101,13,2026-04-27T13:18:26Z,7.2,26,10,True,5,2026-04-20T08:37:18Z,41,21,0.512,20,-1.2,0.3,0.1829,743.6154,0.0,0.7692,84.49,39.03,84.6,65.34,A,2026-04-27T13:18:26Z
micromatch/to-regex-range,40355891,79,5,5,7888,1,2026-04-27T23:48:02+00:00,747,590,67,11.36,86,1.18,18,2024,6,402,1.5486,21.44,3.6,openssf_local,0,False,0,0,0,,2026-04-27T14:56:36+01:00,0,A,False,,False,,2026-04-28T00:16:11+00:00,172,23,3,2026-04-27T13:18:26Z,10.4,5,0,True,1,2024-08-01T09:45:24Z,2,2,1.0,0,0.2,0.3,,149.4,0.0,0.0,54.82,39.03,27.49,38.89,C,2026-04-27T13:18:26Z
microsoft/tslib,34414315,313,41,35,1289,3,2026-04-27T23:48:04+00:00,1567,1364,542,39.74,865,3.13,46,2024,2765,1498630,9.4128,61.35,7.4,openssf_local,0,True,0,0,0,,2026-04-27T14:52:59+01:00,0,A,False,,False,,2026-04-28T00:16:12+00:00,1336,145,71,2026-04-27T13:18:26Z,10.7,35,1,True,4,2026-04-10T03:40:54Z,31,29,0.935,2,-0.2,-0.7,-0.0806,44.7714,0.0,0.0571,24.13,39.03,40.71,33.72,C,2026-04-27T13:18:26Z
microsoft/typescript,20929025,36754,935,342,410,8,2026-04-27T23:48:06+00:00,4059848,2469868,144381,5.85,89276,0.62,582,2025,,,,,8.6,openssf_local,0,True,39,6,39,,2026-05-03T23:28:23+01:00,0,A,False,,False,,2026-04-28T00:16:12+00:00,108681,13373,2150,2026-04-27T13:18:27Z,11.5,342,10,True,5,2026-04-27T00:55:00Z,14115,13862,0.982,253,-536.0,-265.5,0.0958,11870.9006,0.0,0.7398,98.38,39.03,83.48,68.44,A,2026-04-27T13:18:27Z
microsoft/windows-rs,208102250,2071,84,82,4953,1,2026-04-27T23:48:06+00:00,2272898,2262591,101065,4.47,840,1.72,59,2025,,,,,6.4,openssf_local,1,False,7,1,7,,2026-04-27T14:53:06+01:00,0,A,False,,False,,2026-04-28T00:16:13+00:00,12133,612,120,2026-04-27T13:18:27Z,6.3,82,10,True,5,2026-04-27T01:47:07Z,1545,1537,0.995,8,-72.5,-68.3,0.0136,27718.2683,0.0122,0.0976,98.82,84.15,44.85,71.98,A,2026-04-27T13:18:27Z
minimistjs/minimist,549230701,169,22,17,1251,7,2026-04-27T23:48:07+00:00,1356,1133,87,7.68,0,0,0,2025,4162,362094,7.0379,53.21,5.2,openssf_local,1,False,2,0,2,,2026-05-03T23:28:34+01:00,80,C,True,"github,tidelift",False,,2026-04-28T00:16:13+00:00,661,46,5,2026-04-27T13:18:27Z,3.2,17,0,True,4,2025-12-30T01:57:54Z,52,41,0.788,11,0.9,1.2,0.0288,79.7647,0.0588,0.6471,39.14,93.73,81.35,66.83,A,2026-04-27T13:18:27Z
mitsuhiko/insta,165561258,996,71,68,4682,1,2026-04-27T23:48:09+00:00,23978,19682,1287,6.54,1898,2.25,69,2025,72089,92778543,15.1076,81.65,5.2,openssf_local,0,False,3,1,3,,2026-05-03T23:28:34+01:00,24,C,True,github,False,,2026-04-28T00:16:14+00:00,2833,148,11,2026-04-27T13:18:27Z,7.0,68,10,True,5,2026-03-30T20:53:47Z,253,205,0.81,48,3.3,3.3,0.0,352.6176,0.0,0.7059,74.41,39.03,82.92,62.21,A,2026-04-27T13:18:27Z
mlocati/gettext-iconv-windows,12751919,276,4,3,9784,1,2026-04-27T23:48:11+00:00,,,,,,,,,0,,,,4,openssf_local,0,False,2,2,2,,2026-04-27T21:40:03+01:00,4,B,True,"github,custom",False,,2026-04-28T00:16:14+00:00,170,18,13,2026-04-27T18:55:44Z,12.3,3,10,True,2,2026-04-15T09:49:28Z,10,5,0.5,5,1.2,0.1,-0.55,,,,,,,,,2026-04-27T18:55:44Z
mm2/little-cms,507969,1351,75,68,6063,1,2026-04-27T23:48:12+00:00,71890,46547,9825,21.11,10981,5.57,211,2025,18632,183059400,17.0486,85.55,6.8,openssf_local,0,True,67,0,67,,2026-04-27T21:40:14+01:00,0,A,False,,False,,2026-04-28T00:16:14+00:00,716,213,32,2026-04-27T18:55:44Z,15.9,68,10,True,5,2026-04-26T13:59:09Z,177,171,0.966,6,-0.8,-0.1,0.0198,1057.2059,0.0,0.0882,88.3,39.03,43.56,53.15,B,2026-04-27T18:55:44Z
moment/moment,1424470,4064,690,394,1560,2,2026-04-27T23:48:15+00:00,331855,305950,15968,5.22,0,0,0,2024,39573,631901664,19.3242,89.33,2.6,openssf_local,2,False,12,0,12,,2026-05-03T23:28:53+01:00,0,A,False,,False,lf/openjs,2026-04-28T00:16:15+00:00,47987,7001,829,2026-04-27T13:18:27Z,14.8,394,0,True,4,2024-08-14T17:12:19Z,353,177,0.501,176,-21.6,-10.7,0.1544,842.2716,0.0051,0.4467,86.28,80.46,72.84,79.67,A,2026-04-27T13:18:27Z
more-itertools/more-itertools,4144530,2335,143,132,3696,1,2026-04-27T23:48:15+00:00,16514,14109,503,3.57,1229,0.94,62,2025,18518,9314554,11.5329,69.27,5.1,openssf_local,0,True,0,0,0,,2026-04-27T16:06:19+01:00,0,A,False,,False,,2026-04-28T00:16:16+00:00,4057,316,37,2026-04-27T13:18:27Z,13.7,132,10,True,5,2026-04-23T20:30:59Z,261,248,0.95,13,5.3,4.3,-0.0192,125.1061,0.0,0.0985,50.45,39.03,44.96,44.57,C,2026-04-27T13:18:27Z
motdotla/dotenv,11205780,997,112,91,5880,1,2026-04-27T23:48:16+00:00,1845,1314,109,8.3,40,0.46,11,2025,5549,604841,7.6436,55.73,4.8,openssf_local,0,False,2,1,2,,2026-04-27T21:40:33+01:00,5,B,True,"github,custom",False,,2026-04-28T00:16:16+00:00,20402,935,99,2026-04-27T13:18:27Z,12.5,91,10,True,5,2026-04-17T21:24:18Z,223,250,1.121,-27,-6.0,-4.9,0.0247,20.2747,0.0,-0.2967,10.47,39.03,4.98,12.67,D,2026-04-27T13:18:27Z
moxystudio/node-cross-spawn,21335844,229,22,19,7636,1,2026-04-27T23:48:18+00:00,907,657,58,8.83,145,1.81,79,2024,17,986,2.2229,27.64,2.7,openssf_local,1,False,8,6,8,,2026-04-27T21:40:35+01:00,0,A,False,,False,,2026-04-28T00:16:16+00:00,1169,140,24,2026-04-27T13:18:27Z,11.5,19,0,True,1,2024-11-18T14:20:54Z,22,5,0.227,17,0.5,0.1,-0.0909,47.7368,0.0526,0.8947,26.26,93.0,87.18,59.71,A,2026-04-27T13:18:27Z
mozilla/source-map,2014930,718,94,81,3540,1,2026-04-27T23:48:19+00:00,12795,9919,592,5.97,723,1.31,37,2025,6020,3563840,10.4812,65.94,4,openssf_local,0,False,0,0,0,,2026-04-27T14:56:01+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,3720,370,68,2026-04-27T13:18:27Z,14.5,81,3,True,5,2026-04-27T08:55:21Z,46,64,1.391,-18,-1.9,-8.0,-0.663,157.963,0.0,-0.2222,56.83,39.03,7.78,25.84,D,2026-04-27T13:18:27Z
mrabarnett/mrab-regex,309446978,496,14,9,57,9,2026-04-27T23:48:20+00:00,70357,59362,6469,10.90,10857,9.01,4099,2025,273749,1770882281,20.7212,91.63,4.6,openssf_local,0,True,0,0,0,,2026-04-27T17:20:40+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,583,71,9,2026-04-27T13:18:27Z,5.2,9,10,True,5,2026-04-03T20:00:52Z,176,127,0.722,49,-3.3,-3.5,-0.0057,7817.4444,0.0,5.4444,97.82,39.03,99.38,72.39,A,2026-04-27T13:18:27Z
mrmlnc/fast-glob,77467076,854,30,28,9153,1,2026-04-27T23:48:22+00:00,14922,11706,231,1.97,203,0.25,40,2025,17183,3969273,10.0181,63.88,3.3,openssf_local,0,False,0,0,0,,2026-04-27T16:08:20+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,2808,137,18,2026-04-27T13:18:27Z,9.0,28,0,True,5,2025-09-01T08:00:01Z,91,83,0.912,8,-1.7,-1.9,-0.011,532.9286,0.0,0.2857,79.9,39.03,62.43,57.96,B,2026-04-27T13:18:27Z
msgpack/msgpack-python,2242705,916,86,72,5178,1,2026-04-27T23:48:24+00:00,5011,3593,576,16.03,550,2.12,106,2025,1694,975744,8.9163,59.52,6.5,openssf_local,0,True,0,0,0,,2026-04-27T21:40:39+01:00,0,A,False,,False,,2026-04-28T00:16:18+00:00,2080,244,42,2026-04-27T13:18:27Z,14.4,72,7,True,5,2026-04-27T08:02:54Z,88,88,1.0,0,-1.9,-0.7,0.0682,69.5972,0.0,0.0,34.55,39.03,27.49,33.34,C,2026-04-27T13:18:27Z
mysticatea/abort-controller,105228556,49,5,5,8092,1,2026-04-27T23:48:27+00:00,855,601,57,9.48,119,0.91,14,HEAD,0,0,0.0000,7.28,3,openssf_local,0,False,0,0,0,,2026-04-27T16:09:31+01:00,7,B,False,,False,,2026-04-28T00:16:18+00:00,308,37,7,2026-04-27T13:18:27Z,8.3,5,0,True,0,2021-03-30T17:01:33Z,12,2,0.167,10,-0.9,-0.3,0.25,171.0,0.0,2.0,58.62,39.03,96.02,60.34,A,2026-04-27T13:18:27Z
mysticatea/event-target-shim,31137469,127,7,6,8072,1,2026-04-27T23:48:29+00:00,5522,4105,189,4.6,370,0.69,190,2021,11673,2206197,9.2682,61.24,2.7,openssf_local,0,False,3,0,3,,2026-04-27T16:08:04+01:00,7,B,False,,False,,2026-04-28T00:16:19+00:00,130,29,3,2026-04-27T13:18:27Z,10.9,6,0,True,1,2023-01-06T17:18:58Z,11,7,0.636,4,-1.1,-1.1,0.0,920.3333,0.0,0.6667,86.95,39.03,82.25,65.35,A,2026-04-27T13:18:27Z
netflix/vmaf,51317975,2147,112,100,3423,1,2026-04-27T23:48:32+00:00,94525,75508,6453,8.55,9466,4.04,180,2025,56723,366033519,18.1110,87.27,3.8,openssf_local,0,False,28,6,28,,2026-05-18T00:38:17+01:00,0,A,False,,False,,2026-05-17T23:35:54+00:00,5333,819,488,2026-04-27T13:18:27Z,9.9,100,,True,5,2026-04-23T23:56:51Z,232,225,0.97,7,-15.3,-12.0,0.0711,945.25,0.0,0.07,87.18,39.03,41.6,52.11,B,2026-04-27T13:18:27Z
nghttp2/nghttp2,11452676,8820,169,138,8729,1,2026-04-27T23:48:35+00:00,154786,111505,15553,13.95,19281,4.86,2713,2025,179769,2795947257,22.0269,93.92,7.1,openssf_local,7,True,12,8,12,in_progress,2026-05-03T23:29:00+01:00,0,A,False,,False,,2026-04-28T00:16:19+00:00,4986,929,165,2026-04-27T13:18:27Z,12.5,138,10,True,5,2026-04-27T12:52:53Z,277,724,2.614,-447,-9.8,92.7,1.8502,1121.6377,0.0507,-3.2391,88.75,92.78,0.17,11.14,D,2026-04-27T13:18:27Z
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,54,3,2,8289,1,2026-04-27T23:48:35+00:00,160,121,20,16.53,6,0.75,3,2025,58785,1175700,6.3060,48.74,3.3,openssf_local,0,False,0,0,0,,2026-04-27T21:41:06+01:00,8,B,True,github,False,,2026-04-28T00:16:19+00:00,6,0,2,2026-04-27T13:18:27Z,5.7,2,0,True,2,2025-07-30T15:13:52Z,3,1,0.333,2,0.3,0.1,,80.0,0.0,1.0,39.42,39.03,89.53,51.64,B,2026-04-27T13:18:27Z
nlnetlabs/unbound,94195301,8280,141,119,6723,1,2026-04-27T23:48:38+00:00,201171,141722,31731,22.39,30717,6.67,313,2025,333597,10585366407,24.8628,96.56,5.9,openssf_local,34,True,127,76,127,,2026-05-03T23:29:07+01:00,16,C,True,"github,custom",False,,2026-04-28T00:16:20+00:00,4471,437,65,2026-04-27T18:55:45Z,8.6,119,10,True,5,2026-04-23T07:37:35Z,727,536,0.737,191,-1.9,3.7,0.0385,1690.5126,0.2857,1.605,92.89,99.16,94.23,95.39,A,2026-04-27T18:55:45Z
node-fetch/fetch-blob,186960326,98,14,10,2229,2,2026-04-27T23:48:38+00:00,928,639,65,10.17,80,1.05,15,2023,3669,238485,6.4861,50.00,4.4,openssf_local,0,False,0,0,0,,2026-04-27T17:21:24+01:00,5,B,False,,False,,2026-04-28T00:16:20+00:00,64,36,4,2026-04-27T13:18:27Z,6.6,10,0,True,3,2023-08-14T00:51:27Z,23,24,1.043,-1,-3.6,-4.4,-0.1739,92.8,0.0,-0.1,42.5,39.03,12.88,27.75,D,2026-04-27T13:18:27Z
node-fetch/node-fetch,29849956,640,116,105,598,7,2026-04-27T23:48:40+00:00,7030,5532,426,7.7,1173,1.83,571,2023,5734,2442684,9.8866,63.07,5.3,openssf_local,2,False,0,0,0,,2026-04-27T15:53:39+01:00,5,B,True,"github,open_collective",False,,2026-04-28T00:16:21+00:00,8857,1052,89,2026-04-27T13:18:27Z,10.9,105,0,True,3,2026-03-21T22:04:39Z,346,237,0.685,109,-43.3,-34.6,0.1257,66.9524,0.019,1.0381,33.65,86.73,91.77,64.46,A,2026-04-27T13:18:27Z
nodeca/argparse,4325614,267,24,18,474,18,2026-04-27T23:48:42+00:00,9991,7337,652,8.89,865,1.7,63,2022,0,0,0.0000,7.28,3.5,openssf_local,0,False,3,0,3,,2026-04-27T21:41:13+01:00,6,B,True,"open_collective,patreon,tidelift",False,,2026-04-28T00:16:21+00:00,508,75,17,2026-04-27T13:18:27Z,13.6,18,0,True,1,2023-11-09T18:31:05Z,20,13,0.65,7,-0.4,-1.3,-0.225,555.0556,0.0,0.3889,80.46,39.03,69.82,60.3,A,2026-04-27T13:18:27Z
nodeca/js-yaml,2504175,1295,80,73,1112,73,2026-04-27T23:48:43+00:00,16108,12679,2052,16.18,2846,3.72,96,2025,2097,4303044,11.0031,67.66,4.2,openssf_local,1,True,4,0,4,,2026-04-27T15:07:56+01:00,6,B,False,,False,,2026-04-28T00:16:21+00:00,6564,807,73,2026-04-27T13:18:27Z,14.2,73,2,True,3,2026-03-26T16:59:20Z,106,75,0.708,31,-9.8,-9.3,0.0236,220.6575,0.0137,0.4247,64.56,84.77,71.39,73.1,A,2026-04-27T13:18:27Z
