repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
alexei/sprintf.js,9175790,294,26,21,6634,1,2026-04-27T23:50:22+00:00,542,495,0,0,8,0.17,7,2023,4,0,0.0000,7.28,1.8,openssf_local,0,False,2,0,2,,2026-04-27T21:28:27+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,2141,283,47,2026-04-27T13:18:12Z,12.7,21,0,True,2,2024-04-05T01:22:42Z,12,6,0.5,6,-1.2,-0.9,0.125,25.8095,0.0,0.2857,13.72,39.03,62.43,32.21,C,2026-04-27T13:18:12Z
alexeyraspopov/picocolors,410740124,89,12,12,4675,1,2026-04-27T23:50:24+00:00,752,663,12,1.81,6,0.09,2,2024,4604,55248,4.0806,38.42,3.6,openssf_local,0,False,0,0,0,,2026-04-27T14:57:00+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,1702,49,11,2026-04-27T13:18:12Z,4.3,12,0,True,3,2024-11-18T17:46:33Z,43,35,0.814,8,-1.7,-1.1,0.0698,62.6667,0.0,0.6667,32.75,39.03,82.25,47.2,B,2026-04-27T13:18:12Z
alexhuszagh/rust-lexical,155286170,1025,27,23,4456,1,2026-04-27T23:50:26+00:00,75422,48641,3693,7.59,3244,1.35,110,2025,1343006,4959721158,21.8619,93.81,5.4,openssf_local,2,True,4,3,4,,2026-04-27T21:28:35+01:00,0,A,False,,False,,2026-04-28T00:16:17+00:00,356,40,10,2026-04-27T13:18:12Z,7.2,23,4,True,5,2026-04-23T01:16:11Z,77,78,1.013,-1,0.3,-0.5,-0.0519,3279.2174,0.087,-0.0435,95.91,95.63,16.85,53.67,B,2026-04-27T13:18:12Z
alexindigo/asynckit,59087459,28,2,2,9311,1,2026-04-27T23:50:28+00:00,4944,3704,137,3.70,233,0.43,10,2025,0,0,0.0000,7.28,2.7,openssf_local,0,False,0,0,0,,2026-04-27T21:28:42+01:00,0,A,False,,False,,2026-04-28T00:16:18+00:00,25,11,1,2026-04-27T13:18:12Z,9.6,2,0,True,1,2025-12-18T03:05:27Z,2,1,0.5,1,0.4,0.2,,2472.0,0.0,0.5,94.46,39.03,76.15,65.48,A,2026-04-27T13:18:12Z
amanieu/parking_lot,58731560,947,125,115,2779,1,2026-04-27T23:50:31+00:00,15269,10138,1196,11.8,1046,1.4,30,2025,6611,7906756,11.7593,70.18,4.1,openssf_local,1,False,0,0,0,,2026-04-27T21:28:45+01:00,0,A,False,,False,,2026-04-28T00:16:18+00:00,3324,268,28,2026-04-27T13:18:12Z,9.6,115,3,True,5,2026-02-21T08:45:36Z,104,66,0.635,38,-0.9,-1.1,-0.0096,132.7739,0.0087,0.3304,52.35,82.7,65.45,65.68,A,2026-04-27T13:18:12Z
andialbrecht/sqlparse,4067434,1356,121,92,3643,1,2026-04-27T23:50:32+00:00,7927,5954,533,8.95,751,1.43,50,2025,2006,1069198,9.0078,59.75,4.8,openssf_local,3,True,0,0,0,,2026-04-27T21:28:47+01:00,0,A,False,,False,,2026-04-28T00:16:18+00:00,4004,722,87,2026-04-27T13:18:12Z,13.7,92,0,True,5,2025-12-19T07:18:21Z,140,59,0.421,81,-4.6,1.8,0.2286,86.163,0.0326,0.8804,41.27,90.09,86.95,68.63,A,2026-04-27T13:18:12Z
andrewrk/node-pend,11836813,13,1,1,10000,1,2026-04-27T23:50:34+00:00,192,178,11,6.18,10,0.29,5,HEAD,0,0,0.0000,7.28,3,openssf_local,0,False,0,0,0,,2026-04-27T21:28:50+01:00,32,C,False,,False,,2026-04-28T00:16:19+00:00,15,6,2,2026-04-27T13:18:12Z,12.4,1,0,True,0,2014-11-23T21:52:12Z,0,0,,0,,,,192.0,0.0,0.0,60.86,39.03,27.49,40.27,C,2026-04-27T13:18:12Z
andyperlitch/jsbn,9710533,28,11,8,2628,1,2026-04-27T23:50:38+00:00,1841,1529,441,28.84,370,3.16,37,HEAD,0,0,0.0000,7.28,2.4,openssf_local,0,False,0,0,0,,2026-04-27T21:28:54+01:00,0,A,False,,False,,2026-04-28T00:16:19+00:00,173,41,7,2026-04-27T13:18:12Z,12.7,8,0,True,0,2022-03-20T04:22:24Z,4,1,0.25,3,-0.3,-0.1,,230.125,0.0,0.375,65.34,39.03,68.87,56.0,B,2026-04-27T13:18:12Z
annotated-types/annotated-types,487934134,84,21,21,2891,2,2026-04-27T23:50:42+00:00,751,564,29,5.14,29,0.76,6,2025,2205,63945,4.9389,42.55,3.9,openssf_local,0,False,0,0,0,,2026-04-27T16:09:58+01:00,0,A,False,,False,,2026-04-28T00:16:20+00:00,598,27,9,2026-04-27T13:18:12Z,3.7,21,1,True,4,2026-02-10T20:18:36Z,40,32,0.8,8,1.6,1.1,-0.0625,35.7619,0.0,0.381,18.42,39.03,69.37,36.81,C,2026-04-27T13:18:12Z
antonk52/lilconfig,238967485,140,11,10,8106,1,2026-04-27T23:50:45+00:00,2611,2042,72,3.53,201,1.06,83,2025,13028,938016,7.6674,56.08,3.5,openssf_local,1,False,8,0,8,,2026-04-27T21:28:58+01:00,2,B,False,,False,,2026-04-28T00:16:20+00:00,186,10,1,2026-04-27T13:18:12Z,5.9,10,0,True,5,2025-12-10T09:00:48Z,15,12,0.8,3,-0.1,-0.2,-0.0333,261.1,0.1,0.3,68.37,96.58,63.27,74.76,A,2026-04-27T13:18:12Z
apache/airflow,33884891,37801,4296,412,266,20,2026-04-27T23:50:51+00:00,1286426,933176,57892,6.2,53224,1.2,484,2025,,,,,7.8,openssf_local,90,True,136,42,135,,2026-05-03T23:26:18+01:00,0,A,False,,False,apache,2026-04-28T00:16:21+00:00,45212,16941,778,2026-04-27T18:55:21Z,10.7,412,10,True,5,2026-04-27T18:40:07Z,10890,10223,0.939,667,184.4,84.8,-0.0457,3122.3932,0.2184,1.6189,95.46,98.82,94.34,96.19,A,2026-04-27T18:55:21Z
apache/arrow,51905353,18776,1503,369,277,17,2026-04-27T23:50:51+00:00,1181129,850760,66085,7.77,65138,1.19,387,2025,4522264,298853816440,32.0795,99.66,6.9,openssf_local,4,True,57,20,57,,2026-04-27T16:08:30+01:00,0,A,False,,False,apache,2026-04-28T00:16:21+00:00,16691,4087,337,2026-04-27T13:18:12Z,9.9,369,10,True,5,2026-04-27T03:30:14Z,15280,13079,0.856,2201,-594.0,-445.6,0.0486,3200.8916,0.0108,5.9648,95.58,83.48,99.5,92.59,A,2026-04-27T13:18:12Z
apache/arrow-rs,358917250,7591,810,413,356,12,2026-04-27T23:50:54+00:00,405336,299628,16049,5.36,26622,1.75,355,2025,1436276,23050793524,25.8941,97.36,7,openssf_local,3,False,4,4,4,,2026-05-03T23:21:24+01:00,0,A,False,,False,apache,2026-04-28T00:16:21+00:00,3443,1158,51,2026-04-27T13:18:13Z,4.7,413,10,True,5,2026-04-25T15:55:54Z,3332,2849,0.855,483,12.4,23.9,0.0173,981.4431,0.0073,1.1695,87.4,81.52,92.44,87.01,A,2026-04-27T13:18:13Z
archlinux/linux,142707813,,,,,,,36802081,27734051,2617017,9.44,,,,2025,,,,,,,7,False,,,,,,45,C,False,,False,,2026-05-17T23:35:55+00:00,1570,156,56,2026-04-27T18:55:21Z,7.4,,,False,5,2026-04-27T16:48:36Z,0,0,,0,,,,,,,,,,,,2026-04-27T18:55:21Z
