repo,value_class,archived,pushed_at,days_since_push,is_eol,eol_method,source,eol_checked_at
ryanzim/universalify,A,False,2023-11-01T17:12:25Z,907,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/fill-range,A,False,2024-07-26T14:46:41Z,639,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/isobject,A,False,2024-04-09T18:23:42Z,747,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/once,A,False,2025-10-25T19:07:40Z,183,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/define-properties,A,False,2025-12-30T01:56:54Z,118,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/find-up,A,False,2025-09-16T01:16:42Z,223,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
epoberezkin/fast-deep-equal,A,False,2023-10-05T21:22:34Z,934,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
fb55/domelementtype,A,False,2026-03-26T06:48:09Z,32,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
nodejs/string_decoder,A,False,2026-03-20T15:00:09Z,37,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/has-tostringtag,A,False,2026-03-20T06:04:39Z,38,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chalk/wrap-ansi,A,False,2026-02-20T10:03:54Z,66,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/is-plain-object,A,False,2024-03-29T03:45:01Z,759,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
gkz/prelude-ls,A,False,2023-07-18T21:33:15Z,1013,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
typescript-eslint/typescript-eslint,A,False,2026-03-10T08:35:03Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/shebang-regex,A,False,2021-08-13T23:09:53Z,1717,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
fb55/entities,A,False,2026-04-17T10:35:00Z,10,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/is-stream,A,False,2024-10-28T05:10:46Z,546,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
npm/node-which,A,False,2026-03-20T19:35:28Z,37,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jestjs/jest,A,False,2026-03-10T02:01:16Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/side-channel,A,False,2026-01-13T19:32:58Z,103,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
browserslist/browserslist,A,False,2026-01-21T19:12:45Z,95,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jestjs/jest,A,False,2026-03-10T02:01:16Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
pillarjs/iconv-lite,A,False,2026-03-01T14:16:39Z,56,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
uuidjs/uuid,A,False,2026-02-26T00:07:36Z,60,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
browserify/resolve,A,False,2026-04-13T04:29:25Z,14,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/path-key,A,False,2025-09-12T15:46:44Z,226,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/is-fullwidth-code-point,A,False,2025-08-31T07:37:06Z,239,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/resolve-from,A,False,2021-01-23T18:33:13Z,1919,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
epoberezkin/json-schema-traverse,A,False,2021-07-26T06:52:21Z,1736,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/camelcase,A,False,2025-11-10T20:38:46Z,167,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/yallist,A,False,2024-06-19T00:55:19Z,677,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/unicorn-magic,A,False,2025-11-15T10:26:20Z,163,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
feross/buffer,A,False,2025-10-28T00:33:50Z,181,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
juliangruber/isarray,A,False,2026-03-23T11:33:35Z,34,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
webpack/schema-utils,A,False,2026-01-23T13:27:06Z,93,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jshttp/mime-types,A,False,2026-03-02T07:29:21Z,56,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
tootallnate/util-deprecate,A,False,2018-11-11T02:10:34Z,2724,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
tootallnate/proxy-agents,A,False,2026-03-11T19:04:38Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
blakeembrey/change-case,A,False,2025-06-17T20:12:46Z,313,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jridgewell/resolve-uri,A,False,2026-03-05T16:04:19Z,52,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
json5/json5,A,False,2024-10-25T14:12:31Z,548,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
yargs/yargs-parser,A,False,2026-03-25T21:11:37Z,32,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/slash,A,False,2023-05-09T17:07:05Z,1083,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
paulmillr/readdirp,A,False,2025-11-25T23:09:21Z,152,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
lodash/lodash,A,False,2026-02-23T06:14:25Z,63,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
estools/esutils,A,False,2022-04-07T03:34:54Z,1481,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
micromatch/braces,A,False,2025-01-19T20:06:12Z,462,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/object-inspect,A,False,2026-03-14T22:46:11Z,43,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/get-proto,A,False,2026-01-13T19:32:29Z,103,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
nodeca/js-yaml,A,False,2025-11-14T22:50:04Z,163,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
es-shims/dunder-proto,A,False,2024-12-17T02:12:42Z,496,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jsdom/webidl-conversions,A,False,2026-01-02T13:58:25Z,114,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/get-stream,A,False,2024-10-28T05:15:33Z,546,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/find-up-simple,A,False,2025-06-05T18:47:14Z,325,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/define-property,A,False,2023-03-14T09:09:01Z,1140,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
yargs/yargs,A,False,2026-02-28T02:13:44Z,58,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
mathiasbynens/emoji-regex,A,False,2025-10-13T08:13:29Z,196,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
gulpjs/glob-parent,A,False,2024-07-26T13:03:16Z,639,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
mathiasbynens/cssesc,A,False,2023-02-02T10:10:22Z,1180,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/execa,A,False,2026-01-29T03:54:57Z,88,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
mathiasbynens/jsesc,A,False,2024-12-11T08:25:58Z,502,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
npm/ini,A,False,2026-03-20T19:35:28Z,37,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
postcss/postcss,A,False,2026-03-02T22:19:28Z,55,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/normalize-path,A,False,2022-10-07T14:50:39Z,1297,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/has-property-descriptors,A,False,2026-01-13T19:31:42Z,103,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/is-extendable,A,False,2021-08-20T19:50:29Z,1710,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
beatgammit/base64-js,A,False,2024-07-25T09:39:14Z,641,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
feross/ieee754,A,False,2021-08-12T13:35:05Z,1718,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sinclairzx81/sinclair-typebox,A,False,2026-03-28T04:08:30Z,30,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/qs,A,False,2026-02-15T06:54:28Z,71,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
yargs/cliui,A,False,2026-03-23T16:48:09Z,34,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/callsites,A,False,2025-09-09T08:53:49Z,230,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
aws/aws-sdk-js-v3,A,False,2026-03-11T17:22:43Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/rimraf,A,False,2026-03-05T02:28:31Z,53,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/object-keys,A,False,2026-03-17T20:35:31Z,40,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/define-data-property,A,False,2026-01-13T19:32:22Z,103,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
qix-/node-is-arrayish,A,False,2025-09-13T16:43:12Z,225,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
form-data/form-data,A,False,2025-11-17T04:15:57Z,161,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/pify,A,False,2022-09-12T10:11:33Z,1323,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jprichardson/node-fs-extra,A,False,2026-03-03T16:45:03Z,54,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
minimistjs/minimist,A,False,2025-12-30T01:57:54Z,118,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/is-descriptor,A,False,2025-12-30T01:56:15Z,118,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/extend-shallow,A,False,2021-08-07T21:20:05Z,1723,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/which-typed-array,A,False,2026-03-19T01:51:58Z,39,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/pkg-dir,A,False,2026-02-01T14:52:22Z,84,False,github_archived,api,2026-04-27T10:35:07+00:00
jridgewell/sourcemaps,A,False,2026-03-29T06:03:29Z,29,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
moxystudio/node-cross-spawn,A,False,2024-11-18T14:20:54Z,524,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/onetime,A,False,2026-02-02T07:42:23Z,84,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
micromatch/micromatch,A,False,2024-08-26T23:15:58Z,608,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/es-abstract,A,False,2026-04-07T19:24:45Z,19,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/is-core-module,A,False,2026-03-16T05:44:55Z,42,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
inspect-js/is-callable,A,False,2025-12-30T01:56:07Z,118,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/path-scurry,A,False,2026-02-26T19:28:01Z,59,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
felixge/node-delayed-stream,A,False,2015-04-30T22:07:18Z,4014,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
kevva/shebang-command,A,False,2021-08-14T13:19:23Z,1716,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
fb55/domhandler,A,False,2026-04-15T13:22:57Z,11,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
watson/ci-info,A,False,2026-01-29T16:22:52Z,87,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/node-mkdirp,A,False,2023-09-15T19:59:26Z,954,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jestjs/jest,A,False,2026-03-10T02:01:16Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/path-type,A,False,2026-02-02T19:08:22Z,83,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/globals,A,False,2026-04-12T05:40:14Z,15,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
7rulnik/source-map-js,A,False,2026-02-01T23:10:10Z,84,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
websockets/ws,A,False,2026-03-01T20:22:39Z,56,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/parse-json,A,False,2025-04-09T09:02:05Z,383,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
mcavage/node-assert-plus,A,False,2022-12-20T05:43:01Z,1224,False,github_archived,api,2026-04-27T10:35:07+00:00
gozala/events,A,False,2024-12-21T09:59:54Z,492,False,github_archived,api,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/path-exists,A,False,2022-03-03T14:44:23Z,1515,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
chaijs/type-detect,A,False,2024-07-25T10:50:47Z,640,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/strip-bom,A,False,2021-04-16T18:54:24Z,1836,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
lukeed/escalade,A,False,2024-08-29T22:59:35Z,605,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
eslint/js,A,False,2026-03-10T08:07:55Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/mimic-function,A,False,2024-10-28T05:10:20Z,546,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/make-dir,A,False,2025-09-10T18:24:39Z,228,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
node-fetch/node-fetch,A,False,2024-08-13T22:17:04Z,621,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
typescript-eslint/typescript-eslint,A,False,2026-03-10T08:35:03Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jprichardson/node-jsonfile,A,False,2025-08-12T15:32:55Z,257,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
kaelzhang/node-ignore,A,False,2025-05-31T02:19:00Z,331,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/binary-extensions,A,False,2025-05-04T07:29:40Z,358,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
