id,github_repo,packages,pkgs_npm,pkgs_pypi,pkgs_crates,pkgs_cpp,pkgs_total,pr_cum_pct_npm,pr_cum_pct_pypi,pr_cum_pct_crates,pr_cum_pct_cpp,class_npm,class_pypi,class_crates,class_cpp,class_total,is_eol
6666,bes-js/nyro,nyro (npm),1,0,0,0,1,99.8847,,,,D,,,,D,False
6667,besok/jsonpath-rust,jsonpath-rust (crates),0,0,1,0,1,,,96.5695,,,,D,,D,False
6668,bestiejs/json3,json3 (npm),1,0,0,0,1,94.6452,,,,D,,,,D,False
6669,bestiejs/platform.js,platform (npm),1,0,0,0,1,98.2758,,,,D,,,,D,False
6670,betodealmeida/python-rison,prison (pypi),0,1,0,0,1,,95.1066,,,,D,,,D,False
6671,bevacqua/hash-sum,hash-sum (npm),1,0,0,0,1,93.0267,,,,D,,,,D,False
6672,bevry/binaryextensions,binaryextensions (npm),1,0,0,0,1,98.3237,,,,D,,,,D,False
6673,bevry/editions,editions (npm),1,0,0,0,1,94.9212,,,,D,,,,D,False
6674,bevry/istextorbinary,istextorbinary (npm),1,0,0,0,1,99.2048,,,,D,,,,D,False
6675,bevry/textextensions,textextensions (npm),1,0,0,0,1,98.3098,,,,D,,,,D,False
6676,bevry/version-range,version-range (npm),1,0,0,0,1,95.6069,,,,D,,,,D,False
6677,bevyengine/atomicow,atomicow (crates),0,0,1,0,1,,,99.9506,,,,D,,D,False
6678,bevyengine/bevy_mikktspace,bevy_mikktspace (crates),0,0,1,0,1,,,99.8424,,,,D,,D,False
6679,bevyengine/disqualified,disqualified (crates),0,0,1,0,1,,,99.8261,,,,D,,D,False
6680,bevyengine/dlss_wgpu,dlss_wgpu (crates),0,0,1,0,1,,,99.9999,,,,D,,D,False
6681,bevyengine/naga_oil,naga_oil (crates),0,0,1,0,1,,,99.8742,,,,D,,D,False
6682,bevyengine/variadics_please,variadics_please (crates),0,0,1,0,1,,,99.8629,,,,D,,D,False
6683,bgrins/tinycolor,tinycolor2 (npm),1,0,0,0,1,92.594,,,,D,,,,D,False
6684,bholley/atomic_refcell,atomic_refcell (crates),0,0,1,0,1,,,99.4132,,,,D,,D,False
6685,bholloway/adjust-sourcemap-loader,adjust-sourcemap-loader (npm),1,0,0,0,1,91.9068,,,,D,,,,D,False
6686,bholloway/resolve-url-loader,resolve-url-loader (npm),1,0,0,0,1,92.719,,,,D,,,,D,False
6687,bikeshedder/deadpool,deadpool-postgres (crates),0,0,1,0,1,,,99.2216,,,,D,,D,False
6688,bilelmoussaoui/ashpd,ashpd (crates),0,0,1,0,1,,,99.5127,,,,D,,D,False
6689,bill4time/javascript-natural-sort,javascript-natural-sort (npm),1,0,0,0,1,98.6037,,,,D,,,,D,False
6690,billyrieger/bimap-rs,bimap (crates),0,0,1,0,1,,,98.1728,,,,D,,D,False
6691,binarymuse/toml-node,toml (npm),1,0,0,0,1,99.2876,,,,D,,,,D,False
6692,bincode-org/unty,unty (crates),0,0,1,0,1,,,91.4277,,,,D,,D,False
6693,bincode-org/virtue,virtue (crates),0,0,1,0,1,,,98.2407,,,,D,,D,False
6694,biotite-dev/biotite,biotite (pypi),0,1,0,0,1,,99.7897,,,,D,,,D,False
6695,birkenfeld/iter-read,iter-read (crates),0,0,1,0,1,,,99.5331,,,,D,,D,False
6696,birkenfeld/serde-pickle,serde-pickle (crates),0,0,1,0,1,,,99.7619,,,,D,,D,False
6697,bitcoinjs/bech32,bech32 (npm),1,0,0,0,1,99.5891,,,,D,,,,D,False
6698,bitcoinjs/bs58check,bs58check (npm),1,0,0,0,1,99.5127,,,,D,,,,D,False
6699,bitsandbytes-foundation/bitsandbytes,bitsandbytes (pypi),0,1,0,0,1,,98.0821,,,,D,,,D,False
6700,bitshifter/glam-rs,glam (crates),0,0,1,0,1,,,96.9181,,,,D,,D,False
6701,bjyoungblood/es6-error,es6-error (npm),1,0,0,0,1,91.2707,,,,D,,,,D,False
6702,bkchr/impl-trait-for-tuples,impl-trait-for-tuples (crates),0,0,1,0,1,,,97.1425,,,,D,,D,False
6703,blackbeam/mysql_async,mysql_async (crates),0,0,1,0,1,,,99.6506,,,,D,,D,False
6704,blackbeam/named_pipe,named_pipe (crates),0,0,1,0,1,,,99.9702,,,,D,,D,False
6705,blackbeam/rust-crc16,crc16 (crates),0,0,1,0,1,,,98.512,,,,D,,D,False
6706,blackbeam/rust-mysql-simple,mysql (crates),0,0,1,0,1,,,99.8915,,,,D,,D,False
6707,blackflux/object-treeify,object-treeify (npm),1,0,0,0,1,98.8647,,,,D,,,,D,False
6708,blakeembrey/arity,util-arity (npm),1,0,0,0,1,99.563,,,,D,,,,D,False
6709,blakeembrey/javascript-stringify,javascript-stringify (npm),1,0,0,0,1,97.6927,,,,D,,,,D,False
6710,blakeembrey/pluralize,pluralize (npm),1,0,0,0,1,90.8718,,,,D,,,,D,False
6711,blas-lapack-rs/accelerate-src,accelerate-src (crates),0,0,1,0,1,,,99.9941,,,,D,,D,False
6712,blas-lapack-rs/blas-sys,blas-sys (crates),0,0,1,0,1,,,99.9921,,,,D,,D,False
6713,blas-lapack-rs/blis-src,blis-src (crates),0,0,1,0,1,,,99.9995,,,,D,,D,False
6714,blas-lapack-rs/cblas-sys,cblas-sys (crates),0,0,1,0,1,,,99.4728,,,,D,,D,False
6715,blas-lapack-rs/lapack-src,lapack-src (crates),0,0,1,0,1,,,99.9972,,,,D,,D,False
6716,blas-lapack-rs/lapack-sys,lapack-sys (crates),0,0,1,0,1,,,99.9369,,,,D,,D,False
6717,blas-lapack-rs/netlib-src,netlib-src (crates),0,0,1,0,1,,,99.9921,,,,D,,D,False
6718,blas-lapack-rs/r-src,r-src (crates),0,0,1,0,1,,,99.9998,,,,D,,D,False
6719,blitz-js/superjson,superjson (npm),1,0,0,0,1,99.2669,,,,D,,,,D,False
6720,blobfile/blobfile,blobfile (pypi),0,1,0,0,1,,97.8135,,,,D,,,D,False
6721,blobfolio/brunch,brunch (crates),0,0,1,0,1,,,99.9986,,,,D,,D,False
6722,blobfolio/dactyl,dactyl (crates),0,0,1,0,1,,,99.999,,,,D,,D,False
6723,bloomberg/memray,memray (pypi),0,1,0,0,1,,93.6554,,,,D,,,D,False
6724,blosc/c-blosc,c-blosc (cpp),0,0,0,1,1,,,,98.7342,,,,D,D,False
6725,bluefish43/libunwind-sys,libunwind (crates),0,0,1,0,1,,,99.9755,,,,D,,D,False
6726,blueimp/javascript-md5,blueimp-md5 (npm),1,0,0,0,1,97.866,,,,D,,,,D,False
6727,bluejekyll/enum-as-inner,enum-as-inner (crates),0,0,1,0,1,,,94.3786,,,,D,,D,False
6728,bluelovers/ws-ts-type,ts-type (npm),1,0,0,0,1,99.9995,,,,D,,,,D,False
6729,bluelovers/ws-yarn-workspaces,find-yarn-workspace-root2 (npm),1,0,0,0,1,99.0279,,,,D,,,,D,False
6730,bluk/leb128fmt,leb128fmt (crates),0,0,1,0,1,,,98.3981,,,,D,,D,False
6731,bluss/defmac,defmac (crates),0,0,1,0,1,,,97.593,,,,D,,D,False
6732,bluss/galil-seiferas,galil-seiferas (crates),0,0,1,0,1,,,99.9211,,,,D,,D,False
