"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"@babel/plugin-transform-dynamic-import","npm","babel/babel","0.00015759","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-explicit-resource-management","npm","babel/babel","0.00005107","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-exponentiation-operator","npm","babel/babel","0.00023587","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-export-namespace-from","npm","babel/babel","0.00016042","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-flow-strip-types","npm","babel/babel","0.00014771","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-for-of","npm","babel/babel","0.00025489","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-function-name","npm","babel/babel","0.00025012","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-json-strings","npm","babel/babel","0.00015784","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-literals","npm","babel/babel","0.00025074","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-logical-assignment-operators","npm","babel/babel","0.00016092","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-member-expression-literals","npm","babel/babel","0.00024368","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-modules-amd","npm","babel/babel","0.00023729","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-modules-commonjs","npm","babel/babel","0.00030742","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-modules-systemjs","npm","babel/babel","0.00023947","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-modules-umd","npm","babel/babel","0.00023438","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-named-capturing-groups-regex","npm","babel/babel","0.00023646","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-new-target","npm","babel/babel","0.00023342","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-nullish-coalescing-operator","npm","babel/babel","0.00016739","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-numeric-separator","npm","babel/babel","0.00016056","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-object-assign","npm","babel/babel","0.00001075","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-object-rest-spread","npm","babel/babel","0.00016313","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-object-super","npm","babel/babel","0.00024702","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-optional-catch-binding","npm","babel/babel","0.00016052","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-optional-chaining","npm","babel/babel","0.00023090","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-parameters","npm","babel/babel","0.00032612","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-private-methods","npm","babel/babel","0.00016754","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-private-property-in-object","npm","babel/babel","0.00016222","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-property-literals","npm","babel/babel","0.00024392","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-constant-elements","npm","babel/babel","0.00007318","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-display-name","npm","babel/babel","0.00019849","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-jsx","npm","babel/babel","0.00032898","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-jsx-development","npm","babel/babel","0.00015538","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-react-jsx-self","npm","babel/babel","0.00008051","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
