repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
python/typing,24604008,1055,145,9,409,2026-04-27T23:50:43+00:00
python/typing_extensions,494077289,509,78,2,1539,2026-04-27T23:50:46+00:00
python/tzdata,242158882,158,8,1,6334,2026-04-27T23:50:46+00:00
qix-/color-convert,1874305,152,31,2,2829,2026-04-27T23:50:49+00:00
qix-/node-error-ex,41388258,50,5,1,8480,2026-04-27T23:50:51+00:00
qix-/node-is-arrayish,41376759,27,4,1,7284,2026-04-27T23:50:52+00:00
qt/qt5,9880318,6631,270,145,162,2026-04-27T23:50:54+00:00
radix-ui/primitives,273499522,1662,89,2,1547,2026-04-27T23:50:57+00:00
raszi/node-tmp,2313213,454,38,1,4291,2026-04-27T23:50:58+00:00
raynos/for-each,6006855,72,3,1,6925,2026-04-27T23:51:01+00:00
raynos/function-bind,10727014,100,6,1,8662,2026-04-27T23:51:03+00:00
raynos/xtend,4419184,77,19,1,4802,2026-05-03T16:23:45+00:00
rayon-rs/either,42479602,278,40,2,2303,2026-04-27T23:51:05+00:00
rayon-rs/rayon,24725038,2321,159,2,2258,2026-04-27T23:51:10+00:00
reactivex/rxjs,32247847,5461,558,3,1632,2026-04-27T23:51:15+00:00
realpython/pytest-mypy,69576530,354,16,1,8291,2026-04-27T23:51:13+00:00
remix-run/react-router,19872456,10827,1268,4,853,2026-04-27T23:51:18+00:00
remusao/tldts,97631656,3001,28,15,1640,2026-04-27T23:51:18+00:00
repo/a,,,,1,5000,2026-05-18T01:19:53+00:00
requests/requests-oauthlib,6825724,666,120,4,935,2026-04-27T23:47:54+00:00
requests/toolbelt,15515181,614,72,1,3882,2026-04-27T23:47:54+00:00
retep998/winapi-rs,23853482,1053,163,1,3040,2026-04-27T23:47:56+00:00
rich-harris/estree-walker,33668779,113,12,1,5163,2026-04-27T23:47:58+00:00
rich-harris/magic-string,26143240,586,57,1,3974,2026-04-27T23:47:58+00:00
rob--w/proxy-from-env,52038793,46,4,1,8365,2026-04-27T23:48:00+00:00
rogdham/backports.zstd,977687927,66,3,1,9408,2026-04-27T23:48:03+00:00
rollup/plugins,203607977,1283,256,11,962,2026-04-27T23:48:05+00:00
ronaldoussoren/pyobjc,243933900,5876,40,1,7281,2026-04-27T23:48:05+00:00
rust-cli/anstyle,493821282,1256,39,1,6450,2026-04-27T23:48:07+00:00
rust-cli/env_logger,96382888,738,76,2,2496,2026-04-27T23:48:07+00:00
rust-embedded/critical-section,365854323,135,17,1,3167,2026-04-27T23:48:09+00:00
rust-fuzz/arbitrary,90591032,408,63,2,2531,2026-04-27T23:48:11+00:00
rust-itertools/itertools,22360263,2204,185,10,727,2026-04-27T23:48:13+00:00
rust-lang-nursery/lazy-static.rs,21157492,280,61,2,1889,2026-04-27T23:48:14+00:00
rust-lang/cc-rs,26039547,1611,326,6,1315,2026-04-27T23:48:17+00:00
rust-lang/cfg-if,38723660,126,21,2,1924,2026-04-27T23:48:16+00:00
rust-lang/compiler-builtins,65153793,3374,225,4,991,2026-04-27T23:48:19+00:00
rust-lang/flate2-rs,21954009,836,115,2,2070,2026-04-27T23:48:20+00:00
rust-lang/futures-rs,55077261,3475,361,3,1400,2026-04-27T23:48:24+00:00
rust-lang/glob,23241722,253,51,4,1280,2026-04-27T23:48:23+00:00
rust-lang/hashbrown,155119796,1293,136,3,1155,2026-04-27T23:48:25+00:00
rust-lang/libc,29197565,9009,876,5,793,2026-04-27T23:48:28+00:00
rust-lang/libz-sys,26042019,484,57,3,1369,2026-04-27T23:48:27+00:00
rust-lang/log,27974762,960,134,3,1466,2026-04-27T23:48:29+00:00
rust-lang/pkg-config-rs,26042035,308,58,2,1869,2026-04-27T23:48:31+00:00
rust-lang/regex,27890669,1596,210,1,4907,2026-04-27T23:48:34+00:00
rust-lang/rust,724712,325112,8379,27,291,2026-04-27T23:48:40+00:00
rust-lang/tempdir,31728565,73,17,2,2293,2026-04-27T23:48:38+00:00
rust-num/num-traits,114705611,1179,131,5,1140,2026-04-27T23:48:38+00:00
rust-phf/rust-phf,15992970,891,73,1,3543,2026-04-27T23:48:40+00:00
rust-random/getrandom,166545969,667,64,2,2358,2026-04-27T23:48:42+00:00
rust-random/rand,30227790,3560,310,3,1592,2026-04-27T23:48:45+00:00
rust-random/rand_core,1086593277,371,38,1,2995,2026-04-27T23:48:45+00:00
rust-random/rngs,209510094,189,22,1,4219,2026-04-27T23:48:47+00:00
rustcrypto/formats,406051759,1783,101,1,3020,2026-04-27T23:48:48+00:00
rustcrypto/hashes,74106774,706,88,2,2743,2026-04-27T23:48:50+00:00
rustcrypto/stream-ciphers,83051505,601,30,1,3706,2026-04-27T23:48:53+00:00
rustcrypto/traits,85605821,1979,72,1,4768,2026-04-27T23:48:57+00:00
rustcrypto/utils,77307442,1311,77,1,4274,2026-04-27T23:48:57+00:00
rvagg/bl,10706095,280,40,2,1486,2026-04-27T23:49:00+00:00
rvagg/prr,9151864,10,2,1,8200,2026-04-27T23:49:03+00:00
rvagg/through2,11808187,125,21,1,4648,2026-04-27T23:49:04+00:00
ryanzim/universalify,87651180,28,5,1,6837,2026-04-27T23:49:05+00:00
salesforce/tough-cookie,2606873,714,43,3,1337,2026-04-27T23:49:07+00:00
samn/json-stable-stringify,76598131,34,8,7,156,2026-04-27T23:49:09+00:00
samverschueren/decode-uri-component,91837954,19,3,1,8061,2026-04-27T23:49:11+00:00
sboudrias/inquirer.js,10114077,2093,252,1,4282,2026-04-27T23:49:15+00:00
scikit-build/ninja-python-distributions,75102202,369,12,3,1189,2026-04-27T23:49:13+00:00
scikit-learn/scikit-learn,843222,33586,3503,22,183,2026-04-27T23:49:21+00:00
scipy/scipy,1460385,37385,1904,12,332,2026-04-27T23:49:23+00:00
seanmonstar/reqwest,62350380,1290,399,6,1997,2026-04-27T23:49:25+00:00
sec-ant/readable-stream,569980966,119,4,1,1984,2026-04-27T23:49:24+00:00
selinuxproject/selinux,20648799,4099,191,5,748,2026-04-27T23:49:28+00:00
serde-rs/bytes,87358441,215,9,1,8660,2026-04-27T23:49:30+00:00
serde-rs/json,35894511,1848,144,1,6239,2026-04-27T23:49:35+00:00
serde-rs/serde,14367737,4354,205,1,4140,2026-04-27T23:49:36+00:00
serde-rs/test,670894947,522,11,1,8234,2026-04-27T23:49:38+00:00
servo/rust-fnv,33499190,60,19,4,828,2026-04-27T23:49:40+00:00
servo/rust-smallvec,33456236,504,97,15,586,2026-04-27T23:49:42+00:00
servo/rust-url,14934771,1409,198,3,1513,2026-04-27T23:49:45+00:00
shtylman/node-process,7580644,74,16,2,3285,2026-04-27T23:49:46+00:00
sinclairzx81/sinclair-typebox,1122129819,12,1,1,10000,2026-04-27T23:49:47+00:00
sindresorhus/ansi-escapes,40721875,82,18,1,5938,2026-04-27T23:49:50+00:00
sindresorhus/array-union,21005682,25,9,1,4752,2026-04-27T23:49:53+00:00
sindresorhus/binary-extensions,29771015,73,23,1,3147,2026-04-27T23:49:56+00:00
sindresorhus/callsites,18938743,38,7,1,5277,2026-04-27T23:49:57+00:00
sindresorhus/camelcase,25116836,106,31,1,3835,2026-04-27T23:49:59+00:00
sindresorhus/clean-stack,62838930,59,15,1,5139,2026-04-27T23:50:01+00:00
sindresorhus/cli-cursor,23512396,30,6,1,6989,2026-04-27T23:50:04+00:00
sindresorhus/crypto-random-string,73665728,33,8,1,3848,2026-04-27T23:50:06+00:00
sindresorhus/decamelize,29773710,59,15,1,4260,2026-04-27T23:50:09+00:00
sindresorhus/detect-newline,21304485,39,9,1,5989,2026-04-27T23:50:12+00:00
sindresorhus/environment,793180075,5,1,1,10000,2026-04-27T23:50:13+00:00
sindresorhus/escape-string-regexp,21169121,33,8,1,3085,2026-04-27T23:50:15+00:00
sindresorhus/execa,47475908,824,64,1,5453,2026-04-27T23:50:18+00:00
sindresorhus/figures,21672939,129,12,2,3908,2026-04-27T23:50:20+00:00
sindresorhus/file-type,19105307,640,119,2,2704,2026-04-27T23:50:22+00:00
sindresorhus/find-cache-dir,48783244,54,14,2,2743,2026-04-27T23:50:25+00:00
sindresorhus/find-cache-directory,48783244,54,14,2,2743,2026-05-17T23:35:37+00:00
sindresorhus/find-up,41723004,78,17,1,4875,2026-04-27T23:50:26+00:00
sindresorhus/find-up-simple,714044439,7,2,1,5918,2026-04-27T23:50:27+00:00
sindresorhus/get-east-asian-width,711160838,24,4,1,4253,2026-04-27T23:50:29+00:00
sindresorhus/get-stream,44264225,124,17,1,3674,2026-04-27T23:50:32+00:00
sindresorhus/globals,15186239,427,102,2,2367,2026-04-27T23:50:33+00:00
sindresorhus/globby,21069494,262,50,1,3484,2026-04-27T23:50:36+00:00
sindresorhus/has-flag,38718671,22,7,1,5413,2026-04-27T23:50:40+00:00
sindresorhus/import-fresh,22020904,37,8,1,6216,2026-04-27T23:50:45+00:00
sindresorhus/import-local,90292430,30,8,1,5489,2026-04-27T23:50:47+00:00
sindresorhus/indent-string,20576837,50,11,1,6128,2026-04-27T23:50:49+00:00
sindresorhus/is-binary-path,29771247,22,6,1,4463,2026-04-27T23:50:50+00:00
sindresorhus/is-docker,33590534,31,7,1,6556,2026-04-27T23:50:52+00:00
sindresorhus/is-fullwidth-code-point,39222301,26,9,1,4438,2026-04-27T23:50:54+00:00
sindresorhus/is-inside-container,601943060,3,1,1,10000,2026-04-27T23:50:57+00:00
sindresorhus/is-path-inside,21054113,33,8,1,5023,2026-04-27T23:50:58+00:00
sindresorhus/is-plain-obj,38923193,29,7,1,4078,2026-04-27T23:51:01+00:00
sindresorhus/is-stream,29436825,33,6,1,5923,2026-04-27T23:51:04+00:00
sindresorhus/is-unicode-supported,348660847,20,5,1,5775,2026-04-27T23:51:07+00:00
sindresorhus/is-wsl,88415331,25,7,1,5872,2026-04-27T23:51:09+00:00
sindresorhus/leven,22794601,40,8,1,5738,2026-04-27T23:51:11+00:00
sindresorhus/locate-path,74266248,32,8,1,5723,2026-04-27T23:51:13+00:00
sindresorhus/log-symbols,21673868,47,13,1,4224,2026-04-27T23:51:16+00:00
sindresorhus/lowercase-keys,29769737,21,3,1,8231,2026-04-27T23:51:19+00:00
sindresorhus/make-dir,90776169,60,11,1,4822,2026-04-27T23:47:53+00:00
sindresorhus/meow,25121561,208,45,1,3689,2026-04-27T23:47:55+00:00
sindresorhus/mimic-fn,71381729,51,11,2,3291,2026-04-27T23:47:57+00:00
sindresorhus/mimic-function,71381729,51,11,2,3291,2026-04-27T23:47:58+00:00
sindresorhus/mimic-response,93189529,22,6,1,5455,2026-04-27T23:47:59+00:00
sindresorhus/node-defaults,7985040,22,5,1,3554,2026-04-27T23:48:00+00:00
sindresorhus/normalize-url,29094022,181,45,1,4357,2026-04-27T23:48:02+00:00
sindresorhus/npm-run-path,48707028,43,7,1,4354,2026-04-27T23:48:03+00:00
sindresorhus/object-assign,16457190,67,14,1,5208,2026-04-27T23:48:05+00:00
sindresorhus/onetime,14847357,50,9,1,6160,2026-04-27T23:48:07+00:00
sindresorhus/open,18469325,223,57,1,4378,2026-04-27T23:48:08+00:00
sindresorhus/p-limit,71542716,76,18,1,5663,2026-04-27T23:48:09+00:00
sindresorhus/p-locate,74265632,27,6,1,6159,2026-04-27T23:48:10+00:00
sindresorhus/p-map,71526722,69,18,1,3821,2026-04-27T23:48:12+00:00
sindresorhus/p-try,71534796,17,5,1,5225,2026-04-27T23:48:13+00:00
sindresorhus/package-directory,41724281,42,9,1,5879,2026-05-17T23:35:34+00:00
sindresorhus/parent-module,50187748,26,6,1,6598,2026-04-27T23:48:14+00:00
sindresorhus/parse-json,41367145,66,15,1,4504,2026-04-27T23:48:16+00:00
sindresorhus/path-exists,34965664,25,7,1,4832,2026-04-27T23:48:18+00:00
sindresorhus/path-is-absolute,30900285,11,2,1,8347,2026-05-03T16:23:40+00:00
sindresorhus/path-key,48706449,23,6,1,5047,2026-04-27T23:48:19+00:00
sindresorhus/path-type,41905436,27,7,1,5144,2026-04-27T23:48:21+00:00
sindresorhus/pify,41585934,69,16,1,4913,2026-04-27T23:48:23+00:00
sindresorhus/pkg-dir,41724281,42,9,1,5879,2026-04-27T23:48:25+00:00
sindresorhus/quick-lru,86679721,69,18,1,4696,2026-04-27T23:48:26+00:00
sindresorhus/read-package-up,41842429,46,9,1,6857,2026-05-17T23:35:34+00:00
sindresorhus/read-pkg,41790094,53,9,1,6931,2026-04-27T23:48:26+00:00
sindresorhus/read-pkg-up,41842429,46,9,1,6857,2026-04-27T23:48:29+00:00
sindresorhus/resolve-cwd,47504070,15,4,1,6533,2026-04-27T23:48:33+00:00
sindresorhus/resolve-from,22022707,30,7,1,5533,2026-04-27T23:48:33+00:00
sindresorhus/restore-cursor,23512229,23,6,1,6219,2026-04-27T23:48:34+00:00
sindresorhus/shebang-regex,30903733,15,4,1,6533,2026-04-27T23:48:36+00:00
sindresorhus/slash,11516031,34,8,1,6367,2026-04-27T23:48:38+00:00
sindresorhus/string-width,39222730,78,14,1,5450,2026-04-27T23:48:40+00:00
sindresorhus/strip-bom,18444852,37,7,1,7064,2026-04-27T23:48:42+00:00
sindresorhus/strip-final-newline,47453723,20,4,1,4900,2026-04-27T23:48:45+00:00
sindresorhus/strip-indent,18242629,40,8,1,6850,2026-04-27T23:48:46+00:00
sindresorhus/strip-json-comments,14468669,82,21,1,5561,2026-04-27T23:48:47+00:00
sindresorhus/tagged-tag,795552264,5,1,1,10000,2026-04-27T23:48:47+00:00
sindresorhus/to-fast-properties,31656998,32,8,1,4902,2026-04-27T23:48:49+00:00
sindresorhus/type-fest,175398594,935,211,2,1755,2026-04-27T23:48:56+00:00
sindresorhus/unicorn-magic,716660564,12,2,1,8472,2026-04-27T23:48:56+00:00
sindresorhus/yocto-queue,315531538,17,4,1,6886,2026-04-27T23:48:59+00:00
sinonjs/commons,143001748,167,12,5,1611,2026-04-27T23:49:01+00:00
sinonjs/fake-timers,16523712,835,90,2,2026,2026-04-27T23:49:02+00:00
smithy-lang/smithy-rs,308027791,3382,147,4,1034,2026-04-27T23:49:05+00:00
smithy-lang/smithy-typescript,208319207,2910,101,4,865,2026-04-27T23:49:06+00:00
smol-rs/fastrand,267368764,152,23,2,1655,2026-04-27T23:49:08+00:00
snowflakedb/snowflake-connector-python,62262074,1848,156,3,962,2026-04-27T23:49:09+00:00
socketio/socket.io,557980,7712,561,2,2655,2026-04-27T23:49:16+00:00
sqlalchemy/sqlalchemy,159271175,18027,827,1,6301,2026-04-27T23:49:18+00:00
srijs/rust-crc32fast,157348282,98,12,1,7035,2026-04-27T23:49:16+00:00
stebalien/tempfile,33832372,512,80,1,4991,2026-04-27T23:49:17+00:00
stefanpenner/get-caller-file,48818175,53,5,1,7601,2026-04-27T23:47:53+00:00
storybookjs/storybook,54173593,78824,2619,5,854,2026-04-27T23:47:56+00:00
stream-utils/destroy,15544623,130,3,1,8174,2026-04-27T23:47:56+00:00
stream-utils/raw-body,12823654,537,18,1,6957,2026-04-27T23:47:58+00:00
stream-utils/unpipe,37428186,81,1,1,10000,2026-04-27T23:48:00+00:00
streamich/memfs,37490572,2087,72,3,1929,2026-04-27T23:48:01+00:00
stub42/pytz,63155638,689,23,1,3048,2026-04-27T23:48:02+00:00
suguru03/neo-async,27030361,948,21,1,8939,2026-04-27T23:48:03+00:00
sval-rs/sval,157205610,417,7,1,9527,2026-04-27T23:48:05+00:00
swc-project/swc,115110181,11798,359,2,2696,2026-04-27T23:48:09+00:00
sybrenstuvel/python-rsa,50107469,604,43,1,4810,2026-05-03T16:23:40+00:00
syntax-tree/unist-util-is,41795086,133,6,1,8567,2026-04-27T23:48:08+00:00
systemd/systemd,32873313,88326,3262,3,1286,2026-04-27T23:48:12+00:00
taiki-e/pin-project,164668916,1442,13,1,6204,2026-04-27T23:48:10+00:00
taiki-e/pin-project-lite,216847853,701,12,1,7474,2026-04-27T23:48:12+00:00
taiki-e/portable-atomic,448365131,1890,10,1,9051,2026-04-27T23:48:13+00:00
tapjs/signal-exit,35711072,120,14,2,1703,2026-04-27T23:48:15+00:00
tapjs/stack-utils,48974178,94,13,2,2635,2026-04-27T23:48:16+00:00
tartley/colorama,18892209,391,52,3,1285,2026-04-27T23:48:18+00:00
teambition/merge2,25396227,42,7,1,6990,2026-04-27T23:48:19+00:00
teddriggs/darling,89984100,547,46,1,6759,2026-04-27T23:48:20+00:00
tehshrike/deepmerge,3276413,331,39,1,3172,2026-04-27T23:48:22+00:00
terkelg/sisteransi,122441239,28,5,1,6824,2026-04-27T23:48:26+00:00
terser/terser,29097127,3503,264,2,1998,2026-04-27T23:48:28+00:00
textualize/rich,220809393,4458,289,1,4556,2026-04-27T23:48:30+00:00
theskumar/python-dotenv,23727790,425,112,21,740,2026-04-27T23:48:28+00:00
thkukuk/rpcsvc-proto,55140533,32,7,1,6650,2026-04-27T23:48:32+00:00
thlorenz/convert-source-map,8751561,115,27,1,3927,2026-04-27T23:48:34+00:00
thlorenz/deep-is,9345558,24,3,2,2135,2026-04-27T23:48:35+00:00
thomasdickey/ncurses-snapshots,65149533,1647,1,1,10000,2026-04-27T23:48:37+00:00
tim-kos/node-retry,1738798,139,29,20,779,2026-04-27T23:48:39+00:00
time-rs/time,26459635,1254,71,1,8357,2026-04-27T23:48:41+00:00
tj/commander.js,2206953,1491,197,3,1714,2026-04-27T23:48:43+00:00
tj/node-cookie-signature,6229722,67,11,1,3593,2026-05-17T23:35:35+00:00
tjguk/wmi,23124645,816,3,1,19,2026-04-27T23:48:43+00:00
tkem/cachetools,18006791,446,22,1,7075,2026-04-27T23:48:47+00:00
tokio-rs/bytes,30062547,558,128,3,1497,2026-04-27T23:48:47+00:00
tokio-rs/loom,161875917,235,57,2,1844,2026-04-27T23:48:49+00:00
tokio-rs/prost,94262864,791,169,2,2006,2026-04-27T23:48:51+00:00
tokio-rs/slab,37093133,131,40,3,1341,2026-04-27T23:48:52+00:00
tokio-rs/tokio,67836789,4471,1034,11,495,2026-04-27T23:49:01+00:00
tokio-rs/tracing,165289175,1610,314,1,2653,2026-04-27T23:49:02+00:00
toml-rs/toml,95902102,3028,160,1,4276,2026-04-27T23:49:02+00:00
tootallnate/proxy-agents,11293703,326,47,1,4742,2026-04-27T23:49:01+00:00
tootallnate/util-deprecate,19321056,9,3,1,6173,2026-04-27T23:49:03+00:00
tower-rs/tower,98244646,616,108,5,781,2026-04-27T23:49:06+00:00
tox-dev/filelock,17098256,495,60,56,709,2026-04-27T23:49:08+00:00
tox-dev/platformdirs,367032142,617,87,15,468,2026-04-27T23:49:08+00:00
tqdm/tqdm,36804486,2036,119,1,5835,2026-04-27T23:49:11+00:00
tritondatacenter/node-assert-plus,4767976,38,11,3,1330,2026-05-17T23:35:36+00:00
tritondatacenter/node-extsprintf,4058064,21,7,5,454,2026-05-17T23:35:36+00:00
troygoode/node-require-directory,3053807,79,10,1,7646,2026-04-27T23:49:12+00:00
trysound/postcss-value-parser,40920306,118,15,1,4765,2026-04-27T23:49:14+00:00
tsconfig/bases,263697285,446,98,2,2483,2026-04-27T23:49:16+00:00
tukaani-project/xz,553665726,3020,64,1,6715,2026-04-27T23:49:17+00:00
typescript-eslint/typescript-eslint,165536154,6564,795,28,293,2026-04-27T23:47:56+00:00
unicode-org/icu,49244766,33737,270,6,672,2026-04-27T23:47:55+00:00
unicode-org/icu4x,243395141,4982,139,2,1814,2026-04-27T23:47:57+00:00
unicode-rs/unicode-xid,34637906,89,22,2,2238,2026-04-27T23:47:59+00:00
unshiftio/requires-port,26316179,52,4,2,3295,2026-04-27T23:48:00+00:00
uqfoundation/dill,11031844,1062,47,1,7214,2026-04-27T23:48:01+00:00
urllib3/urllib3,2410676,4358,390,4,887,2026-04-27T23:48:05+00:00
util-linux/util-linux,2339555,22402,1134,1,3079,2026-04-27T23:48:06+00:00
uuidjs/uuid,1203139,620,88,2,3105,2026-04-27T23:48:06+00:00
vercel/ai,644461337,6736,620,7,918,2026-04-27T23:48:10+00:00
vercel/ms,3655872,189,42,3,1278,2026-04-27T23:48:08+00:00
vercel/next.js,70107786,33825,4082,12,327,2026-04-27T23:48:14+00:00
visionmedia/bytes.js,4626886,169,20,1,5478,2026-04-27T23:48:11+00:00
visionmedia/node-cookie-signature,6229722,67,11,1,3593,2026-04-27T23:48:12+00:00
vitest-dev/vitest,434708679,5697,739,2,1498,2026-04-27T23:48:17+00:00
vorner/signal-hook,137260008,371,37,1,5960,2026-04-27T23:48:14+00:00
vuejs/core,137078487,7018,616,1,2629,2026-04-27T23:48:20+00:00
wasm-bindgen/wasm-bindgen,114685405,4316,539,3,1505,2026-04-27T23:48:21+00:00
watson/ci-info,71475907,212,34,2,3391,2026-04-27T23:48:20+00:00
wbond/asn1crypto,36823669,810,39,1,7732,2026-04-27T23:48:21+00:00
webmproject/libwebp,23368445,5149,77,2,3040,2026-04-27T23:48:24+00:00
webpack/enhanced-resolve,5400204,997,83,2,2639,2026-04-27T23:48:25+00:00
webpack/loader-utils,6503675,256,44,3,1444,2026-05-03T16:23:40+00:00
webpack/schema-utils,80306715,206,20,3,1393,2026-04-27T23:48:28+00:00
webpack/tapable,7730086,279,39,1,3697,2026-04-27T23:48:28+00:00
webpack/terser-webpack-plugin,143057914,409,39,2,2682,2026-04-27T23:48:30+00:00
webpack/watchpack,24119524,439,35,1,4903,2026-04-27T23:48:32+00:00
webpack/webpack-sources,48954523,351,32,1,3817,2026-04-27T23:48:35+00:00
webreflection/flatted,131121620,172,13,1,5151,2026-04-27T23:48:36+00:00
webreflection/html-escaper,33597730,28,1,1,10000,2026-04-27T23:48:37+00:00
websocket-client/websocket-client,1202362,1295,226,2,2762,2026-04-27T23:48:40+00:00
websockets/ws,2744972,1942,209,2,2140,2026-04-27T23:48:41+00:00
wesleytodd/setprototypeof,30301031,26,5,1,6612,2026-04-27T23:48:42+00:00
whitequark/ipaddr.js,2110585,181,39,1,2718,2026-04-27T23:48:44+00:00
withoutboats/heck,86326466,57,15,2,2909,2026-04-27T23:48:46+00:00
xiph/ogg,33956205,601,62,34,1033,2026-04-27T23:48:48+00:00
xtuc/webassemblyjs,113006071,2152,44,1,4546,2026-04-27T23:48:49+00:00
yahoo/serialize-javascript,24106944,174,29,6,1116,2026-04-27T23:48:51+00:00
yaml/libyaml,2699072,219,34,2,2312,2026-04-27T23:48:54+00:00
yaml/pyyaml,2700147,326,40,1,3117,2026-04-27T23:48:56+00:00
yargs/cliui,34287546,136,19,12,507,2026-04-27T23:48:59+00:00
yargs/set-blocking,58830287,13,6,5,651,2026-04-27T23:49:01+00:00
yargs/y18n,39720886,113,20,11,187,2026-04-27T23:49:03+00:00
yargs/yargs,14210523,1849,305,217,349,2026-04-27T23:49:05+00:00
yargs/yargs-parser,50258379,367,62,53,159,2026-04-27T23:49:06+00:00
yuzujs/setimmediate,1981208,118,12,1,4999,2026-04-27T23:49:07+00:00
zertosh/loose-envify,41947687,31,5,1,7627,2026-04-27T23:49:09+00:00
zesterer/spin-rs,21686666,394,59,2,2113,2026-05-17T23:35:35+00:00
zloirock/core-js,11481338,7819,142,1,9012,2026-04-27T23:49:11+00:00
