repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
chalker/safer-buffer,125825141,49,6,1,7734,2026-04-27T23:49:24+00:00
chardet/chardet,5196969,1047,55,1,7079,2026-04-27T23:49:26+00:00
cheeriojs/dom-serializer,18991884,1408,21,19,61,2026-04-27T23:49:29+00:00
chicoxyzzy/node-releases,73765596,452,11,2,4469,2026-04-27T23:49:33+00:00
chronotope/chrono,18210201,1768,258,3,1381,2026-04-27T23:49:37+00:00
chronotope/humantime,59320323,126,20,1,3653,2026-04-27T23:49:38+00:00
clap-rs/clap,31315121,8957,593,2,2453,2026-04-27T23:49:44+00:00
cloudflare/cloudflare-python,753271547,6531,17,13,185,2026-04-27T23:49:42+00:00
colinhacks/zod,245704608,2820,510,277,770,2026-04-27T23:49:48+00:00
colorjs/color-name,27038309,49,8,1,5035,2026-04-27T23:49:45+00:00
comex/rust-shlex,37886228,52,8,1,3358,2026-04-27T23:49:48+00:00
component/escape-html,5444800,36,8,1,5000,2026-04-27T23:49:51+00:00
component/toidentifier,114743189,81,2,1,9756,2026-04-27T23:49:52+00:00
conventional-changelog/commitlint,51575745,3239,291,268,403,2026-04-27T23:49:56+00:00
conventional-changelog/conventional-changelog,15639771,1823,168,2,2430,2026-04-27T23:49:58+00:00
cosmiconfig/cosmiconfig,45750507,504,36,3,1078,2026-04-27T23:49:59+00:00
coveragepy/coveragepy,138421996,7402,201,1,8585,2026-04-27T23:50:03+00:00
cpburnz/python-pathspec,14648551,400,29,1,7708,2026-04-27T23:50:04+00:00
crate-py/rpds,608018848,610,20,1,4049,2026-05-17T23:35:35+00:00
criterion-rs/criterion.rs,1081104682,1587,137,4,1921,2026-04-27T23:50:08+00:00
crossbeam-rs/crossbeam,35566048,2330,162,147,441,2026-04-27T23:50:11+00:00
crypto-browserify/randombytes,29300004,51,10,2,1945,2026-04-27T23:50:15+00:00
css-modules/icss-utils,42766912,67,13,2,1753,2026-04-27T23:50:14+00:00
cssnano/cssnano,33943153,2634,129,1,3478,2026-04-27T23:50:16+00:00
csstools/postcss-plugins,219192307,4893,141,1,3245,2026-04-27T23:50:19+00:00
csstree/csstree,67236461,1249,30,1,9262,2026-04-27T23:50:20+00:00
curl/curl,569041,38542,1500,1,2938,2026-04-27T23:50:26+00:00
cuviper/autocfg,135481335,120,10,1,5938,2026-04-27T23:50:25+00:00
cyan4973/xxhash,19330466,2073,124,1,5090,2026-04-27T23:50:27+00:00
daaku/nodejs-makeerror,2097803,22,2,1,8347,2026-04-27T23:50:28+00:00
daaku/nodejs-tmpl,2171213,15,4,1,6533,2026-04-27T23:50:30+00:00
dateutil/dateutil,26876372,1610,133,1,3698,2026-04-27T23:50:32+00:00
davepacheco/node-extsprintf,4058064,21,7,5,454,2026-04-27T23:50:37+00:00
davidhalter/parso,90668463,1149,52,1,7603,2026-04-27T23:50:39+00:00
davisjam/safe-regex,90781457,85,6,1,3271,2026-04-27T23:50:43+00:00
dchest/tweetnacl-js,15649752,413,18,1,8831,2026-04-27T23:50:45+00:00
dcodeio/long.js,8678904,143,19,1,5403,2026-04-27T23:50:47+00:00
dcodeio/protobuf.js,8507859,988,125,1,4142,2026-04-27T23:50:50+00:00
debug-js/debug,2871998,553,121,3,1553,2026-04-27T23:50:52+00:00
definitelytyped/definitelytyped,6093316,91057,21992,385,47,2026-04-27T23:50:55+00:00
defunctzombie/node-process,7580644,74,16,2,3285,2026-05-17T23:35:34+00:00
django/asgiref,48501860,494,113,2,2379,2026-04-27T23:50:54+00:00
djc/rustc-version-rs,41272773,116,17,2,3125,2026-04-27T23:50:58+00:00
dmitrysoshnikov/regexp-tree,85459304,624,28,1,5042,2026-04-27T23:50:59+00:00
dominictarr/through,4885140,95,12,1,7647,2026-05-03T16:23:43+00:00
doowb/ansi-colors,47135420,124,13,1,3848,2026-04-27T23:51:02+00:00
douglasdwyer/wasm_sync,668034655,4,1,1,10000,2026-04-27T23:51:05+00:00
dougwilson/nodejs-depd,20848667,228,2,1,9913,2026-04-27T23:51:06+00:00
dtolnay/anyhow,212936374,919,27,1,9274,2026-04-27T23:51:08+00:00
dtolnay/automod,173074854,130,5,1,9396,2026-04-27T23:51:11+00:00
