repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
burntsushi/walkdir,42685794,3528,2174,137,6.3,198,1.26,20,2024,247,33839,5.1238,43.46
burntsushi/winapi-util,146040682,1015,582,56,9.62,26,0.34,3,2025,339,18984,4.4450,40.71
businho/pytest-ruff,599731435,379,281,34,12.10,25,0.83,3,2025,847,28798,4.5216,40.83
bytecodealliance/rustix,295544240,87336,61352,2485,4.05,2691,0.8,171,2025,417068,1036413980,19.0834,88.88
bytecodealliance/wasi-rs,196445196,41551,36448,1238,3.40,385,0.26,13,2025,154050,190713900,16.0458,83.94
c-ares/c-ares,571708,65368,44762,8526,19.05,7366,4.14,100,2025,402811,3434366586,22.0325,94.04
calvinmetcalf/minimalistic-assert,29144257,11,9,5,55.56,4,2,2,HEAD,0,0,0.0000,7.28
calvinmetcalf/process-nextick-args,36039131,81,75,6,8,4,0.36,4,HEAD,0,0,0.0000,7.28
caolan/async,698041,37684,19660,1751,8.91,2203,0.54,74,2025,6827,11954077,12.4367,72.82
certbot/certbot,26516210,73975,52984,4731,8.93,5040,1.15,40,2025,267923,1267543713,19.9482,90.71
certifi/python-certifi,3060959,180,110,8,7.27,2,0.25,1,2025,266,2128,2.3155,28.44
chaijs/type-detect,12107007,1364,925,149,16.11,54,0.29,37,2021,18,2682,2.7827,31.48
chalk/ansi-regex,20451415,527,441,23,5.22,19,0.63,4,2025,294,6762,3.4089,34.52
chalk/ansi-styles,11803168,484,385,25,6.49,17,0.68,6,2025,1137,28425,4.3244,40.02
chalk/chalk,11855195,1265,984,108,10.98,122,1.47,47,2025,4164,449712,7.3747,54.70
chalk/slice-ansi,43191689,278,213,30,14.08,45,1.61,17,2025,320,9600,3.7381,36.58
chalk/strip-ansi,15014856,36,25,1,4.00,1,0.17,1,2025,28,28,0.4402,15.14
chalk/supports-color,11855007,688,561,55,9.80,64,0.93,47,2025,783,43065,5.0598,43.23
chalk/wrap-ansi,41053676,400,298,53,17.79,72,1.85,49,2025,115,6095,3.5765,35.78
chalker/safer-buffer,125825141,541,478,81,16.95,85,0.78,15,HEAD,0,0,0.0000,7.28
chardet/chardet,5196969,296091,292582,611,0.21,948,5.1,162,2025,6852352,4186787072,19.0498,88.76
cheeriojs/dom-serializer,18991884,650,556,0,0.00,1,0.02,1,2025,1002,0,0.0000,7.28
chicoxyzzy/node-releases,73765596,31,26,2,7.69,2,0.33,2,2025,265,530,1.1570,19.50
chronotope/chrono,18210201,34490,20404,1471,7.21,1277,0.94,46,2025,104910,154322610,15.9055,83.60
chronotope/humantime,59320323,1847,1467,152,10.36,27,0.63,10,2025,1534,233168,6.9607,52.75
clap-rs/clap,31315121,82196,60212,3179,5.28,0,0,0,2025,526274,1673025046,20.0381,91.06
cloudflare/cloudflare-python,753271547,975077,691587,31498,4.55,8525,0.24,59,2025,8595816,270751012368,31.1925,99.20
colinhacks/zod,245704608,70510,57552,4150,7.21,4570,0.78,332,2025,803378,3334018700,21.3649,92.66
colorjs/color-name,27038309,177,172,1,0.58,0,0,0,2025,926,926,0.8932,17.43
comex/rust-shlex,37886228,1537,1132,136,12.01,112,2.07,17,2024,1757,238952,6.9337,52.29
component/escape-html,5444800,323,259,2,0.77,0,0,0,HEAD,0,0,0.0000,7.28
component/toidentifier,114743189,116,73,6,8.22,2,0.2,1,2021,65,390,1.5377,21.33
conventional-changelog/commitlint,51575745,19287,16352,783,4.79,807,0.49,25,2025,30077,23550291,12.9615,74.31
conventional-changelog/conventional-changelog,15639771,21305,18102,829,4.58,728,0.77,39,2025,83116,68903164,14.3610,79.36
