"package","github_repo","repo_url"
"string-trim-spaces-only","codsen/codsen","https://github.com/codsen/codsen"
"lrucache","zensh/lrucache","https://github.com/zensh/lrucache"
"koa-morgan","koa-modules/morgan","https://github.com/koa-modules/morgan"
"opencollective","opencollective/opencollective-cli","https://github.com/opencollective/opencollective-cli"
"deck.gl","visgl/deck.gl","https://github.com/visgl/deck.gl"
"console-grid","cenfun/console-grid","https://github.com/cenfun/console-grid"
"validate.io-array-like","validate-io/array-like","https://github.com/validate-io/array-like"
"validate.io-integer-primitive","validate-io/integer-primitive","https://github.com/validate-io/integer-primitive"
"graphql-typed","Shopify/quilt","https://github.com/Shopify/quilt"
"html-tag-names","wooorm/html-tag-names","https://github.com/wooorm/html-tag-names"
"utils-regex-from-string","kgryte/utils-regex-from-string","https://github.com/kgryte/utils-regex-from-string"
"mathjax-full","mathjax/Mathjax-src","https://github.com/mathjax/Mathjax-src"
"validate.io-buffer","validate-io/buffer","https://github.com/validate-io/buffer"
"draft-js-import-html","sstur/draft-js-utils","https://github.com/sstur/draft-js-utils/tree/master/packages/draft-js-import-html"
"utils-copy-error","kgryte/utils-copy-error","https://github.com/kgryte/utils-copy-error"
"utils-indexof","kgryte/utils-indexof","https://github.com/kgryte/utils-indexof"
"utils-copy","kgryte/utils-copy","https://github.com/kgryte/utils-copy"
"prettify-xml","jonathanewerner/prettify-xml","https://github.com/jonathanewerner/prettify-xml"
"postcss-atroot","OEvgeny/postcss-atroot","https://github.com/OEvgeny/postcss-atroot"
"tesseract.js-core","naptha/tesseract.js-core","https://github.com/naptha/tesseract.js-core"
"nexus","graphql-nexus/nexus","https://github.com/graphql-nexus/nexus"
"array.prototype.findindex","paulmillr/Array.prototype.findIndex","https://github.com/paulmillr/Array.prototype.findIndex"
"sortobject","bevry/sortobject","https://github.com/bevry/sortobject"
"p-debounce","sindresorhus/p-debounce","https://github.com/sindresorhus/p-debounce"
"babel-plugin-jsx-event-modifiers","nickmessing/babel-plugin-jsx-event-modifiers","https://github.com/nickmessing/babel-plugin-jsx-event-modifiers"
"properties-file","properties-file/properties-file","https://github.com/properties-file/properties-file"
"private-ip","frenchbread/private-ip","https://github.com/frenchbread/private-ip"
"angular-translate","angular-translate/angular-translate","https://github.com/angular-translate/angular-translate"
"filepond","pqina/filepond","https://github.com/pqina/filepond"
"react-toast-notifications","jossmac/react-toast-notifications","https://github.com/jossmac/react-toast-notifications"
"markdown-link","jonschlinkert/markdown-link","https://github.com/jonschlinkert/markdown-link"
"mdns-listener-advanced","aminekun90/mdns_listener_advanced","https://github.com/aminekun90/mdns_listener_advanced"
"text-mask-core","text-mask/text-mask","https://github.com/text-mask/text-mask"
"react-tiny-popover","alexkatz/react-tiny-popover","https://github.com/alexkatz/react-tiny-popover"
"react-native-geolocation-service","Agontuk/react-native-geolocation-service","https://github.com/Agontuk/react-native-geolocation-service"
"modern-screenshot","qq15725/modern-screenshot","https://github.com/qq15725/modern-screenshot"
