"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"crossbeam-channel","62002837","0.00148432","20116670","33577615","52485932","74658876","129175096"
"httpdate","61522118","0.00147282","15368300","27301543","47911268","79518787","137510694"
"pin-project","61468576","0.00147153","21221377","27761569","43181263","76046731","139131942"
"pin-project-internal","61443594","0.00147094","21156299","27744359","43170843","76058611","139087859"
"unicode-bidi","61374078","0.00146927","19203695","33392806","57690793","99549337","97033763"
"rustc-demangle","61210888","0.00146536","14932241","22335184","39630162","76331561","152825296"
"toml_datetime","61004054","0.00146041","0","206370","31178435","79658161","193977307"
"zeroize","60971155","0.00145963","8120715","19838430","33409496","76129017","167358119"
"walkdir","60680337","0.00145266","13707239","23080390","43408876","77793751","145411433"
"hyper-rustls","60475848","0.00144777","5252108","11386622","30511346","77655669","177573495"
"hermit-abi","59620753","0.00142730","9136162","16040250","51331618","80998316","140597419"
"addr2line","59379769","0.00142153","15682684","22346267","40523272","75978824","142367800"
"anstream","59352354","0.00142087","0","0","24567196","85100431","187094146"
"sync_wrapper","59334335","0.00142044","209684","5815289","19436479","83932104","187278119"
"num-bigint","59023478","0.00141300","13574802","24341635","41412754","75706719","140081480"
"paste","58765156","0.00140681","12144688","24390715","42444111","77507461","137338807"
"time-core","58501453","0.00140050","49","2550265","41816731","82182894","165957329"
"arrayvec","58412636","0.00139838","17675094","29870528","39321450","68372548","136823561"
"tower","58142570","0.00139191","3953199","11968614","25743249","62276390","186771399"
"same-file","57911195","0.00138637","13222156","22842050","40357625","71865603","141268544"
"tracing-subscriber","57778131","0.00138319","8785872","21151417","38045776","73290952","147616638"
"anstyle-parse","57752094","0.00138256","0","0","24846161","82848153","181066159"
"event-listener","57739078","0.00138225","5246236","11493202","26842966","86913107","158199880"
"anstyle-query","57567822","0.00137815","0","0","21002172","82015710","184821231"
"serde_urlencoded","57534022","0.00137734","15188506","24630762","38322652","69419356","140108835"
"minimal-lexical","57496639","0.00137645","1523820","18178153","43198743","86941233","137641247"
"hmac","57090642","0.00136673","12272425","24809448","45528839","73551010","129291488"
"ipnet","56844162","0.00136083","11526487","22477492","39100290","70367998","140748547"
"encoding_rs","56791017","0.00135955","13027369","23119689","40232172","73512700","134063157"
"backtrace","56701812","0.00135742","14906924","21932984","37450801","71855598","137362754"
"colorchoice","56105184","0.00134314","0","0","20712041","79750054","180063828"
"utf8parse","56072845","0.00134236","2760809","5065327","26273410","78606325","167658355"
"prost","55581051","0.00133059","5927046","15633339","28776153","73479746","154088972"
"rayon","55574259","0.00133043","11901740","21581423","40264436","73512330","130611369"
"prost-derive","55361806","0.00132534","5977507","15607443","28718161","73428652","153077267"
"rayon-core","55128841","0.00131976","11878056","21467789","40258997","71581539","130457825"
"textwrap","54870556","0.00131358","21041274","48907994","49481057","62720205","92202254"
"libloading","54254606","0.00129883","9447425","18491161","39318340","75845010","128171095"
"synstructure","54149830","0.00129633","11111834","15695529","17611027","36241760","190089001"
"tracing-log","54133134","0.00129593","7216071","16734947","32913283","77283458","136517913"
"humantime","53944950","0.00129142","17707172","27696531","41345844","67417683","115557520"
"proc-macro-crate","53804390","0.00128806","7559654","18011946","33228355","71040482","139181516"
