"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"clutter-gst","","","","","","",""
"clutter-gtk","","https://salsa.debian.org/gnome-team/clutter-gtk.git","","","","","git"
"cmake","https://github.com/kitware/cmake.git","https://gitlab.kitware.com/cmake/cmake.git","","","","",""
"cmark","https://github.com/commonmark/cmark.git","","","","","",""
"cmocka","","https://salsa.debian.org/debian/cmocka.git","","","","","git"
"cocoapods","https://github.com/cocoapods/cocoapods.git","","","","","",""
"codec2","","https://salsa.debian.org/bottoms/pkg-codec2.git","","","","","git"
"cogl","","https://salsa.debian.org/gnome-team/cogl.git","","","","","git"
"coin-or-cbc","https://github.com/coin-or/cbc.git","","","","","",""
"coin-or-cgl","","","","","","",""
"coin-or-coinutils","https://github.com/coin-or/coinutils.git","","","","","",""
"coin-or-osi","https://github.com/coin-or/osi.git","","","","","",""
"coinmp","","https://salsa.debian.org/science-team/coinmp.git","","","","","git"
"colord","","https://salsa.debian.org/debian/colord.git","","","","","git"
"colord-gtk","","https://salsa.debian.org/debian/colord-gtk.git","","","","","git"
"console-setup","","https://salsa.debian.org/installer-team/console-setup.git","","","","",""
"coreutils","https://github.com/coreutils/coreutils.git","","","","","",""
"cpio","","","","","","https://git.savannah.gnu.org/cgit/cpio.git",""
"cpuinfo-pytorch","https://github.com/pytorch/cpuinfo.git","","","","","",""
"cracklib","https://github.com/cracklib/cracklib.git","","","","","",""
"cron","","https://salsa.debian.org/debian/cron.git","","","","","git"
"crypto++","","","","","","",""
"cryptsetup","","https://gitlab.com/cryptsetup/cryptsetup.git","","","","",""
"cunit","","https://salsa.debian.org/debian/cunit.git","","","","","git"
"cups","https://github.com/openprinting/cups.git","","","","","",""
"cups-filters","https://github.com/openprinting/cups-filters.git","","","","","",""
"curl","https://github.com/curl/curl.git","","","","","",""
"cwidget","","https://salsa.debian.org/cwidget-team/cwidget.git","","","","","git"
"cyrus-sasl","https://github.com/cyrusimap/cyrus-sasl.git","","","","","",""
"czmq","","https://salsa.debian.org/debian/czmq.git","","","","","git"
"dash-shell","","","","","","https://git.kernel.org/pub/scm/utils/dash/dash.git",""
"dav1d","","","","","","https://code.videolan.org/videolan/dav1d.git",""
"db","https://github.com/berkeleydb/libdb.git","","","","","",""
"db-defaults","","https://salsa.debian.org/debian/db-defaults.git","","","","","git"
"dbus","","https://salsa.debian.org/utopia-team/dbus.git","","","","","git"
"dbus-glib","","https://salsa.debian.org/debian/dbus-glib.git","","","","","git"
"dconf","https://github.com/gnome/dconf.git","https://gitlab.gnome.org/gnome/dconf.git","","","","",""
"dctrl-tools","https://github.com/ajkaijanaho/dctrl-tools.git","","","","","",""
"ddcutil","","https://salsa.debian.org/debian/ddcutil.git","","","","","git"
"debian:dnsutils","","","","","","",""
"debian:gir1.2-mutter-11","","","","","","",""
