"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"nas","106565","0.0978","0",""
"upower","106429","0.0977","0",""
"apache","106258","0.0975","131089","0.0657"
"libopenmpt","106230","0.0975","0",""
"debian:x11-apps","106204","0.0975","0",""
"libqmi","105926","0.0972","0",""
"raptor-rdf","105862","0.0972","0",""
"mhash","105718","0.0971","0",""
"gstreamer:bad","105664","0.0970","0",""
"libexttextcat","105645","0.0970","0",""
"vo-aacenc","105631","0.0970","0",""
"rtkit","105597","0.0969","0",""
"oniguruma","79218","0.0727","696339","0.3492"
"vte","105568","0.0969","33290","0.0167"
"xdrv:intel","105565","0.0969","0",""
"networkmanager","105537","0.0969","0",""
"video4linux","105406","0.0968","0",""
"php","0","","694800","0.3484"
"xcb-util-renderutil","105308","0.0967","5458","0.0027"
"xcb-util-keysyms","105286","0.0967","5337","0.0027"
"libsigsegv","105208","0.0966","6669","0.0033"
"jasper","0","","691511","0.3468"
"x11-session-utils","105189","0.0966","0",""
"debian:python2.7-minimal","105106","0.0965","0",""
"libxres","105077","0.0965","0",""
"debian:python2.7","104938","0.0963","0",""
"gcr","104803","0.0962","0",""
"mariadb","104704","0.0961","84311","0.0423"
"xcb-util-image","104635","0.0961","5620","0.0028"
"dbus-glib","104460","0.0959","0",""
"llvm","40600","0.0373","686364","0.3442"
"libteam","104369","0.0958","0",""
"xcb-util-wm","104362","0.0958","5789","0.0029"
"libndp","104346","0.0958","0",""
"libffi","94902","0.0871","677552","0.3398"
"ocl-icd","104256","0.0957","0",""
"usbmuxd","104216","0.0957","0",""
"libao","104010","0.0955","0",""
"sdl2","103367","0.0949","0",""
"boost","37013","0.0340","676969","0.3395"
"libkate","103108","0.0947","0",""
"soundtouch","103069","0.0946","0",""
"wildmidi","102759","0.0943","0",""
"librevenge","102723","0.0943","0",""
"hunspell","102504","0.0941","109510","0.0549"
"mythes","102304","0.0939","0",""
"sndio","102183","0.0938","0",""
"libreoffice","102175","0.0938","0",""
"libdv","102142","0.0938","0",""
"libnice","102137","0.0938","25706","0.0129"
"pkgconf","22205","0.0204","612084","0.3069"
"debian:libgcc1","101971","0.0936","0",""
"alsa-ucm-conf","101824","0.0935","0",""
"alsa-topology-conf","101816","0.0935","0",""
"gstreamer:ugly","101614","0.0933","0",""
"libwpd","101586","0.0933","0",""
"libwpg","101567","0.0932","0",""
"liblangtag","101519","0.0932","0",""
"libaio","101275","0.0930","0",""
"cups-filters","101231","0.0929","0",""
"libeot","101170","0.0929","0",""
"libmtp","101151","0.0929","0",""
"debian:libpython2.7-minimal","101125","0.0928","0",""
"libwnck","101117","0.0928","0",""
"freetds","8100","0.0074","594619","0.2982"
"debian:libpython2.7-stdlib","101033","0.0928","0",""
"mtdev","100944","0.0927","0",""
"volume-key","100651","0.0924","0",""
"mbedtls","15545","0.0143","591402","0.2966"
"gnome-keyring","100575","0.0923","0",""
"speech-dispatcher","100476","0.0922","0",""
"libodfgen","100447","0.0922","0",""
"libgphoto2","100386","0.0922","14679","0.0074"
"libvisio","100341","0.0921","0",""
"libcdr","100331","0.0921","0",""
"mysql","0","","578865","0.2903"
"libsrtp","100238","0.0920","0",""
"libieee1284","100055","0.0919","0",""
"libetonyek","99924","0.0917","0",""
"libabw","99863","0.0917","0",""
"libe-book","99850","0.0917","0",""
"norm","99833","0.0916","0",""
"ngtcp2","18249","0.0168","567026","0.2843"
"woff2","99629","0.0915","6911","0.0035"
"libmwaw","99460","0.0913","0",""
"spandsp","99328","0.0912","0",""
"leptonica","3515","0.0032","565886","0.2838"
"p7zip","99089","0.0910","85932","0.0431"
"libsidplay1","99069","0.0909","0",""
"graphene","98973","0.0909","39644","0.0199"
"libfreehand","98801","0.0907","0",""
"libmspub","98799","0.0907","0",""
"gvfs","97940","0.0899","0",""
"libwps","97567","0.0896","0",""
"gexiv2","97392","0.0894","0",""
"sonic-speech-rate-library","97366","0.0894","0",""
"python:pycups","97101","0.0891","0",""
"graphviz","55652","0.0511","546439","0.2740"
"rabbitmq-c","97039","0.0891","0",""
"debian:libgdk-pixbuf2.0-0","96952","0.0890","0",""
"boehm-gc","85435","0.0784","541194","0.2714"
"geoip","96910","0.0890","0",""
"xmlsec","96838","0.0889","38223","0.0192"
"libpagemaker","96516","0.0886","0",""
"librist","56340","0.0517","538033","0.2698"
"dotconf","95876","0.0880","0",""
"plymouth","95856","0.0880","0",""
"texlive","95765","0.0879","15439","0.0077"
"brltty","95405","0.0876","0",""
"libdbusmenu","93738","0.0861","0",""
"libudfread","93602","0.0859","125729","0.0630"
