"package","github_repo"
"nghttp3","ngtcp2/nghttp3"
"nginx:http-auth-pam","sto/ngx_http_auth_pam_module"
"nginx:http-cache-purge","FRiCKLE/ngx_cache_purge"
"nginx:http-dav-ext","arut/nginx-dav-ext-module"
"nginx:http-echo","agentzh/echo-nginx-module"
"nginx:http-fancyindex","aperezdc/ngx-fancyindex"
"nginx:http-geoip2","leev/ngx_http_geoip2_module"
"nginx:http-headers-more-filter","openresty/headers-more-nginx-module"
"nginx:http-lua","openresty/lua-nginx-module"
"nginx:http-ndk","simpl/ngx_devel_kit"
"nginx:http-subs-filter","yaoweibin/ngx_http_substitutions_filter_module"
"nginx:http-uploadprogress","masterzen/nginx-upload-progress-module"
"nginx:http-upstream-fair","gnosek/nginx-upstream-fair"
"nginx:nchan","slact/nchan"
"ngtcp2","ngtcp2/ngtcp2"
"ninja","ninja-build/ninja"
"nlohmann-json","nlohmann/json"
"node-build","nodenv/node-build"
"node:undici","nodejs/llhttp"
"ntfs-3g","tuxera/ntfs-3g"
"numactl","numactl/numactl"
"nvm","nvm-sh/nvm"
"ocl-icd","OCL-dev/ocl-icd"
"onednn","oneapi-src/oneDNN"
"onetbb","uxlfoundation/oneTBB"
"onigmo","k-takata/Onigmo"
"oniguruma","kkos/oniguruma"
"onnx","onnx/onnx"
"onnxruntime","microsoft/onnxruntime"
"opa-psm2","01org/opa-psm2"
"openal-soft","kcat/openal-soft"
"openblas","OpenMathLib/OpenBLAS"
"opencl-clhpp","KhronosGroup/OpenCL-CLHPP"
"opencv","opencv/opencv"
"openexr","AcademySoftwareFoundation/openexr"
"openfec","roc-streaming/openfec"
"openjdk","openjdk/jdk26u"
"openjpeg","uclouvain/openjpeg"
"openjph","aous72/OpenJPH"
"openpgm","steve-o/openpgm"
"opensc","OpenSC/OpenSC"
"openslide","openslide/openslide"
"openssl","openssl/openssl"
"openvino","openvinotoolkit/openvino"
"openxr","KhronosGroup/OpenXR-SDK-Source"
"ostree","ostreedev/ostree"
"p11-kit","p11-glue/p11-kit"
"p7zip","p7zip-project/p7zip"
"pam","linux-pam/linux-pam"
"pcaudiolib","espeak-ng/pcaudiolib"
"pcre","PCRE2Project/pcre2"
"pcre2","PCRE2Project/pcre2"
"pipenv","pypa/pipenv"
"pkcs11-helper","OpenSC/pkcs11-helper"
"pkgconf","pkgconf/pkgconf"
"pmix","pmix/pmix"
"polkit","polkit-org/polkit"
"popt","rpm-software-management/popt"
"powertop","fenrus75/powertop"
"procmail","BuGlessRB/procmail"
"proj","OSGeo/PROJ"
"protobuf","google/protobuf"
"protobuf-c","protobuf-c/protobuf-c"
"pstoedit","woglu/pstoedit"
"psutils-postscript-rrthomas","rrthomas/psutils"
"pthreadpool","Maratyszcza/pthreadpool"
"pugixml","zeux/pugixml"
"pyenv","pyenv/pyenv"
"pyenv-virtualenv","pyenv/pyenv-virtualenv"
"python:pycairo","pygobject/pycairo"
"python:pycups","OpenPrinting/pycups"
"qr-code-generator","nayuki/QR-Code-generator"
"qrencode","fukuchi/libqrencode"
"qtkeychain","frankosterfeld/qtkeychain"
"rabbitmq-c","alanxz/rabbitmq-c"
"rabbitmq-server","rabbitmq/rabbitmq-server"
"rav1e","xiph/rav1e"
"rbenv","rbenv/rbenv"
"rdma-core","linux-rdma/rdma-core"
"re2","google/re2"
"rocm-compilersupport","ROCm/ROCm-CompilerSupport"
"rocm-hipamd","ROCm/clr"
"rocr-runtime","ROCm/ROCR-Runtime"
"roct-thunk-interface","ROCm/ROCT-Thunk-Interface"
"rpcsvc-proto","thkukuk/rpcsvc-proto"
"rtkit","heftig/rtkit"
"ruby-build","rbenv/ruby-build"
"s2n-tls","aws/s2n-tls"
"scim","scim-im/scim"
"scrcpy","Genymobile/scrcpy"
"sdl12-compat","libsdl-org/sdl12-compat"
"sdl3","libsdl-org/SDL"
"sdl3-ttf","libsdl-org/SDL_ttf"
"shaderc","google/shaderc"
"shadow","shadow-maint/shadow"
"shine","savonet/shine"
"simdjson","simdjson/simdjson"
"simdutf","simdutf/simdutf"
"snapd-glib","snapcore/snapd-glib"
"snappy-compression","google/snappy"
"socket++","malaterre/socketxx-1"
"sonic-speech-rate-library","waywardgeek/sonic"
"spdlog","gabime/spdlog"
"spirv-headers","KhronosGroup/SPIRV-Headers"
"spirv-llvm-translator","KhronosGroup/SPIRV-LLVM-Translator"
"spirv-tools","KhronosGroup/SPIRV-Tools"
"srt","Haivision/srt"
"srtp","cisco/libsrtp"
"stoken","stoken-dev/stoken"
"suitesparse","DrTimothyAldenDavis/SuiteSparse"
"superlu","xiaoyeli/superlu"
"swiftformat","nicklockwood/SwiftFormat"
"swiftgen","SwiftGen/SwiftGen"
"swiftlint","realm/SwiftLint"
"synaptic","mvo5/synaptic"
"systemd","systemd/systemd"
"sysvinit","slicer69/sysvinit"
"teckit","silnrsi/teckit"
"telnet-apple","apple-oss-distributions/remote_cmds"
"terminal-notifier","julienXX/terminal-notifier"
"tesseract-ocr","tesseract-ocr/tesseract"
"tfenv","tfutils/tfenv"
"the-silver-searcher","ggreer/the_silver_searcher"
"tidy","htacg/tidy-html5"
"tmux","tmux/tmux"
"tpm2-tss","tpm2-software/tpm2-tss"
"transmission","transmission/transmission"
"tree-sitter","tree-sitter/tree-sitter"
"tree-steve-baker","Old-Man-Programmer/tree"
"unibilium","neovim/unibilium"
"uriparser","uriparser/uriparser"
"usbmuxd","libimobiledevice/usbmuxd"
"usbutils","gregkh/usbutils"
"utf8proc","JuliaStrings/utf8proc"
"utfcpp","nemtrif/utfcpp"
"uthash","troydhanson/uthash"
"util-linux","util-linux/util-linux"
"uvwasi","nodejs/uvwasi"
"vde","virtualsquare/vde-2"
"vid.stab","georgmartius/vid"
"vim","vim/vim"
"vips","libvips/libvips"
"vmaf","Netflix/vmaf"
"vulkan-headers","KhronosGroup/Vulkan-Headers"
"vulkan-loader","KhronosGroup/Vulkan-Loader"
"wangle","facebook/wangle"
"woff2","google/woff2"
"wtmpdb","thkukuk/wtmpdb"
"wxwidgets","wxWidgets/wxWidgets"
"xarchiver","ib/xarchiver"
"xcbeautify","cpisciotta/xcbeautify"
"xcodegen","yonaskolb/XcodeGen"
"xctesthtmlreport","XCTestHTMLReport/XCTestHTMLReport"
"xmlsec","lsh123/xmlsec"
"xnnpack","google/XNNPACK"
"xxhash","Cyan4973/xxHash"
"xz","tukaani-project/xz"
"yajl","lloyd/yajl"
"yarn","yarnpkg/yarn"
"yt-dlp","yt-dlp/yt-dlp"
"ytnef","Yeraze/ytnef"
"yyjson","ibireme/yyjson"
"z3","Z3Prover/z3"
"zbar","mchehab/zbar"
"zeromq","zeromq/libzmq"
"zimg-image-processing","sekrit-twc/zimg"
"zlib-ng","zlib-ng/zlib-ng"
"zsh-syntax-highlighting","zsh-users/zsh-syntax-highlighting"
"zstd","facebook/zstd"
"zvbi","zapping-vbi/zvbi"
"zxcvbn-c","tsyrogit/zxcvbn-c"
"zxing-cpp","zxing-cpp/zxing-cpp"
"zziplib","gdraheim/zziplib"
