package,is_eol,eol_method,eol_reason,source,eol_checked_at
metis,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
ibus,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:imagemagick-6-common,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
python:pycairo,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
cogl,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libcue,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
rdma-core,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
powermgmt-base,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libical,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
distro-info-unclassified,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
geos,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
clutter,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
eigen,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libinstpatch,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
lirc,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
tfenv,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kxmlgui,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libpeas,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libgdata,True,homebrew_deprecated,libgdata: unmaintained,registry,2026-07-22T10:14:43+00:00
zenity,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
totem-pl-parser,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libnma,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
yelp,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libpwquality,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
liboauth,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libflac8,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libgs9-common,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
libayatana-appindicator,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
llhttp,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libgxps,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
cfitsio,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
graphicsmagick,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libmad,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
libltc,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
terminal-notifier,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
kcodecs,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libiptc0,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
xterm,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
insserv,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libgs9,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
python:pygobject,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
openni2,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
synaptic,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
smartmontools,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
zix,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libmagickcore-6.q16-6,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libmagickwand-6.q16-6,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
gtksourceview,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
vulkan-headers,False,homebrew_alive,,registry,2026-07-22T10:14:43+00:00
debian:libprocps8,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:perl-modules-5.36,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
debian:libperl5.36,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
jxrlib,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
kguiaddons,False,unsupported,,unsupported,2026-07-22T10:14:43+00:00
