"package","github_repo","git","eco_guess","debian_avg_downloads","homebrew_avg_downloads","downloads_score","pagerank","value_class","repo_id","canonical_url","license"
"phodav","","https://gitlab.gnome.org/gnome/phodav.git","native","10912","4021","19188","0.00001565","C","gl/gnome-1671","","lgpl-2.1-only"
"gdcm","","https://salsa.debian.org/med-team/gdcm.git","native","12813","0","17810","0.00001557","C","gl/debian-11520","",""
"kcalendarcore","","https://invent.kde.org/frameworks/kcalendarcore.git","native","8583","0","11930","0.00001553","C","gl/kde-2196","",""
"mpich","","https://salsa.debian.org/science-team/mpich.git","native","940","0","1306","0.00001547","C","gl/debian-3502","",""
"oath-toolkit","","https://salsa.debian.org/debian/oath-toolkit.git","native","12326","0","17133","0.00001531","C","gl/debian-44441","",""
"kmime","","https://invent.kde.org/pim/kmime.git","native","8302","0","11539","0.00001529","C","gl/kde-2273","",""
"libcmis","tdf/libcmis","https://github.com/tdf/libcmis.git","native","13101","0","18210","0.00001502","C","gh/39193170","",""
"libdicom","imagingdatacommons/libdicom","https://github.com/imagingdatacommons/libdicom.git","native","0","17743","17743","0.00001492","C","gh/383951991","","mit"
"talloc","","https://salsa.debian.org/samba-team/talloc.git","native","0","7190","7190","0.00001491","C","gl/debian-5912","","gpl-3.0-or-later"
"onednn","uxlfoundation/onednn","https://github.com/uxlfoundation/onednn.git","native","11839","0","16456","0.00001487","C","gh/58414589","",""
"cunit-original","linaro/libcunit","https://github.com/linaro/libcunit.git","native","0","9806","9806","0.00001480","C","gh/82083669","",""
"openh264","cisco/openh264","https://github.com/cisco/openh264.git","native","12080","0","16791","0.00001465","C","gh/13909573","",""
