"package","dependency","type"
"libinstpatch","debian:pkg-config","declared"
"libinstpatch","glib","declared"
"libinstpatch","glibc","declared"
"libinstpatch","libsndfile","declared"
"vtk","boost","declared"
"vtk","cgns","declared"
"vtk","debian:default-jdk","declared"
"vtk","debian:default-libmysqlclient-dev","declared"
"vtk","debian:libexpat-dev","declared"
"vtk","debian:libpython3-dev","declared"
"vtk","debian:libvtk9-java","declared"
"vtk","debian:python3-vtk9","declared"
"vtk","debian:tk-dev","declared"
"vtk","debian:x11proto-core-dev","declared"
"vtk","double-conversion","declared"
"vtk","eigen","declared"
"vtk","expat","declared"
"vtk","ffmpeg","declared"
"vtk","fontconfig","declared"
"vtk","freetype","declared"
"vtk","gcc","declared"
"vtk","gdal","declared"
"vtk","gl2ps","declared"
"vtk","glew","declared"
"vtk","glibc","declared"
"vtk","glu","declared"
"vtk","hdf5","declared"
"vtk","jsoncpp","declared"
"vtk","libglvnd","declared"
"vtk","libharu","declared"
"vtk","libjpeg-turbo","declared"
"vtk","libogg","declared"
"vtk","libpng","declared"
"vtk","libtheora","declared"
"vtk","libx11","declared"
"vtk","libxml2","declared"
"vtk","libxss","declared"
"vtk","libxt","declared"
"vtk","lz4","declared"
"vtk","mpi-defaults","declared"
"vtk","netcdf","declared"
"vtk","nlohmann-json","declared"
"vtk","onetbb","declared"
"vtk","openmpi","declared"
"vtk","postgresql","declared"
"vtk","proj","declared"
"vtk","pugixml","declared"
"vtk","python","declared"
"vtk","qt","declared"
"vtk","sqlite","declared"
"vtk","tcl-lang","declared"
"vtk","tcltk-defaults","declared"
"vtk","tiff","declared"
"vtk","tk","declared"
"vtk","utfcpp","declared"
"vtk","xft","declared"
"vtk","xz","declared"
"vtk","zlib","declared"
"libkdcraw","gcc","declared"
"libkdcraw","glibc","declared"
"libkdcraw","libraw","declared"
"libkdcraw","qt","declared"
"ruby","glibc","declared"
"ruby","gmp","declared"
"ruby","libffi","declared"
"ruby","libxcrypt","declared"
"ruby","libyaml","declared"
"ruby","openssl","declared"
"ruby","readline","declared"
"ruby","ruby:csv","declared"
"ruby","ruby:did-you-mean","declared"
"ruby","ruby:net-telnet","declared"
"ruby","ruby:rake","declared"
"ruby","ruby:ruby2-keywords","declared"
"ruby","ruby:webrick","declared"
"ruby","ruby:xmlrpc","declared"
"ruby","zlib","declared"
"libhandy","at-spi2-core","declared"
"libhandy","cairo-graphics-library","declared"
"libhandy","debian:gir1.2-gio-2.0-dev","declared"
"libhandy","debian:gir1.2-gtk-3.0-dev","declared"
"libhandy","debian:gir1.2-handy-1","declared"
"libhandy","fribidi","declared"
"libhandy","gdk-pixbuf","declared"
"libhandy","gettext","declared"
"libhandy","glade","declared"
"libhandy","glib","declared"
"libhandy","glibc","declared"
"libhandy","gtk","declared"
"libhandy","harfbuzz","declared"
"libhandy","pango","declared"
"liblinear","gcc","declared"
"liblinear","glibc","declared"
"liblinear","lapack","declared"
"libpthread-stubs","pkgconf","declared"
"colord-gtk","cairo-graphics-library","declared"
"colord-gtk","colord","declared"
"colord-gtk","debian:gir1.2-colordgtk-1.0","declared"
"colord-gtk","glib","declared"
"colord-gtk","glibc","declared"
"colord-gtk","gtk","declared"
"libmicrohttpd","glibc","declared"
"libmicrohttpd","gnutls","declared"
"svt-av1","glibc","declared"
"pmix","debian:libjs-jquery","declared"
"pmix","glibc","declared"
"pmix","hwloc","declared"
"pmix","libevent","declared"
"pmix","munge","declared"
"pmix","zlib","declared"
"nmap","debian:gir1.2-gdkpixbuf-2.0","declared"
"nmap","debian:gir1.2-glib-2.0","declared"
"nmap","debian:gir1.2-gtk-3.0","declared"
"nmap","debian:gir1.2-pango-1.0","declared"
"nmap","debian:python3-gi","declared"
"nmap","debian:python3-gi-cairo","declared"
"nmap","debian:python3-lxml","declared"
"nmap","gcc","declared"
"nmap","glibc","declared"
"nmap","liblinear","declared"
"nmap","libpcap","declared"
"nmap","libssh2","declared"
"nmap","lua","declared"
"nmap","openssl","declared"
"nmap","pcre","declared"
"nmap","pcre2","declared"
"nmap","python","declared"
"nmap","python3-defaults","declared"
"nmap","zlib","declared"
"srt","gcc","declared"
"srt","glibc","declared"
"srt","gnutls","declared"
"srt","nettle","declared"
"srt","openssl","declared"
"hyphen","glibc","declared"
"inih","gcc","declared"
"inih","glibc","declared"
"kitemviews","gcc","declared"
"kitemviews","glibc","declared"
"kitemviews","qt","declared"
"libnice","debian:gir1.2-gio-2.0-dev","declared"
"libnice","debian:gir1.2-gobject-2.0-dev","declared"
"libnice","debian:gir1.2-nice-0.1","declared"
"libnice","gettext","declared"
"libnice","glib","declared"
"libnice","glibc","declared"
"libnice","gnutls","declared"
"libnice","gstreamer","declared"
